Date,Close,Open,High,Low,Volume,Change
2000-01-03,5.16,5.23,5.32,5.04,3040000.0,-0.0134
2000-01-04,5.0,5.01,5.12,4.93,2540000.0,-0.031
2000-01-05,5.1,5.03,5.15,4.96,3400000.0,0.02
2000-01-06,5.33,5.1,5.57,5.03,5300000.0,0.0451
2000-01-07,5.33,5.33,5.34,5.27,3400000.0,0.0
2000-01-10,5.33,5.31,5.34,5.29,2850000.0,0.0
2000-01-11,5.33,5.33,5.45,5.33,3350000.0,0.0
2000-01-12,5.35,5.33,5.41,5.32,3200000.0,0.0038
2000-01-13,5.43,5.33,5.51,5.31,3120000.0,0.015
2000-01-14,5.37,5.35,5.44,5.33,2820000.0,-0.011000000000000001
2000-01-18,5.29,5.33,5.39,5.29,2490000.0,-0.0149
2000-01-19,5.29,5.29,5.33,5.23,11020000.0,0.0
2000-01-20,5.05,5.24,5.27,5.0,5170000.0,-0.0454
2000-01-21,5.11,5.27,5.27,5.09,3030000.0,0.011899999999999999
2000-01-24,5.09,5.22,5.22,5.02,2830000.0,-0.0039000000000000003
2000-01-25,5.01,5.09,5.22,4.99,5510000.0,-0.015700000000000002
2000-01-26,4.99,5.1,5.12,4.94,14190000.0,-0.004
2000-01-27,5.06,4.99,5.1,4.97,4810000.0,0.013999999999999999
2000-01-28,4.85,5.0,5.0,4.76,5100000.0,-0.0415
2000-01-31,4.87,4.9,4.95,4.84,3300000.0,0.0040999999999999995
2000-02-01,4.82,4.87,4.89,4.8,1580000.0,-0.0103
2000-02-02,4.71,4.82,4.82,4.67,2610000.0,-0.022799999999999997
2000-02-03,4.65,4.73,4.76,4.62,2350000.0,-0.0127
2000-02-04,4.61,4.69,4.73,4.59,8010000.0,-0.0086
2000-02-07,4.35,4.61,4.65,4.35,3980000.0,-0.0564
2000-02-08,4.12,4.25,4.33,4.12,11040000.0,-0.0529
2000-02-09,4.17,4.24,4.3,4.12,9320000.0,0.0121
2000-02-10,3.83,3.96,4.03,3.81,10610000.0,-0.0815
2000-02-11,3.6,3.83,3.84,3.52,6290000.0,-0.0601
2000-02-14,3.65,3.58,3.72,3.5,17690000.0,0.0139
2000-02-15,3.67,3.71,3.77,3.65,5240000.0,0.0055000000000000005
2000-02-16,3.66,3.69,3.76,3.62,6760000.0,-0.0027
