Date,Close,Open,High,Low,Volume,Change
2000-01-03,34.42,34.91,34.91,32.28,702750.0,-0.0166
2000-01-04,33.02,34.25,34.71,32.44,875250.0,-0.0407
2000-01-05,33.39,33.18,34.01,32.77,1040000.0,0.011200000000000002
2000-01-06,33.57,32.98,34.25,32.85,1220000.0,0.0054
2000-01-07,35.26,33.55,35.65,33.27,1030000.0,0.050300000000000004
2000-01-10,36.07,35.57,36.56,35.32,934800.0,0.023
2000-01-11,33.97,35.7,35.7,33.72,1240000.0,-0.0582
2000-01-12,33.02,33.76,33.84,33.02,1550000.0,-0.027999999999999997
2000-01-13,35.78,32.94,35.82,32.94,953250.0,0.0836
2000-01-14,35.94,35.9,36.64,35.24,1020000.0,0.0045000000000000005
2000-01-18,36.44,35.45,36.64,35.16,931050.0,0.0139
2000-01-19,34.25,36.56,36.56,33.97,691650.0,-0.0601
2000-01-20,33.76,34.54,34.67,33.6,1230000.0,-0.0143
2000-01-21,32.44,33.43,33.6,32.2,1540000.0,-0.0391
2000-01-24,32.32,32.4,32.77,32.28,1070000.0,-0.0037
2000-01-25,31.13,32.07,32.07,29.61,2330000.0,-0.0368
2000-01-26,31.41,31.13,32.03,31.0,995100.0,0.009000000000000001
2000-01-27,31.33,31.45,32.11,30.96,793200.0,-0.0025
2000-01-28,29.56,30.92,31.62,29.4,2060000.0,-0.0565
2000-01-31,30.86,29.89,31.04,29.77,1420000.0,0.044000000000000004
2000-02-01,30.63,31.02,31.21,30.28,757350.0,-0.0075
2000-02-02,31.62,30.84,31.66,30.35,1240000.0,0.0323
2000-02-03,32.07,31.45,32.65,31.0,1010000.0,0.014199999999999999
2000-02-04,32.52,31.95,33.1,31.78,807600.0,0.013999999999999999
2000-02-07,29.89,32.52,32.69,29.64,1190000.0,-0.0809
2000-02-08,28.74,30.71,30.8,27.01,2580000.0,-0.0385
2000-02-09,28.04,28.65,28.7,27.34,4530000.0,-0.024399999999999998
2000-02-10,26.51,27.75,27.75,26.18,3090000.0,-0.0546
2000-02-11,25.57,26.56,26.6,25.36,2820000.0,-0.0355
2000-02-14,26.25,25.81,26.84,25.2,2049999.9999999998,0.026600000000000002
2000-02-15,26.84,25.69,27.17,25.32,1730000.0,0.0225
2000-02-16,25.98,26.6,26.68,25.86,874200.0,-0.032
2000-02-17,26.72,26.35,26.8,25.86,898500.0,0.0285
2000-02-18,24.62,27.01,27.05,24.37,1860000.0,-0.0786
2000-02-22,24.0,24.25,24.33,22.89,3280000.0,-0.0252
2000-02-23,23.96,23.96,24.7,23.55,1590000.0,-0.0017000000000000001
2000-02-24,25.16,24.29,25.2,23.71,1580000.0,0.0501
2000-02-25,25.28,25.11,26.93,25.07,1470000.0,0.0048
2000-02-28,25.48,24.7,26.23,23.84,1350000.0,0.0079
2000-02-29,26.31,25.48,26.6,24.99,1000000.0,0.0326
2000-03-01,26.84,26.43,27.3,24.95,1090000.0,0.020099999999999996
2000-03-02,26.72,26.6,27.67,26.35,842400.0,-0.0045000000000000005
2000-03-03,27.17,27.34,28.16,26.76,1120000.0,0.0168
2000-03-06,26.72,26.95,27.1,26.51,991050.0,-0.0166
2000-03-07,26.35,26.68,26.88,26.27,1310000.0,-0.0138
2000-03-08,26.37,26.68,26.68,25.01,1240000.0,0.0008
2000-03-09,26.93,26.25,27.17,25.94,1460000.0,0.0212
2000-03-10,27.36,26.68,28.28,26.56,1280000.0,0.016
2000-03-13,26.56,26.43,27.42,25.32,1090000.0,-0.0292
2000-03-14,26.06,26.56,27.79,26.0,881200.0,-0.018799999999999997
2000-03-15,29.52,26.68,30.88,25.44,2069999.9999999998,0.1328
2000-03-16,35.82,29.21,37.42,29.15,4680000.0,0.2134
2000-03-17,33.72,34.34,35.32,33.22,2140000.0,-0.058600000000000006
2000-03-20,31.68,33.1,33.1,30.63,1250000.0,-0.0605
2000-03-21,34.65,31.87,34.83,31.87,1320000.0,0.09380000000000001
2000-03-22,34.46,34.58,34.83,33.47,1270000.0,-0.0055000000000000005
