Date,Close,Open,High,Low,Volume,Change
2007-04-26,22.79,22.75,23.25,22.65,2420000.0,-0.6132
2007-04-27,20.91,21.25,21.51,20.85,3050000.0,-0.0825
2007-04-30,20.45,20.5,20.7,20.01,2930000.0,-0.022000000000000002
2007-05-01,19.91,20.0,20.35,19.05,5400000.0,-0.0264
2007-05-02,20.4,19.75,20.75,19.55,4070000.0000000005,0.0246
2007-05-03,20.72,21.75,21.95,20.55,8070000.0,0.015700000000000002
2007-05-04,20.98,21.25,21.35,20.7,5450000.0,0.0125
2007-05-07,20.36,21.2,21.29,20.2,2650000.0,-0.0296
2007-05-08,19.63,20.0,20.0,19.3,4170000.0,-0.0359
2007-05-09,19.79,19.75,20.2,19.63,7540000.0,0.008199999999999999
2007-05-10,19.7,19.79,19.99,19.55,3170000.0,-0.0045000000000000005
2007-05-11,19.3,19.71,19.8,19.11,3540000.0,-0.0203
2007-05-14,18.89,19.15,19.39,18.75,1930000.0,-0.0212
2007-05-15,18.2,18.65,18.85,18.15,3440000.0,-0.0365
2007-05-16,18.34,18.06,18.48,18.02,2610000.0,0.0077
2007-05-17,19.02,18.8,19.75,18.67,8980000.0,0.0371
2007-05-18,19.31,19.47,19.49,18.54,6560000.0,0.0152
2007-05-21,19.0,19.2,19.34,19.0,2080000.0,-0.0161
2007-05-22,19.48,19.1,19.53,19.0,4019999.9999999995,0.0253
2007-05-23,19.21,19.5,19.7,19.1,2390000.0,-0.0139
2007-05-24,19.02,19.21,19.33,18.85,2360000.0,-0.009899999999999999
2007-05-25,18.76,19.02,19.05,18.69,895000.0,-0.0137
2007-05-29,19.09,18.91,19.2,18.85,2920000.0,0.0176
2007-05-30,18.98,19.05,19.15,18.81,2830000.0,-0.0058
2007-05-31,19.05,19.15,19.28,19.03,3440000.0,0.0037
2007-06-01,19.55,19.1,19.8,19.05,2300000.0,0.0262
2007-06-04,18.84,18.7,19.05,18.69,5700000.0,-0.0363
2007-06-05,18.95,18.85,19.04,18.73,4510000.0,0.0058
2007-06-06,18.93,18.7,18.93,18.65,2600000.0,-0.0011
2007-06-07,18.48,18.77,18.85,18.15,3060000.0,-0.023799999999999998
2007-06-08,18.83,18.2,18.83,18.2,2120000.0,0.0189
2007-06-11,18.38,18.55,18.82,18.22,1870000.0,-0.0239
2007-06-12,18.4,18.15,18.71,18.02,8640000.0,0.0011
2007-06-13,18.64,18.48,18.7,18.36,3110000.0,0.013000000000000001
2007-06-14,18.9,18.5,19.01,18.43,8070000.0,0.0139
2007-06-15,18.88,18.89,19.14,18.45,3420000.0,-0.0011
2007-06-18,18.54,18.65,18.9,18.5,1340000.0,-0.018000000000000002
2007-06-19,18.87,18.59,19.08,18.55,3110000.0,0.0178
2007-06-20,19.36,19.0,19.49,18.82,4030000.0000000005,0.026000000000000002
2007-06-21,19.51,19.2,19.6,19.02,3990000.0,0.0077
2007-06-22,19.75,19.5,19.85,19.37,11820000.0,0.0123
2007-06-25,19.43,19.69,19.74,19.11,1970000.0,-0.016200000000000003
2007-06-26,19.49,19.5,19.66,19.27,2240000.0,0.0031
2007-06-27,19.42,19.4,19.59,19.13,2220000.0,-0.0036
2007-06-28,19.67,19.75,19.89,19.62,2550000.0,0.0129
2007-06-29,19.7,19.55,19.83,19.51,2020000.0,0.0015
2007-07-02,19.58,19.57,19.76,19.53,1830000.0,-0.0060999999999999995
2007-07-03,20.25,19.71,20.26,19.71,2960000.0,0.0342
2007-07-05,20.52,20.01,20.73,19.92,2640000.0,0.013300000000000001
2007-07-06,20.83,20.55,20.9,20.38,1970000.0,0.0151
2007-07-09,21.33,20.94,21.39,20.86,2870000.0,0.024
2007-07-10,20.65,21.18,21.25,20.53,2370000.0,-0.0319
2007-07-11,20.12,20.18,20.59,20.0,2390000.0,-0.025699999999999997
2007-07-12,20.43,20.43,20.63,20.11,3460000.0,0.0154
2007-07-13,20.5,20.35,20.54,20.08,1750000.0,0.0034000000000000002
2007-07-16,20.94,20.45,21.0,20.31,2890000.0,0.0215
2007-07-17,21.19,21.0,21.25,20.78,4390000.0,0.011899999999999999
2007-07-18,21.37,21.79,21.8,21.15,9010000.0,0.0085
2007-07-19,21.51,21.48,21.8,21.4,8640000.0,0.0066
2007-07-20,21.4,21.41,21.58,21.0,4250000.0,-0.0051
2007-07-23,21.11,21.4,21.5,21.01,4400000.0,-0.013600000000000001
2007-07-24,21.33,21.15,21.6,20.73,6100000.0,0.0104
2007-07-25,20.78,21.3,21.31,20.45,2780000.0,-0.0258
