Date,Close,Open,High,Low,Volume,Change
2000-01-03,21.44,21.81,21.91,21.28,2690000.0,-0.0115
2000-01-04,21.41,21.25,21.5,21.22,3370000.0,-0.0014000000000000002
2000-01-05,21.91,21.47,22.22,21.22,6210000.0,0.023399999999999997
2000-01-06,23.03,22.31,23.44,22.22,6080000.0,0.051100000000000007
2000-01-07,23.0,23.03,23.72,22.84,4110000.0000000005,-0.0013
2000-01-10,23.47,23.0,23.72,22.84,3160000.0,0.0204
2000-01-11,23.47,23.22,23.69,23.19,3180000.0,0.0
2000-01-12,23.03,23.22,23.28,22.91,3010000.0,-0.0187
2000-01-13,23.12,23.16,23.53,22.91,2000000.0,0.0039000000000000003
2000-01-14,24.06,23.5,24.16,23.38,2990000.0,0.0407
2000-01-18,23.56,23.84,23.84,22.72,3040000.0,-0.0208
2000-01-19,23.19,23.5,23.91,22.69,2000000.0,-0.015700000000000002
2000-01-20,22.78,23.31,23.38,22.56,2160000.0,-0.0177
2000-01-21,22.09,22.78,22.78,21.91,2660000.0,-0.030299999999999997
2000-01-24,22.44,22.12,22.44,21.91,1650000.0,0.0158
2000-01-25,22.25,22.44,22.66,21.44,3080000.0,-0.0085
2000-01-26,22.81,22.31,23.03,22.28,2470000.0,0.0252
2000-01-27,22.91,22.88,23.0,22.62,1470000.0,0.0044
2000-01-28,22.38,22.69,22.72,22.0,2610000.0,-0.0231
2000-01-31,21.84,22.31,22.31,21.75,1830000.0,-0.0241
2000-02-01,21.38,21.81,21.81,21.14,3140000.0,-0.021099999999999997
2000-02-02,21.31,21.88,22.25,21.28,3170000.0,-0.0033
2000-02-03,20.62,21.34,21.5,20.19,4059999.9999999995,-0.032400000000000005
2000-02-04,20.44,20.25,20.56,19.91,2950000.0,-0.0087
2000-02-07,20.66,20.44,20.78,20.03,2020000.0,0.0108
2000-02-08,20.03,20.88,20.91,18.12,10300000.0,-0.0305
2000-02-09,20.0,20.09,20.5,19.81,4099999.9999999995,-0.0015
2000-02-10,18.75,20.0,20.09,18.56,2400000.0,-0.0625
2000-02-11,18.09,18.94,18.94,17.97,3010000.0,-0.0352
2000-02-14,19.5,18.16,19.56,17.84,3120000.0,0.0779
2000-02-15,20.22,20.0,20.56,19.81,2620000.0,0.0369
2000-02-16,19.66,20.34,20.81,19.5,2740000.0,-0.0277
2000-02-17,19.91,20.0,20.31,19.75,2029999.9999999998,0.0127
2000-02-18,19.25,19.78,20.19,18.97,1170000.0,-0.0331
2000-02-22,20.0,19.12,20.25,19.0,1890000.0,0.039
2000-02-23,19.25,19.75,19.94,19.12,1310000.0,-0.0375
2000-02-24,18.5,19.12,19.16,18.09,1470000.0,-0.039
2000-02-25,18.47,18.38,19.53,18.25,2250000.0,-0.0016
2000-02-28,18.47,18.34,18.72,18.28,1820000.0,0.0
2000-02-29,17.88,18.5,18.53,17.78,4099999.9999999995,-0.0319
2000-03-01,18.5,17.94,18.62,17.41,3710000.0,0.0347
2000-03-02,17.28,17.5,17.53,17.0,3580000.0,-0.0659
2000-03-03,17.44,17.22,17.75,16.97,4530000.0,0.009300000000000001
2000-03-06,17.09,17.41,17.91,17.03,2480000.0,-0.020099999999999996
2000-03-07,15.19,17.09,17.09,15.16,6390000.0,-0.1112
2000-03-08,17.62,15.5,17.62,15.5,5780000.0,0.16
2000-03-09,17.84,17.75,17.84,17.44,3840000.0,0.0125
2000-03-10,17.75,17.97,18.22,17.53,1320000.0,-0.005
2000-03-13,17.66,17.78,17.84,17.16,1530000.0,-0.0051
2000-03-14,17.28,17.97,18.06,17.25,2150000.0,-0.0215
2000-03-15,18.75,17.28,20.0,17.09,4760000.0,0.0851
2000-03-16,19.75,19.0,20.75,19.0,3790000.0,0.0533
2000-03-17,19.09,19.75,19.94,18.94,2750000.0,-0.0334
2000-03-20,19.16,19.09,19.56,18.91,1380000.0,0.0037
2000-03-21,19.28,18.62,20.0,18.62,1820000.0,0.0063
2000-03-22,19.09,19.25,19.38,18.69,1390000.0,-0.009899999999999999
2000-03-23,19.41,19.03,19.75,18.81,1580000.0,0.0168
2000-03-24,19.19,19.41,19.5,18.75,1830000.0,-0.0113
2000-03-27,18.81,18.81,19.19,18.78,1170000.0,-0.019799999999999998
2000-03-28,18.44,18.56,19.03,18.19,1720000.0,-0.0197
2000-03-29,18.62,18.19,18.94,18.06,1570000.0,0.0098
2000-03-30,19.53,18.66,19.94,18.25,2150000.0,0.0489
2000-03-31,19.0,19.5,19.5,19.0,2150000.0,-0.0271
2000-04-03,19.44,19.0,19.53,18.34,3520000.0,0.0232
2000-04-04,20.09,19.56,21.12,19.06,4190000.0000000005,0.0334
2000-04-05,20.16,19.75,21.0,19.75,3820000.0,0.0034999999999999996
2000-04-06,20.0,20.16,21.0,19.91,2220000.0,-0.0079
2000-04-07,19.5,20.06,20.06,19.31,1130000.0,-0.025
2000-04-10,19.62,19.62,20.41,19.56,1560000.0,0.0062
2000-04-11,20.16,20.31,20.94,20.09,1760000.0,0.0275
2000-04-12,21.22,20.47,21.44,20.44,2340000.0,0.0526
2000-04-13,20.75,21.5,22.31,20.5,3150000.0,-0.022099999999999998
2000-04-14,20.12,20.38,20.5,19.88,2049999.9999999998,-0.0304
2000-04-17,19.62,19.88,20.38,19.31,1690000.0,-0.024900000000000002
2000-04-18,19.94,19.88,20.0,19.03,1620000.0,0.0163
2000-04-19,19.28,19.81,19.97,18.94,1150000.0,-0.0331
2000-04-20,19.44,19.0,19.56,18.97,1160000.0,0.0083
2000-04-24,19.41,18.94,19.69,18.94,1530000.0,-0.0015
2000-04-25,20.47,19.47,20.62,19.31,1890000.0,0.0546
2000-04-26,20.06,20.44,20.44,20.03,908200.0,-0.02
2000-04-27,20.44,20.0,20.66,19.94,1750000.0,0.0189
2000-04-28,20.19,20.19,20.44,19.97,1450000.0,-0.012199999999999999
2000-05-01,20.22,19.75,20.22,19.62,1830000.0,0.0015
2000-05-02,20.34,20.44,21.0,20.22,1800000.0,0.0059
2000-05-03,20.28,20.38,20.44,19.97,1220000.0,-0.0029
2000-05-04,19.97,20.12,20.12,19.75,2080000.0,-0.015300000000000001
2000-05-05,19.69,19.88,19.88,19.44,1790000.0,-0.013999999999999999
2000-05-08,20.12,19.75,20.47,19.59,1470000.0,0.0218
2000-05-09,20.03,20.19,20.81,20.0,1660000.0,-0.0045000000000000005
2000-05-10,20.88,20.0,20.88,19.97,1810000.0,0.0424
2000-05-11,20.75,21.38,21.44,20.41,5960000.0,-0.0062
2000-05-12,22.03,21.28,22.19,21.19,4790000.0,0.0617
2000-05-15,22.47,22.16,22.47,22.16,2730000.0,0.02
2000-05-16,23.28,23.81,24.12,23.19,7590000.0,0.036000000000000004
2000-05-17,23.28,23.06,23.59,22.81,4930000.0,0.0
2000-05-18,23.16,23.5,23.78,22.97,4019999.9999999995,-0.0052
2000-05-19,23.41,22.56,23.66,22.56,2420000.0,0.0108
2000-05-22,24.78,23.44,24.81,23.25,5610000.0,0.058499999999999996
2000-05-23,23.66,24.5,24.62,23.16,5680000.0,-0.0452
2000-05-24,23.56,23.66,23.72,23.28,2970000.0,-0.0042
2000-05-25,23.97,23.62,24.25,23.62,2780000.0,0.0174
2000-05-26,22.34,22.75,23.44,21.94,4160000.0,-0.068
2000-05-30,22.62,22.38,22.91,22.38,2490000.0,0.0125
