Date,Close,Open,High,Low,Volume,Change
2000-01-03,24.53,26.06,26.06,24.5,1930000.0,-0.0701
2000-01-04,25.56,25.5,25.91,25.19,2650000.0,0.042
2000-01-05,27.31,26.0,28.19,25.94,3470000.0,0.06849999999999999
2000-01-06,27.41,27.31,27.78,27.0,2900000.0,0.0037
2000-01-07,28.12,27.62,28.78,27.59,2270000.0,0.0259
2000-01-10,27.88,28.31,28.62,27.62,2440000.0,-0.0085
2000-01-11,27.5,27.75,27.78,27.31,798400.0,-0.013600000000000001
2000-01-12,26.5,27.19,27.28,26.38,2700000.0,-0.0364
2000-01-13,26.5,27.0,27.19,26.06,1230000.0,0.0
2000-01-14,26.69,26.75,27.19,26.03,1270000.0,0.0072
2000-01-18,25.91,25.81,26.59,25.75,1850000.0,-0.0292
2000-01-19,25.38,25.62,25.81,25.06,1350000.0,-0.020499999999999997
2000-01-20,24.66,25.25,25.28,24.34,1830000.0,-0.028399999999999998
2000-01-21,24.69,24.81,24.88,24.62,1740000.0,0.0012
2000-01-24,23.22,24.81,25.0,22.88,1680000.0,-0.059500000000000004
2000-01-25,23.53,23.22,23.69,22.69,2450000.0,0.0134
2000-01-26,23.47,23.66,23.91,22.84,2840000.0,-0.0025
2000-01-27,23.5,24.47,24.5,23.41,2110000.0,0.0013
2000-01-28,23.62,23.62,24.0,23.31,2290000.0,0.0051
2000-01-31,23.56,23.56,23.66,23.0,808800.0,-0.0025
2000-02-01,24.16,23.62,24.22,23.22,1130000.0,0.0255
2000-02-02,23.75,24.56,24.72,23.66,1520000.0,-0.017
2000-02-03,23.12,24.12,24.19,22.94,1770000.0,-0.0265
2000-02-04,22.78,23.31,23.62,22.75,2250000.0,-0.0147
2000-02-07,22.25,23.03,23.06,21.12,5390000.0,-0.0233
2000-02-08,21.5,22.06,22.31,21.34,4139999.9999999995,-0.0337
2000-02-09,20.88,21.25,21.25,20.47,3310000.0,-0.0288
2000-02-10,21.09,20.91,21.62,20.84,1210000.0,0.0101
2000-02-11,20.72,21.06,21.09,20.72,1550000.0,-0.0175
2000-02-14,20.78,21.0,21.03,20.5,1140000.0,0.0029
2000-02-15,20.66,20.78,21.0,20.44,2330000.0,-0.0058
2000-02-16,20.78,21.0,21.16,20.62,1300000.0,0.0058
2000-02-17,21.56,20.81,21.69,20.72,2009999.9999999998,0.0375
2000-02-18,20.94,21.62,21.66,20.72,1900000.0,-0.0288
2000-02-22,21.5,21.0,21.75,20.94,1010000.0,0.026699999999999998
2000-02-23,21.56,21.62,21.75,21.28,1120000.0,0.0028000000000000004
2000-02-24,21.12,21.5,21.53,20.78,2640000.0,-0.0204
2000-02-25,21.47,21.09,21.72,21.06,991600.0,0.0166
2000-02-28,21.53,21.59,21.72,21.19,735400.0,0.0028000000000000004
2000-02-29,21.62,21.5,21.97,21.38,1160000.0,0.0042
2000-03-01,21.19,21.62,21.62,21.09,1500000.0,-0.0199
2000-03-02,20.56,21.12,21.16,20.41,1730000.0,-0.0297
2000-03-03,19.44,20.56,20.56,19.38,3980000.0,-0.0545
2000-03-06,18.91,19.5,19.88,18.88,2770000.0,-0.0273
2000-03-07,18.5,18.5,18.78,18.12,1780000.0,-0.0217
2000-03-08,18.75,18.81,19.84,18.69,4480000.0,0.013500000000000002
2000-03-09,19.91,18.53,20.06,18.38,2280000.0,0.061900000000000004
2000-03-10,19.66,19.94,20.0,18.62,2300000.0,-0.0126
2000-03-13,19.53,19.25,19.59,19.12,1520000.0,-0.0066
2000-03-14,20.06,19.62,20.19,19.62,2280000.0,0.0271
2000-03-15,21.69,20.56,22.5,20.34,2590000.0,0.08130000000000001
2000-03-16,22.56,22.38,22.59,21.53,2870000.0,0.0401
2000-03-17,22.88,22.56,23.31,22.53,2620000.0,0.014199999999999999
2000-03-20,23.03,22.81,23.12,22.62,1820000.0,0.0066
2000-03-21,23.25,23.0,23.38,22.81,1810000.0,0.0096
2000-03-22,22.97,23.06,23.25,22.62,1700000.0,-0.012
2000-03-23,23.22,22.94,23.44,22.47,829000.0,0.0109
2000-03-24,24.12,23.22,24.47,23.0,1520000.0,0.0388
2000-03-27,23.91,24.0,24.12,23.75,1070000.0,-0.0087
2000-03-28,23.56,23.5,24.25,23.5,760600.0,-0.0146
2000-03-29,23.53,23.69,23.72,23.19,655000.0,-0.0013
2000-03-30,24.16,23.66,24.44,23.66,1060000.0,0.0268
2000-03-31,24.88,24.22,25.72,24.09,2170000.0,0.0298
2000-04-03,25.44,25.0,25.62,24.53,1360000.0,0.0225
2000-04-04,25.97,25.34,26.94,25.12,2940000.0,0.0208
2000-04-05,25.44,25.69,25.69,25.16,1700000.0,-0.0204
2000-04-06,25.56,25.44,25.94,25.09,1150000.0,0.004699999999999999
2000-04-07,25.38,25.5,25.81,25.25,1200000.0,-0.006999999999999999
