Date,Close,Open,High,Low,Volume,Change
2000-01-03,50.0,51.0,51.23,49.73,22070000.0,-0.030600000000000002
2000-01-04,48.0,49.08,49.33,48.0,22120000.0,-0.04
2000-01-05,47.92,47.92,49.0,47.52,27290000.0,-0.0017000000000000001
2000-01-06,48.56,47.71,48.98,47.54,19870000.0,0.0134
2000-01-07,50.44,49.33,50.62,48.15,20140000.0,0.0387
2000-01-10,50.42,50.9,51.35,50.37,15230000.0,-0.0004
2000-01-11,50.5,50.33,50.9,50.21,15120000.0,0.0016
2000-01-12,50.67,50.35,51.08,50.19,18350000.0,0.0034000000000000002
2000-01-13,51.25,51.04,51.65,51.0,14950000.0,0.011399999999999999
2000-01-14,50.33,51.12,51.54,49.85,18480000.0,-0.018000000000000002
2000-01-18,49.33,49.87,49.87,48.92,18300000.0,-0.0199
2000-01-19,49.57,48.83,50.31,48.75,14850000.0,0.0049
2000-01-20,48.64,49.69,49.92,47.54,30760000.0,-0.018799999999999997
2000-01-21,48.04,49.31,49.42,47.98,24010000.0,-0.0123
2000-01-24,46.04,48.44,48.65,45.48,27120000.0,-0.0416
2000-01-25,46.17,46.02,46.79,45.67,25390000.0,0.0028000000000000004
2000-01-26,47.15,46.83,47.4,46.29,15860000.0,0.0212
2000-01-27,47.25,47.19,47.25,45.69,19240000.0,0.0021
2000-01-28,44.67,46.77,46.83,44.54,29850000.0,-0.0546
2000-01-31,44.67,44.67,45.31,44.35,21780000.0,0.0
2000-02-01,45.33,44.75,45.67,44.67,27340000.0,0.0148
2000-02-02,44.69,45.71,45.87,44.69,21820000.0,-0.0141
2000-02-03,46.42,45.31,46.6,45.08,20230000.0,0.0387
2000-02-04,47.19,47.0,47.71,46.83,18170000.0,0.0166
2000-02-07,45.5,47.23,47.25,45.29,18290000.0,-0.0358
2000-02-08,45.69,45.52,46.15,45.5,18700000.0,0.0042
2000-02-09,44.69,45.67,45.9,44.69,16020000.0,-0.0219
2000-02-10,45.15,44.85,45.65,44.37,19170000.0,0.0103
2000-02-11,44.58,45.02,45.77,44.52,20550000.0,-0.0126
2000-02-14,44.79,44.58,45.31,44.52,14540000.0,0.004699999999999999
2000-02-15,45.83,44.67,46.33,44.65,18820000.0,0.0232
2000-02-16,45.22,45.54,45.65,44.79,14530000.0,-0.013300000000000001
2000-02-17,43.67,44.96,45.21,43.33,28920000.0,-0.034300000000000004
2000-02-18,41.71,43.67,43.98,41.65,35330000.0,-0.0449
2000-02-22,43.21,42.08,43.33,41.69,27230000.0,0.036000000000000004
2000-02-23,43.5,43.33,44.31,42.79,21960000.0,0.0067
2000-02-24,43.67,43.44,44.31,42.02,27620000.0,0.0039000000000000003
2000-02-25,42.04,43.17,43.65,41.9,26670000.0,-0.0373
2000-02-28,43.15,42.0,44.08,42.0,27040000.0,0.0264
2000-02-29,44.12,43.54,44.67,43.37,22580000.0,0.0225
2000-03-01,43.79,44.5,44.62,43.58,26690000.0,-0.0075
2000-03-02,45.07,43.79,45.37,43.62,19880000.0,0.0292
2000-03-03,46.46,45.75,46.83,45.69,23760000.0,0.0308
2000-03-06,45.81,46.5,46.5,44.87,18500000.0,-0.013999999999999999
2000-03-07,43.31,45.79,45.79,43.21,29630000.0,-0.0546
2000-03-08,43.44,43.42,44.15,43.02,23920000.0,0.003
2000-03-09,43.0,43.44,44.0,42.4,18910000.0,-0.0101
2000-03-10,43.9,43.62,44.69,43.33,20700000.0,0.0209
2000-03-13,43.15,43.0,43.5,42.54,19280000.0,-0.0171
2000-03-14,42.33,43.21,43.25,42.27,19070000.0,-0.019
2000-03-15,44.52,42.29,44.9,42.08,25910000.0,0.051699999999999996
2000-03-16,46.33,44.56,46.48,44.5,30000000.0,0.0407
2000-03-17,46.62,46.04,47.15,45.73,31860000.0,0.0063
2000-03-20,46.98,46.62,47.25,45.87,15600000.0,0.0077
2000-03-21,50.17,46.25,50.48,46.02,37140000.0,0.0679
2000-03-22,50.29,50.17,50.65,49.54,21710000.0,0.0024
2000-03-23,53.33,50.5,53.33,50.31,31320000.0,0.0604
2000-03-24,53.02,52.54,53.25,51.98,23080000.0,-0.0058
