Date,Close,Open,High,Low,Volume,Change
2000-01-03,12.25,12.64,12.64,12.08,633600.0,-0.0285
2000-01-04,11.78,12.13,12.13,11.37,844400.0,-0.0384
2000-01-05,11.66,11.81,11.81,11.46,405800.0,-0.0102
2000-01-06,11.57,11.72,11.75,11.46,406600.0,-0.0077
2000-01-07,11.81,11.69,11.81,11.51,459800.0,0.0207
2000-01-10,11.81,11.87,11.99,11.75,820800.0,0.0
2000-01-11,11.51,11.63,11.75,11.22,596800.0,-0.0254
2000-01-12,11.84,11.81,12.05,11.78,1010000.0,0.0287
2000-01-13,12.99,11.84,13.14,11.78,1420000.0,0.0971
2000-01-14,13.82,12.93,13.82,12.75,1010000.0,0.0639
2000-01-18,13.32,13.58,13.96,13.05,901800.0,-0.0362
2000-01-19,13.11,12.96,13.11,12.55,831400.0,-0.0158
2000-01-20,13.7,13.05,13.99,13.05,1480000.0,0.045
2000-01-21,13.61,13.94,14.02,13.52,1000000.0,-0.0066
2000-01-24,13.43,13.64,14.08,13.29,1280000.0,-0.0132
2000-01-25,13.76,13.55,13.76,13.32,713600.0,0.0246
2000-01-26,15.12,13.4,15.23,13.4,2450000.0,0.09880000000000001
2000-01-27,15.44,15.12,15.74,15.09,1880000.0,0.0212
2000-01-28,14.61,15.41,15.41,13.88,1130000.0,-0.0538
2000-01-31,13.7,14.38,14.41,13.7,1100000.0,-0.0623
2000-02-01,14.85,13.99,15.12,13.82,1100000.0,0.0839
2000-02-02,14.56,14.85,14.88,14.26,687200.0,-0.0195
2000-02-03,15.03,14.94,15.12,14.44,881400.0,0.0323
2000-02-04,15.12,14.91,15.18,14.85,727200.0,0.006
2000-02-07,14.94,14.82,15.29,14.82,451600.0,-0.011899999999999999
2000-02-08,15.06,15.06,15.29,14.91,559000.0,0.008
2000-02-09,15.71,15.06,16.45,15.0,1510000.0,0.0432
2000-02-10,15.53,15.77,15.83,15.23,1170000.0,-0.0115
2000-02-11,14.97,15.35,15.35,14.47,794000.0,-0.0361
2000-02-14,15.15,15.03,15.44,14.97,1060000.0,0.012
2000-02-15,15.35,15.21,15.47,15.12,888200.0,0.0132
2000-02-16,15.09,15.35,15.35,15.0,1020000.0,-0.0169
2000-02-17,14.94,15.03,15.12,14.73,518000.0,-0.009899999999999999
2000-02-18,14.88,14.91,14.97,14.76,290800.0,-0.004
2000-02-22,14.5,14.58,14.58,13.64,1040000.0,-0.0255
2000-02-23,14.29,14.38,14.88,14.14,2150000.0,-0.014499999999999999
2000-02-24,14.94,14.44,15.12,14.41,1810000.0,0.0455
2000-02-25,14.91,14.88,15.0,14.73,1160000.0,-0.002
2000-02-28,14.67,14.88,14.88,14.5,406400.0,-0.0161
2000-02-29,15.06,14.88,15.06,14.61,980400.0,0.026600000000000002
2000-03-01,14.61,15.0,15.12,14.56,899000.0,-0.029900000000000003
2000-03-02,16.12,14.5,16.12,14.5,1150000.0,0.10339999999999999
2000-03-03,16.0,16.09,16.36,15.71,731000.0,-0.0074
2000-03-06,16.36,15.88,16.62,15.83,568800.0,0.0225
2000-03-07,15.77,16.36,16.74,15.71,611800.0,-0.0361
2000-03-08,15.74,15.77,16.03,15.29,729800.0,-0.0019
2000-03-09,17.01,15.83,17.01,15.77,3300000.0,0.08070000000000001
2000-03-10,17.3,17.01,17.66,16.95,1380000.0,0.017
2000-03-13,17.89,16.95,18.31,16.74,1410000.0,0.0341
2000-03-14,16.86,18.25,18.6,16.83,1510000.0,-0.0576
2000-03-15,17.92,17.07,18.36,17.07,1630000.0,0.0629
2000-03-16,18.42,18.13,18.54,18.1,1740000.0,0.0279
2000-03-17,17.51,17.95,18.42,17.48,567600.0,-0.049400000000000006
2000-03-20,17.18,17.63,17.74,16.74,580600.0,-0.018799999999999997
2000-03-21,16.95,17.01,17.18,16.77,687400.0,-0.0134
2000-03-22,17.69,17.01,18.48,16.98,2320000.0,0.0437
2000-03-23,18.42,17.66,18.54,17.45,960200.0,0.041299999999999996
2000-03-24,17.86,18.39,18.39,17.66,1180000.0,-0.0304
2000-03-27,16.92,17.83,17.86,16.8,590200.0,-0.0526
2000-03-28,16.47,16.89,16.98,16.06,1220000.0,-0.026600000000000002
2000-03-29,15.74,16.18,16.42,15.65,1330000.0,-0.0443
2000-03-30,15.85,15.68,15.88,15.5,1490000.0,0.006999999999999999
2000-03-31,16.33,15.88,16.42,15.85,1630000.0,0.030299999999999997
2000-04-03,15.12,16.21,16.21,14.53,842800.0,-0.0741
2000-04-04,14.29,15.59,15.59,13.4,1630000.0,-0.054900000000000004
2000-04-05,14.67,14.26,14.94,14.26,1190000.0,0.026600000000000002
2000-04-06,14.64,14.67,15.12,14.41,1350000.0,-0.002
2000-04-07,15.03,14.88,15.09,14.7,1040000.0,0.026600000000000002
2000-04-10,14.44,14.73,15.35,14.29,763000.0,-0.0393
2000-04-11,14.26,14.7,14.73,14.17,601000.0,-0.0125
2000-04-12,13.64,14.05,14.17,13.64,379400.0,-0.0435
2000-04-13,13.61,13.76,14.17,13.55,770600.0,-0.0022
2000-04-14,13.17,13.32,13.4,12.64,1340000.0,-0.0323
2000-04-17,13.2,13.17,13.23,12.58,705000.0,0.0023
2000-04-18,13.32,13.2,13.49,13.05,737000.0,0.0091
2000-04-19,13.37,13.43,13.76,13.26,557400.0,0.0038
2000-04-20,13.49,13.7,13.85,13.29,608400.0,0.009000000000000001
2000-04-24,13.05,13.43,13.46,12.9,519000.0,-0.0326
2000-04-25,13.4,13.23,13.52,13.23,606400.0,0.0268
2000-04-26,14.7,13.29,14.82,13.29,1820000.0,0.09699999999999999
2000-04-27,14.47,14.47,14.7,14.14,1050000.0,-0.015600000000000001
2000-04-28,15.26,14.29,15.38,14.29,910400.0,0.0546
2000-05-01,15.26,15.15,15.44,15.03,418600.0,0.0
2000-05-02,14.94,15.21,15.41,14.88,578600.0,-0.021
2000-05-03,14.79,14.64,15.0,14.58,915800.0,-0.01
2000-05-04,16.27,14.85,16.53,14.82,1420000.0,0.1001
2000-05-05,16.92,16.15,17.01,16.12,848800.0,0.04
2000-05-08,16.77,17.01,17.36,16.71,1620000.0,-0.0089
2000-05-09,16.15,16.42,16.56,15.91,592000.0,-0.037000000000000005
2000-05-10,15.06,15.88,15.88,15.0,849600.0,-0.0675
2000-05-11,15.35,15.18,15.5,15.06,669600.0,0.019299999999999998
2000-05-12,15.56,15.53,15.91,15.5,411800.0,0.0137
2000-05-15,15.12,15.44,15.44,14.73,648000.0,-0.028300000000000002
2000-05-16,15.29,15.35,15.56,15.21,319800.0,0.011200000000000002
