Date,Close,Open,High,Low,Volume,Change
2000-01-03,20.25,22.0,22.31,20.25,3010000.0,-0.0745
2000-01-04,20.94,20.0,21.31,20.0,3590000.0,0.0341
2000-01-05,21.06,21.25,21.62,20.5,1720000.0,0.005699999999999999
2000-01-06,21.38,21.0,21.75,21.0,1750000.0,0.0152
2000-01-07,21.44,21.75,22.06,21.19,2200000.0,0.0028000000000000004
2000-01-10,20.62,21.38,21.5,20.56,1360000.0,-0.0382
2000-01-11,19.94,20.5,20.75,19.75,2240000.0,-0.033
2000-01-12,21.19,20.0,21.25,20.0,3560000.0,0.06269999999999999
2000-01-13,20.75,21.44,21.44,20.56,2870000.0,-0.0208
2000-01-14,20.5,20.75,20.94,20.5,1610000.0,-0.012
2000-01-18,20.0,21.0,21.25,19.75,3790000.0,-0.024399999999999998
2000-01-19,20.69,20.06,20.75,20.0,2270000.0,0.0345
2000-01-20,20.56,20.5,20.69,20.38,2320000.0,-0.0063
2000-01-21,21.0,20.75,21.19,20.62,2340000.0,0.021400000000000002
2000-01-24,19.56,20.94,21.06,19.56,1920000.0,-0.06860000000000001
2000-01-25,19.25,19.56,19.94,19.12,2020000.0,-0.0158
2000-01-26,20.06,19.44,20.06,19.25,2020000.0,0.0421
2000-01-27,19.44,19.94,20.0,19.0,2240000.0,-0.030899999999999997
2000-01-28,18.88,19.0,19.94,18.31,2210000.0,-0.0288
2000-01-31,18.5,18.31,18.88,18.19,1530000.0,-0.020099999999999996
2000-02-01,18.69,18.75,18.88,18.38,737300.0,0.0103
2000-02-02,18.69,18.44,18.81,18.19,1630000.0,0.0
2000-02-03,18.62,18.62,18.94,18.5,1830000.0,-0.0037
2000-02-04,19.12,18.75,19.31,18.38,2009999.9999999998,0.0269
2000-02-07,18.75,19.25,19.5,18.25,1630000.0,-0.0194
2000-02-08,18.38,18.31,18.38,17.88,2110000.0,-0.0197
2000-02-09,18.38,17.88,18.5,17.88,1860000.0,0.0
2000-02-10,18.31,18.06,18.5,18.06,1810000.0,-0.0038
2000-02-11,17.5,18.12,18.31,17.38,1820000.0,-0.044199999999999996
2000-02-14,18.06,17.75,18.12,17.5,1840000.0,0.032
2000-02-15,18.12,18.0,18.19,17.81,1270000.0,0.0033
2000-02-16,17.75,17.5,18.06,17.5,1630000.0,-0.0204
2000-02-17,18.0,17.94,18.25,17.81,4410000.0,0.0141
2000-02-18,17.44,17.75,17.88,17.0,1650000.0,-0.0311
2000-02-22,18.0,17.06,18.0,17.06,1410000.0,0.0321
2000-02-23,17.81,17.94,17.94,17.5,1360000.0,-0.0106
2000-02-24,17.56,17.62,17.69,17.19,1250000.0,-0.013999999999999999
2000-02-25,17.75,17.62,17.94,17.56,1690000.0,0.0108
2000-02-28,17.5,17.56,17.62,17.12,1020000.0,-0.0141
2000-02-29,17.44,17.44,17.88,17.12,1290000.0,-0.0034000000000000002
2000-03-01,17.69,17.44,17.69,17.38,1330000.0,0.0143
2000-03-02,17.12,17.5,17.56,17.0,1400000.0,-0.0322
2000-03-03,17.0,17.06,17.19,16.88,1730000.0,-0.006999999999999999
2000-03-06,18.0,17.75,18.25,17.75,3780000.0,0.0588
2000-03-07,17.31,18.0,18.0,17.31,1290000.0,-0.0383
2000-03-08,17.62,17.25,17.62,17.25,2049999.9999999998,0.0179
2000-03-09,17.12,17.5,17.5,17.0,1710000.0,-0.028399999999999998
2000-03-10,16.81,17.12,17.12,16.69,2630000.0,-0.0181
2000-03-13,16.94,16.81,17.0,16.62,1430000.0,0.0077
2000-03-14,16.62,17.0,17.0,16.5,1850000.0,-0.0189
2000-03-15,17.12,16.62,17.19,16.5,4059999.9999999995,0.0301
2000-03-16,18.06,17.19,18.25,17.0,3770000.0,0.054900000000000004
2000-03-17,18.0,18.06,18.75,17.62,6520000.0,-0.0033
2000-03-20,17.76,18.0,18.0,17.62,1100000.0,-0.013300000000000001
2000-03-21,17.31,17.25,17.62,17.06,1440000.0,-0.0253
2000-03-22,17.12,17.25,17.31,16.94,1420000.0,-0.011000000000000001
2000-03-23,17.06,17.06,17.38,16.94,918700.0,-0.0034999999999999996
2000-03-24,17.5,17.06,17.75,17.06,2170000.0,0.0258
2000-03-27,17.81,17.5,17.88,17.25,1700000.0,0.0177
2000-03-28,18.75,18.25,19.19,18.06,3680000.0,0.0528
2000-03-29,19.25,18.56,19.25,18.31,3300000.0,0.026699999999999998
2000-03-30,20.88,19.75,21.25,19.5,4670000.0,0.08470000000000001
2000-03-31,20.44,21.06,21.06,19.69,2370000.0,-0.021099999999999997
2000-04-03,20.44,20.06,20.88,20.06,1050000.0,0.0
2000-04-04,20.31,21.0,21.69,20.12,2550000.0,-0.0064
2000-04-05,20.94,20.31,21.62,20.31,1360000.0,0.031
2000-04-06,21.19,21.75,22.06,20.62,2200000.0,0.011899999999999999
2000-04-07,21.06,21.31,21.5,20.69,1330000.0,-0.0060999999999999995
2000-04-10,21.12,20.5,21.19,20.31,1260000.0,0.0028000000000000004
2000-04-11,20.88,20.94,21.19,20.88,1370000.0,-0.011399999999999999
2000-04-12,22.06,20.94,22.19,20.94,2870000.0,0.0565
2000-04-13,21.62,21.38,22.0,21.06,3730000.0,-0.0199
2000-04-14,20.69,21.19,21.25,20.38,2420000.0,-0.043
2000-04-17,21.31,20.62,21.31,19.81,2160000.0,0.03
2000-04-18,21.0,21.12,21.12,20.62,1430000.0,-0.014499999999999999
2000-04-19,20.88,20.94,21.25,20.81,1110000.0,-0.005699999999999999
2000-04-20,22.69,21.75,22.88,21.56,2880000.0,0.0867
2000-04-24,25.88,22.38,25.94,22.31,5210000.0,0.1406
2000-04-25,25.56,25.88,26.44,24.5,5010000.0,-0.0124
2000-04-26,24.12,24.75,24.88,23.81,3440000.0,-0.056299999999999996
2000-04-27,23.88,24.0,24.44,23.38,1760000.0,-0.01
2000-04-28,24.88,24.0,26.06,24.0,3420000.0,0.04190000000000001
2000-05-01,27.0,24.25,27.31,24.12,2700000.0,0.0852
2000-05-02,26.06,26.25,26.69,26.0,2300000.0,-0.0348
2000-05-03,25.56,25.81,26.31,25.38,1440000.0,-0.0192
2000-05-04,26.31,25.56,27.12,25.5,1660000.0,0.029300000000000003
2000-05-05,26.19,25.75,26.19,25.62,1750000.0,-0.0046
2000-05-08,26.06,26.0,26.25,25.75,1040000.0,-0.005
2000-05-09,26.0,25.81,26.25,25.75,765900.0,-0.0023
2000-05-10,26.06,25.81,26.25,25.75,1190000.0,0.0023
2000-05-11,26.19,26.0,26.44,25.94,846200.0,0.005
2000-05-12,25.81,25.62,26.12,25.56,814300.0,-0.014499999999999999
2000-05-15,25.62,25.69,25.94,25.38,682000.0,-0.0074
2000-05-16,25.19,24.75,25.38,24.69,1050000.0,-0.0168
2000-05-17,24.56,24.94,25.38,24.5,2000000.0,-0.025
2000-05-18,24.88,24.44,25.19,24.44,2069999.9999999998,0.013000000000000001
2000-05-19,24.31,24.12,24.56,23.62,1290000.0,-0.0229
2000-05-22,23.56,24.38,24.69,23.25,1280000.0,-0.030899999999999997
2000-05-23,25.12,24.25,25.31,23.62,1110000.0,0.0662
2000-05-24,25.06,25.0,25.31,24.5,2029999.9999999998,-0.0024
2000-05-25,24.31,24.81,25.06,24.06,822600.0,-0.029900000000000003
2000-05-26,24.06,24.56,24.75,23.88,501000.0,-0.0103
2000-05-30,24.75,24.31,25.0,24.19,1200000.0,0.0287
2000-05-31,24.69,24.88,24.94,23.81,947700.0,-0.0024
2000-06-01,25.06,24.38,25.06,24.19,876900.0,0.015
2000-06-02,25.94,25.31,26.06,25.31,1610000.0,0.0351
2000-06-05,25.88,25.94,25.94,25.5,1070000.0,-0.0023
2000-06-06,25.94,26.0,26.25,25.69,937000.0,0.0023
2000-06-07,25.38,25.94,25.94,24.88,514400.0,-0.0216
2000-06-08,24.75,24.88,25.5,24.25,1070000.0,-0.0248
2000-06-09,25.31,24.88,25.44,24.81,891100.0,0.0226
2000-06-12,25.56,25.44,25.94,25.31,998100.0,0.009899999999999999
