Date,Close,Open,High,Low,Volume,Change
2000-01-03,18.09,19.25,19.25,17.38,367000.0,-0.0603
2000-01-04,17.81,18.19,18.19,17.44,175200.0,-0.0155
2000-01-05,18.09,17.81,18.25,17.56,213800.0,0.015700000000000002
2000-01-06,18.0,17.97,18.06,17.66,511800.0,-0.005
2000-01-07,18.72,18.12,18.88,17.97,339800.0,0.04
2000-01-10,18.19,19.06,19.06,18.12,297400.0,-0.028300000000000002
2000-01-11,18.0,18.28,18.38,17.97,239400.0,-0.0104
2000-01-12,18.0,18.09,18.44,17.84,187400.0,0.0
2000-01-13,17.94,18.0,18.09,17.78,272600.0,-0.0033
2000-01-14,17.72,18.0,18.09,17.5,330600.0,-0.0123
2000-01-18,17.44,17.66,17.75,17.31,247000.0,-0.0158
2000-01-19,17.44,17.47,17.69,17.34,162400.0,0.0
2000-01-20,17.12,17.44,17.62,16.97,189800.0,-0.0183
2000-01-21,17.28,17.38,17.44,17.03,183200.0,0.009300000000000001
2000-01-24,16.5,17.16,17.25,16.28,476800.0,-0.0451
2000-01-25,15.97,16.75,16.75,15.62,716800.0,-0.0321
2000-01-26,15.91,16.06,16.25,15.78,289400.0,-0.0038
2000-01-27,16.44,16.03,16.81,15.94,661400.0,0.0333
2000-01-28,16.38,16.44,16.56,16.06,260000.0,-0.0036
2000-01-31,16.75,16.5,17.12,16.12,657200.0,0.0226
2000-02-01,16.84,16.88,17.12,16.62,342600.0,0.0054
2000-02-02,17.16,17.12,17.75,17.12,732200.0,0.019
2000-02-03,17.22,17.06,17.44,16.91,589200.0,0.0034999999999999996
2000-02-04,17.28,17.19,17.44,17.19,271200.0,0.0034999999999999996
2000-02-07,18.34,17.56,18.69,17.38,774800.0,0.0613
2000-02-08,18.0,18.47,19.0,17.81,526800.0,-0.018500000000000003
2000-02-09,18.03,18.0,18.19,17.62,396000.0,0.0017000000000000001
2000-02-10,17.94,17.97,18.0,17.66,414800.0,-0.005
2000-02-11,17.19,18.12,18.12,17.19,154200.0,-0.0418
2000-02-14,17.94,17.38,17.97,17.31,376400.0,0.0436
2000-02-15,17.81,17.81,18.12,17.47,595000.0,-0.0072
2000-02-16,18.06,17.84,18.34,17.84,388400.0,0.013999999999999999
2000-02-17,17.75,18.12,18.22,17.75,239600.0,-0.0172
2000-02-18,17.97,17.69,18.12,17.66,278600.0,0.0124
2000-02-22,18.31,18.72,18.81,18.16,390600.0,0.0189
2000-02-23,18.38,18.25,18.38,17.88,260200.0,0.0038
2000-02-24,17.31,18.28,18.28,17.03,433600.0,-0.0582
2000-02-25,17.22,17.31,17.47,16.94,258800.0,-0.0052
2000-02-28,17.09,17.16,17.22,16.88,289400.0,-0.0075
2000-02-29,17.19,17.38,17.88,17.03,503400.0,0.0059
