Date,Close,Open,High,Low,Volume,Change
2000-01-03,18.79,18.83,18.83,18.17,96000.0,-0.0021
2000-01-04,18.75,18.63,18.75,18.33,246450.0,-0.0021
2000-01-05,19.04,18.58,19.25,18.5,219900.0,0.0155
2000-01-06,18.66,18.96,19.17,18.66,159900.0,-0.02
2000-01-07,18.58,19.08,19.08,18.25,98250.0,-0.0043
2000-01-10,18.71,18.5,18.71,17.92,92250.0,0.006999999999999999
2000-01-11,19.54,18.88,20.25,18.88,268950.0,0.0444
2000-01-12,19.83,19.63,20.08,19.46,130650.0,0.0148
2000-01-13,19.92,19.92,19.96,19.63,254100.0,0.0045000000000000005
2000-01-14,20.25,20.0,20.33,19.96,233700.0,0.0166
2000-01-18,19.54,20.21,20.21,19.5,114000.0,-0.0351
2000-01-19,19.88,19.5,19.92,18.71,124050.0,0.0174
2000-01-20,24.04,23.25,25.33,22.71,1950000.0,0.20929999999999999
2000-01-21,23.5,24.21,24.92,23.0,477000.0,-0.0225
2000-01-24,23.5,23.67,24.08,23.08,245100.0,0.0
2000-01-25,23.79,23.58,24.5,23.38,202050.0,0.0123
2000-01-26,23.79,23.75,23.79,23.46,136050.0,0.0
2000-01-27,22.75,23.83,23.83,22.67,77550.0,-0.0437
2000-01-28,22.42,22.75,22.75,22.25,71400.0,-0.014499999999999999
2000-01-31,21.83,22.25,22.25,21.63,61200.0,-0.0263
2000-02-01,22.38,21.75,22.75,21.67,205350.0,0.0252
2000-02-02,23.25,22.42,23.25,22.25,413550.0,0.038900000000000004
2000-02-03,23.38,23.21,23.83,23.0,336000.0,0.005600000000000001
2000-02-04,22.75,23.46,23.46,22.67,178350.0,-0.0269
2000-02-07,23.0,22.83,23.17,22.83,98400.0,0.011000000000000001
2000-02-08,23.92,23.04,23.96,23.04,204300.0,0.04
2000-02-09,24.42,24.0,25.25,23.96,326850.0,0.0209
2000-02-10,24.0,24.42,24.83,23.92,94500.0,-0.0172
2000-02-11,23.79,24.04,24.17,23.67,42150.0,-0.0087
2000-02-14,23.42,23.63,23.63,23.33,143400.0,-0.015600000000000001
2000-02-15,23.25,23.25,23.42,23.13,129449.99999999999,-0.0073
2000-02-16,23.0,23.33,23.33,23.0,138300.0,-0.0108
2000-02-17,22.96,23.08,23.17,22.79,123600.0,-0.0017000000000000001
2000-02-18,23.54,23.0,23.67,22.92,286050.0,0.0253
2000-02-22,24.75,23.58,25.33,23.58,513150.0,0.051399999999999994
2000-02-23,26.88,25.25,27.25,25.21,1290000.0,0.0861
2000-02-24,26.5,27.83,27.92,26.33,646200.0,-0.0141
2000-02-25,25.92,26.5,26.67,25.71,272100.0,-0.0219
2000-02-28,26.04,26.0,26.29,25.67,233100.0,0.0046
2000-02-29,27.0,26.17,27.25,26.08,462900.0,0.0369
2000-03-01,29.33,27.25,29.67,27.21,1310000.0,0.0863
2000-03-02,31.33,29.5,32.0,29.33,1220000.0,0.0682
2000-03-03,30.92,31.63,31.67,30.67,423900.0,-0.0131
2000-03-06,30.5,31.08,31.17,30.17,185400.0,-0.013600000000000001
2000-03-07,30.67,30.67,31.17,29.83,589350.0,0.005600000000000001
2000-03-08,31.25,30.83,31.5,30.58,366900.0,0.0189
2000-03-09,31.0,31.42,31.54,30.33,520049.99999999994,-0.008
2000-03-10,33.83,31.83,34.42,31.79,811800.0,0.0913
2000-03-13,34.83,33.83,35.5,33.17,797700.0,0.0296
2000-03-14,36.63,36.67,37.5,36.25,743700.0,0.051699999999999996
2000-03-15,37.71,37.0,37.92,34.17,906000.0,0.029500000000000002
2000-03-16,38.63,37.63,38.67,37.33,642450.0,0.024399999999999998
2000-03-17,39.42,38.67,39.63,38.67,320700.0,0.020499999999999997
2000-03-20,39.08,39.79,40.0,39.0,415650.0,-0.0086
2000-03-21,38.5,38.92,39.0,38.29,700050.0,-0.0148
2000-03-22,37.67,38.33,38.33,37.33,495150.0,-0.0216
2000-03-23,41.33,37.5,41.33,37.42,815100.0,0.09720000000000001
2000-03-24,43.33,41.33,43.75,41.33,516299.99999999994,0.0484
2000-03-27,42.0,45.25,46.83,42.0,1010000.0,-0.030699999999999998
2000-03-28,40.0,42.08,42.33,39.83,538050.0,-0.047599999999999996
2000-03-29,38.71,40.0,40.08,37.83,504450.0,-0.0323
2000-03-30,40.0,38.75,40.58,38.17,648600.0,0.0333
2000-03-31,40.46,40.5,41.33,40.0,456300.0,0.0115
2000-04-03,42.0,40.83,42.63,40.5,467250.0,0.0381
2000-04-04,35.92,42.0,42.21,35.33,884100.0,-0.1448
2000-04-05,39.25,35.92,39.75,34.0,769350.0,0.09269999999999999
2000-04-06,41.08,39.42,41.25,39.25,534450.0,0.0466
2000-04-07,40.79,41.25,42.0,39.5,524850.0,-0.0070999999999999995
2000-04-10,41.94,41.38,43.44,40.12,240300.0,0.0282
2000-04-11,40.0,41.75,41.75,39.56,419600.0,-0.0463
2000-04-12,41.5,40.25,42.88,40.19,277000.0,0.0375
2000-04-13,40.25,41.5,42.0,39.0,347100.0,-0.0301
2000-04-14,39.25,39.25,39.25,37.0,692300.0,-0.0248
2000-04-17,37.38,38.5,38.75,36.25,587300.0,-0.047599999999999996
2000-04-18,39.31,37.0,39.69,36.75,371800.0,0.0516
2000-04-19,41.0,39.56,41.38,39.0,288900.0,0.043
2000-04-20,42.0,41.06,42.69,41.06,226200.0,0.024399999999999998
2000-04-24,39.5,41.75,41.81,39.19,288900.0,-0.059500000000000004
2000-04-25,41.75,39.5,41.81,39.5,211000.0,0.057
2000-04-26,40.25,41.75,42.56,39.88,168500.0,-0.0359
2000-04-27,41.44,40.31,41.69,39.5,133000.0,0.0296
2000-04-28,46.44,41.62,47.0,41.62,638900.0,0.1207
2000-05-01,49.75,46.62,49.75,46.62,576800.0,0.0713
2000-05-02,49.19,49.75,50.5,49.0,420800.0,-0.0113
2000-05-03,47.69,48.94,48.94,46.81,350100.0,-0.0305
2000-05-04,52.62,53.0,54.0,50.31,1430000.0,0.10339999999999999
2000-05-05,55.62,52.88,57.88,52.38,875900.0,0.057
