Date,Close,Open,High,Low,Volume,Change
2000-01-03,13.97,14.41,14.41,13.78,474400.0,-0.0217
2000-01-04,13.22,14.0,14.0,13.16,285400.0,-0.0537
2000-01-05,12.97,13.0,13.0,12.69,608200.0,-0.0189
2000-01-06,12.97,12.97,12.97,12.34,962400.0,0.0
2000-01-07,13.22,13.12,13.22,12.81,696200.0,0.019299999999999998
2000-01-10,13.31,13.22,13.59,13.22,1860000.0,0.0068000000000000005
2000-01-11,13.16,13.19,13.31,12.94,1090000.0,-0.0113
2000-01-12,13.12,13.16,13.16,12.84,325200.0,-0.003
2000-01-13,13.09,13.0,13.16,13.0,634800.0,-0.0023
2000-01-14,12.84,13.09,13.31,12.75,1090000.0,-0.0191
2000-01-18,12.69,12.72,12.78,12.53,657400.0,-0.011699999999999999
2000-01-19,12.97,12.69,13.06,12.5,1380000.0,0.022099999999999998
2000-01-20,12.75,12.94,12.94,12.47,842600.0,-0.017
2000-01-21,12.78,13.0,13.0,12.53,768400.0,0.0024
2000-01-24,13.44,12.69,13.5,12.69,1610000.0,0.0516
2000-01-25,14.0,13.69,14.12,13.06,1080000.0,0.0417
2000-01-26,19.03,18.5,20.06,17.53,6550000.0,0.3593
2000-01-27,20.28,19.0,20.62,18.94,3560000.0,0.06570000000000001
2000-01-28,20.0,20.12,20.19,19.72,1900000.0,-0.0138
2000-01-31,19.31,19.78,20.19,19.31,1700000.0,-0.0345
2000-02-01,20.0,19.38,20.0,19.0,2200000.0,0.035699999999999996
2000-02-02,19.62,19.97,19.97,19.53,944800.0,-0.019
2000-02-03,20.19,19.69,20.5,19.69,2069999.9999999998,0.0291
2000-02-04,19.97,20.31,20.31,19.84,540200.0,-0.0109
2000-02-07,20.56,20.0,20.62,19.84,899200.0,0.029500000000000002
2000-02-08,21.59,21.25,22.0,21.06,836000.0,0.0501
2000-02-09,22.88,21.5,23.78,21.5,1690000.0,0.059699999999999996
2000-02-10,22.41,22.88,23.0,22.19,629200.0,-0.020499999999999997
2000-02-11,22.0,22.53,22.72,21.62,808800.0,-0.0183
2000-02-14,21.66,22.0,22.22,21.62,673400.0,-0.0155
