Date,Close,Open,High,Low,Volume,Change
2000-01-03,26.88,26.75,27.44,26.75,536000.0,0.012
2000-01-04,26.56,27.12,27.25,26.0,258899.99999999997,-0.011899999999999999
2000-01-05,25.56,26.5,26.62,25.25,189400.0,-0.0377
2000-01-06,25.62,25.56,25.88,25.25,213300.0,0.0023
2000-01-07,26.25,25.75,26.31,25.06,796400.0,0.0246
2000-01-10,25.75,26.5,26.5,25.69,297300.0,-0.019
2000-01-11,26.12,26.06,26.5,25.81,230500.0,0.0144
2000-01-12,26.94,26.25,27.06,26.25,604700.0,0.031400000000000004
2000-01-13,27.25,26.94,27.31,26.56,220200.0,0.0115
2000-01-14,27.12,27.38,27.5,27.06,502200.0,-0.0048
2000-01-18,27.5,27.25,27.62,27.12,336000.0,0.013999999999999999
2000-01-19,27.38,27.69,27.69,27.38,371400.0,-0.0044
2000-01-20,27.19,27.5,27.56,27.12,212000.0,-0.0069
2000-01-21,26.69,27.25,27.31,26.44,361200.0,-0.0184
2000-01-24,26.31,26.81,26.94,26.31,201000.0,-0.014199999999999999
2000-01-25,25.75,26.25,26.31,25.5,286300.0,-0.0213
2000-01-26,25.62,25.75,25.88,25.06,243600.0,-0.005
2000-01-27,26.5,25.81,26.56,25.81,265100.0,0.034300000000000004
2000-01-28,26.38,26.5,26.75,26.38,405700.0,-0.0045000000000000005
2000-01-31,26.88,26.56,27.0,26.44,316100.0,0.019
2000-02-01,26.44,27.12,27.31,26.19,362200.0,-0.016399999999999998
2000-02-02,26.62,26.44,26.75,26.44,214100.0,0.0068000000000000005
2000-02-03,27.19,26.75,27.44,26.75,298800.0,0.021400000000000002
2000-02-04,26.94,27.38,27.38,26.88,355900.0,-0.0092
2000-02-07,26.38,27.0,27.0,26.25,165900.0,-0.0208
2000-02-08,25.81,26.5,26.75,25.69,245000.0,-0.0216
2000-02-09,24.88,25.81,25.81,24.75,337200.0,-0.036000000000000004
2000-02-10,24.31,24.88,24.88,24.0,284400.0,-0.0229
2000-02-11,23.88,24.44,24.62,23.81,200800.0,-0.0177
2000-02-14,23.75,24.0,24.31,23.75,185100.0,-0.0054
2000-02-15,24.25,23.94,24.25,23.31,373300.0,0.021099999999999997
2000-02-16,23.69,23.94,24.0,23.44,129300.00000000001,-0.0231
2000-02-17,23.69,23.56,23.69,23.12,136600.0,0.0
2000-02-18,22.56,23.44,23.5,22.19,306300.0,-0.04769999999999999
2000-02-22,22.94,22.75,23.0,22.38,160700.0,0.0168
2000-02-23,22.5,23.0,23.38,22.5,131700.0,-0.0192
2000-02-24,22.12,22.69,22.69,22.06,143400.0,-0.0169
2000-02-25,22.31,22.31,22.5,22.12,482900.0,0.0086
2000-02-28,22.44,22.62,22.62,22.19,179200.0,0.0058
2000-02-29,21.81,22.19,22.62,21.81,349400.0,-0.0281
2000-03-01,22.31,22.19,22.62,22.12,190700.0,0.0229
2000-03-02,22.38,22.31,22.94,22.12,165100.0,0.0031
2000-03-03,22.94,23.25,23.81,22.88,358200.0,0.025
2000-03-06,22.5,23.06,23.25,22.38,187000.0,-0.0192
2000-03-07,21.25,22.25,22.25,21.06,229400.0,-0.0556
2000-03-08,22.12,21.12,22.12,20.88,274200.0,0.0409
2000-03-09,23.31,22.62,23.31,22.12,479700.0,0.0538
2000-03-10,24.31,23.56,24.75,23.31,669100.0,0.0429
2000-03-13,24.06,23.94,24.44,23.31,390000.0,-0.0103
2000-03-14,23.38,24.06,24.81,23.31,317400.0,-0.028300000000000002
2000-03-15,24.5,23.56,24.56,23.56,230800.0,0.0479
2000-03-16,26.25,24.69,26.25,24.69,298400.0,0.07139999999999999
2000-03-17,25.94,26.44,26.81,25.94,340400.0,-0.0118
2000-03-20,26.69,25.75,27.12,25.69,285500.0,0.028900000000000002
2000-03-21,25.81,26.44,26.5,25.38,253500.0,-0.033
2000-03-22,25.69,25.94,26.12,25.56,262500.0,-0.0046
2000-03-23,26.12,25.75,26.25,25.31,449300.0,0.0167
2000-03-24,26.06,25.75,26.12,25.12,231700.0,-0.0023
2000-03-27,25.12,26.62,26.81,25.12,195900.0,-0.0361
2000-03-28,25.12,25.0,25.31,24.75,213300.0,0.0
2000-03-29,25.25,25.06,25.44,24.88,157900.0,0.0052
2000-03-30,25.75,25.19,26.5,25.12,272500.0,0.019799999999999998
2000-03-31,26.19,25.56,26.31,25.25,223800.0,0.0171
2000-04-03,25.88,26.06,26.62,25.25,180900.0,-0.0118
2000-04-04,26.12,26.0,26.12,25.31,257500.0,0.009300000000000001
2000-04-05,25.5,26.12,26.25,25.25,264800.0,-0.023700000000000002
2000-04-06,25.81,25.62,26.25,25.19,419900.0,0.012199999999999999
2000-04-07,25.88,25.81,26.31,25.62,157400.0,0.0027
