Date,Close,Open,High,Low,Volume,Change
2000-01-03,28.75,29.88,30.12,28.56,297300.0,-0.0455
2000-01-04,28.12,28.5,28.94,27.94,127000.0,-0.0219
2000-01-05,27.75,28.12,28.25,27.62,121300.0,-0.0132
2000-01-06,27.62,27.56,28.5,27.38,225100.0,-0.004699999999999999
2000-01-07,28.12,27.62,28.12,27.38,222500.0,0.0181
2000-01-10,27.88,28.06,28.12,27.0,160800.0,-0.0085
2000-01-11,27.56,27.69,28.12,27.38,142000.0,-0.0115
2000-01-12,28.69,27.44,29.31,27.31,407000.0,0.040999999999999995
2000-01-13,28.75,28.69,29.0,28.69,135700.0,0.0021
2000-01-14,27.88,28.38,28.38,27.38,258700.0,-0.030299999999999997
2000-01-18,26.94,27.25,27.44,26.81,142700.0,-0.0337
2000-01-19,27.69,26.69,28.06,26.56,353800.0,0.0278
2000-01-20,27.0,27.62,29.12,26.94,335600.0,-0.024900000000000002
2000-01-21,26.06,27.12,27.12,25.69,180300.0,-0.0348
2000-01-24,25.5,26.06,26.06,25.38,122300.0,-0.0215
2000-01-25,25.12,25.5,25.5,24.56,174000.0,-0.0149
2000-01-26,24.5,25.06,25.12,24.0,226000.0,-0.024700000000000003
2000-01-27,25.25,25.5,26.12,25.19,308700.0,0.030600000000000002
2000-01-28,24.75,25.06,25.38,24.75,147800.0,-0.019799999999999998
2000-01-31,25.12,24.75,25.25,24.25,187700.0,0.0149
2000-02-01,25.12,25.25,25.56,25.06,272300.0,0.0
2000-02-02,25.94,25.25,26.38,25.25,395100.0,0.0326
2000-02-03,26.12,25.88,26.31,25.0,192500.0,0.0069
2000-02-04,25.62,26.12,26.38,25.44,524300.0,-0.0191
2000-02-07,24.94,25.62,25.62,24.69,199700.0,-0.0265
2000-02-08,24.94,25.12,25.56,24.81,174200.0,0.0
2000-02-09,24.31,24.81,24.94,24.25,232500.0,-0.0253
2000-02-10,23.81,24.31,24.44,23.5,251400.0,-0.0206
2000-02-11,23.19,23.75,23.75,23.19,149200.0,-0.026000000000000002
2000-02-14,23.62,23.25,24.06,23.25,204000.0,0.018500000000000003
2000-02-15,24.81,23.75,25.0,23.75,237700.0,0.0504
2000-02-16,24.56,24.38,25.0,24.31,480300.0,-0.0101
2000-02-17,24.62,24.44,25.06,24.44,152900.0,0.0024
2000-02-18,23.56,24.5,25.25,23.56,355000.0,-0.0431
2000-02-22,24.31,23.56,25.12,23.56,226900.0,0.0318
2000-02-23,23.5,24.19,24.19,23.5,210500.0,-0.0333
2000-02-24,22.75,23.75,23.75,22.25,283600.0,-0.0319
2000-02-25,22.69,22.75,23.5,22.5,185700.0,-0.0026
2000-02-28,22.88,22.69,23.38,22.38,171900.0,0.0084
2000-02-29,23.0,22.62,23.31,22.5,182500.0,0.0052
2000-03-01,23.06,22.88,23.44,22.88,195800.0,0.0026
2000-03-02,23.31,22.81,23.75,22.81,235700.0,0.0108
2000-03-03,24.25,23.12,24.69,22.81,226700.0,0.0403
2000-03-06,23.69,23.75,23.94,23.19,194600.0,-0.0231
2000-03-07,23.0,23.44,23.5,22.56,164700.0,-0.0291
2000-03-08,23.5,22.94,23.75,22.62,152700.0,0.0217
2000-03-09,23.88,23.25,23.94,23.12,129699.99999999999,0.016200000000000003
2000-03-10,24.25,24.06,24.94,23.88,258300.0,0.0155
2000-03-13,23.94,24.31,24.31,23.56,208000.0,-0.0128
2000-03-14,24.0,23.88,25.0,23.75,252100.0,0.0025
2000-03-15,25.19,24.0,25.69,23.38,173900.0,0.0496
2000-03-16,26.56,25.19,27.0,25.19,422800.0,0.054400000000000004
2000-03-17,26.0,26.44,26.44,25.81,415800.0,-0.021099999999999997
2000-03-20,25.44,25.75,25.88,25.0,225700.0,-0.0215
2000-03-21,24.81,25.19,25.31,24.75,314800.0,-0.0248
2000-03-22,24.81,24.94,25.0,24.38,390900.0,0.0
2000-03-23,25.19,24.56,25.5,24.38,1590000.0,0.015300000000000001
2000-03-24,25.38,25.44,26.38,25.25,251100.0,0.0075
2000-03-27,24.62,25.44,25.44,24.5,170800.0,-0.029900000000000003
2000-03-28,24.81,24.81,25.38,24.31,144700.0,0.0077
2000-03-29,25.62,24.81,26.19,24.81,418200.0,0.0326
2000-03-30,26.5,25.81,27.25,25.75,357200.0,0.034300000000000004
2000-03-31,26.38,26.5,27.0,26.0,438100.0,-0.0045000000000000005
2000-04-03,26.56,26.62,26.81,25.56,206900.0,0.0068000000000000005
2000-04-04,26.31,26.56,27.44,25.56,574200.0,-0.009399999999999999
2000-04-05,26.56,26.56,27.0,26.19,148400.0,0.0095
2000-04-06,27.12,26.75,27.56,26.75,142400.0,0.021099999999999997
2000-04-07,26.69,27.0,27.25,26.12,169900.0,-0.0159
2000-04-10,26.12,26.5,26.69,25.88,166600.0,-0.021400000000000002
2000-04-11,26.94,26.12,27.38,26.0,220900.0,0.031400000000000004
