Date,Close,Open,High,Low,Volume,Change
2006-03-16,21.16,21.01,21.23,20.83,649100.0,0.0070999999999999995
2006-03-17,21.81,21.14,21.9,21.06,287000.0,0.030699999999999998
2006-03-20,21.71,21.95,22.33,21.58,282800.0,-0.0046
2006-03-21,21.1,21.7,21.7,20.93,274700.0,-0.0281
2006-03-22,21.07,20.97,21.19,20.93,103000.0,-0.0014000000000000002
2006-03-23,21.01,21.01,21.1,20.92,106200.0,-0.0028000000000000004
2006-03-24,21.36,21.19,21.79,21.14,101300.0,0.0167
2006-03-27,21.58,21.49,22.45,21.32,111700.0,0.0103
2006-03-28,21.54,21.56,21.68,21.41,115400.0,-0.0019
2006-03-29,21.71,21.76,21.84,21.58,81900.0,0.0079
2006-03-30,22.19,21.76,22.19,21.76,132400.0,0.022099999999999998
2006-03-31,22.45,22.23,22.64,22.23,100100.0,0.011699999999999999
2006-04-03,21.71,22.5,22.5,21.62,291800.0,-0.033
2006-04-04,21.62,21.7,21.71,21.54,220200.0,-0.0040999999999999995
2006-04-05,21.52,21.58,21.59,21.48,122200.0,-0.0046
2006-04-06,21.14,21.36,21.52,20.97,130100.0,-0.0177
2006-04-07,21.02,21.14,21.14,20.84,33700.0,-0.005699999999999999
2006-04-10,21.2,20.97,21.23,20.94,43800.0,0.0086
2006-04-11,21.01,21.17,21.17,20.88,163800.0,-0.009000000000000001
2006-04-12,21.01,22.1,22.1,20.99,664800.0,0.0
2006-04-13,21.26,21.06,21.32,20.94,214700.0,0.011899999999999999
2006-04-17,21.45,21.27,21.54,21.27,203100.0,0.0089
2006-04-18,21.14,21.38,21.43,20.91,186400.0,-0.014499999999999999
2006-04-19,21.58,21.14,21.8,21.14,241600.0,0.0208
2006-04-20,22.32,21.62,22.62,21.56,166400.0,0.034300000000000004
2006-04-21,22.19,22.41,22.76,21.98,401800.0,-0.0058
2006-04-24,22.24,22.19,22.58,22.06,92400.0,0.0023
2006-04-25,22.5,22.22,22.85,22.22,232500.0,0.011699999999999999
2006-04-26,22.45,22.37,22.67,22.23,145000.0,-0.0022
2006-04-27,22.14,22.46,22.54,22.03,52300.0,-0.0138
2006-04-28,21.56,22.14,22.15,21.04,232200.0,-0.0262
