Date,Close,Open,High,Low,Volume,Change
2000-01-03,16.41,16.89,16.91,15.92,1160000.0,-0.0375
2000-01-04,16.08,16.33,16.48,15.9,1600000.0,-0.020099999999999996
2000-01-05,16.06,16.06,16.48,15.87,1300000.0,-0.0012
2000-01-06,16.93,16.14,16.95,15.83,2400000.0,0.0542
2000-01-07,17.72,17.65,17.72,17.32,1960000.0,0.0467
2000-01-10,17.36,17.88,17.88,17.1,1470000.0,-0.0203
2000-01-11,17.16,17.43,17.72,17.16,1100000.0,-0.0115
2000-01-12,16.89,17.08,17.45,16.83,1190000.0,-0.015700000000000002
2000-01-13,16.5,16.72,16.99,16.5,1620000.0,-0.0231
2000-01-14,16.5,16.62,16.77,16.35,1060000.0,0.0
2000-01-18,16.41,16.37,16.56,16.16,709000.0,-0.0055000000000000005
2000-01-19,16.1,16.48,16.5,15.88,2270000.0,-0.0189
2000-01-20,15.27,16.1,16.25,15.23,2150000.0,-0.0516
2000-01-21,14.92,15.34,15.38,14.7,2110000.0,-0.0229
2000-01-24,14.61,14.84,14.94,14.45,2260000.0,-0.0208
2000-01-25,14.22,14.47,14.55,13.78,2490000.0,-0.026699999999999998
2000-01-26,15.25,14.63,15.3,14.1,2950000.0,0.0724
2000-01-27,14.82,14.86,15.56,14.43,1840000.0,-0.0282
2000-01-28,14.55,14.59,14.76,14.51,1420000.0,-0.0182
2000-01-31,14.57,14.63,14.63,14.34,963000.0,0.0014000000000000002
2000-02-01,14.26,14.47,14.72,14.18,774200.0,-0.0213
2000-02-02,14.38,14.55,14.82,14.38,993200.0,0.0084
2000-02-03,14.18,14.38,14.63,14.05,1540000.0,-0.0139
2000-02-04,14.4,14.32,14.43,14.01,2140000.0,0.0155
2000-02-07,13.95,14.32,14.36,13.85,1340000.0,-0.031200000000000002
2000-02-08,13.74,13.95,14.16,13.68,1430000.0,-0.0151
2000-02-09,13.23,13.78,13.89,13.23,1890000.0,-0.0371
2000-02-10,12.44,13.31,13.74,12.31,5950000.0,-0.059699999999999996
2000-02-11,12.05,12.6,12.67,11.84,2750000.0,-0.031400000000000004
2000-02-14,12.73,12.11,12.75,12.05,2740000.0,0.0564
2000-02-15,13.35,12.81,13.54,12.6,3190000.0,0.0487
2000-02-16,13.16,13.35,13.62,12.98,1530000.0,-0.014199999999999999
2000-02-17,12.94,13.12,13.14,12.72,817400.0,-0.0167
2000-02-18,12.58,12.89,12.91,12.31,1170000.0,-0.0278
2000-02-22,12.62,12.5,12.71,12.23,885400.0,0.0032
2000-02-23,11.55,12.38,12.42,11.45,2520000.0,-0.0848
2000-02-24,11.07,11.86,11.86,11.03,3810000.0,-0.0416
2000-02-25,10.95,11.3,11.32,10.87,2310000.0,-0.0108
2000-02-28,11.49,10.95,11.73,10.89,2770000.0,0.0493
2000-02-29,11.86,11.42,12.02,11.42,2810000.0,0.0322
2000-03-01,11.71,11.8,11.84,11.45,1170000.0,-0.0126
2000-03-02,11.13,11.63,11.63,10.85,1840000.0,-0.0495
2000-03-03,11.42,11.38,11.88,11.2,3290000.0,0.026099999999999998
2000-03-06,11.55,11.61,12.02,11.3,2580000.0,0.011399999999999999
2000-03-07,10.8,11.73,11.8,10.78,2230000.0,-0.0649
2000-03-08,10.84,10.87,11.34,10.84,2080000.0,0.0037
2000-03-09,11.11,10.84,11.2,10.56,1510000.0,0.024900000000000002
2000-03-10,11.14,11.2,11.42,10.99,1070000.0,0.0027
2000-03-13,10.99,10.99,11.07,10.87,1540000.0,-0.013500000000000002
2000-03-14,10.95,11.07,11.18,10.87,1610000.0,-0.0036
2000-03-15,11.84,10.95,12.03,10.95,1980000.0,0.08130000000000001
2000-03-16,13.29,12.07,13.52,12.0,2570000.0,0.1225
2000-03-17,12.54,13.29,13.29,12.44,1560000.0,-0.0564
2000-03-20,12.81,12.81,13.08,12.65,1520000.0,0.0215
2000-03-21,13.21,12.81,13.56,12.46,1960000.0,0.031200000000000002
2000-03-22,13.0,13.21,13.47,12.94,1760000.0,-0.0159
2000-03-23,13.12,12.92,13.23,12.79,3060000.0,0.0092
2000-03-24,13.1,13.04,13.21,12.87,1340000.0,-0.0015
2000-03-27,12.56,13.14,13.39,12.56,1530000.0,-0.0412
2000-03-28,12.87,13.0,13.47,12.69,1900000.0,0.024700000000000003
2000-03-29,13.29,13.12,13.31,12.87,1770000.0,0.0326
2000-03-30,14.07,13.39,14.82,13.31,2600000.0,0.0587
2000-03-31,13.7,14.05,14.26,13.7,1860000.0,-0.0263
2000-04-03,13.7,13.78,13.8,13.39,1450000.0,0.0
2000-04-04,14.55,13.74,14.82,13.7,2930000.0,0.062
2000-04-05,14.1,14.36,14.72,13.85,1230000.0,-0.030899999999999997
2000-04-06,14.01,14.12,14.51,13.91,796600.0,-0.0064
2000-04-07,13.66,14.01,14.07,13.62,987800.0,-0.025
2000-04-10,14.09,13.58,14.2,13.41,1400000.0,0.0315
2000-04-11,13.95,14.01,14.43,13.89,1050000.0,-0.009899999999999999
2000-04-12,14.49,13.87,14.96,13.87,2260000.0,0.0387
2000-04-13,14.94,14.57,15.03,14.57,1620000.0,0.0311
2000-04-14,12.98,14.55,14.55,12.85,3110000.0,-0.13119999999999998
2000-04-17,13.49,13.06,14.05,13.06,2000000.0,0.0393
2000-04-18,13.41,13.56,13.78,13.31,3140000.0,-0.0059
2000-04-19,12.77,13.54,13.62,12.75,1670000.0,-0.04769999999999999
