Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.77,11.03,11.03,10.73,4099999.9999999995,-0.0137
2000-01-04,10.75,10.77,10.84,10.66,4870000.0,-0.0019
2000-01-05,10.75,10.75,10.94,10.73,3580000.0,0.0
2000-01-06,11.41,10.75,11.5,10.75,6220000.0,0.061399999999999996
2000-01-07,11.33,11.41,11.42,11.16,3260000.0,-0.006999999999999999
2000-01-10,11.59,11.59,11.69,11.38,4310000.0,0.0229
2000-01-11,11.69,11.56,11.8,11.56,2380000.0,0.0086
2000-01-12,11.45,11.62,11.7,11.41,2300000.0,-0.020499999999999997
2000-01-13,11.66,11.45,11.91,11.34,3090000.0,0.0183
2000-01-14,11.52,11.69,11.73,11.42,2440000.0,-0.012
2000-01-18,11.09,11.39,11.47,11.06,2970000.0,-0.0373
2000-01-19,10.91,10.78,10.92,10.56,5770000.0,-0.016200000000000003
2000-01-20,10.5,11.06,11.2,10.22,8070000.0,-0.037599999999999995
2000-01-21,10.94,10.64,11.05,10.62,5110000.0,0.04190000000000001
2000-01-24,10.61,10.95,11.06,10.59,3000000.0,-0.0302
2000-01-25,10.23,10.61,10.67,10.0,5060000.0,-0.0358
2000-01-26,10.45,10.25,10.45,9.98,3850000.0,0.0215
2000-01-27,10.06,10.5,10.5,10.02,3670000.0,-0.0373
2000-01-28,10.16,10.08,10.33,9.94,3590000.0,0.009899999999999999
2000-01-31,10.06,10.16,10.28,9.95,3680000.0,-0.0098
2000-02-01,10.08,10.0,10.09,9.88,2810000.0,0.002
2000-02-02,9.69,10.03,10.06,9.66,4220000.0,-0.0387
2000-02-03,9.83,9.81,9.89,9.75,3600000.0,0.0144
2000-02-04,10.08,9.94,10.22,9.92,4640000.0,0.0254
2000-02-07,9.92,10.06,10.12,9.88,2910000.0,-0.0159
2000-02-08,9.69,9.98,10.0,9.66,3680000.0,-0.0232
2000-02-09,9.73,9.81,10.16,9.7,4870000.0,0.0040999999999999995
2000-02-10,9.27,9.73,9.73,8.97,8340000.0,-0.0473
2000-02-11,9.19,9.28,9.34,9.16,3570000.0,-0.0086
2000-02-14,9.5,9.31,9.5,9.22,4380000.0,0.0337
2000-02-15,9.7,9.62,9.7,9.44,7250000.0,0.021099999999999997
2000-02-16,9.34,9.75,9.84,9.25,5130000.0,-0.0371
2000-02-17,9.47,9.38,9.5,9.19,3090000.0,0.0139
2000-02-18,9.44,9.5,9.56,9.36,3410000.0,-0.0032
2000-02-22,9.7,9.48,9.84,9.47,3110000.0,0.0275
2000-02-23,9.83,9.7,9.86,9.69,4040000.0,0.0134
2000-02-24,9.31,9.88,9.89,9.06,7100000.0,-0.0529
2000-02-25,9.36,9.31,9.38,9.14,3040000.0,0.0054
2000-02-28,9.62,9.36,9.69,9.2,3200000.0,0.0278
2000-02-29,9.5,9.61,9.7,9.48,3420000.0,-0.0125
2000-03-01,9.56,9.53,9.66,9.5,6610000.0,0.0063
2000-03-02,9.45,9.55,9.55,9.34,3590000.0,-0.0115
2000-03-03,9.84,9.44,10.0,9.39,5630000.0,0.041299999999999996
2000-03-06,9.44,9.78,9.78,9.33,3090000.0,-0.0407
2000-03-07,9.0,9.31,9.38,8.92,5260000.0,-0.0466
2000-03-08,9.08,9.12,9.27,9.06,4720000.0,0.0089
2000-03-09,8.98,9.12,9.12,8.64,6280000.0,-0.011000000000000001
2000-03-10,8.77,8.92,9.06,8.72,6510000.0,-0.023399999999999997
2000-03-13,8.81,8.73,8.81,8.56,3580000.0,0.0046
2000-03-14,8.81,8.88,8.88,8.72,3460000.0,0.0
2000-03-15,9.34,8.78,9.34,8.78,3910000.0,0.0602
2000-03-16,9.95,9.45,9.95,9.3,7000000.0,0.0653
2000-03-17,10.06,10.0,10.16,9.94,4550000.0,0.0111
2000-03-20,9.56,10.11,10.17,9.42,4030000.0000000005,-0.049699999999999994
2000-03-21,10.0,9.44,10.03,9.44,4840000.0,0.046
2000-03-22,9.66,10.06,10.11,9.58,3950000.0,-0.034
2000-03-23,9.67,9.5,9.69,9.41,2980000.0,0.001
2000-03-24,9.53,9.64,9.72,9.44,2880000.0,-0.014499999999999999
2000-03-27,9.67,9.5,9.72,9.5,2230000.0,0.0147
2000-03-28,9.3,9.59,9.67,9.25,3300000.0,-0.0383
2000-03-29,9.47,9.3,9.47,9.25,3120000.0,0.0183
2000-03-30,9.3,9.5,9.5,9.25,2840000.0,-0.018000000000000002
2000-03-31,9.78,9.36,9.78,9.31,3890000.0,0.0516
2000-04-03,9.69,9.78,9.78,9.66,4480000.0,-0.0092
2000-04-04,9.67,9.72,9.83,9.39,3640000.0,-0.0021
2000-04-05,10.25,9.69,10.25,9.67,4640000.0,0.06
2000-04-06,10.31,10.25,10.59,10.22,5840000.0,0.0059
2000-04-07,10.19,10.28,10.28,9.92,3240000.0,-0.0116
2000-04-10,10.41,10.12,10.58,10.11,3090000.0,0.0216
