Date,Close,Open,High,Low,Volume,Change
2000-01-03,17.38,17.75,17.88,16.69,3830000.0,0.0111
2000-01-04,17.31,17.31,18.0,17.12,4740000.0,-0.004
2000-01-05,17.38,17.25,17.62,17.19,2680000.0,0.004
2000-01-06,17.25,17.38,17.38,16.69,2430000.0,-0.0075
2000-01-07,16.56,17.19,17.25,16.5,2460000.0,-0.04
2000-01-10,16.62,16.88,16.88,16.38,2150000.0,0.0036
2000-01-11,16.44,16.56,16.62,16.12,1390000.0,-0.0108
2000-01-12,16.81,16.38,16.88,16.38,1640000.0,0.0225
2000-01-13,16.94,16.81,17.38,16.75,2440000.0,0.0077
2000-01-14,16.75,16.94,16.94,16.62,1210000.0,-0.011200000000000002
2000-01-18,16.75,16.88,17.06,16.69,1920000.0,0.0
2000-01-19,17.12,16.94,17.25,16.81,1670000.0,0.022099999999999998
2000-01-20,16.75,17.06,17.12,16.56,1770000.0,-0.0216
2000-01-21,16.62,17.06,17.06,16.56,2490000.0,-0.0078000000000000005
2000-01-24,16.31,16.75,16.88,16.19,1930000.0,-0.0187
2000-01-25,16.06,16.12,16.5,15.75,2460000.0,-0.015300000000000001
2000-01-26,16.56,16.5,17.0,16.31,2690000.0,0.0311
2000-01-27,17.31,17.06,17.81,16.81,3920000.0,0.0453
2000-01-28,17.69,17.62,18.06,17.38,4150000.0000000005,0.022000000000000002
2000-01-31,17.5,17.75,18.0,17.38,4220000.0,-0.010700000000000001
2000-02-01,17.5,17.5,17.69,17.12,2510000.0,0.0
2000-02-02,17.38,17.5,17.62,17.25,3080000.0,-0.0069
2000-02-03,18.12,17.62,18.5,17.38,3940000.0,0.0426
2000-02-04,17.81,18.25,18.31,17.5,2430000.0,-0.0171
2000-02-07,17.38,17.81,17.81,17.38,1810000.0,-0.0241
2000-02-08,16.75,17.56,17.62,16.5,2750000.0,-0.0362
2000-02-09,16.31,17.0,17.0,16.0,2870000.0,-0.0263
2000-02-10,15.0,16.31,16.31,14.62,8920000.0,-0.0803
2000-02-11,14.5,15.12,15.31,13.88,7280000.0,-0.0333
2000-02-14,14.69,14.56,15.12,14.12,1890000.0,0.0131
2000-02-15,14.56,14.88,14.94,14.12,3670000.0,-0.0088
2000-02-16,14.5,14.5,15.25,14.19,3950000.0,-0.0040999999999999995
2000-02-17,15.88,15.44,15.94,14.94,2850000.0,0.09519999999999999
2000-02-18,15.5,15.75,15.81,15.44,2750000.0,-0.0239
