Date,Close,Open,High,Low,Volume,Change
2011-10-14,25.35,24.36,25.49,24.36,402630.0,0.0454
2011-10-17,25.16,25.5,25.8,25.16,583400.0,-0.0075
2011-10-18,25.24,25.06,25.36,24.9,423500.0,0.0032
2011-10-19,24.75,25.25,25.35,24.75,722230.0,-0.0194
2011-10-20,24.75,24.8,25.03,24.33,549720.0,0.0
2011-10-21,25.54,25.0,25.75,24.95,1760000.0,0.0319
2011-10-24,25.77,25.5,25.85,25.5,371300.0,0.009000000000000001
2011-10-25,25.75,25.88,26.08,25.0,546810.0,-0.0008
2011-10-26,25.02,26.09,26.09,24.86,657320.0,-0.028300000000000002
2011-10-27,25.62,25.25,25.95,25.25,405420.0,0.024
2011-10-28,25.82,25.5,25.82,25.25,584680.0,0.0078000000000000005
2011-10-31,26.74,26.25,26.74,25.25,15110000.0,0.0356
2011-11-01,27.31,25.6,28.28,25.15,6100000.0,0.0213
2011-11-02,26.62,27.4,27.4,25.79,2480000.0,-0.0253
2011-11-03,26.39,26.94,27.07,26.38,1620000.0,-0.0086
2011-11-04,25.19,26.17,26.59,24.88,1920000.0,-0.0455
2011-11-07,24.6,24.91,25.48,24.37,2700000.0,-0.023399999999999997
2011-11-08,24.94,25.1,25.34,24.76,2020000.0,0.0138
2011-11-09,23.89,24.35,25.0,23.84,1570000.0,-0.0421
2011-11-10,23.65,24.48,24.71,23.52,1170000.0,-0.01
2011-11-11,23.79,23.88,24.09,23.63,1270000.0,0.0059
2011-11-14,23.93,23.58,24.1,23.49,1340000.0,0.0059
2011-11-15,23.99,23.94,24.36,23.82,1660000.0,0.0025
2011-11-16,24.12,23.95,24.6,23.78,1800000.0,0.0054
2011-11-17,23.85,24.0,24.19,23.66,1280000.0,-0.011200000000000002
2011-11-18,23.93,23.88,24.14,23.72,1430000.0,0.0034000000000000002
2011-11-21,23.62,23.7,23.81,23.34,1280000.0,-0.013000000000000001
2011-11-22,23.63,25.02,26.14,22.67,2130000.0,0.0004
2011-11-23,23.68,23.27,23.75,22.88,1010000.0,0.0021
2011-11-25,23.0,23.45,23.45,22.88,991090.0,-0.0287
2011-11-28,23.49,23.66,24.18,23.14,1570000.0,0.0213
2011-11-29,23.27,23.51,23.6,23.17,1220000.0,-0.009399999999999999
2011-11-30,23.9,24.06,24.2,23.33,2320000.0,0.0271
2011-12-01,24.27,23.81,24.36,23.65,1050000.0,0.0155
2011-12-02,24.25,25.48,25.48,24.22,1210000.0,-0.0008
2011-12-05,25.09,24.57,25.15,24.41,930820.0,0.0346
2011-12-06,24.83,25.02,25.07,24.51,662700.0,-0.0104
2011-12-07,24.57,24.72,24.83,23.86,951190.0,-0.0105
2011-12-08,23.88,24.45,24.55,23.8,938620.0,-0.0281
2011-12-09,24.35,24.07,24.46,23.96,549760.0,0.0197
2011-12-12,23.92,23.95,24.19,23.24,1210000.0,-0.0177
2011-12-13,23.85,24.02,24.45,23.71,1650000.0,-0.0029
2011-12-14,23.41,23.6,23.6,22.93,1740000.0,-0.0184
2011-12-15,23.92,23.55,24.06,23.44,1070000.0,0.0218
2011-12-16,24.67,24.14,24.94,24.01,2930000.0,0.031400000000000004
2011-12-19,24.25,24.67,24.86,24.14,1110000.0,-0.017
2011-12-20,24.31,24.59,24.72,23.96,1190000.0,0.0025
2011-12-21,24.92,24.45,25.03,24.02,2180000.0,0.025099999999999997
2011-12-22,24.83,25.07,25.65,24.8,971020.0,-0.0036
2011-12-23,24.91,24.83,25.16,24.7,574940.0,0.0032
2011-12-27,25.05,24.84,25.05,24.46,664340.0,0.005600000000000001
2011-12-28,25.56,25.11,25.76,25.11,917660.0,0.0204
2011-12-29,25.95,25.67,26.46,25.5,3980000.0,0.015300000000000001
2011-12-30,25.69,25.99,25.99,25.14,1170000.0,-0.01
2012-01-03,25.14,26.02,26.43,25.07,1060000.0,-0.021400000000000002
2012-01-04,25.97,25.07,26.07,24.84,1390000.0,0.033
2012-01-05,25.6,25.78,25.81,24.87,2270000.0,-0.014199999999999999
2012-01-06,25.17,25.54,25.62,25.12,524370.0,-0.0168
2012-01-09,25.27,25.16,25.42,24.82,558660.0,0.004
2012-01-10,25.58,25.46,25.7,25.25,1050000.0,0.0123
2012-01-11,26.06,25.46,26.26,25.39,1070000.0,0.018799999999999997
2012-01-12,25.7,26.08,26.14,25.68,709230.0,-0.0138
2012-01-13,25.63,25.45,25.68,25.34,886120.0,-0.0027
2012-01-17,25.63,25.9,26.28,25.59,465340.0,0.0
2012-01-18,26.99,25.51,27.04,25.43,1450000.0,0.053099999999999994
2012-01-19,26.62,27.0,27.29,26.44,838330.0,-0.0137
2012-01-20,26.36,26.62,26.68,26.3,1010000.0,-0.0098
2012-01-23,25.75,26.45,26.6,25.56,842770.0,-0.0231
2012-01-24,26.14,25.69,26.21,25.6,761350.0,0.0151
2012-01-25,26.6,26.04,26.63,25.82,881780.0,0.0176
2012-01-26,25.94,26.68,26.85,25.76,849940.0,-0.0248
2012-01-27,25.81,25.61,25.98,25.61,685850.0,-0.005
2012-01-30,25.92,25.65,25.96,25.5,475230.0,0.0043
2012-01-31,25.91,26.11,26.25,25.65,792670.0,-0.0004
2012-02-01,26.82,26.02,26.85,25.92,816600.0,0.0351
2012-02-02,26.65,26.86,26.99,26.62,715170.0,-0.0063
2012-02-03,27.03,26.96,27.08,26.57,719800.0,0.0143
2012-02-06,26.78,26.9,27.12,26.64,655100.0,-0.0092
2012-02-07,27.22,26.7,27.35,26.53,963740.0,0.016399999999999998
2012-02-08,27.39,27.16,27.39,26.8,737820.0,0.0062
2012-02-09,27.13,27.35,27.4,26.91,721480.0,-0.0095
2012-02-10,27.07,26.96,27.13,26.83,527250.0,-0.0022
2012-02-13,27.03,27.35,27.35,26.83,638850.0,-0.0015
2012-02-14,26.92,26.9,27.21,26.82,926330.0,-0.0040999999999999995
2012-02-15,27.0,26.97,27.11,26.87,1070000.0,0.003
2012-02-16,27.15,27.02,27.32,26.96,639650.0,0.005600000000000001
2012-02-17,27.59,27.26,27.63,27.17,583460.0,0.016200000000000003
2012-02-21,27.82,27.66,28.12,27.51,753480.0,0.0083
2012-02-22,27.53,27.66,28.06,27.48,467400.0,-0.0104
2012-02-23,27.78,27.52,27.83,27.3,335840.0,0.0091
2012-02-24,27.26,27.89,27.94,27.24,827850.0,-0.0187
2012-02-27,27.36,27.1,27.4,26.87,1430000.0,0.0037
2012-02-28,26.84,27.24,27.24,26.12,3440000.0,-0.019
2012-02-29,25.98,26.76,26.95,25.91,4350000.0,-0.032
2012-03-01,26.69,26.0,27.32,25.77,1800000.0,0.0273
2012-03-02,26.6,26.37,26.95,26.37,1590000.0,-0.0034000000000000002
2012-03-05,26.22,26.6,26.7,26.04,1340000.0,-0.0143
2012-03-06,25.85,25.95,26.02,25.39,1330000.0,-0.0141
2012-03-07,26.21,26.09,26.3,25.74,933190.0,0.0139
2012-03-08,26.62,26.3,26.7,25.96,894770.0,0.015600000000000001
2012-03-09,27.25,26.57,27.36,26.53,719490.0,0.023700000000000002
2012-03-12,27.53,27.38,27.63,27.26,879770.0,0.0103
2012-03-13,28.42,27.64,28.44,27.64,861560.0,0.0323
2012-03-14,28.36,28.41,28.48,28.2,1180000.0,-0.0021
2012-03-15,28.73,28.39,28.84,28.06,689160.0,0.013000000000000001
2012-03-16,28.19,28.74,28.87,28.17,903040.0,-0.018799999999999997
2012-03-19,27.94,28.21,28.5,27.88,796440.0,-0.0089
2012-03-20,27.31,27.85,27.92,27.08,993160.0,-0.0225
2012-03-21,27.33,27.3,27.56,27.25,871970.0,0.0007000000000000001
2012-03-22,27.22,27.12,27.37,26.98,665760.0,-0.004
2012-03-23,27.2,27.37,27.37,27.06,519460.00000000006,-0.0007000000000000001
2012-03-26,27.85,27.37,27.86,27.37,642090.0,0.0239
2012-03-27,27.99,27.92,28.02,27.61,601000.0,0.005
2012-03-28,27.96,27.96,28.11,27.54,917930.0,-0.0011
2012-03-29,27.66,27.81,27.81,27.25,855470.0,-0.010700000000000001
2012-03-30,27.75,27.83,27.86,27.4,1310000.0,0.0033
2012-04-02,28.32,27.71,28.35,27.7,817040.0,0.020499999999999997
2012-04-03,28.25,28.33,28.55,27.93,1030000.0,-0.0025
2012-04-04,27.8,27.91,27.94,27.58,1070000.0,-0.0159
2012-04-05,27.97,27.75,28.23,27.75,477460.0,0.0060999999999999995
2012-04-09,27.36,27.47,27.55,27.2,495400.0,-0.0218
2012-04-10,26.94,27.24,27.34,26.58,909830.0,-0.0154
2012-04-11,27.0,27.19,27.3,26.83,810200.0,0.0022
2012-04-12,27.32,26.91,27.39,26.87,646460.0,0.011899999999999999
