Date,Close,Open,High,Low,Volume,Change
2000-01-03,16.39,16.81,16.88,16.06,7390000.0,-0.025
2000-01-04,15.02,15.75,16.45,14.98,7810000.0,-0.0836
2000-01-05,15.31,14.56,15.69,14.56,14930000.0,0.019299999999999998
2000-01-06,15.44,15.36,15.66,15.16,10220000.0,0.0085
2000-01-07,16.19,15.39,16.19,15.22,8250000.0,0.048600000000000004
2000-01-10,16.81,16.34,16.81,15.91,10990000.0,0.0383
2000-01-11,15.66,16.8,16.81,15.59,9620000.0,-0.0684
2000-01-12,15.58,15.69,15.84,15.44,8050000.000000001,-0.0051
2000-01-13,16.41,15.7,16.5,15.69,5530000.0,0.0533
2000-01-14,16.58,16.66,16.84,16.41,5140000.0,0.0104
2000-01-18,16.0,16.27,16.47,16.0,5200000.0,-0.035
2000-01-19,15.78,15.93,16.09,15.62,4560000.0,-0.0138
2000-01-20,15.95,15.91,16.16,15.38,4250000.0,0.0108
2000-01-21,15.72,16.12,16.22,15.5,6900000.0,-0.0144
2000-01-24,15.14,15.77,15.88,15.03,5900000.0,-0.0369
2000-01-25,15.75,15.04,15.84,14.72,7570000.0,0.0403
2000-01-26,15.3,15.78,16.06,15.23,4470000.0,-0.0286
2000-01-27,15.67,15.2,16.0,15.2,5860000.0,0.0242
2000-01-28,14.39,15.3,15.47,14.16,5710000.0,-0.0817
2000-01-31,13.77,14.28,14.53,13.36,16469999.999999998,-0.0431
2000-02-01,13.97,13.97,14.22,13.78,6770000.0,0.014499999999999999
2000-02-02,15.33,13.98,15.41,13.91,13410000.0,0.0974
2000-02-03,17.27,15.95,17.28,15.84,19750000.0,0.1265
2000-02-04,18.5,17.18,18.62,16.75,13520000.0,0.0712
2000-02-07,19.27,18.44,19.36,18.06,12920000.0,0.0416
2000-02-08,20.94,19.39,21.0,19.19,14300000.0,0.0867
2000-02-09,21.89,20.97,21.94,20.72,15320000.0,0.0454
2000-02-10,22.81,21.64,22.81,21.06,13180000.0,0.042
2000-02-11,22.61,22.5,22.81,21.72,7220000.0,-0.0088
2000-02-14,22.41,22.03,22.5,21.27,6990000.0,-0.0088
2000-02-15,22.22,22.1,23.0,21.56,7080000.0,-0.0085
2000-02-16,24.55,22.0,24.69,21.88,10720000.0,0.10490000000000001
2000-02-17,25.39,24.75,25.53,24.03,10480000.0,0.0342
2000-02-18,24.56,25.66,25.67,24.25,6310000.0,-0.0327
2000-02-22,24.57,24.45,24.91,22.61,7830000.0,0.0004
2000-02-23,24.91,24.38,26.25,23.86,7610000.0,0.0138
2000-02-24,26.59,25.28,26.66,24.25,6900000.0,0.0674
2000-02-25,24.62,25.88,26.11,24.5,4179999.9999999995,-0.0741
2000-02-28,24.45,24.38,24.91,23.75,6550000.0,-0.0069
2000-02-29,25.5,25.0,25.75,24.78,6720000.0,0.0429
2000-03-01,25.09,25.55,25.56,24.69,5110000.0,-0.0161
2000-03-02,20.16,23.62,24.06,20.0,24960000.0,-0.19649999999999998
2000-03-03,22.66,21.05,22.93,20.63,18610000.0,0.124
2000-03-06,21.45,22.31,22.41,21.0,6950000.0,-0.053399999999999996
2000-03-07,20.3,21.95,21.97,20.14,6070000.0,-0.0536
2000-03-08,19.77,20.39,20.41,19.62,8410000.0,-0.026099999999999998
2000-03-09,19.53,19.91,20.34,19.25,10020000.0,-0.0121
2000-03-10,20.81,19.88,21.42,19.86,15000000.0,0.0655
2000-03-13,20.53,20.19,21.16,20.12,6450000.0,-0.013500000000000002
2000-03-14,20.36,21.88,22.22,20.0,12850000.0,-0.0083
2000-03-15,20.89,20.75,21.61,20.0,9850000.0,0.026000000000000002
2000-03-16,23.61,21.14,23.69,19.5,22380000.0,0.13019999999999998
2000-03-17,21.92,22.25,22.84,21.48,18890000.0,-0.0716
2000-03-20,21.86,22.05,22.48,21.41,8600000.0,-0.0027
2000-03-21,22.92,21.89,23.02,21.28,10530000.0,0.048499999999999995
2000-03-22,25.5,23.7,25.5,22.98,16739999.999999998,0.11259999999999999
2000-03-23,26.64,25.14,27.39,24.75,12220000.0,0.0447
2000-03-24,27.05,26.41,27.5,26.34,7840000.0,0.0154
2000-03-27,28.41,27.22,28.67,27.0,6830000.0,0.050300000000000004
2000-03-28,27.78,28.19,28.84,27.5,6960000.0,-0.0222
2000-03-29,27.84,27.75,28.41,26.97,5550000.0,0.0022
2000-03-30,26.8,27.38,29.0,26.75,6500000.0,-0.0374
2000-03-31,27.83,27.06,28.75,26.67,7460000.0,0.0384
2000-04-03,26.39,28.27,28.62,25.75,10010000.0,-0.051699999999999996
2000-04-04,25.44,27.11,27.25,22.06,20700000.0,-0.036000000000000004
2000-04-05,26.8,25.25,27.62,24.5,9950000.0,0.0535
2000-04-06,28.66,27.34,28.66,27.03,10680000.0,0.0694
2000-04-07,31.25,28.98,31.25,28.91,11310000.0,0.0904
2000-04-10,29.3,30.71,31.12,29.0,6680000.0,-0.062400000000000004
2000-04-11,29.88,28.69,30.5,27.84,9590000.0,0.019799999999999998
2000-04-12,28.02,30.0,30.25,27.5,10700000.0,-0.0622
2000-04-13,28.39,28.33,29.5,27.0,11640000.0,0.0132
2000-04-14,24.45,27.72,27.73,23.8,14820000.0,-0.1388
2000-04-17,28.33,24.53,28.33,24.42,10590000.0,0.15869999999999998
2000-04-18,29.25,28.89,30.41,28.33,8890000.0,0.0325
2000-04-19,28.16,28.94,29.31,27.91,5970000.0,-0.0373
2000-04-20,28.16,28.2,28.62,26.62,6580000.0,0.0
2000-04-24,26.19,26.92,28.0,24.25,9030000.0,-0.07
2000-04-25,30.0,26.7,30.38,26.0,14260000.0,0.14550000000000002
2000-04-26,28.72,29.64,30.19,28.08,10010000.0,-0.042699999999999995
2000-04-27,30.86,27.02,31.12,26.75,11140000.0,0.0745
2000-04-28,30.23,31.2,31.97,29.5,11330000.0,-0.0204
2000-05-01,32.67,30.55,32.75,30.53,8050000.000000001,0.08070000000000001
2000-05-02,28.88,32.16,32.19,28.81,6950000.0,-0.11599999999999999
2000-05-03,28.19,28.94,29.91,26.0,12530000.0,-0.0239
2000-05-04,28.48,28.38,28.69,27.06,6710000.0,0.0103
2000-05-05,29.92,27.94,30.2,27.84,6610000.0,0.0506
2000-05-08,27.34,29.06,29.44,27.25,5500000.0,-0.0862
2000-05-09,28.08,27.88,29.41,26.34,9870000.0,0.0271
2000-05-10,26.55,27.31,28.41,26.44,10190000.0,-0.0545
2000-05-11,27.09,27.33,27.56,25.41,10960000.0,0.0203
2000-05-12,27.05,27.23,28.34,26.62,4380000.0,-0.0015
2000-05-15,27.5,27.34,27.66,26.56,5060000.0,0.0166
2000-05-16,30.97,28.12,31.22,28.11,11290000.0,0.12619999999999998
2000-05-17,30.08,29.78,30.72,29.12,6430000.0,-0.0287
2000-05-18,28.75,30.02,31.06,28.75,5730000.0,-0.044199999999999996
2000-05-19,27.39,28.5,29.31,27.34,8560000.0,-0.0473
2000-05-22,27.42,27.53,27.53,25.75,11500000.0,0.0011
2000-05-23,27.23,27.36,28.75,26.81,10870000.0,-0.0069
2000-05-24,26.53,26.88,27.34,25.56,13330000.0,-0.025699999999999997
2000-05-25,26.12,26.95,28.12,25.88,5880000.0,-0.0155
2000-05-26,25.7,26.22,26.62,25.41,4350000.0,-0.0161
2000-05-30,29.14,26.66,29.19,26.66,6780000.0,0.13390000000000002
2000-05-31,28.14,28.56,29.78,28.12,6140000.0,-0.034300000000000004
2000-06-01,29.62,28.96,29.98,28.47,6860000.0,0.0526
2000-06-02,31.25,30.39,31.97,30.39,5660000.0,0.055
2000-06-05,32.17,31.25,33.0,31.19,10040000.0,0.0294
2000-06-06,28.92,31.83,31.83,28.88,13830000.0,-0.10099999999999999
2000-06-07,28.58,29.75,30.0,28.06,11220000.0,-0.0118
2000-06-08,29.59,29.38,30.34,29.05,8130000.000000001,0.0353
2000-06-09,30.17,30.23,30.5,29.88,4940000.0,0.0196
2000-06-12,30.31,31.22,31.25,30.31,8230000.0,0.0046
2000-06-13,31.8,30.79,31.92,30.06,8340000.0,0.0492
2000-06-14,30.47,32.23,32.62,30.0,11950000.0,-0.0418
2000-06-15,31.19,30.75,31.73,29.94,9940000.0,0.0236
2000-06-16,30.06,30.03,30.19,28.47,17880000.0,-0.0362
2000-06-19,31.84,29.68,32.12,29.67,9480000.0,0.0592
2000-06-20,32.81,31.56,32.98,31.38,11540000.0,0.0305
2000-06-21,32.2,32.09,32.75,31.19,5960000.0,-0.018600000000000002
2000-06-22,30.27,32.01,32.25,30.09,4680000.0,-0.0599
2000-06-23,29.44,30.53,30.84,29.12,4730000.0,-0.0274
2000-06-26,31.17,29.84,31.75,29.44,4720000.0,0.0588
2000-06-27,29.52,30.63,30.93,29.52,5100000.0,-0.0529
2000-06-28,31.2,30.11,31.48,29.91,5060000.0,0.056900000000000006
2000-06-29,31.06,30.96,32.0,30.66,4450000.0,-0.0045000000000000005
2000-06-30,32.5,31.49,32.5,31.19,5110000.0,0.0464
2000-07-03,31.97,32.25,32.45,31.64,1650000.0,-0.0163
2000-07-05,31.92,31.43,32.03,31.0,5100000.0,-0.0016
2000-07-06,33.73,32.14,33.75,31.38,10180000.0,0.0567
2000-07-07,34.34,33.41,34.83,32.78,7560000.0,0.0181
2000-07-10,33.84,33.98,34.42,33.12,5060000.0,-0.0146
2000-07-11,34.56,33.86,35.44,33.5,5800000.0,0.0213
2000-07-12,35.12,35.15,35.25,34.62,3850000.0,0.016200000000000003
2000-07-13,34.47,35.25,35.83,34.17,4290000.0,-0.018500000000000003
2000-07-14,34.05,34.94,34.94,33.5,5540000.0,-0.012199999999999999
2000-07-17,33.77,34.41,34.42,33.38,3460000.0,-0.008199999999999999
2000-07-18,32.73,33.78,33.81,32.5,3680000.0,-0.0308
2000-07-19,32.48,33.05,33.95,31.91,4300000.0,-0.0076
2000-07-20,34.31,33.16,34.44,32.62,5470000.0,0.056299999999999996
2000-07-21,33.67,34.05,34.53,32.84,7380000.0,-0.0187
2000-07-24,31.3,33.29,33.62,30.84,6860000.0,-0.0704
2000-07-25,31.72,31.76,32.03,30.75,6170000.0,0.0134
2000-07-26,30.98,31.37,31.64,30.5,5660000.0,-0.0233
2000-07-27,28.38,30.76,32.06,27.44,12140000.0,-0.0839
2000-07-28,27.84,28.51,29.28,26.56,6610000.0,-0.019
2000-07-31,28.62,28.02,28.81,25.75,11460000.0,0.027999999999999997
2000-08-01,28.61,29.38,29.56,28.25,5920000.0,-0.0003
2000-08-02,29.08,28.77,29.71,28.5,5340000.0,0.016399999999999998
2000-08-03,28.44,27.58,28.62,27.0,7310000.0,-0.022000000000000002
2000-08-04,29.19,29.03,29.89,28.47,3660000.0,0.0264
2000-08-07,30.52,29.33,30.55,28.62,4090000.0,0.045599999999999995
2000-08-08,30.36,30.41,30.8,29.42,3930000.0,-0.0052
2000-08-09,29.08,30.81,31.0,29.0,3710000.0,-0.042199999999999994
2000-08-10,28.2,29.19,29.19,28.02,4460000.0,-0.030299999999999997
2000-08-11,28.89,28.06,29.3,27.53,3410000.0,0.0245
2000-08-14,30.41,29.19,30.45,28.81,4080000.0,0.0526
2000-08-15,30.03,30.38,30.88,29.5,3040000.0,-0.0125
2000-08-16,28.98,29.94,30.86,28.25,3820000.0,-0.035
2000-08-17,31.22,28.89,31.25,28.88,6040000.0,0.07730000000000001
2000-08-18,30.64,30.83,31.03,30.09,4210000.0,-0.018600000000000002
2000-08-21,29.97,30.9,31.0,29.5,2970000.0,-0.0219
2000-08-22,30.56,30.12,31.0,30.0,2990000.0,0.0197
2000-08-23,31.52,30.08,31.69,29.91,3900000.0,0.031400000000000004
2000-08-24,32.38,31.55,32.39,30.58,5270000.0,0.0273
2000-08-25,32.22,32.22,32.53,31.67,2720000.0,-0.0049
2000-08-28,32.59,32.59,33.38,32.08,4370000.0,0.0115
2000-08-29,32.91,32.91,33.31,32.62,2580000.0,0.0098
2000-08-30,32.39,32.66,32.75,31.83,2580000.0,-0.0158
2000-08-31,32.5,32.5,33.38,32.12,3680000.0,0.0034000000000000002
2000-09-01,33.83,33.23,34.06,32.88,4190000.0000000005,0.0409
2000-09-05,33.31,34.0,34.25,33.31,2020000.0,-0.0154
2000-09-06,31.88,33.27,33.44,31.72,3550000.0,-0.0429
2000-09-07,34.23,32.38,34.25,32.28,5600000.0,0.0737
2000-09-08,33.47,33.91,34.5,32.89,4990000.0,-0.0222
2000-09-11,31.81,33.19,33.2,31.38,6670000.0,-0.0496
2000-09-12,30.7,31.5,32.28,30.38,6550000.0,-0.0349
2000-09-13,31.48,30.45,32.12,30.44,8359999.999999999,0.0254
2000-09-14,31.34,31.78,31.94,31.0,6310000.0,-0.0044
2000-09-15,33.16,32.77,34.06,32.5,20240000.0,0.0581
2000-09-18,35.5,33.58,35.88,33.5,15120000.0,0.0706
2000-09-19,38.22,35.84,39.39,35.5,19300000.0,0.0766
2000-09-20,39.44,37.52,39.72,36.69,11590000.0,0.0319
2000-09-21,39.25,38.91,39.81,38.59,9900000.0,-0.0048
2000-09-22,37.39,37.69,38.38,37.06,12000000.0,-0.047400000000000005
2000-09-25,36.91,38.11,38.5,36.69,9360000.0,-0.0128
2000-09-26,37.83,36.72,37.95,36.28,7230000.0,0.024900000000000002
2000-09-27,37.09,38.0,38.12,36.5,7340000.0,-0.0196
2000-09-28,40.12,37.34,40.5,37.06,12960000.0,0.0817
2000-09-29,38.81,38.98,40.06,38.41,15860000.0,-0.0327
2000-10-02,40.75,39.34,41.77,39.0,14670000.0,0.05
2000-10-03,40.86,41.12,42.55,40.84,12940000.0,0.0027
2000-10-04,39.5,40.63,41.17,38.75,16010000.000000002,-0.0333
2000-10-05,37.12,39.06,40.25,36.68,10930000.0,-0.0603
2000-10-06,36.91,37.0,38.59,35.08,12730000.0,-0.005699999999999999
2000-10-09,37.42,37.03,38.12,36.17,6670000.0,0.0138
2000-10-10,35.92,36.42,37.16,35.03,9880000.0,-0.0401
2000-10-11,37.67,35.0,37.88,34.98,14560000.0,0.0487
2000-10-12,32.7,37.84,37.88,32.31,14030000.0,-0.1319
2000-10-13,36.28,32.78,36.38,32.5,10050000.0,0.10949999999999999
2000-10-16,35.45,36.19,37.22,35.38,6970000.0,-0.0229
2000-10-17,33.23,34.0,34.02,31.48,16649999.999999998,-0.0626
2000-10-18,32.27,32.06,34.28,30.73,9760000.0,-0.028900000000000002
2000-10-19,34.39,33.31,34.5,32.75,7580000.0,0.06570000000000001
2000-10-20,35.02,34.0,35.16,33.88,6850000.0,0.0183
2000-10-23,35.14,34.81,35.81,33.5,6260000.0,0.0034000000000000002
2000-10-24,33.8,35.75,36.34,33.75,7650000.0,-0.0381
2000-10-25,33.75,33.2,36.19,32.81,6070000.0,-0.0015
2000-10-26,36.22,34.02,36.28,32.0,8160000.0,0.0732
2000-10-27,37.41,36.45,37.75,35.22,8140000.000000001,0.0329
2000-10-30,34.81,37.28,38.88,34.75,6470000.0,-0.0695
2000-10-31,38.03,35.23,38.07,34.62,8100000.0,0.0925
2000-11-01,38.62,37.62,38.69,36.81,7110000.0,0.0155
2000-11-02,40.41,39.25,41.5,39.22,7080000.0,0.0463
2000-11-03,40.34,41.2,41.88,39.88,5570000.0,-0.0017000000000000001
2000-11-06,41.62,42.41,43.66,40.94,10550000.0,0.0317
2000-11-07,41.12,39.91,41.5,39.0,7820000.0,-0.012
2000-11-08,40.12,42.13,42.19,39.12,7390000.0,-0.024300000000000002
2000-11-09,41.59,39.09,41.81,38.47,7170000.0,0.0366
2000-11-10,38.72,40.25,41.12,38.16,7810000.0,-0.069
2000-11-13,36.03,37.19,38.62,35.5,6600000.0,-0.0695
2000-11-14,40.81,38.0,41.0,37.5,6370000.0,0.13269999999999998
2000-11-15,40.59,40.12,40.84,39.34,4450000.0,-0.0054
2000-11-16,40.75,39.94,42.03,39.62,5070000.0,0.0039000000000000003
2000-11-17,41.38,39.44,42.34,39.34,7960000.0,0.0155
2000-11-20,38.0,39.41,40.06,37.28,6720000.0,-0.0817
2000-11-21,40.0,37.81,40.09,36.75,8490000.0,0.0526
2000-11-22,36.16,39.34,39.94,36.09,7440000.0,-0.096
2000-11-24,37.94,37.31,38.12,36.59,2710000.0,0.0492
2000-11-27,34.41,36.31,36.5,34.12,11170000.0,-0.09300000000000001
2000-11-28,32.39,34.16,34.22,32.22,12420000.0,-0.0587
2000-11-29,32.16,31.2,33.94,31.12,9140000.0,-0.0070999999999999995
2000-11-30,31.69,31.34,33.0,31.12,9840000.0,-0.0146
2000-12-01,33.66,33.0,35.19,32.0,7360000.0,0.0622
2000-12-04,34.03,33.75,34.69,32.31,6880000.0,0.011000000000000001
2000-12-05,38.34,35.28,38.78,34.25,9600000.0,0.1267
2000-12-06,33.59,36.81,37.69,32.69,16010000.000000002,-0.12390000000000001
2000-12-07,31.5,32.92,34.81,31.16,11310000.0,-0.0622
2000-12-08,34.19,33.34,35.97,33.03,9740000.0,0.08539999999999999
2000-12-11,37.06,35.0,37.13,34.62,6810000.0,0.0839
2000-12-12,35.34,36.56,37.47,35.06,3930000.0,-0.0464
2000-12-13,33.09,36.03,36.03,32.75,5060000.0,-0.0637
2000-12-14,28.66,29.25,30.38,28.25,23100000.0,-0.13390000000000002
2000-12-15,31.22,29.5,31.72,29.19,21340000.0,0.08929999999999999
2000-12-18,31.78,31.75,32.66,31.25,8500000.0,0.0179
2000-12-19,32.0,32.69,34.5,31.97,9620000.0,0.0069
2000-12-20,28.62,30.49,31.81,28.31,10590000.0,-0.1056
2000-12-21,29.91,28.88,30.94,28.25,7400000.0,0.0451
2000-12-22,32.84,31.0,32.94,30.69,5160000.0,0.098
2000-12-26,32.97,32.69,33.41,31.25,3350000.0,0.004
2000-12-27,32.75,33.67,33.88,32.12,4230000.0,-0.0067
2000-12-28,30.81,32.22,32.75,30.03,6040000.0,-0.0592
2000-12-29,29.09,30.84,31.0,28.31,7630000.0,-0.0558
2001-01-02,23.37,29.19,29.25,22.38,16810000.0,-0.1966
2001-01-03,28.97,23.22,30.06,22.03,15260000.0,0.2396
2001-01-04,26.88,28.5,29.38,26.5,9610000.0,-0.0721
2001-01-05,25.75,26.75,27.5,25.0,8420000.0,-0.042
2001-01-08,24.78,24.97,25.75,22.75,8500000.0,-0.0377
2001-01-09,24.91,24.84,27.19,24.69,6550000.0,0.0052
2001-01-10,22.88,24.53,25.22,22.81,14140000.0,-0.0815
2001-01-11,24.03,22.59,25.88,22.59,11450000.0,0.050300000000000004
2001-01-12,25.22,25.0,26.28,24.59,10660000.0,0.0495
2001-01-16,25.44,25.31,26.34,24.41,6430000.0,0.0087
2001-01-17,26.75,26.41,27.44,25.88,9900000.0,0.051500000000000004
2001-01-18,28.0,26.84,29.19,26.06,12530000.0,0.0467
2001-01-19,29.12,29.41,30.0,28.66,10370000.0,0.04
2001-01-22,29.97,28.78,30.81,28.69,10550000.0,0.0292
2001-01-23,29.72,29.84,30.0,28.94,6970000.0,-0.0083
2001-01-24,30.06,30.12,30.22,29.0,8109999.999999999,0.011399999999999999
2001-01-25,28.53,29.81,29.88,27.88,10330000.0,-0.0509
2001-01-26,29.03,28.62,29.5,28.31,5030000.0,0.0175
2001-01-29,27.0,29.16,29.25,26.7,10980000.0,-0.0699
2001-01-30,26.38,27.03,27.44,25.53,13080000.0,-0.023
2001-01-31,21.84,23.66,24.5,21.19,38110000.0,-0.1721
2001-02-01,22.72,22.22,22.84,22.09,23640000.0,0.0403
2001-02-02,21.78,23.12,23.22,21.75,10870000.0,-0.0414
2001-02-05,22.69,21.97,22.75,21.81,9010000.0,0.0418
2001-02-06,22.0,22.19,22.81,21.28,13660000.0,-0.0304
2001-02-07,20.16,21.55,21.88,19.91,16920000.0,-0.0836
2001-02-08,17.97,20.44,20.89,17.91,24280000.0,-0.10859999999999999
2001-02-09,17.69,18.31,18.5,17.62,16250000.0,-0.015600000000000001
2001-02-12,18.94,17.84,18.97,17.66,8310000.000000001,0.0707
2001-02-13,18.59,19.09,19.44,18.53,10270000.0,-0.018500000000000003
2001-02-14,20.03,18.5,20.12,17.97,9140000.0,0.0775
2001-02-15,19.47,20.5,20.69,19.12,11730000.0,-0.027999999999999997
2001-02-16,18.16,18.78,19.38,18.0,15530000.0,-0.0673
2001-02-20,17.12,17.94,18.46,17.03,11590000.0,-0.057300000000000004
2001-02-21,15.03,16.91,17.25,15.0,22440000.0,-0.12210000000000001
2001-02-22,15.22,15.34,15.84,14.22,32100000.0,0.0126
2001-02-23,16.31,15.5,16.44,14.78,13000000.0,0.0716
2001-02-26,15.84,16.75,16.78,15.56,10710000.0,-0.0288
2001-02-27,15.25,15.75,16.25,14.89,14330000.0,-0.037200000000000004
