Date,Close,Open,High,Low,Volume,Change
2008-04-03,30.71,30.13,30.91,29.97,3220000.0,0.0115
2008-04-04,30.67,30.68,31.06,30.35,3660000.0,-0.0013
2008-04-07,30.63,30.75,30.93,30.3,4059999.9999999995,-0.0013
2008-04-08,29.9,30.4,30.42,29.72,3000000.0,-0.023799999999999998
2008-04-09,30.02,29.97,30.12,29.26,3280000.0,0.004
2008-04-10,31.56,30.71,31.75,30.6,6180000.0,0.0513
2008-04-11,30.34,31.12,31.3,30.27,3160000.0,-0.0387
2008-04-14,29.85,30.39,30.49,29.82,2210000.0,-0.016200000000000003
2008-04-15,30.22,29.76,30.32,29.5,3350000.0,0.0124
2008-04-16,31.44,30.55,31.55,30.54,4670000.0,0.0404
2008-04-17,31.13,31.48,31.52,30.8,3420000.0,-0.009899999999999999
2008-04-18,31.66,31.59,32.08,31.44,3260000.0,0.017
2008-04-21,32.63,31.8,32.73,31.42,5120000.0,0.030600000000000002
2008-04-22,31.34,32.39,32.4,31.07,4340000.0,-0.0395
2008-04-23,32.11,31.4,32.78,31.4,4260000.0,0.0246
2008-04-24,32.36,32.01,32.66,31.52,3440000.0,0.0078000000000000005
2008-04-25,32.2,32.36,32.5,31.64,3160000.0,-0.0049
2008-04-28,32.28,32.35,32.43,31.94,3110000.0,0.0025
2008-04-29,32.43,32.55,32.76,32.29,3470000.0,0.0046
2008-04-30,32.21,32.5,32.78,31.97,4680000.0,-0.0068000000000000005
2008-05-01,33.6,32.25,33.92,32.23,5810000.0,0.0432
2008-05-02,33.32,33.8,33.93,32.72,5180000.0,-0.0083
2008-05-05,33.64,33.27,33.97,33.13,5640000.0,0.0096
2008-05-06,34.3,33.8,34.44,33.4,4890000.0,0.0196
2008-05-07,34.11,34.3,34.63,33.96,4990000.0,-0.0055000000000000005
2008-05-08,33.73,34.11,34.19,33.46,4120000.0,-0.0111
2008-05-09,34.14,33.21,34.33,33.21,3610000.0,0.012199999999999999
2008-05-12,34.2,34.2,34.31,33.85,3650000.0,0.0018
2008-05-13,34.46,34.47,34.6,34.24,3440000.0,0.0076
2008-05-14,34.65,34.53,35.42,34.46,3600000.0,0.0055000000000000005
2008-05-15,35.4,34.73,35.48,34.5,4130000.0,0.0216
2008-05-16,35.46,35.39,35.5,34.71,4280000.0,0.0017000000000000001
2008-05-19,35.7,35.66,36.35,35.48,4960000.0,0.0068000000000000005
2008-05-20,34.75,35.46,35.52,34.28,6380000.0,-0.026600000000000002
2008-05-21,33.35,32.75,33.75,32.46,11840000.0,-0.0403
2008-05-22,33.81,33.3,34.27,33.28,5760000.0,0.0138
2008-05-23,33.81,33.78,33.88,33.13,3670000.0,0.0
2008-05-27,34.6,33.8,34.81,33.8,4650000.0,0.023399999999999997
2008-05-28,34.32,34.63,34.81,34.09,3450000.0,-0.008100000000000001
2008-05-29,34.41,34.12,34.73,34.03,4340000.0,0.0026
2008-05-30,35.11,34.41,35.4,34.41,4810000.0,0.0203
2008-06-02,34.87,35.03,35.32,34.37,4470000.0,-0.0068000000000000005
2008-06-03,35.19,35.12,35.54,34.66,6690000.0,0.0092
2008-06-04,35.87,35.15,36.17,35.1,6030000.0,0.019299999999999998
2008-06-05,36.03,36.01,36.28,35.59,4800000.0,0.0045000000000000005
2008-06-06,34.8,36.08,36.08,34.8,5390000.0,-0.0341
2008-06-09,34.66,34.88,35.07,34.05,5400000.0,-0.004
2008-06-10,33.96,34.26,34.34,33.53,5750000.0,-0.0202
2008-06-11,32.84,33.93,33.93,32.84,6230000.0,-0.033
2008-06-12,33.07,32.95,33.47,32.74,5210000.0,0.006999999999999999
2008-06-13,33.93,33.12,33.95,33.12,4170000.0,0.026000000000000002
2008-06-16,34.25,33.8,34.5,33.8,4690000.0,0.009399999999999999
2008-06-17,33.75,34.32,34.59,33.75,4710000.0,-0.0146
2008-06-18,32.79,33.34,33.71,32.62,4600000.0,-0.028399999999999998
2008-06-19,33.78,32.69,34.06,32.69,5220000.0,0.0302
2008-06-20,33.25,33.46,33.75,32.92,4900000.0,-0.015700000000000002
2008-06-23,32.83,33.35,33.84,32.79,2740000.0,-0.0126
2008-06-24,33.1,32.7,33.65,32.66,3430000.0,0.008199999999999999
2008-06-25,33.43,33.17,34.41,33.14,4190000.0000000005,0.01
2008-06-26,32.0,33.0,33.09,31.89,5930000.0,-0.042800000000000005
2008-06-27,31.7,32.08,32.17,31.35,3940000.0,-0.009399999999999999
2008-06-30,31.77,31.71,32.4,31.61,4830000.0,0.0022
2008-07-01,31.72,31.49,31.77,31.02,4540000.0,-0.0016
2008-07-02,31.24,31.8,33.1,30.99,4960000.0,-0.0151
2008-07-03,30.71,31.45,31.49,30.42,3000000.0,-0.017
2008-07-07,30.92,31.0,32.06,30.61,7100000.0,0.0068000000000000005
2008-07-08,31.06,30.98,31.2,30.26,7270000.0,0.0045000000000000005
2008-07-09,29.74,30.66,30.87,29.74,6620000.0,-0.0425
2008-07-10,30.1,29.8,30.3,29.35,6000000.0,0.0121
2008-07-11,30.34,29.7,30.74,29.47,5740000.0,0.008
2008-07-14,30.0,30.71,30.77,29.65,4510000.0,-0.011200000000000002
2008-07-15,30.32,29.87,30.84,29.55,6430000.0,0.010700000000000001
2008-07-16,31.45,30.47,31.7,30.11,5590000.0,0.0373
2008-07-17,31.83,31.56,32.1,31.07,3920000.0,0.0121
2008-07-18,31.65,31.83,31.83,30.92,3310000.0,-0.005699999999999999
2008-07-21,31.26,31.82,32.06,30.9,3240000.0,-0.0123
2008-07-22,30.23,30.44,30.68,29.85,5960000.0,-0.0329
2008-07-23,30.89,30.22,31.23,30.0,4460000.0,0.0218
2008-07-24,29.99,30.71,30.75,29.91,3220000.0,-0.0291
2008-07-25,30.11,30.1,30.2,29.54,4160000.0,0.004
2008-07-28,29.46,29.96,30.19,29.38,3570000.0,-0.0216
2008-07-29,29.96,29.5,30.37,29.45,3280000.0,0.017
2008-07-30,30.67,30.11,30.8,30.03,3840000.0,0.023700000000000002
2008-07-31,30.51,30.31,31.15,30.31,4130000.0,-0.0052
2008-08-01,30.2,30.55,30.75,29.79,2810000.0,-0.0102
2008-08-04,30.15,30.25,30.51,30.06,2330000.0,-0.0017000000000000001
2008-08-05,31.1,30.45,31.15,30.27,3470000.0,0.0315
2008-08-06,31.49,31.05,31.64,30.61,2930000.0,0.0125
2008-08-07,31.51,31.39,32.09,31.06,3810000.0,0.0006
2008-08-08,32.26,31.49,32.34,31.25,3430000.0,0.023799999999999998
2008-08-11,32.7,32.06,33.27,32.06,3230000.0,0.013600000000000001
2008-08-12,32.39,32.45,32.71,32.17,3120000.0,-0.0095
2008-08-13,32.41,32.5,32.8,32.19,2710000.0,0.0006
2008-08-14,32.86,32.14,33.03,32.09,2950000.0,0.0139
2008-08-15,32.57,33.53,33.53,32.45,2970000.0,-0.0088
2008-08-18,32.18,32.59,32.78,31.82,2680000.0,-0.012
2008-08-19,32.14,32.06,32.57,31.77,5790000.0,-0.0012
2008-08-20,29.29,31.14,31.4,29.03,11060000.0,-0.08869999999999999
2008-08-21,28.7,29.14,29.27,28.55,6950000.0,-0.020099999999999996
2008-08-22,28.84,28.97,29.13,28.65,5550000.0,0.0049
2008-08-25,28.36,28.79,28.89,28.34,4160000.0,-0.0166
2008-08-26,28.13,28.4,28.47,27.97,4710000.0,-0.008100000000000001
2008-08-27,28.19,27.95,28.28,27.71,3860000.0,0.0021
2008-08-28,28.18,28.27,28.45,28.07,3910000.0,-0.0004
2008-08-29,27.96,28.01,28.15,27.75,3140000.0,-0.0078000000000000005
