Date,Close,Open,High,Low,Volume,Change
2000-01-03,8.34,8.5,8.66,8.03,2850000.0,-0.0118
2000-01-04,7.94,8.05,8.12,7.88,3350000.0,-0.048
2000-01-05,7.44,7.75,7.77,7.34,4300000.0,-0.063
2000-01-06,6.98,7.38,7.47,6.91,3860000.0,-0.061799999999999994
2000-01-07,7.81,7.02,7.88,7.0,6390000.0,0.1189
2000-01-10,7.72,7.91,8.03,7.5,1180000.0,-0.0115
2000-01-11,7.52,7.62,7.81,7.52,934000.0,-0.0259
2000-01-12,7.39,7.5,7.53,7.2,1120000.0,-0.0173
2000-01-13,7.31,7.39,7.66,7.27,1220000.0,-0.0108
2000-01-14,7.53,7.35,7.53,7.31,1230000.0,0.0301
2000-01-18,7.33,7.44,7.5,7.25,1620000.0,-0.026600000000000002
2000-01-19,7.55,7.27,7.66,7.27,3190000.0,0.03
2000-01-20,7.56,7.56,7.77,7.47,1370000.0,0.0013
2000-01-21,7.69,7.59,7.72,7.52,1970000.0,0.0172
2000-01-24,8.41,7.86,8.72,7.78,8450000.0,0.09359999999999999
2000-01-25,8.27,8.35,8.53,8.09,2770000.0,-0.0166
2000-01-26,8.08,8.12,8.31,8.08,3570000.0,-0.023
2000-01-27,8.12,8.08,8.25,8.0,2780000.0,0.005
2000-01-28,7.72,8.0,8.08,7.72,1510000.0,-0.0493
2000-01-31,7.64,7.66,7.78,7.44,1860000.0,-0.0104
2000-02-01,7.92,7.55,8.0,7.47,698800.0,0.0366
2000-02-02,7.97,7.88,8.12,7.66,1250000.0,0.0063
2000-02-03,8.25,8.0,8.31,7.97,3370000.0,0.0351
2000-02-04,8.17,8.25,8.3,7.88,1590000.0,-0.0097
2000-02-07,9.14,8.19,9.31,8.17,11130000.0,0.11869999999999999
2000-02-08,9.88,9.22,10.05,9.19,12840000.0,0.081
2000-02-09,9.52,9.75,9.83,9.12,3870000.0,-0.0364
2000-02-10,9.53,9.58,9.88,9.33,1760000.0,0.0011
2000-02-11,9.22,9.56,9.67,9.14,1700000.0,-0.0325
2000-02-14,9.3,9.17,9.7,8.99,3270000.0,0.0087
2000-02-15,9.2,9.28,9.31,8.94,1970000.0,-0.0108
2000-02-16,9.31,9.19,9.41,9.14,2140000.0,0.012
2000-02-17,9.69,9.31,9.78,9.25,3690000.0,0.0408
2000-02-18,9.52,9.64,9.78,9.31,3000000.0,-0.0175
2000-02-22,9.03,9.47,9.5,8.75,3320000.0,-0.051500000000000004
2000-02-23,9.62,9.19,9.66,9.19,3070000.0,0.0653
2000-02-24,10.27,9.59,10.53,9.59,12790000.0,0.0676
2000-02-25,12.0,10.75,12.25,10.75,18200000.0,0.1685
2000-02-28,11.39,11.88,11.88,10.97,7660000.0,-0.0508
2000-02-29,11.17,11.25,11.34,10.88,8180000.0,-0.019299999999999998
2000-03-01,11.2,11.16,11.39,11.0,4730000.0,0.0027
2000-03-02,10.98,11.16,11.42,10.94,5230000.0,-0.0196
2000-03-03,11.48,10.98,11.75,10.98,10900000.0,0.0455
2000-03-06,11.77,11.52,11.91,11.44,5150000.0,0.0253
2000-03-07,12.0,11.75,12.36,11.75,12370000.0,0.0195
2000-03-08,12.0,12.03,12.12,11.67,6500000.0,0.0
2000-03-09,12.58,12.06,12.59,12.03,10480000.0,0.0483
2000-03-10,13.72,13.38,14.02,13.11,10580000.0,0.0906
2000-03-13,13.23,13.12,13.31,12.77,6470000.0,-0.035699999999999996
2000-03-14,13.19,13.27,13.42,13.09,4920000.0,-0.003
2000-03-15,12.78,13.05,13.12,12.05,5450000.0,-0.0311
2000-03-16,12.73,12.74,12.77,11.56,5090000.0,-0.0039000000000000003
2000-03-17,12.28,12.47,12.66,11.75,6840000.0,-0.0353
2000-03-20,12.25,12.27,12.47,11.94,6200000.0,-0.0024
2000-03-21,12.8,12.27,12.81,12.03,5070000.0,0.0449
2000-03-22,12.55,12.83,12.83,12.41,4080000.0,-0.0195
2000-03-23,12.64,12.44,12.81,12.25,4260000.0,0.0072
2000-03-24,12.44,12.62,12.94,12.27,4050000.0,-0.0158
2000-03-27,12.55,12.59,12.81,12.47,2180000.0,0.0088
2000-03-28,12.22,12.39,12.47,12.1,3160000.0,-0.0263
2000-03-29,11.38,12.06,12.14,11.19,4660000.0,-0.0687
2000-03-30,11.09,11.2,11.56,10.94,4890000.0,-0.0255
2000-03-31,11.38,11.09,11.38,10.41,3740000.0,0.026099999999999998
2000-04-03,11.0,11.25,11.36,10.88,5560000.0,-0.0334
2000-04-04,11.05,11.03,11.26,9.75,10300000.0,0.0045000000000000005
2000-04-05,11.33,10.95,11.91,10.83,6670000.0,0.0253
2000-04-06,11.22,11.65,11.75,11.11,2240000.0,-0.0097
2000-04-07,11.53,11.23,11.78,11.22,1970000.0,0.0276
2000-04-10,11.08,11.47,11.78,11.06,931200.0,-0.039
2000-04-11,10.7,11.0,11.28,10.66,2310000.0,-0.034300000000000004
2000-04-12,9.73,10.72,10.97,9.59,4790000.0,-0.0907
2000-04-13,9.75,9.88,10.53,9.48,2880000.0,0.0021
2000-04-14,8.95,9.42,9.73,8.95,3040000.0,-0.0821
2000-04-17,9.36,8.89,9.45,8.88,3780000.0,0.0458
2000-04-18,9.8,9.42,9.88,9.25,2180000.0,0.047
2000-04-19,9.94,9.74,10.22,9.5,1550000.0,0.0143
2000-04-20,9.16,9.95,9.95,9.06,2580000.0,-0.0785
2000-04-24,9.11,9.03,9.3,8.56,2230000.0,-0.0055000000000000005
2000-04-25,9.64,9.03,9.73,9.03,1380000.0,0.0582
2000-04-26,9.09,9.69,9.69,9.0,1250000.0,-0.0571
2000-04-27,9.16,8.81,9.25,8.75,2140000.0,0.0077
2000-04-28,9.59,9.22,9.66,9.19,754800.0,0.046900000000000004
2000-05-01,10.06,9.69,10.31,9.69,2500000.0,0.049
2000-05-02,9.77,10.08,10.14,9.62,1160000.0,-0.0288
2000-05-03,9.03,9.66,9.67,8.92,1850000.0,-0.0757
2000-05-04,9.36,9.12,9.45,9.03,1310000.0,0.0365
2000-05-05,9.66,9.42,9.66,9.16,1030000.0,0.0321
2000-05-08,9.17,9.51,9.56,9.12,1360000.0,-0.0507
2000-05-09,8.77,9.27,9.37,8.56,2920000.0,-0.0436
2000-05-10,8.31,8.77,8.78,8.25,2400000.0,-0.0525
2000-05-11,8.64,8.38,8.81,8.38,1430000.0,0.0397
2000-05-12,8.81,8.67,9.0,8.53,1210000.0,0.0197
2000-05-15,9.47,8.8,9.5,8.8,1920000.0,0.07490000000000001
2000-05-16,10.0,9.64,10.03,9.5,1560000.0,0.055999999999999994
2000-05-17,9.89,9.92,9.94,9.61,2210000.0,-0.011000000000000001
2000-05-18,9.66,10.0,10.02,9.62,938400.0,-0.0233
2000-05-19,8.89,9.41,10.06,8.75,2740000.0,-0.0797
2000-05-22,9.14,8.99,9.14,8.12,1980000.0,0.0281
2000-05-23,9.31,9.02,9.42,8.95,1930000.0,0.018600000000000002
2000-05-24,9.0,9.25,9.31,8.64,2130000.0,-0.0333
2000-05-25,8.94,9.02,9.31,8.84,1610000.0,-0.0067
2000-05-26,8.86,8.91,9.16,8.78,1530000.0,-0.0089
2000-05-30,9.48,8.84,9.62,8.84,1400000.0,0.07
2000-05-31,9.3,9.48,10.06,9.23,636400.0,-0.019
2000-06-01,9.52,9.25,9.61,9.2,1200000.0,0.023700000000000002
2000-06-02,10.3,9.55,10.5,9.55,3290000.0,0.0819
2000-06-05,10.14,10.19,10.34,10.05,1420000.0,-0.0155
2000-06-06,9.95,10.12,10.16,9.81,1410000.0,-0.0187
2000-06-07,9.69,9.88,9.89,9.48,1180000.0,-0.026099999999999998
2000-06-08,9.28,9.69,10.02,9.2,1190000.0,-0.042300000000000004
