Date,Close,Open,High,Low,Volume,Change
2000-01-03,321.25,344.19,345.5,311.0,285600.0,-0.0194
2000-01-04,300.0,320.0,321.5,300.0,215900.0,-0.0661
2000-01-05,283.5,283.62,299.62,262.0,1180000.0,-0.055
2000-01-06,236.12,272.0,278.12,235.25,797500.0,-0.1671
2000-01-07,248.38,238.12,254.5,238.0,729100.0,0.0519
2000-01-10,285.5,259.12,286.25,249.56,1140000.0,0.1494
2000-01-11,278.44,295.12,298.0,267.25,481000.0,-0.024700000000000003
2000-01-12,254.0,288.0,289.25,250.0,1010000.0,-0.08779999999999999
2000-01-13,232.81,260.38,260.5,218.38,1030000.0,-0.0834
2000-01-14,230.0,248.31,254.62,229.0,641500.0,-0.0121
2000-01-18,211.5,229.06,229.06,207.5,822200.0,-0.08039999999999999
2000-01-19,224.75,212.0,233.0,212.0,1370000.0,0.0626
2000-01-20,234.0,229.5,235.75,220.0,916400.0,0.0412
2000-01-21,269.0,235.0,275.0,229.75,1230000.0,0.1496
2000-01-24,262.06,271.94,284.44,258.62,886600.0,-0.0258
2000-01-25,279.31,264.0,282.0,254.62,369800.0,0.0658
2000-01-26,277.5,278.0,288.0,274.06,596900.0,-0.006500000000000001
2000-01-27,281.12,266.75,290.0,264.0,544100.0,0.013000000000000001
2000-01-28,270.06,266.12,285.06,255.0,418300.0,-0.0393
2000-01-31,249.12,264.12,267.0,235.06,675900.0,-0.0775
2000-02-01,239.06,255.25,256.47,235.38,328100.0,-0.0404
2000-02-02,233.62,239.12,245.0,231.25,314400.0,-0.022799999999999997
2000-02-03,245.38,240.0,252.0,239.88,479800.0,0.050300000000000004
2000-02-04,235.0,247.62,254.0,230.41,330200.0,-0.042300000000000004
2000-02-07,228.62,230.0,233.0,216.0,1580000.0,-0.0271
2000-02-08,240.94,241.12,246.0,232.06,684100.0,0.053899999999999997
2000-02-09,234.88,241.25,244.0,233.0,672500.0,-0.0252
2000-02-10,229.0,236.75,236.88,227.0,422800.0,-0.025
2000-02-11,233.06,229.06,241.0,226.12,393000.0,0.0177
2000-02-14,230.38,233.56,238.75,226.81,419000.0,-0.0115
2000-02-15,222.5,231.75,233.0,217.0,380600.0,-0.0342
2000-02-16,246.12,229.75,252.0,228.19,1090000.0,0.10619999999999999
2000-02-17,252.0,246.25,253.0,235.5,702300.0,0.0239
2000-02-18,241.69,246.0,247.0,239.25,502700.0,-0.0409
2000-02-22,242.12,238.62,244.0,238.38,374400.0,0.0018
2000-02-23,252.06,246.0,260.5,233.5,497000.0,0.041100000000000005
2000-02-24,274.81,253.5,275.38,253.0,739600.0,0.09029999999999999
2000-02-25,267.06,274.25,275.0,261.0,493500.0,-0.0282
2000-02-28,256.75,263.38,265.38,248.31,456200.0,-0.038599999999999995
2000-02-29,261.25,259.28,262.75,250.0,252100.0,0.0175
2000-03-01,278.62,259.38,285.88,259.31,688000.0,0.0665
2000-03-02,268.0,282.19,290.69,265.0,556600.0,-0.0381
2000-03-03,268.38,278.25,286.62,265.88,585100.0,0.0014000000000000002
2000-03-06,254.0,270.5,278.81,252.75,363500.0,-0.0536
2000-03-07,262.44,260.0,268.19,255.0,585900.0,0.0332
2000-03-08,265.0,264.19,269.06,249.0,400700.0,0.0098
2000-03-09,286.0,267.88,288.0,265.16,465200.0,0.07919999999999999
2000-03-10,296.0,288.06,305.94,288.0,669300.0,0.035
2000-03-13,284.75,274.0,302.5,273.94,453300.0,-0.038
2000-03-14,269.75,292.5,292.75,266.0,343600.0,-0.0527
2000-03-15,240.25,269.56,270.19,230.19,898700.0,-0.1094
2000-03-16,229.12,243.0,245.5,215.0,826100.0,-0.0463
2000-03-17,218.94,227.0,237.5,218.5,550800.0,-0.0444
2000-03-20,213.25,218.75,227.88,209.62,1240000.0,-0.026000000000000002
2000-03-21,197.5,208.88,208.88,189.0,1340000.0,-0.0739
2000-03-22,208.5,202.25,225.0,201.31,821000.0,0.0557
2000-03-23,201.88,210.0,215.0,199.0,633900.0,-0.0318
2000-03-24,211.0,203.5,215.0,202.5,556700.0,0.0452
2000-03-27,208.69,214.25,219.5,206.12,325900.0,-0.0109
2000-03-28,199.88,207.25,207.38,199.0,493200.0,-0.042199999999999994
2000-03-29,170.0,199.44,199.44,168.0,1700000.0,-0.1495
2000-03-30,160.06,166.0,172.06,159.5,1400000.0,-0.058499999999999996
2000-03-31,160.81,172.06,172.12,155.0,841300.0,0.004699999999999999
2000-04-03,119.0,157.12,157.88,118.0,1810000.0,-0.26
