Date,Close,Open,High,Low,Volume,Change
2000-01-03,31.62,32.09,32.09,30.34,14360000.0,-0.0016
2000-01-04,30.06,30.44,31.31,30.0,22820000.0,-0.0493
2000-01-05,28.94,29.52,30.05,28.41,27790000.0,-0.0373
2000-01-06,28.98,28.56,29.72,28.06,22440000.0,0.0014000000000000002
2000-01-07,29.23,28.19,29.27,27.75,37730000.0,0.0086
2000-01-10,31.59,29.78,31.8,29.62,30210000.0,0.08070000000000001
2000-01-11,30.2,30.94,32.42,30.05,27270000.0,-0.044000000000000004
2000-01-12,31.77,30.5,31.81,29.47,30560000.0,0.052000000000000005
2000-01-13,31.12,30.91,31.88,29.91,44200000.0,-0.020499999999999997
2000-01-14,33.91,32.45,34.75,32.38,61420000.0,0.0897
2000-01-18,33.78,33.47,34.44,33.03,27730000.0,-0.0038
2000-01-19,35.59,33.88,35.81,33.56,29090000.0,0.0536
2000-01-20,35.0,35.97,36.34,34.66,28180000.0,-0.0166
2000-01-21,35.31,35.41,35.69,34.45,30850000.0,0.0089
2000-01-24,35.12,35.08,36.66,35.06,25350000.0,-0.0054
2000-01-25,36.11,35.36,36.33,33.81,32860000.0,0.0282
2000-01-26,33.58,36.02,36.11,33.52,27230000.0,-0.0701
2000-01-27,33.88,34.3,35.08,33.34,26990000.0,0.0089
2000-01-28,32.44,33.66,34.59,32.14,31500000.0,-0.0425
2000-01-31,34.31,32.17,34.39,32.06,30350000.0,0.0576
2000-02-01,35.12,33.44,35.34,33.31,22790000.0,0.0236
2000-02-02,35.95,35.02,36.78,34.91,27900000.0,0.0236
2000-02-03,37.12,36.23,37.5,36.23,23600000.0,0.0325
2000-02-04,36.34,37.41,37.72,36.22,19000000.0,-0.021
2000-02-07,38.41,36.38,38.55,36.0,21440000.0,0.057
2000-02-08,40.28,38.69,40.38,38.12,37100000.0,0.0487
2000-02-09,40.93,39.8,42.14,39.78,37760000.0,0.0161
2000-02-10,43.69,40.94,43.69,40.31,27660000.0,0.0674
2000-02-11,41.25,43.22,43.58,40.88,33140000.0,-0.0558
2000-02-14,40.27,41.91,42.41,39.94,30710000.0,-0.023799999999999998
2000-02-15,41.62,40.97,42.31,39.95,41100000.0,0.0335
2000-02-16,43.34,43.75,44.44,42.88,50970000.0,0.041299999999999996
2000-02-17,47.09,43.52,47.23,42.47,47540000.0,0.08650000000000001
2000-02-18,44.44,47.08,47.44,44.25,35270000.0,-0.056299999999999996
2000-02-22,44.7,44.09,46.0,43.36,30180000.0,0.0059
2000-02-23,45.25,44.62,46.06,44.41,24000000.0,0.0123
2000-02-24,45.88,45.06,46.69,44.69,27140000.0,0.0139
2000-02-25,43.08,45.92,46.34,42.75,26220000.0,-0.061
2000-02-28,44.22,43.44,44.81,41.78,34050000.0,0.0265
2000-02-29,45.73,45.0,46.12,44.91,27230000.0,0.0341
2000-03-01,46.16,45.88,46.38,45.36,19690000.0,0.009399999999999999
2000-03-02,45.13,45.81,46.72,45.06,17370000.0,-0.0223
2000-03-03,47.69,46.09,47.75,45.97,23430000.0,0.0567
2000-03-06,46.0,47.8,48.34,45.39,21450000.0,-0.0354
2000-03-07,46.03,46.56,47.92,45.88,24900000.0,0.0007000000000000001
2000-03-08,44.83,46.37,46.44,43.27,32930000.0,-0.026099999999999998
2000-03-09,47.58,44.62,47.62,43.52,22630000.0,0.0613
2000-03-10,48.27,47.03,49.23,46.73,24830000.0,0.014499999999999999
2000-03-13,46.98,46.37,47.75,46.12,27820000.0,-0.026699999999999998
2000-03-14,44.69,47.88,48.06,44.62,34930000.0,-0.0487
2000-03-15,42.8,44.72,45.19,42.12,50150000.0,-0.042300000000000004
2000-03-16,43.97,43.75,45.38,40.75,31680000.0,0.0273
2000-03-17,47.93,45.06,48.28,44.97,25240000.0,0.0901
2000-03-20,47.0,47.59,48.75,46.56,22010000.0,-0.0194
2000-03-21,49.0,47.22,49.44,46.0,19910000.0,0.0426
2000-03-22,52.38,48.97,52.56,48.5,18570000.0,0.069
2000-03-23,51.22,52.12,54.62,51.0,19090000.0,-0.022099999999999998
2000-03-24,53.41,52.72,55.0,51.75,21550000.0,0.042800000000000005
2000-03-27,54.28,53.97,55.0,52.75,14460000.0,0.0163
2000-03-28,51.03,53.94,54.12,50.5,18760000.0,-0.0599
2000-03-29,48.41,51.31,51.34,48.06,22670000.0,-0.0513
2000-03-30,46.5,47.31,49.0,43.62,28130000.0,-0.0395
2000-03-31,47.12,47.0,48.47,44.06,34750000.0,0.013300000000000001
2000-04-03,44.62,47.78,48.38,43.5,25760000.0,-0.053099999999999994
2000-04-04,49.06,46.69,50.12,42.5,47590000.0,0.09949999999999999
2000-04-05,52.09,48.12,55.12,48.0,43660000.0,0.061799999999999994
2000-04-06,53.34,53.25,55.62,52.19,27910000.0,0.024
2000-04-07,57.44,54.0,57.5,53.56,24500000.0,0.07690000000000001
2000-04-10,51.69,57.19,57.31,51.62,31960000.0,-0.1001
2000-04-11,52.31,50.88,55.62,49.84,38130000.0,0.012
2000-04-12,48.78,53.53,54.38,47.56,38650000.0,-0.0675
2000-04-13,44.5,50.5,51.12,44.47,50300000.0,-0.0877
2000-04-14,40.16,44.16,44.16,39.0,56500000.0,-0.0975
2000-04-17,48.31,40.56,48.34,39.47,42180000.0,0.2029
2000-04-18,50.5,48.5,50.56,47.5,35030000.0,0.0453
2000-04-19,45.75,50.97,51.0,45.06,26400000.0,-0.0941
2000-04-20,46.56,46.81,47.47,45.31,22050000.0,0.0177
2000-04-24,45.62,44.12,46.0,42.5,27600000.0,-0.0202
2000-04-25,47.66,46.88,48.53,46.19,29230000.0,0.0447
2000-04-26,45.22,47.94,50.0,44.91,28790000.0,-0.0512
2000-04-27,50.16,44.56,51.12,44.31,34260000.0,0.1092
2000-04-28,50.91,51.47,52.97,50.25,28240000.0,0.015
2000-05-01,49.97,51.84,52.38,49.19,23930000.0,-0.018500000000000003
2000-05-02,48.06,49.56,51.62,48.0,20800000.0,-0.0382
2000-05-03,47.25,47.75,48.25,45.0,25260000.0,-0.0169
2000-05-04,48.88,48.38,49.44,46.88,30630000.0,0.0345
2000-05-05,50.94,50.28,51.44,50.12,28780000.0,0.0421
2000-05-08,47.84,50.28,51.5,47.47,30610000.0,-0.060899999999999996
2000-05-09,45.31,48.53,48.81,45.12,34370000.0,-0.0529
2000-05-10,42.31,44.91,45.12,41.75,65730000.00000001,-0.0662
2000-05-11,42.62,41.5,43.38,39.91,79710000.0,0.0073
2000-05-12,42.22,43.41,44.75,41.88,28630000.0,-0.009399999999999999
2000-05-15,44.5,42.25,44.5,40.81,21820000.0,0.054000000000000006
2000-05-16,46.47,45.91,47.12,44.75,30440000.0,0.0443
2000-05-17,44.81,45.44,47.0,44.75,27820000.0,-0.035699999999999996
2000-05-18,42.5,45.28,45.38,42.41,21190000.0,-0.0516
2000-05-19,40.09,42.25,42.75,39.62,37000000.0,-0.0567
2000-05-22,39.66,40.38,40.5,35.81,49380000.0,-0.010700000000000001
2000-05-23,35.94,39.06,40.16,35.75,41470000.0,-0.09380000000000001
2000-05-24,39.22,36.06,39.97,34.41,51910000.0,0.0913
2000-05-25,38.34,39.62,42.0,37.5,41080000.0,-0.022400000000000003
2000-05-26,37.16,38.62,39.5,36.41,22060000.0,-0.0308
2000-05-30,42.47,38.88,42.56,38.72,28430000.0,0.1429
2000-05-31,41.75,42.38,43.88,41.53,33100000.0,-0.017
2000-06-01,43.88,43.0,44.62,42.75,26070000.0,0.051
2000-06-02,46.78,47.38,47.75,46.19,28360000.0,0.0661
2000-06-05,46.81,45.75,47.75,45.0,24250000.0,0.0006
2000-06-06,44.66,46.62,47.53,44.5,20780000.0,-0.045899999999999996
2000-06-07,46.78,45.19,46.91,44.72,20220000.0,0.0475
2000-06-08,46.34,47.44,47.88,45.62,14850000.0,-0.009399999999999999
