Date,Close,Open,High,Low,Volume,Change
2000-01-03,15.5,14.97,15.59,14.69,7840000.0,0.0712
2000-01-04,14.62,15.12,15.5,14.59,6290000.0,-0.056799999999999996
2000-01-05,15.0,14.53,15.06,14.0,8199999.999999999,0.026000000000000002
2000-01-06,16.0,15.5,16.0,14.94,11490000.0,0.0667
2000-01-07,16.25,15.41,16.41,15.38,8540000.0,0.015600000000000001
2000-01-10,17.5,16.75,17.75,16.69,12920000.0,0.07690000000000001
2000-01-11,17.25,17.5,17.97,16.97,6680000.0,-0.0143
2000-01-12,18.12,17.0,18.38,16.81,8820000.0,0.0504
2000-01-13,18.88,18.38,18.88,17.56,7540000.0,0.04190000000000001
2000-01-14,20.19,18.56,20.28,18.5,15010000.0,0.0694
2000-01-18,19.5,20.0,20.62,19.34,10870000.0,-0.0342
2000-01-19,19.88,19.88,20.5,19.41,8930000.0,0.0195
2000-01-20,19.5,21.75,22.56,19.0,28840000.0,-0.0191
2000-01-21,18.94,19.56,19.56,18.06,11720000.0,-0.0287
2000-01-24,17.25,18.62,19.22,16.91,10270000.0,-0.0892
2000-01-25,20.0,17.28,20.25,17.25,10810000.0,0.1594
2000-01-26,18.5,18.81,19.12,18.28,7600000.0,-0.075
2000-01-27,18.47,19.0,19.5,18.44,6170000.0,-0.0016
2000-01-28,17.62,18.59,18.88,17.19,6870000.0,-0.046
2000-01-31,18.0,17.62,18.12,17.22,4290000.0,0.0216
2000-02-01,18.28,18.25,18.38,17.5,5110000.0,0.015600000000000001
2000-02-02,18.03,18.16,18.25,17.78,4080000.0,-0.0137
2000-02-03,19.5,18.38,19.69,18.16,9520000.0,0.0815
2000-02-04,19.28,19.5,20.06,19.19,7110000.0,-0.0113
2000-02-07,20.66,19.28,20.66,19.06,6060000.0,0.0716
2000-02-08,20.69,20.5,21.0,19.59,8580000.0,0.0015
2000-02-09,21.03,20.69,21.19,20.25,7810000.0,0.016399999999999998
2000-02-10,21.25,21.03,21.38,20.66,6370000.0,0.0105
2000-02-11,22.75,21.38,22.75,20.91,14930000.0,0.0706
2000-02-14,21.62,22.41,22.75,21.06,8750000.0,-0.049699999999999994
2000-02-15,21.75,21.75,22.38,21.19,8670000.0,0.006
2000-02-16,21.88,21.88,22.59,21.69,7580000.0,0.006
2000-02-17,21.5,22.09,22.09,21.06,5440000.0,-0.0174
2000-02-18,21.5,21.19,21.81,20.0,6450000.0,0.0
2000-02-22,20.91,20.12,21.22,19.81,5420000.0,-0.0274
2000-02-23,20.53,20.84,20.97,20.53,2930000.0,-0.0182
2000-02-24,21.28,20.75,21.47,20.34,4090000.0,0.0365
2000-02-25,20.25,20.78,21.19,19.62,10910000.0,-0.0484
2000-02-28,18.88,20.16,20.16,18.81,8850000.0,-0.0677
2000-02-29,19.75,19.69,20.12,19.5,8300000.000000001,0.0461
2000-03-01,20.25,19.94,20.69,19.84,6550000.0,0.0253
2000-03-02,19.62,20.22,20.22,19.25,4540000.0,-0.0311
2000-03-03,20.75,19.88,21.0,19.88,6910000.0,0.0576
2000-03-06,23.75,23.0,24.5,23.0,22460000.0,0.1446
2000-03-07,27.5,24.72,29.5,24.5,25750000.0,0.15789999999999998
2000-03-08,26.75,27.75,27.75,24.0,13470000.0,-0.0273
2000-03-09,29.06,26.34,30.0,25.25,13410000.0,0.0864
2000-03-10,26.0,26.56,27.12,25.0,16850000.0,-0.10529999999999999
2000-03-13,25.75,24.16,26.62,24.12,7740000.0,-0.0096
