Date,Close,Open,High,Low,Volume,Change
2000-01-03,2.77,2.72,2.78,2.72,52400.0,0.0073
2000-01-04,2.69,2.81,2.81,2.66,1360000.0,-0.028900000000000002
2000-01-05,2.7,2.68,2.7,2.66,336400.0,0.0037
2000-01-06,2.7,2.69,2.7,2.53,238800.0,0.0
2000-01-07,2.7,2.59,2.7,2.59,44800.0,0.0
2000-01-10,2.72,2.7,2.72,2.64,166000.0,0.0074
2000-01-11,2.66,2.68,2.72,2.59,734000.0,-0.022099999999999998
2000-01-12,2.59,2.63,2.64,2.53,138400.0,-0.0263
2000-01-13,2.5,2.57,2.57,2.44,113600.0,-0.0347
2000-01-14,2.48,2.44,2.55,2.41,323600.0,-0.008
2000-01-18,2.48,2.48,2.5,2.48,298000.0,0.0
2000-01-19,2.47,2.5,2.5,2.44,276000.0,-0.004
2000-01-20,2.58,2.5,2.58,2.44,393200.0,0.044500000000000005
2000-01-21,2.64,2.58,2.64,2.5,221600.0,0.0233
2000-01-24,2.72,2.59,2.8,2.59,69200.0,0.030299999999999997
2000-01-25,2.8,2.78,2.92,2.72,137200.0,0.0294
2000-01-26,2.75,2.8,2.8,2.72,30800.0,-0.0179
2000-01-27,2.69,2.73,2.73,2.69,28800.0,-0.0218
2000-01-28,2.56,2.62,2.69,2.56,84000.0,-0.0483
2000-01-31,2.56,2.59,2.69,2.56,133600.0,0.0
2000-02-01,2.66,2.59,2.69,2.56,84400.0,0.0391
2000-02-02,2.69,2.55,2.69,2.52,37200.0,0.0113
2000-02-03,2.58,2.55,2.58,2.55,14800.0,-0.0409
2000-02-04,2.59,2.5,2.59,2.5,60000.0,0.0039000000000000003
2000-02-07,2.56,2.55,2.69,2.52,121600.0,-0.0116
2000-02-08,2.78,2.58,2.86,2.56,186800.0,0.0859
2000-02-09,3.14,2.94,3.25,2.91,976000.0,0.1295
2000-02-10,3.38,3.28,3.5,3.28,828000.0,0.0764
2000-02-11,3.14,3.39,3.44,2.97,408800.0,-0.071
2000-02-14,3.14,3.12,3.25,3.09,848800.0,0.0
2000-02-15,3.08,3.17,3.19,3.03,548400.0,-0.0191
2000-02-16,3.11,3.07,3.11,3.0,989600.0,0.0097
2000-02-17,3.33,3.12,3.56,3.09,1080000.0,0.0707
2000-02-18,3.28,3.47,3.56,3.27,596400.0,-0.015
2000-02-22,3.22,3.31,3.31,3.19,471600.0,-0.0183
2000-02-23,3.38,3.25,3.53,3.16,550800.0,0.049699999999999994
2000-02-24,3.0,3.34,3.34,2.95,1590000.0,-0.1124
2000-02-25,3.0,3.04,3.08,2.97,355200.0,0.0
2000-02-28,3.09,3.06,3.19,2.97,1060000.0,0.03
2000-02-29,3.22,3.19,3.22,3.09,1580000.0,0.0421
2000-03-01,3.28,3.22,3.31,3.19,634800.0,0.018600000000000002
2000-03-02,3.22,3.38,3.44,3.19,1180000.0,-0.0183
2000-03-03,3.38,3.34,3.44,3.25,3090000.0,0.049699999999999994
2000-03-06,3.44,3.44,3.59,3.41,5240000.0,0.0178
2000-03-07,3.58,3.71,3.75,3.56,5400000.0,0.0407
2000-03-08,3.5,3.66,3.66,3.44,2730000.0,-0.0223
2000-03-09,3.25,3.52,3.53,3.16,800800.0,-0.07139999999999999
2000-03-10,3.06,3.22,3.25,3.03,649600.0,-0.058499999999999996
2000-03-13,3.11,3.03,3.2,3.0,1010000.0,0.0163
2000-03-14,3.25,3.16,3.31,3.16,1010000.0,0.045
2000-03-15,3.2,3.28,3.28,3.14,906400.0,-0.0154
2000-03-16,3.17,3.19,3.31,3.16,792800.0,-0.009399999999999999
2000-03-17,3.12,3.31,3.34,3.11,1210000.0,-0.0158
2000-03-20,3.08,3.19,3.28,3.0,230400.0,-0.0128
2000-03-21,2.8,3.08,3.12,2.46,882400.0,-0.0909
2000-03-22,2.47,2.91,2.92,2.42,1930000.0,-0.11789999999999999
2000-03-23,2.62,2.45,2.66,2.25,1530000.0,0.060700000000000004
2000-03-24,2.55,2.62,2.62,2.52,1040000.0,-0.026699999999999998
2000-03-27,2.55,2.55,2.61,2.45,802800.0,0.0
2000-03-28,2.75,2.61,2.81,2.59,818800.0,0.0784
2000-03-29,2.75,2.72,2.84,2.69,594000.0,0.0
2000-03-30,2.62,2.69,2.72,2.56,516400.0,-0.0473
2000-03-31,2.69,2.66,2.72,2.59,281600.0,0.026699999999999998
2000-04-03,2.55,2.69,2.7,2.52,555600.0,-0.052000000000000005
2000-04-04,2.48,2.55,2.55,2.38,709600.0,-0.0275
2000-04-05,2.7,2.48,2.88,2.44,298000.0,0.08869999999999999
2000-04-06,2.75,2.69,2.88,2.59,261200.0,0.018500000000000003
2000-04-07,2.75,2.84,2.94,2.67,304400.0,0.0
2000-04-10,2.72,2.83,2.84,2.64,206800.0,-0.0109
2000-04-11,2.5,2.72,2.72,2.48,182000.0,-0.0809
2000-04-12,2.5,2.52,2.69,2.47,356400.0,0.0
2000-04-13,2.47,2.57,2.66,2.44,451600.0,-0.012
2000-04-14,2.17,2.47,2.5,2.02,699600.0,-0.1215
2000-04-17,2.2,2.12,2.25,2.06,766400.0,0.0138
2000-04-18,2.25,2.25,2.48,2.22,400400.0,0.0227
2000-04-19,2.36,2.28,2.5,2.14,872400.0,0.0489
2000-04-20,2.72,2.41,2.88,2.34,732800.0,0.1525
2000-04-24,2.66,2.75,2.75,2.59,440800.0,-0.022099999999999998
2000-04-25,2.66,2.62,2.7,2.59,579600.0,0.0
2000-04-26,2.73,2.7,2.75,2.66,415600.0,0.0263
