Date,Close,Open,High,Low,Volume,Change
2000-01-03,64.06,65.12,65.25,61.12,4600000.0,0.0416
2000-01-04,60.91,63.0,63.62,60.62,2760000.0,-0.0492
2000-01-05,57.41,60.31,60.5,56.44,5070000.0,-0.0575
2000-01-06,52.5,58.0,58.69,52.5,4520000.0,-0.0855
2000-01-07,55.81,51.25,56.12,50.0,5530000.0,0.063
2000-01-10,62.16,58.97,63.75,57.69,2920000.0,0.11380000000000001
2000-01-11,57.5,60.69,62.38,56.5,3540000.0,-0.075
2000-01-12,60.31,57.78,60.75,55.12,3770000.0,0.0489
2000-01-13,60.88,62.03,63.31,59.94,4050000.0,0.0095
2000-01-14,67.78,62.88,69.84,62.25,9220000.0,0.1133
2000-01-18,76.28,67.81,78.69,66.38,6530000.0,0.12539999999999998
2000-01-19,77.5,76.75,80.31,72.0,7220000.0,0.016
2000-01-20,73.38,80.0,82.38,73.25,5940000.0,-0.053200000000000004
2000-01-21,74.78,75.09,76.44,73.09,4160000.0,0.0191
2000-01-24,69.81,77.25,77.25,69.19,4480000.0,-0.0665
2000-01-25,70.03,70.56,70.75,66.94,3420000.0,0.0032
2000-01-26,69.78,70.06,71.56,68.25,3400000.0,-0.0036
2000-01-27,69.12,70.31,72.69,67.66,2970000.0,-0.0095
2000-01-28,67.44,68.44,69.97,66.12,2920000.0,-0.024300000000000002
2000-01-31,68.62,66.5,68.69,61.66,3860000.0,0.0175
2000-02-01,71.19,68.81,71.19,65.06,2700000.0,0.0375
2000-02-02,71.5,71.25,74.25,70.5,3510000.0,0.0044
2000-02-03,75.59,72.59,76.75,71.62,4980000.0,0.0572
2000-02-04,76.78,77.0,79.88,75.5,4190000.0000000005,0.015700000000000002
2000-02-07,79.56,78.25,79.75,74.53,2370000.0,0.0362
2000-02-08,84.88,80.88,85.38,80.0,4680000.0,0.0669
2000-02-09,87.61,86.34,90.94,84.25,4420000.0,0.0322
2000-02-10,90.62,89.38,91.5,86.5,3160000.0,0.0344
2000-02-11,87.92,90.62,91.28,86.5,3100000.0,-0.0298
2000-02-14,87.12,89.12,89.25,84.0,3140000.0,-0.0091
2000-02-15,85.5,86.88,87.31,83.5,2460000.0,-0.018600000000000002
2000-02-16,84.06,84.64,90.0,83.0,4480000.0,-0.0168
2000-02-17,88.12,84.88,88.5,83.0,3360000.0,0.0483
2000-02-18,86.5,89.88,89.88,86.0,2520000.0,-0.0184
2000-02-22,84.12,87.12,90.38,83.25,2420000.0,-0.0275
2000-02-23,89.31,85.75,94.38,83.5,3090000.0,0.0617
2000-02-24,96.5,95.0,97.0,90.0,3370000.0,0.0805
2000-02-25,100.06,98.69,106.23,96.56,4240000.0,0.0369
2000-02-28,103.06,101.62,104.73,92.25,3680000.0,0.03
2000-02-29,105.44,104.81,108.88,103.31,2700000.0,0.0231
2000-03-01,104.0,106.0,106.62,102.38,2100000.0,-0.0137
2000-03-02,97.25,103.44,103.44,96.38,2560000.0,-0.0649
2000-03-03,106.25,102.0,107.5,98.88,4900000.0,0.0925
2000-03-06,118.56,107.75,119.75,105.5,4480000.0,0.1159
2000-03-07,113.0,121.12,122.31,109.75,4280000.0,-0.046900000000000004
2000-03-08,107.69,116.12,116.19,105.0,3660000.0,-0.047
2000-03-09,108.56,108.62,111.75,103.0,2710000.0,0.008100000000000001
2000-03-10,107.5,108.88,110.5,105.5,3000000.0,-0.0098
2000-03-13,102.94,103.0,105.94,101.5,2830000.0,-0.0424
2000-03-14,98.5,105.25,108.5,98.5,3090000.0,-0.0431
2000-03-15,88.12,101.12,101.19,85.19,6590000.0,-0.1054
2000-03-16,98.0,91.0,98.62,83.0,7010000.0,0.1121
2000-03-17,98.38,97.38,103.5,94.5,3300000.0,0.0039000000000000003
2000-03-20,95.0,98.75,104.0,94.81,3700000.0,-0.0344
2000-03-21,96.38,94.75,97.38,86.5,5430000.0,0.014499999999999999
2000-03-22,92.38,95.5,96.5,91.5,3160000.0,-0.0415
2000-03-23,90.0,89.62,95.75,88.31,3670000.0,-0.0258
2000-03-24,98.0,92.38,103.0,92.0,4099999.9999999995,0.0889
2000-03-27,101.12,99.19,106.62,98.75,2510000.0,0.0318
2000-03-28,94.5,101.5,103.0,94.5,2440000.0,-0.0655
2000-03-29,85.88,98.12,98.12,84.31,5350000.0,-0.09119999999999999
2000-03-30,72.12,84.0,85.5,65.75,20110000.0,-0.1602
2000-03-31,66.25,76.69,76.69,65.0,11090000.0,-0.0814
2000-04-03,66.5,68.25,73.75,64.5,10420000.0,0.0038
2000-04-04,65.12,68.0,69.0,52.0,10140000.0,-0.0208
2000-04-05,68.25,62.06,70.69,61.0,6280000.0,0.0481
2000-04-06,70.94,71.75,75.5,70.5,5400000.0,0.0394
2000-04-07,77.62,74.25,78.0,73.25,3450000.0,0.0942
2000-04-10,83.69,83.56,85.75,80.0,8160000.0,0.0782
2000-04-11,79.75,79.94,84.5,74.88,5850000.0,-0.0471
2000-04-12,68.75,80.0,80.12,67.94,4360000.0,-0.1379
2000-04-13,59.75,71.38,71.62,59.5,6290000.0,-0.1309
2000-04-14,54.25,56.75,59.0,51.94,7560000.0,-0.09210000000000002
2000-04-17,59.25,48.0,63.0,48.0,7060000.0,0.0922
2000-04-18,66.12,61.81,66.88,61.75,4120000.0,0.1159
2000-04-19,65.25,69.0,70.31,63.25,4510000.0,-0.0132
2000-04-20,52.25,62.12,62.12,50.62,16440000.000000002,-0.19920000000000002
2000-04-24,46.31,50.94,50.94,45.5,5860000.0,-0.1137
2000-04-25,57.69,50.0,58.0,50.0,6460000.0,0.2457
2000-04-26,53.25,57.62,58.5,51.62,6260000.0,-0.077
2000-04-27,56.19,48.88,57.44,48.88,5520000.0,0.0552
2000-04-28,61.06,58.31,61.5,58.06,5040000.0,0.0867
2000-05-01,56.0,63.94,64.88,55.12,7120000.0,-0.08289999999999999
2000-05-02,48.62,55.75,56.06,48.5,13040000.0,-0.1318
2000-05-03,44.56,48.69,48.69,42.06,13010000.0,-0.08349999999999999
2000-05-04,45.5,46.12,47.62,44.25,6810000.0,0.021099999999999997
2000-05-05,43.38,45.5,46.88,42.75,6250000.0,-0.0466
2000-05-08,43.94,42.62,45.38,41.0,6000000.0,0.0129
2000-05-09,41.06,44.5,44.5,40.06,7700000.0,-0.0655
2000-05-10,43.0,40.19,45.25,38.75,8359999.999999999,0.0472
2000-05-11,47.75,45.38,48.62,43.5,10070000.0,0.1105
2000-05-12,52.62,49.69,53.12,49.0,11330000.0,0.102
2000-05-15,51.88,52.06,52.25,48.69,4400000.0,-0.0141
2000-05-16,53.12,54.38,55.25,50.0,5210000.0,0.0239
2000-05-17,54.17,51.69,56.38,50.5,5460000.0,0.019799999999999998
