Date,Close,Open,High,Low,Volume,Change
2000-01-03,59.75,60.62,61.5,56.5,793000.0,0.0482
2000-01-04,58.97,58.5,65.0,58.0,1150000.0,-0.0131
2000-01-05,55.41,60.09,60.09,54.09,1620000.0,-0.0604
2000-01-06,51.06,55.5,55.56,50.94,978400.0,-0.0785
2000-01-07,49.31,50.0,53.94,47.25,1320000.0,-0.034300000000000004
2000-01-10,51.03,52.5,52.5,49.25,1200000.0,0.0349
2000-01-11,50.25,51.78,54.25,49.53,1350000.0,-0.015300000000000001
2000-01-12,47.38,51.22,51.47,46.75,1020000.0,-0.0571
2000-01-13,46.47,48.5,49.5,44.62,1560000.0,-0.0192
2000-01-14,49.0,48.19,52.5,45.78,1900000.0,0.054400000000000004
2000-01-18,56.44,50.94,57.0,49.97,1750000.0,0.1518
2000-01-19,55.28,57.44,59.75,54.0,1070000.0,-0.0206
2000-01-20,59.73,57.0,60.0,55.53,921000.0,0.0805
2000-01-21,64.91,60.94,67.5,58.88,2150000.0,0.0867
2000-01-24,65.0,67.0,71.06,64.0,2110000.0,0.0014000000000000002
2000-01-25,66.75,66.5,68.0,62.44,2130000.0,0.0269
2000-01-26,57.25,64.5,64.81,57.0,4600000.0,-0.1423
2000-01-27,53.75,58.59,60.0,51.88,2300000.0,-0.0611
2000-01-28,49.25,51.12,55.5,48.81,1980000.0,-0.0837
2000-01-31,47.0,48.97,49.88,42.88,2900000.0,-0.045700000000000005
2000-02-01,48.12,47.97,49.31,45.25,1710000.0,0.023799999999999998
2000-02-02,50.75,48.22,51.88,48.06,2300000.0,0.0547
2000-02-03,48.22,52.25,53.25,46.88,2490000.0,-0.0499
2000-02-04,47.12,49.12,49.19,46.25,1330000.0,-0.022799999999999997
2000-02-07,48.0,46.72,48.5,45.88,972600.0,0.0187
2000-02-08,47.75,49.0,50.75,47.56,1380000.0,-0.0052
2000-02-09,46.06,49.16,49.16,45.44,2140000.0,-0.0354
2000-02-10,44.75,47.16,47.16,44.59,2069999.9999999998,-0.028399999999999998
2000-02-11,49.19,45.62,52.5,44.5,4460000.0,0.0992
2000-02-14,51.0,50.41,53.38,49.88,2029999.9999999998,0.0368
2000-02-15,49.97,50.75,51.5,47.5,1600000.0,-0.0202
2000-02-16,48.06,49.97,50.75,47.5,1170000.0,-0.0382
2000-02-17,51.75,48.56,53.0,48.06,2060000.0,0.0768
2000-02-18,48.5,50.94,51.0,48.44,758400.0,-0.06280000000000001
2000-02-22,47.0,48.38,48.47,45.31,1220000.0,-0.030899999999999997
2000-02-23,46.28,47.53,48.5,46.0,1270000.0,-0.015300000000000001
2000-02-24,46.28,46.31,47.75,45.62,875400.0,0.0
2000-02-25,47.59,46.5,49.5,46.5,3130000.0,0.028300000000000002
2000-02-28,46.75,48.0,48.38,46.0,1240000.0,-0.0177
2000-02-29,45.0,46.72,47.5,44.5,2470000.0,-0.0374
2000-03-01,45.94,45.78,46.25,43.47,2540000.0,0.0209
2000-03-02,45.12,47.38,47.38,44.19,1140000.0,-0.0178
2000-03-03,48.34,46.0,52.12,45.0,4470000.0,0.07139999999999999
2000-03-06,53.75,48.5,54.78,48.49,2820000.0,0.1119
2000-03-07,53.62,56.06,59.5,52.12,2760000.0,-0.0024
2000-03-08,49.5,53.62,54.09,49.0,2380000.0,-0.0768
2000-03-09,54.5,49.12,57.34,48.53,2340000.0,0.10099999999999999
2000-03-10,57.88,57.5,59.44,56.0,2380000.0,0.062
2000-03-13,54.84,55.81,58.5,53.75,1930000.0,-0.0525
2000-03-14,50.0,56.12,58.09,50.0,2180000.0,-0.0883
2000-03-15,46.38,52.38,52.38,46.0,2400000.0,-0.0724
2000-03-16,46.53,47.97,48.38,43.0,2490000.0,0.0032
2000-03-17,47.62,47.25,49.25,46.25,859800.0,0.023399999999999997
2000-03-20,45.03,47.69,48.75,44.38,1500000.0,-0.054400000000000004
2000-03-21,44.38,44.53,46.5,42.5,2270000.0,-0.0144
2000-03-22,44.94,45.62,47.0,44.34,2060000.0,0.0126
2000-03-23,43.72,44.97,46.12,43.5,1880000.0,-0.0271
2000-03-24,41.66,43.78,45.0,40.78,2640000.0,-0.0471
2000-03-27,43.34,42.25,44.47,41.75,1340000.0,0.0403
2000-03-28,42.0,43.75,43.75,41.28,920800.0,-0.030899999999999997
2000-03-29,38.75,42.06,42.69,37.25,3040000.0,-0.0774
2000-03-30,35.53,38.06,40.81,32.5,2029999.9999999998,-0.08310000000000001
2000-03-31,33.88,36.25,36.94,31.06,3220000.0,-0.0464
2000-04-03,29.19,33.75,33.75,28.41,2190000.0,-0.1384
2000-04-04,33.5,30.5,33.5,20.81,3940000.0,0.1477
2000-04-05,32.06,30.69,36.0,29.75,2800000.0,-0.043
2000-04-06,34.47,34.12,36.0,32.5,1330000.0,0.07519999999999999
2000-04-07,36.56,35.75,38.0,35.12,1390000.0,0.060599999999999994
2000-04-10,33.12,38.12,38.25,32.53,1420000.0,-0.0941
2000-04-11,32.5,31.5,33.25,30.0,1920000.0,-0.0187
2000-04-12,28.31,31.56,32.62,28.0,1330000.0,-0.12890000000000001
2000-04-13,28.22,28.5,30.88,26.0,1590000.0,-0.0032
2000-04-14,22.12,25.31,27.38,21.56,2240000.0,-0.2162
2000-04-17,24.41,18.62,25.0,18.5,2330000.0,0.1035
2000-04-18,28.38,24.94,29.62,24.56,1410000.0,0.16260000000000002
2000-04-19,27.5,28.78,29.84,26.22,1340000.0,-0.031
2000-04-20,26.38,27.56,27.94,25.12,1200000.0,-0.0407
2000-04-24,26.06,23.56,27.06,22.62,2190000.0,-0.0121
2000-04-25,29.35,27.75,29.62,27.5,2970000.0,0.12619999999999998
2000-04-26,22.06,23.0,24.5,20.03,15330000.0,-0.2484
2000-04-27,22.5,20.75,23.5,20.25,3200000.0,0.0199
2000-04-28,23.34,23.5,24.12,22.75,1800000.0,0.0373
2000-05-01,21.75,23.84,24.12,21.5,1960000.0,-0.0681
