Date,Close,Open,High,Low,Volume,Change
2000-01-03,40.6,43.04,43.31,39.6,4650000.0,-0.0554
2000-01-04,36.67,39.77,39.83,36.35,6010000.0,-0.0968
2000-01-05,35.83,36.67,36.87,34.42,9400000.0,-0.0229
2000-01-06,35.0,35.58,36.08,34.81,7240000.0,-0.0232
2000-01-07,38.96,35.33,38.96,35.29,11070000.0,0.1131
2000-01-10,39.33,40.25,40.31,38.71,5440000.0,0.0095
2000-01-11,35.81,38.0,38.21,35.71,5810000.0,-0.0895
2000-01-12,34.58,36.17,36.21,34.33,5900000.0,-0.034300000000000004
2000-01-13,38.92,35.0,39.17,34.5,8189999.999999999,0.1255
2000-01-14,37.33,39.33,39.42,37.12,5630000.0,-0.0409
2000-01-18,41.83,37.4,43.04,37.33,10890000.0,0.12050000000000001
2000-01-19,44.56,41.9,46.67,41.54,13850000.0,0.0653
2000-01-20,51.92,46.33,52.62,46.17,18880000.0,0.16519999999999999
2000-01-21,54.0,52.31,54.42,50.0,13560000.0,0.0401
2000-01-24,51.67,54.0,58.5,51.33,13180000.0,-0.0431
2000-01-25,50.42,50.92,51.67,49.15,12120000.0,-0.0242
2000-01-26,52.0,51.0,53.25,50.83,19960000.0,0.0313
2000-01-27,54.0,52.92,58.83,52.81,14710000.0,0.0385
2000-01-28,49.0,53.83,55.5,48.5,11950000.0,-0.0926
2000-01-31,51.42,49.02,52.83,48.25,9000000.0,0.049400000000000006
2000-02-01,49.08,50.0,50.58,48.35,9310000.0,-0.0455
2000-02-02,49.42,49.12,49.98,48.75,7190000.0,0.0069
2000-02-03,51.42,50.0,51.42,48.42,9300000.0,0.0405
2000-02-04,54.96,52.67,55.96,52.33,9870000.0,0.0688
2000-02-07,55.21,54.87,55.21,52.67,5970000.0,0.0045000000000000005
2000-02-08,56.6,56.0,56.75,53.42,6990000.0,0.0252
2000-02-09,55.0,56.54,56.56,54.4,4880000.0,-0.028300000000000002
2000-02-10,57.17,54.67,59.92,53.46,8510000.0,0.0395
2000-02-11,55.25,57.29,57.62,54.58,4730000.0,-0.0336
2000-02-14,60.0,55.33,60.17,54.19,12050000.0,0.086
2000-02-15,58.58,59.62,60.29,58.17,10080000.0,-0.023700000000000002
2000-02-16,59.33,58.58,59.75,57.77,6400000.0,0.0128
2000-02-17,63.69,59.75,64.17,59.54,10390000.0,0.0735
2000-02-18,64.44,63.69,64.98,63.33,8010000.0,0.0118
2000-02-22,63.33,65.33,66.02,61.46,7690000.0,-0.0172
2000-02-23,62.75,63.67,63.75,62.12,7910000.0,-0.0092
2000-02-24,64.08,63.21,64.75,62.25,5970000.0,0.0212
2000-02-25,62.6,64.42,64.5,61.5,4480000.0,-0.0231
2000-02-28,59.92,62.37,62.54,56.17,10690000.0,-0.042800000000000005
2000-02-29,62.67,60.5,62.83,60.29,8170000.0,0.045899999999999996
2000-03-01,67.67,63.33,67.67,63.31,9390000.0,0.07980000000000001
2000-03-02,68.62,66.67,69.08,64.0,8550000.0,0.013999999999999999
2000-03-03,68.42,68.96,69.31,66.71,8630000.0,-0.0029
2000-03-06,69.87,69.08,70.81,67.29,7220000.0,0.0212
2000-03-07,65.67,71.33,72.29,64.83,9950000.0,-0.0601
2000-03-08,62.96,66.96,68.04,60.75,11710000.0,-0.041299999999999996
2000-03-09,63.75,63.87,66.29,61.48,8170000.0,0.0125
2000-03-10,63.83,65.25,67.0,62.33,6100000.0,0.0013
2000-03-13,61.52,61.0,62.52,60.33,7130000.0,-0.0362
2000-03-14,59.5,62.0,62.62,59.0,7700000.0,-0.032799999999999996
2000-03-15,56.75,58.75,58.77,56.0,11390000.0,-0.0462
2000-03-16,65.0,60.33,60.33,55.67,14790000.0,0.1454
2000-03-17,63.12,59.92,65.17,59.52,14570000.0,-0.028900000000000002
2000-03-20,65.67,64.0,66.62,63.21,8070000.0,0.0404
2000-03-21,64.0,65.08,65.31,62.62,7920000.0,-0.0254
2000-03-22,68.0,66.25,68.17,65.33,10650000.0,0.0625
2000-03-23,73.31,68.17,75.33,67.67,12720000.0,0.0781
2000-03-24,71.46,73.33,75.48,70.5,6900000.0,-0.0252
2000-03-27,69.67,71.44,71.48,69.25,5850000.0,-0.025
2000-03-28,68.27,69.6,69.6,68.0,6830000.0,-0.020099999999999996
2000-03-29,65.83,68.27,68.62,64.0,8520000.0,-0.035699999999999996
2000-03-30,62.67,64.5,66.04,60.02,9980000.0,-0.048
2000-03-31,64.67,62.67,65.73,60.02,9520000.0,0.0319
2000-04-03,60.31,65.33,65.33,59.98,8220000.000000001,-0.0674
2000-04-04,56.0,61.17,61.67,47.0,20240000.0,-0.07150000000000001
2000-04-05,55.33,54.67,58.17,52.67,14530000.0,-0.012
2000-04-06,58.54,55.75,58.62,55.5,8310000.000000001,0.057999999999999996
2000-04-07,65.33,59.33,66.0,59.33,8080000.0,0.11599999999999999
2000-04-10,63.06,65.19,65.42,62.67,7560000.0,-0.0347
2000-04-11,56.75,59.33,60.08,55.0,11290000.0,-0.1001
2000-04-12,51.33,56.25,56.75,50.67,14440000.0,-0.0955
2000-04-13,51.01,51.08,56.25,49.42,14310000.0,-0.0062
2000-04-14,48.0,49.5,52.33,44.33,16480000.0,-0.059000000000000004
2000-04-17,50.83,47.08,50.83,42.83,17210000.0,0.059000000000000004
2000-04-18,52.42,49.33,53.67,48.37,12950000.0,0.0313
2000-04-19,53.33,53.5,54.62,51.33,9610000.0,0.0174
2000-04-20,50.71,53.33,53.5,50.5,6180000.0,-0.049100000000000005
2000-04-24,50.33,49.33,51.54,48.81,6940000.0,-0.0075
2000-04-25,59.0,56.0,60.0,55.83,14080000.0,0.1723
2000-04-26,60.25,60.0,61.75,59.67,8820000.0,0.0212
2000-04-27,63.31,59.67,65.0,58.81,9410000.0,0.0508
2000-04-28,65.83,64.92,67.0,64.23,7640000.0,0.0398
2000-05-01,66.5,65.33,66.92,65.33,5600000.0,0.0102
2000-05-02,63.94,66.0,66.58,63.67,6160000.0,-0.0385
2000-05-03,60.33,63.98,64.25,58.0,10080000.0,-0.0565
