Date,Close,Open,High,Low,Volume,Change
2000-01-03,116.0,112.44,116.0,111.88,10350000.0,0.0753
2000-01-04,112.06,114.0,114.5,110.88,8230000.0,-0.034
2000-01-05,116.0,112.94,119.75,112.12,12730000.0,0.0352
2000-01-06,114.0,118.0,118.94,113.5,7970000.0,-0.0172
2000-01-07,113.5,117.25,117.94,110.62,11860000.0,-0.0044
2000-01-10,118.0,117.25,119.38,115.38,8540000.0,0.039599999999999996
2000-01-11,119.0,117.88,121.12,116.62,7870000.0,0.0085
2000-01-12,119.5,119.62,122.0,118.25,6800000.0,0.0042
2000-01-13,118.25,119.94,121.0,115.75,8490000.0,-0.0105
2000-01-14,119.62,120.94,123.31,117.5,10960000.0,0.0116
2000-01-18,115.75,119.69,119.75,115.0,7640000.0,-0.032400000000000005
2000-01-19,119.5,115.56,122.0,112.69,8630000.0,0.032400000000000005
2000-01-20,119.0,123.0,124.75,119.0,17780000.0,-0.0042
2000-01-21,121.5,121.88,123.0,119.94,7870000.0,0.021
2000-01-24,121.5,121.88,122.88,116.56,6500000.0,0.0
2000-01-25,119.12,116.75,119.5,116.0,6940000.0,-0.0196
2000-01-26,116.75,119.06,119.94,116.0,4900000.0,-0.0199
2000-01-27,113.5,118.0,118.44,111.62,8330000.0,-0.0278
2000-01-28,111.56,112.75,114.19,110.06,6670000.0,-0.0171
2000-01-31,112.25,111.38,112.81,109.62,6200000.0,0.0062
2000-02-01,110.0,112.38,113.44,109.12,7300000.0,-0.02
2000-02-02,113.5,112.0,115.81,110.38,7710000.0,0.0318
2000-02-03,117.12,115.0,117.5,114.06,6210000.0,0.0319
2000-02-04,115.62,118.19,118.44,114.81,5410000.0,-0.0128
2000-02-07,114.12,116.0,116.88,113.12,5780000.0,-0.013000000000000001
2000-02-08,118.81,116.94,119.0,116.19,5470000.0,0.041100000000000005
2000-02-09,117.38,119.0,119.75,117.0,5370000.0,-0.012
2000-02-10,119.12,117.69,119.12,116.88,4450000.0,0.0148
2000-02-11,115.38,119.06,119.44,114.56,5750000.0,-0.031400000000000004
2000-02-14,116.06,116.0,116.38,114.5,4540000.0,0.0059
2000-02-15,117.12,115.88,117.44,113.88,5180000.0,0.0091
2000-02-16,115.75,116.5,117.31,115.25,3970000.0,-0.011699999999999999
2000-02-17,116.75,116.5,118.88,115.75,5240000.0,0.0086
2000-02-18,112.5,115.25,115.94,111.5,7670000.0,-0.0364
2000-02-22,111.0,112.0,113.44,108.75,7650000.0,-0.013300000000000001
2000-02-23,108.75,110.5,110.5,108.5,7440000.0,-0.0203
2000-02-24,110.5,108.81,111.0,108.19,9110000.0,0.0161
2000-02-25,108.0,109.88,109.88,104.94,10310000.0,-0.0226
2000-02-28,104.5,104.62,106.5,103.94,8480000.0,-0.032400000000000005
2000-02-29,102.75,105.56,105.56,100.94,10480000.0,-0.0167
2000-03-01,100.25,102.0,105.5,100.06,10810000.0,-0.024300000000000002
2000-03-02,103.12,100.5,105.44,99.5,11190000.0,0.0286
2000-03-03,108.0,107.25,110.0,106.06,10160000.0,0.0473
2000-03-06,103.06,109.94,111.0,101.0,10750000.0,-0.045700000000000005
2000-03-07,103.0,106.0,107.0,101.69,10040000.0,-0.0006
2000-03-08,106.25,103.0,106.88,102.75,8380000.000000001,0.0316
2000-03-09,108.0,106.5,108.0,104.12,6330000.0,0.0165
2000-03-10,105.25,107.62,109.0,105.0,7090000.0,-0.0255
2000-03-13,107.69,104.0,109.0,102.5,7870000.0,0.0232
2000-03-14,108.62,107.75,110.0,107.38,7970000.0,0.0086
2000-03-15,107.0,107.5,108.25,106.12,5670000.0,-0.0149
2000-03-16,109.0,109.0,109.81,107.88,6620000.0,0.0187
2000-03-17,110.0,108.25,111.69,107.69,8860000.0,0.0092
2000-03-20,112.75,110.0,113.38,109.94,6560000.0,0.025
2000-03-21,113.5,112.81,114.69,111.94,6770000.0,0.0067
2000-03-22,114.25,114.5,115.38,113.88,6140000.0,0.0066
2000-03-23,115.25,115.88,115.88,111.62,6490000.0,0.0088
2000-03-24,120.62,115.38,122.25,115.06,12130000.0,0.0466
2000-03-27,126.88,125.0,128.25,124.62,11860000.0,0.0519
2000-03-28,122.5,125.75,127.0,122.06,8150000.0,-0.0345
2000-03-29,119.0,122.31,122.44,118.5,7310000.0,-0.0286
2000-03-30,122.75,118.88,123.0,118.69,9160000.0,0.0315
2000-03-31,118.38,122.62,123.75,117.06,8020000.0,-0.0356
2000-04-03,122.0,120.0,122.38,119.44,7720000.0,0.030600000000000002
2000-04-04,121.19,121.5,126.94,115.06,16670000.000000002,-0.0066
2000-04-05,125.0,120.5,125.75,119.75,8450000.0,0.031400000000000004
