Date,Close,Open,High,Low,Volume,Change
2000-01-03,30.12,29.8,30.19,27.0,5070000.0,0.005
2000-01-04,30.44,28.56,31.06,28.34,6770000.0,0.0106
2000-01-05,39.22,30.97,39.97,30.75,22550000.0,0.2884
2000-01-06,35.0,36.72,37.97,35.0,8740000.0,-0.1076
2000-01-07,36.78,34.81,37.38,31.84,8540000.0,0.0509
2000-01-10,42.56,37.5,45.0,36.62,8400000.0,0.1572
2000-01-11,41.19,41.47,42.19,39.62,5690000.0,-0.0322
2000-01-12,35.56,40.88,40.91,33.19,8340000.0,-0.1367
2000-01-13,40.0,36.81,40.88,36.66,7780000.0,0.1249
2000-01-14,40.69,41.41,42.94,38.81,5880000.0,0.0172
2000-01-18,38.38,40.66,40.66,37.75,3520000.0,-0.056799999999999996
2000-01-19,37.25,38.5,39.06,36.97,3550000.0,-0.0294
2000-01-20,38.19,37.75,39.16,37.0,4420000.0,0.0252
2000-01-21,37.81,39.5,39.62,37.06,6370000.0,-0.01
2000-01-24,33.78,37.78,37.81,33.69,4460000.0,-0.1066
2000-01-25,35.16,35.0,36.12,34.06,5060000.0,0.0409
2000-01-26,32.88,35.62,36.5,32.78,2940000.0,-0.06480000000000001
2000-01-27,32.0,33.53,35.47,30.22,6130000.0,-0.0268
2000-01-28,28.88,31.53,32.69,28.31,7140000.0,-0.0975
2000-01-31,30.16,28.44,30.53,27.75,6090000.0,0.0443
2000-02-01,32.41,31.09,32.44,29.62,4480000.0,0.0746
2000-02-02,33.94,32.84,35.5,32.75,6300000.0,0.0472
2000-02-03,34.81,34.59,35.16,32.75,5150000.0,0.0256
2000-02-04,34.62,35.49,36.12,34.12,3840000.0,-0.0055000000000000005
2000-02-07,33.78,34.69,34.69,33.41,2880000.0,-0.024300000000000002
2000-02-08,34.5,34.97,36.0,34.31,4420000.0,0.0213
2000-02-09,32.62,34.66,35.15,32.47,5160000.0,-0.0545
2000-02-10,31.88,32.19,32.34,30.5,6260000.0,-0.0227
2000-02-11,30.5,31.53,31.94,29.94,5460000.0,-0.0433
2000-02-14,29.88,30.69,30.69,29.5,3170000.0,-0.0203
2000-02-15,28.72,29.69,30.5,27.5,8950000.0,-0.0388
2000-02-16,30.53,29.5,31.5,29.12,7930000.0,0.063
2000-02-17,32.16,31.59,32.31,31.0,4530000.0,0.053399999999999996
2000-02-18,30.59,32.88,32.88,29.94,4090000.0,-0.048799999999999996
2000-02-22,31.06,30.31,31.31,29.88,4720000.0,0.0154
2000-02-23,33.78,30.84,34.03,30.81,7540000.0,0.0876
2000-02-24,36.16,34.31,36.38,34.0,10620000.0,0.0705
2000-02-25,29.28,31.5,31.75,28.5,42820000.0,-0.19030000000000002
2000-02-28,26.84,29.28,29.75,26.34,11240000.0,-0.0833
2000-02-29,26.25,27.38,27.44,25.62,10890000.0,-0.022000000000000002
2000-03-01,24.12,26.31,26.94,23.88,15560000.0,-0.08109999999999999
2000-03-02,23.28,24.34,24.81,22.75,10230000.0,-0.0348
2000-03-03,26.44,25.62,27.5,24.77,11740000.0,0.13570000000000002
2000-03-06,27.53,27.75,28.62,26.91,9520000.0,0.0412
2000-03-07,25.84,28.19,28.38,25.25,6480000.0,-0.061399999999999996
2000-03-08,25.69,26.75,26.94,25.38,5500000.0,-0.0058
2000-03-09,28.12,25.25,28.19,25.0,10620000.0,0.0946
2000-03-10,29.22,27.62,29.81,27.47,9410000.0,0.0391
2000-03-13,26.75,28.66,28.72,26.72,6530000.0,-0.08449999999999999
2000-03-14,25.53,27.62,28.0,25.5,4880000.0,-0.045599999999999995
2000-03-15,25.03,26.5,26.5,24.41,6090000.0,-0.0196
2000-03-16,25.97,25.88,26.51,23.12,10410000.0,0.037599999999999995
2000-03-17,27.25,26.88,27.5,26.25,10760000.0,0.0493
2000-03-20,25.5,27.19,27.44,25.0,4200000.0,-0.0642
2000-03-21,26.47,25.5,26.53,24.12,4980000.0,0.038
2000-03-22,26.22,26.19,26.44,25.5,5360000.0,-0.009399999999999999
2000-03-23,27.97,25.5,28.38,25.31,10820000.0,0.0667
2000-03-24,29.88,28.44,30.56,28.38,18190000.0,0.0683
2000-03-27,29.47,30.0,30.69,29.22,6540000.0,-0.0137
2000-03-28,28.03,29.31,29.31,27.97,3650000.0,-0.0489
2000-03-29,25.97,28.25,28.25,25.75,7190000.0,-0.0735
2000-03-30,25.47,25.56,26.84,25.25,5660000.0,-0.019299999999999998
2000-03-31,27.19,26.0,27.5,25.44,6320000.0,0.0675
2000-04-03,24.66,26.5,26.88,24.5,4640000.0,-0.09300000000000001
2000-04-04,25.84,25.47,26.31,22.81,6050000.0,0.0479
2000-04-05,24.81,25.0,26.12,23.5,4830000.0,-0.039900000000000005
2000-04-06,24.38,25.34,25.5,23.94,4570000.0,-0.0173
2000-04-07,25.16,24.59,25.47,24.44,5080000.0,0.032
2000-04-10,20.5,23.66,23.66,20.0,18780000.0,-0.1852
2000-04-11,19.75,20.59,20.59,18.75,15840000.0,-0.0366
2000-04-12,18.72,20.25,20.5,18.06,9850000.0,-0.052199999999999996
2000-04-13,17.81,18.78,20.06,17.62,8710000.0,-0.048600000000000004
2000-04-14,16.0,17.31,20.06,15.94,8450000.0,-0.1016
2000-04-17,16.94,15.88,17.5,15.25,9900000.0,0.0588
2000-04-18,18.38,17.5,18.56,16.5,8990000.0,0.085
2000-04-19,17.47,18.75,18.75,17.22,6170000.0,-0.0495
2000-04-20,17.5,17.53,17.69,16.94,5300000.0,0.0017000000000000001
2000-04-24,15.88,17.22,17.25,15.0,4760000.0,-0.0926
2000-04-25,17.78,16.69,17.97,16.28,7320000.0,0.11960000000000001
2000-04-26,18.56,17.88,20.12,17.75,9070000.0,0.043899999999999995
2000-04-27,20.0,18.31,20.16,17.03,5980000.0,0.0776
2000-04-28,17.97,20.31,20.38,17.75,7440000.0,-0.1015
2000-05-01,18.06,18.56,19.0,18.0,8180000.0,0.005
2000-05-02,17.25,18.25,18.5,17.06,3990000.0,-0.0449
2000-05-03,16.03,17.03,17.03,15.56,4290000.0,-0.0707
2000-05-04,16.75,16.5,17.19,16.06,3900000.0,0.0449
2000-05-05,17.31,16.28,17.62,16.25,3270000.0,0.0334
2000-05-08,16.0,17.34,17.41,15.94,3340000.0,-0.0757
2000-05-09,15.78,16.19,16.19,14.72,7110000.0,-0.0138
2000-05-10,15.09,15.69,16.06,14.75,3470000.0,-0.0437
2000-05-11,15.03,15.5,15.5,14.41,9040000.0,-0.004
2000-05-12,14.28,15.16,15.19,14.16,9770000.0,-0.0499
2000-05-15,14.12,14.47,14.5,13.62,7270000.0,-0.011200000000000002
2000-05-16,14.19,14.25,14.34,13.78,6190000.0,0.005
