Date,Close,Open,High,Low,Volume,Change
2006-12-14,25.15,25.66,26.0,24.51,1000000.0,-0.0176
2006-12-15,24.6,25.24,26.0,24.11,1010000.0,-0.0219
2006-12-18,23.79,24.4,25.0,23.6,734410.0,-0.0329
2006-12-19,23.1,23.58,23.99,22.5,1300000.0,-0.028999999999999998
2006-12-20,25.0,23.2,25.47,23.05,496650.0,0.0823
2006-12-21,24.6,25.16,25.65,24.0,276970.0,-0.016
2006-12-22,24.02,24.59,25.0,23.71,222210.0,-0.0236
2006-12-26,24.21,23.92,24.38,23.9,109470.0,0.0079
2006-12-27,24.08,24.25,24.25,23.91,91010.0,-0.0054
2006-12-28,24.0,23.9,24.12,23.51,62070.0,-0.0033
2006-12-29,24.0,24.35,24.35,23.86,68850.0,0.0
2007-01-03,24.09,23.83,24.29,23.7,193400.0,0.0038
2007-01-04,24.09,23.85,24.22,23.85,253310.0,0.0
2007-01-05,24.82,23.91,25.24,23.82,192190.0,0.030299999999999997
2007-01-08,24.66,24.88,25.0,24.09,82300.0,-0.0064
2007-01-09,25.7,24.49,25.75,24.19,119110.0,0.042199999999999994
2007-01-10,27.24,25.5,27.96,25.43,257310.0,0.0599
2007-01-11,26.8,27.5,27.5,26.54,188700.0,-0.016200000000000003
2007-01-12,26.33,26.83,26.83,26.33,129070.0,-0.0175
2007-01-16,25.12,26.27,26.4,23.57,600320.0,-0.046
2007-01-17,26.02,25.15,26.16,24.58,118720.0,0.0358
2007-01-18,25.13,25.95,25.95,24.81,63880.0,-0.0342
2007-01-19,25.09,24.95,25.37,24.95,81270.0,-0.0016
2007-01-22,25.79,26.0,26.38,25.18,182790.0,0.0279
2007-01-23,25.37,26.06,26.1,25.35,88550.0,-0.0163
2007-01-24,25.6,26.0,26.0,24.9,134890.0,0.0091
2007-01-25,25.44,25.9,25.9,25.17,31520.0,-0.0062
2007-01-26,26.42,25.59,26.5,25.0,88780.0,0.0385
2007-01-29,27.04,26.55,27.2,26.5,95490.0,0.0235
2007-01-30,27.47,27.75,28.0,27.04,103880.0,0.0159
2007-01-31,26.41,27.32,27.37,26.32,154740.0,-0.038599999999999995
2007-02-01,26.04,27.0,27.0,25.49,62120.0,-0.013999999999999999
2007-02-02,26.41,25.85,26.98,25.78,36980.0,0.014199999999999999
2007-02-05,26.09,26.4,26.5,25.42,80650.0,-0.0121
2007-02-06,25.88,26.09,26.1,25.75,47810.0,-0.008
2007-02-07,26.3,26.16,26.55,25.88,61070.0,0.016200000000000003
2007-02-08,26.3,26.46,26.46,26.01,39770.0,0.0
2007-02-09,26.19,26.14,26.69,25.91,72560.0,-0.0042
2007-02-12,25.6,26.29,26.29,25.34,110340.0,-0.0225
2007-02-13,25.06,25.44,25.82,25.0,108620.0,-0.021099999999999997
2007-02-14,25.04,25.0,25.5,25.0,35480.0,-0.0008
2007-02-15,24.18,25.01,25.25,24.13,166640.0,-0.034300000000000004
2007-02-16,24.75,24.23,25.0,24.1,29310.0,0.0236
2007-02-20,25.37,25.06,25.68,24.58,137740.0,0.025099999999999997
2007-02-21,25.21,25.12,25.85,25.0,62450.0,-0.0063
2007-02-22,25.0,25.02,25.28,24.84,73190.0,-0.0083
2007-02-23,24.52,25.0,25.0,24.45,71140.0,-0.0192
2007-02-26,24.0,24.75,24.75,22.62,275250.0,-0.0212
2007-02-27,23.05,23.25,23.56,22.89,323140.0,-0.039599999999999996
2007-02-28,23.19,22.87,23.48,22.87,141550.0,0.0060999999999999995
2007-03-01,22.46,23.05,23.25,22.01,193470.0,-0.0315
2007-03-02,23.82,22.4,24.25,22.11,159160.0,0.060599999999999994
2007-03-05,23.23,23.24,23.99,22.82,152730.0,-0.0248
2007-03-06,21.45,22.46,22.6,19.51,1110000.0,-0.0766
2007-03-07,20.38,21.2,21.4,19.6,637390.0,-0.0499
2007-03-08,20.3,19.64,20.35,19.64,312940.0,-0.0039000000000000003
2007-03-09,19.9,19.98,20.3,19.37,220100.0,-0.0197
2007-03-12,19.87,19.79,20.1,19.5,80130.0,-0.0015
2007-03-13,19.8,19.8,20.1,19.65,119580.0,-0.0034999999999999996
2007-03-14,19.09,19.8,20.0,18.89,265290.0,-0.0359
2007-03-15,18.02,18.94,19.22,17.92,482180.0,-0.056100000000000004
2007-03-16,18.23,18.0,18.33,17.78,304110.0,0.011699999999999999
2007-03-19,18.69,18.03,18.85,18.03,231390.0,0.0252
2007-03-20,19.0,18.52,19.07,18.25,186870.0,0.0166
2007-03-21,19.05,19.1,19.2,18.86,216030.0,0.0026
2007-03-22,19.41,19.19,19.58,18.95,160360.0,0.0189
2007-03-23,19.94,19.49,20.43,19.34,116180.0,0.0273
2007-03-26,20.02,20.0,20.4,20.0,100810.0,0.004
2007-03-27,20.02,20.05,20.4,19.95,80620.0,0.0
2007-03-28,19.82,20.35,20.35,19.7,59370.0,-0.01
2007-03-29,19.38,19.68,20.13,19.35,48180.0,-0.0222
2007-03-30,19.2,19.31,21.5,19.17,958680.0,-0.009300000000000001
2007-04-02,18.89,19.2,19.56,18.57,193720.0,-0.0161
2007-04-03,19.0,19.07,19.19,18.74,210480.0,0.0058
2007-04-04,18.88,19.15,19.15,18.66,64769.99999999999,-0.0063
2007-04-05,18.64,18.76,18.96,18.56,61420.0,-0.0127
2007-04-09,19.0,18.75,19.22,18.43,123750.0,0.019299999999999998
2007-04-10,19.22,19.01,19.37,19.01,77810.0,0.0116
2007-04-11,19.37,19.16,19.38,19.15,92330.0,0.0078000000000000005
2007-04-12,19.4,19.3,19.5,19.19,90340.0,0.0015
2007-04-13,19.82,19.52,19.91,19.31,64590.0,0.0216
2007-04-16,20.53,20.0,20.68,19.72,52400.0,0.0358
2007-04-17,21.12,20.65,21.15,20.65,118570.0,0.0287
2007-04-18,20.73,21.47,21.71,20.7,49030.0,-0.018500000000000003
2007-04-19,20.04,21.39,21.39,19.93,161090.0,-0.0333
2007-04-20,19.75,20.45,20.45,19.6,137200.0,-0.014499999999999999
2007-04-23,19.25,19.88,20.09,19.16,194990.0,-0.0253
2007-04-24,19.63,19.59,19.86,19.25,78390.0,0.0197
2007-04-25,19.42,19.89,19.9,19.26,65519.99999999999,-0.010700000000000001
2007-04-26,18.17,19.45,19.46,17.9,367370.0,-0.0644
2007-04-27,18.17,18.4,18.5,18.08,128860.00000000001,0.0
2007-04-30,18.19,18.17,18.29,18.01,117440.0,0.0011
2007-05-01,17.79,18.2,18.43,17.67,88290.0,-0.022000000000000002
2007-05-02,17.99,17.9,18.1,17.69,75090.0,0.011200000000000002
2007-05-03,18.45,18.09,18.46,17.8,113460.0,0.0256
2007-05-04,19.64,18.53,19.75,18.45,191840.0,0.0645
2007-05-07,18.88,19.85,19.85,18.8,418630.0,-0.0387
2007-05-08,19.53,20.49,20.49,19.0,265220.0,0.0344
2007-05-09,20.06,19.41,20.57,19.37,121120.0,0.0271
2007-05-10,19.3,20.01,20.01,19.24,138300.0,-0.0379
2007-05-11,19.99,19.16,19.99,19.15,81340.0,0.0358
2007-05-14,20.03,20.09,20.09,19.73,84290.0,0.002
2007-05-15,20.17,20.06,20.48,20.03,127930.0,0.006999999999999999
2007-05-16,20.27,20.4,20.67,19.93,82070.0,0.005
2007-05-17,19.95,20.35,20.44,19.82,70450.0,-0.0158
2007-05-18,20.29,20.0,20.31,19.57,55690.0,0.017
2007-05-21,20.73,20.42,20.85,19.86,57760.0,0.0217
2007-05-22,21.04,20.75,21.19,20.75,121750.0,0.015
