Date,Close,Open,High,Low,Volume,Change
2000-01-03,43.62,45.12,45.12,41.56,3770000.0,-0.025699999999999997
2000-01-04,41.76,42.84,44.4,41.66,3130000.0,-0.0426
2000-01-05,39.67,40.95,41.0,38.84,5480000.0,-0.05
2000-01-06,39.97,39.07,40.8,38.99,8350000.0,0.0076
2000-01-07,42.34,40.12,42.41,39.19,6040000.0,0.0593
2000-01-10,46.86,43.47,47.54,43.39,5180000.0,0.10679999999999999
2000-01-11,46.46,45.63,48.24,45.53,4990000.0,-0.0085
2000-01-12,47.91,46.58,48.79,44.87,6110000.0,0.031200000000000002
2000-01-13,48.14,47.23,49.04,45.75,7030000.0,0.0048
2000-01-14,55.48,50.27,56.18,50.2,10150000.0,0.1525
2000-01-18,52.51,54.77,55.17,51.91,6760000.0,-0.0535
2000-01-19,51.71,51.91,53.97,50.25,2800000.0,-0.0152
2000-01-20,50.85,52.31,53.16,47.84,4970000.0,-0.0166
2000-01-21,51.66,51.15,52.36,49.75,3350000.0,0.0159
2000-01-24,48.09,52.26,53.06,47.44,3040000.0,-0.0691
2000-01-25,49.8,48.79,49.95,45.63,2350000.0,0.0356
2000-01-26,46.93,50.05,50.25,46.93,2490000.0,-0.0576
2000-01-27,45.78,47.69,49.85,43.72,3450000.0,-0.0245
2000-01-28,45.27,44.22,46.53,43.82,3470000.0,-0.0111
2000-01-31,47.13,44.52,48.49,44.12,4470000.0,0.041100000000000005
2000-02-01,48.74,46.98,50.05,46.03,3140000.0,0.0342
2000-02-02,51.91,47.64,52.36,47.64,5400000.0,0.065
2000-02-03,53.21,52.21,53.47,51.05,3980000.0,0.025
2000-02-04,53.01,54.07,54.57,52.91,5090000.0,-0.0038
2000-02-07,54.82,52.76,55.48,52.26,2810000.0,0.0341
2000-02-08,56.08,55.37,56.28,54.27,3810000.0,0.023
2000-02-09,54.52,54.87,57.64,53.21,4040000.0,-0.0278
2000-02-10,56.63,54.42,57.08,53.62,2000000.0,0.0387
2000-02-11,55.07,56.78,56.88,54.47,1690000.0,-0.0275
2000-02-14,54.37,54.67,55.58,52.96,2029999.9999999998,-0.0127
2000-02-15,56.03,53.87,56.68,52.26,2720000.0,0.0305
2000-02-16,57.69,57.08,58.99,56.58,3870000.0,0.0296
2000-02-17,59.5,58.19,59.6,56.58,2930000.0,0.031400000000000004
2000-02-18,54.67,58.59,59.04,54.57,2430000.0,-0.0812
2000-02-22,57.59,54.62,58.69,52.36,2740000.0,0.053399999999999996
2000-02-23,58.14,57.38,59.24,56.43,2480000.0,0.0096
2000-02-24,58.54,59.29,59.8,56.53,3570000.0,0.0069
2000-02-25,55.17,58.64,60.1,55.17,2570000.0,-0.0576
2000-02-28,56.13,54.57,56.71,51.73,3460000.0,0.0174
2000-02-29,62.66,57.59,63.36,57.59,5750000.0,0.11630000000000001
2000-03-01,60.55,63.41,64.32,60.45,2650000.0,-0.0337
