Date,Close,Open,High,Low,Volume,Change
2006-10-13,49.88,46.64,50.45,46.36,12640000.0,-0.42590000000000006
2006-10-16,49.68,51.58,51.82,49.6,2290000.0,-0.004
2006-10-17,49.3,49.57,49.6,48.45,1080000.0,-0.0076
2006-10-18,48.48,50.04,50.04,48.26,916380.0,-0.0166
2006-10-19,47.38,48.48,48.8,47.21,914980.0,-0.0227
2006-10-20,48.97,47.74,49.11,47.32,889980.0,0.0336
2006-10-23,48.81,49.66,49.66,48.42,712150.0,-0.0033
2006-10-24,49.11,48.83,49.6,48.61,543330.0,0.0060999999999999995
2006-10-25,49.57,49.33,49.63,48.31,749980.0,0.009399999999999999
2006-10-26,52.98,50.01,54.68,49.57,2920000.0,0.0688
2006-10-27,55.06,53.77,55.14,53.17,2400000.0,0.0393
2006-10-30,55.77,55.61,57.89,55.2,1200000.0,0.0129
2006-10-31,54.87,57.17,57.56,54.27,816200.0,-0.0161
2006-11-01,54.18,55.42,56.05,54.18,527530.0,-0.0126
2006-11-02,53.52,54.18,55.97,53.5,507250.0,-0.012199999999999999
2006-11-03,54.46,53.88,54.79,53.77,486030.0,0.0176
2006-11-06,54.84,54.59,55.61,54.24,520080.00000000006,0.006999999999999999
2006-11-07,54.76,54.87,55.28,54.21,436680.0,-0.0015
2006-11-08,52.62,53.52,53.83,51.58,957980.0,-0.0391
2006-11-09,55.42,52.89,55.42,52.4,613830.0,0.053200000000000004
2006-11-10,54.84,54.87,55.17,53.52,472650.0,-0.0105
2006-11-13,54.54,54.76,54.76,54.1,205480.0,-0.0055000000000000005
2006-11-14,54.7,54.65,55.03,54.05,321030.0,0.0029
2006-11-15,54.92,54.7,55.2,54.46,365550.0,0.004
2006-11-16,55.09,54.76,55.09,54.46,230880.0,0.0031
2006-11-17,54.24,54.87,54.87,53.88,299980.0,-0.0154
2006-11-20,53.5,54.46,54.57,53.03,263600.0,-0.013600000000000001
2006-11-21,52.84,53.22,53.36,52.13,983580.0,-0.0123
2006-11-22,53.03,51.96,53.44,51.58,907230.0,0.0036
2006-11-24,52.59,52.18,52.67,52.07,87380.0,-0.0083
2006-11-27,51.85,52.13,52.4,50.62,510230.0,-0.0141
2006-11-28,51.85,51.03,51.97,49.6,483380.0,0.0
2006-11-29,52.23,52.54,52.65,51.85,283130.0,0.0073
2006-11-30,52.04,52.13,52.32,51.47,152280.0,-0.0036
2006-12-01,51.63,51.93,51.99,51.33,229380.0,-0.0079
2006-12-04,51.47,51.08,51.58,50.95,189600.0,-0.0031
2006-12-05,52.07,51.55,52.32,51.25,228450.0,0.011699999999999999
2006-12-06,52.4,52.07,52.43,51.4,358950.0,0.0063
2006-12-07,52.7,52.67,52.81,51.85,225330.0,0.005699999999999999
2006-12-08,53.09,52.29,53.36,52.26,336850.0,0.0074
2006-12-11,52.02,53.09,53.5,51.88,308900.0,-0.0202
2006-12-12,54.1,52.13,54.37,51.44,587930.0,0.04
2006-12-13,50.04,52.4,52.4,49.71,1410000.0,-0.075
2006-12-14,49.27,49.44,50.31,48.42,1010000.0,-0.0154
2006-12-15,51.3,50.01,51.71,49.38,2360000.0,0.0412
2006-12-18,49.88,51.03,51.16,49.74,474750.0,-0.0277
2006-12-19,49.11,49.46,49.77,48.72,564900.0,-0.0154
2006-12-20,49.24,49.11,49.85,48.83,264430.0,0.0026
2006-12-21,48.97,49.11,49.46,48.7,289850.0,-0.0055000000000000005
2006-12-22,48.97,49.11,49.22,48.78,332050.0,0.0
2006-12-26,48.48,48.97,49.22,48.42,199050.0,-0.01
2006-12-27,48.04,48.48,48.61,47.76,286880.0,-0.0091
2006-12-28,48.7,49.11,49.11,48.04,331150.0,0.0137
2006-12-29,48.81,48.78,49.11,48.48,294350.0,0.0023
2007-01-03,49.88,49.03,49.93,48.81,441080.0,0.0219
