Date,Close,Open,High,Low,Volume,Change
2000-01-03,37.97,38.69,39.06,36.25,6560000.0,-0.0279
2000-01-04,36.5,37.38,37.91,36.44,7220000.0,-0.0387
2000-01-05,36.38,36.06,37.38,35.03,6760000.0,-0.0033
2000-01-06,37.0,36.38,37.66,35.88,6340000.0,0.017
2000-01-07,35.25,36.88,36.88,34.0,9470000.0,-0.0473
2000-01-10,37.19,36.12,37.75,35.53,6580000.0,0.055
2000-01-11,36.19,37.12,38.38,35.88,5620000.0,-0.0269
2000-01-12,37.0,36.62,38.16,35.56,9310000.0,0.022400000000000003
2000-01-13,38.94,37.44,38.94,36.88,8240000.0,0.0524
2000-01-14,36.62,38.56,39.19,36.25,12220000.0,-0.0596
2000-01-18,36.78,36.72,37.25,36.03,9290000.0,0.0044
2000-01-19,36.06,36.75,37.19,35.75,10650000.0,-0.0196
2000-01-20,34.88,36.19,36.44,34.75,12000000.0,-0.0327
2000-01-21,33.56,35.75,35.75,32.56,15470000.0,-0.0378
2000-01-24,34.75,33.66,35.5,33.66,11950000.0,0.0355
2000-01-25,32.94,34.47,34.88,32.25,17030000.0,-0.0521
2000-01-26,31.78,32.97,33.88,31.5,13140000.0,-0.0352
2000-01-27,32.38,31.91,32.88,31.78,7790000.0,0.0189
2000-01-28,29.75,31.94,33.0,29.53,13780000.0,-0.0812
2000-01-31,31.09,30.38,31.25,29.12,11190000.0,0.045
2000-02-01,31.75,31.06,32.0,30.25,8350000.0,0.0212
2000-02-02,32.94,32.47,33.41,31.75,12190000.0,0.0375
2000-02-03,34.0,33.0,34.5,32.44,9180000.0,0.0322
2000-02-04,33.69,34.09,34.09,32.75,8189999.999999999,-0.0091
2000-02-07,37.0,33.75,37.09,33.75,14430000.0,0.09820000000000001
2000-02-08,38.03,37.03,38.19,36.44,13220000.0,0.0278
2000-02-09,36.62,38.03,38.81,36.62,12860000.0,-0.0371
2000-02-10,36.19,37.12,37.16,34.94,11890000.0,-0.011699999999999999
2000-02-11,35.56,35.75,36.88,34.62,9810000.0,-0.0174
2000-02-14,33.88,34.25,35.12,33.5,7840000.0,-0.0472
2000-02-15,34.5,34.97,35.5,32.75,12770000.0,0.0183
2000-02-16,33.09,35.38,35.38,32.75,10500000.0,-0.0409
2000-02-17,32.62,33.19,34.22,32.47,13030000.0,-0.014199999999999999
2000-02-18,31.56,32.88,32.91,31.09,10660000.0,-0.0325
2000-02-22,32.25,32.25,32.81,31.56,8940000.0,0.0219
2000-02-23,33.5,32.5,33.59,32.0,8480000.0,0.0388
2000-02-24,35.06,33.88,36.31,33.0,13190000.0,0.0466
2000-02-25,36.81,35.75,37.34,35.28,10540000.0,0.0499
2000-02-28,39.03,37.12,39.75,35.81,14200000.0,0.0603
2000-02-29,48.0,39.5,49.97,39.5,45130000.0,0.2298
2000-03-01,50.88,51.0,55.84,50.56,31290000.0,0.06
2000-03-02,48.75,50.0,50.03,46.0,18280000.0,-0.04190000000000001
2000-03-03,46.75,47.31,48.62,45.59,12070000.0,-0.040999999999999995
2000-03-06,48.0,46.75,49.0,46.75,9420000.0,0.026699999999999998
2000-03-07,52.5,47.78,53.0,47.0,13000000.0,0.09380000000000001
2000-03-08,50.5,51.5,52.66,49.12,10380000.0,-0.0381
2000-03-09,55.0,49.5,55.62,48.44,13480000.0,0.0891
2000-03-10,53.19,54.0,55.5,51.5,10920000.0,-0.0329
2000-03-13,59.0,51.0,59.12,50.75,12180000.0,0.1092
2000-03-14,55.75,62.5,63.47,54.75,18450000.0,-0.055099999999999996
2000-03-15,56.5,55.75,59.5,54.62,14820000.0,0.013500000000000002
2000-03-16,56.69,55.5,57.44,54.06,8550000.0,0.0034000000000000002
2000-03-17,64.44,56.72,64.44,56.5,13260000.0,0.1367
2000-03-20,67.81,64.56,69.88,63.5,13230000.0,0.052300000000000006
2000-03-21,59.62,68.5,69.0,57.5,14440000.0,-0.1208
2000-03-22,70.5,64.5,70.5,64.5,17830000.0,0.1825
2000-03-23,67.31,68.5,68.78,65.75,10320000.0,-0.0452
2000-03-24,67.38,67.0,71.56,66.72,11520000.0,0.001
2000-03-27,69.75,69.75,70.5,68.75,6890000.0,0.0352
2000-03-28,70.25,70.22,71.0,67.75,8220000.000000001,0.0072
2000-03-29,67.25,68.25,68.25,62.97,13480000.0,-0.042699999999999995
2000-03-30,60.5,63.31,64.69,58.0,11300000.0,-0.10039999999999999
2000-03-31,63.0,61.88,64.0,60.06,10420000.0,0.041299999999999996
2000-04-03,60.0,62.88,62.91,58.56,7290000.0,-0.047599999999999996
2000-04-04,57.41,61.5,61.5,53.0,12040000.0,-0.0432
2000-04-05,65.5,58.34,66.19,58.25,13910000.0,0.1409
2000-04-06,65.44,65.0,66.94,63.25,8320000.0,-0.0009
2000-04-07,64.19,66.31,67.38,63.25,6310000.0,-0.0191
2000-04-10,60.81,65.25,65.62,60.81,6070000.0,-0.0527
2000-04-11,58.31,58.75,61.72,57.66,12920000.0,-0.041100000000000005
2000-04-12,55.44,58.34,59.5,55.16,10140000.0,-0.0492
2000-04-13,53.25,57.5,59.5,53.0,12390000.0,-0.0395
2000-04-14,48.03,53.03,55.0,46.16,13290000.0,-0.098
2000-04-17,57.0,49.62,57.12,48.5,12740000.0,0.1868
2000-04-18,63.25,59.25,64.0,58.62,14060000.0,0.1096
2000-04-19,58.5,63.5,64.0,58.5,7480000.0,-0.0751
2000-04-20,62.62,62.0,63.0,59.5,6420000.0,0.0704
2000-04-24,61.69,60.81,63.56,60.38,9020000.0,-0.0149
2000-04-25,64.94,62.97,66.59,62.84,9780000.0,0.0527
2000-04-26,64.38,65.0,69.0,64.16,10030000.0,-0.0086
2000-04-27,67.5,64.0,69.12,63.12,9490000.0,0.048499999999999995
2000-04-28,69.66,67.88,71.12,66.5,9780000.0,0.032
2000-05-01,65.88,70.25,72.66,65.47,11830000.0,-0.054299999999999994
2000-05-02,62.75,66.0,68.38,62.0,5750000.0,-0.0475
2000-05-03,62.31,62.25,64.62,60.25,5940000.0,-0.006999999999999999
2000-05-04,61.75,62.25,65.0,59.75,5510000.0,-0.009000000000000001
2000-05-05,60.5,62.0,63.0,60.06,4660000.0,-0.0202
2000-05-08,58.38,60.75,61.81,58.31,3210000.0,-0.035
2000-05-09,55.44,58.62,60.5,53.75,5580000.0,-0.0504
2000-05-10,50.25,54.88,55.88,50.25,5540000.0,-0.09359999999999999
2000-05-11,58.44,54.5,60.0,52.62,5410000.0,0.163
2000-05-12,60.75,58.88,62.88,58.88,6650000.0,0.0395
2000-05-15,63.12,61.0,63.25,58.56,5220000.0,0.039
2000-05-16,64.62,63.88,66.19,62.0,5590000.0,0.023799999999999998
2000-05-17,65.5,65.94,66.75,63.62,4150000.0000000005,0.013600000000000001
2000-05-18,64.75,65.5,66.19,64.06,2550000.0,-0.0115
2000-05-19,60.56,64.81,65.19,59.81,3810000.0,-0.0647
2000-05-22,60.62,60.56,62.0,56.69,4430000.0,0.001
2000-05-23,58.38,61.94,62.88,58.25,4370000.0,-0.037000000000000005
2000-05-24,60.31,58.69,60.81,57.31,6120000.0,0.0331
2000-05-25,64.62,64.0,67.75,63.5,10390000.0,0.07150000000000001
2000-05-26,64.62,65.25,66.5,64.0,2680000.0,0.0
2000-05-30,68.75,69.5,69.88,67.56,6660000.0,0.0639
2000-05-31,69.94,70.0,72.75,69.5,10160000.0,0.0173
2000-06-01,73.5,72.0,74.12,71.5,9350000.0,0.0509
2000-06-02,79.25,80.56,81.88,76.19,10520000.0,0.0782
2000-06-05,81.19,78.5,82.5,76.75,4720000.0,0.0245
2000-06-06,77.06,78.5,81.0,76.5,6320000.0,-0.0509
2000-06-07,76.75,77.06,78.0,74.44,6140000.0,-0.004
2000-06-08,80.75,79.0,80.94,78.88,10410000.0,0.0521
2000-06-09,80.0,82.0,82.94,80.0,5130000.0,-0.009300000000000001
2000-06-12,79.5,81.0,83.25,78.38,5910000.0,-0.0063
2000-06-13,82.5,78.56,83.69,78.25,11640000.0,0.0377
2000-06-14,80.38,83.5,83.62,78.5,8440000.0,-0.025699999999999997
2000-06-15,78.0,79.5,80.25,77.0,6030000.0,-0.0296
2000-06-16,77.38,78.0,78.25,75.06,6040000.0,-0.0079
2000-06-19,81.5,77.38,81.5,76.88,10750000.0,0.053200000000000004
2000-06-20,89.88,81.0,90.5,80.62,12140000.0,0.10279999999999999
2000-06-21,90.75,88.5,94.5,87.5,8220000.000000001,0.0097
2000-06-22,86.88,93.0,93.0,84.12,8740000.0,-0.0426
2000-06-23,88.5,85.75,90.06,85.5,8330000.0,0.018600000000000002
2000-06-26,89.19,89.56,90.5,88.31,4460000.0,0.0078000000000000005
2000-06-27,90.0,89.88,90.75,89.25,4340000.0,0.0091
2000-06-28,87.56,91.75,91.75,86.56,7390000.0,-0.0271
2000-06-29,90.81,87.94,90.88,85.0,6310000.0,0.0371
2000-06-30,88.06,90.81,92.0,87.96,6650000.0,-0.030299999999999997
2000-07-03,90.25,91.0,91.0,90.0,2020000.0,0.024900000000000002
2000-07-05,83.75,87.31,87.94,81.0,7870000.0,-0.07200000000000001
2000-07-06,86.5,83.5,86.75,81.5,6560000.0,0.032799999999999996
2000-07-07,89.5,86.12,90.19,84.5,6450000.0,0.0347
2000-07-10,91.0,89.81,93.94,87.5,5070000.0,0.0168
2000-07-11,91.0,91.25,93.81,88.56,5800000.0,0.0
2000-07-12,94.0,93.25,94.94,91.5,5910000.0,0.033
2000-07-13,92.0,95.0,96.38,90.25,6230000.0,-0.0213
2000-07-14,96.56,94.0,97.5,92.5,5590000.0,0.0496
2000-07-17,95.12,97.0,97.19,93.88,3810000.0,-0.0149
2000-07-18,93.0,94.38,96.25,91.62,5240000.0,-0.0223
2000-07-19,88.25,92.5,93.5,86.19,4350000.0,-0.051100000000000007
2000-07-20,88.12,88.25,90.0,82.06,8320000.0,-0.0015
2000-07-21,82.5,83.38,85.81,81.5,6370000.0,-0.0638
2000-07-24,85.0,84.19,85.94,81.75,5120000.0,0.030299999999999997
