Date,Close,Open,High,Low,Volume,Change
2015-07-07,36.62,37.72,37.81,36.0,7360000.0,-0.0025
2015-07-08,34.7,36.34,36.36,34.53,5390000.0,-0.0524
2015-07-09,34.5,35.1,35.52,33.99,3760000.0,-0.0058
2015-07-10,34.69,34.66,35.19,33.98,4470000.0,0.0055000000000000005
2015-07-13,36.78,35.59,37.5,35.5,7630000.0,0.0602
2015-07-14,36.93,36.99,37.74,36.6,4650000.0,0.0040999999999999995
2015-07-15,37.51,37.98,38.2,37.03,13070000.0,0.015700000000000002
2015-07-16,38.63,38.82,39.97,38.08,21350000.0,0.029900000000000003
2015-07-17,38.39,39.42,40.2,38.18,45720000.0,-0.0062
2015-07-20,40.47,41.46,42.55,39.8,52290000.0,0.0542
2015-07-21,39.35,41.08,41.11,39.12,32950000.000000004,-0.0277
2015-07-22,38.39,39.35,39.72,38.1,25380000.0,-0.024399999999999998
2015-07-23,37.01,38.74,38.75,36.93,19250000.0,-0.0359
2015-07-24,37.0,37.71,38.0,36.91,14270000.0,-0.0003
2015-07-27,36.39,36.78,37.38,36.22,16180000.0,-0.0165
2015-07-28,37.6,37.19,38.0,36.83,18990000.0,0.0333
2015-07-29,37.95,38.03,38.1,37.62,11790000.0,0.009300000000000001
2015-07-30,38.45,38.04,39.01,37.72,13850000.0,0.0132
2015-07-31,38.7,39.14,39.2,38.22,12480000.0,0.006500000000000001
2015-08-03,39.39,39.25,39.88,38.9,15130000.0,0.0178
2015-08-04,38.95,39.91,39.91,38.43,10990000.0,-0.011200000000000002
2015-08-05,39.27,39.7,39.88,39.17,9460000.0,0.008199999999999999
2015-08-06,38.85,39.63,39.74,38.55,7320000.0,-0.010700000000000001
2015-08-07,39.13,39.04,39.23,38.6,8330000.0,0.0072
2015-08-10,39.05,39.43,39.69,38.77,8000000.0,-0.002
2015-08-11,38.85,38.93,39.28,38.72,8180000.0,-0.0051
2015-08-12,38.19,38.55,38.58,37.01,21370000.0,-0.017
2015-08-13,37.62,38.4,38.49,37.44,7860000.0,-0.0149
2015-08-14,38.14,37.49,38.18,37.38,6270000.0,0.0138
2015-08-17,38.73,38.3,38.75,37.7,4930000.0,0.0155
2015-08-18,37.99,39.0,39.0,37.87,4680000.0,-0.0191
2015-08-19,37.19,37.87,38.1,37.03,6920000.0,-0.021099999999999997
2015-08-20,35.98,36.85,37.34,35.88,10650000.0,-0.0325
2015-08-21,34.25,35.57,36.11,33.83,16820000.0,-0.0481
2015-08-24,33.75,31.17,34.85,30.0,19680000.0,-0.0146
2015-08-25,32.7,35.44,35.46,32.7,15560000.0,-0.0311
2015-08-26,33.17,33.7,33.84,31.71,25350000.0,0.0144
2015-08-27,34.62,33.87,34.77,33.16,18910000.0,0.0437
2015-08-28,35.04,34.51,35.26,34.37,8340000.0,0.0121
2015-08-31,35.0,35.5,35.51,34.77,12120000.0,-0.0011
2015-09-01,33.77,34.15,34.68,33.41,13380000.0,-0.0351
2015-09-02,35.07,34.6,35.08,33.84,7520000.0,0.0385
2015-09-03,35.31,35.01,35.46,34.77,6680000.0,0.0068000000000000005
2015-09-04,34.29,34.71,34.72,33.78,7480000.0,-0.028900000000000002
2015-09-08,34.7,34.81,34.89,34.25,7670000.0,0.012
2015-09-09,34.37,34.92,34.95,33.88,10950000.0,-0.0095
2015-09-10,33.46,34.23,34.29,32.95,12130000.0,-0.0265
2015-09-11,33.55,33.27,33.59,32.61,9180000.0,0.0027
2015-09-14,33.77,33.7,33.95,33.2,7900000.0,0.0066
2015-09-15,33.8,33.72,33.95,32.67,11870000.0,0.0009
2015-09-16,33.77,33.46,34.06,33.36,7180000.0,-0.0009
2015-09-17,33.32,33.72,33.99,33.08,7850000.0,-0.013300000000000001
2015-09-18,32.92,32.9,33.78,32.55,16489999.999999998,-0.012
2015-09-21,34.25,33.66,34.62,33.43,12740000.0,0.0404
2015-09-22,33.35,33.94,34.1,33.19,8540000.0,-0.0263
2015-09-23,34.16,33.49,34.34,33.26,5410000.0,0.024300000000000002
2015-09-24,33.91,34.0,34.07,33.38,6540000.0,-0.0073
2015-09-25,33.77,34.6,34.69,33.5,6570000.0,-0.0040999999999999995
2015-09-28,32.25,33.68,33.68,32.16,7410000.0,-0.045
2015-09-29,30.63,32.27,32.67,30.3,12010000.0,-0.050199999999999995
2015-09-30,31.04,31.2,31.28,30.64,13670000.0,0.0134
2015-10-01,31.48,30.82,31.59,30.75,9660000.0,0.014199999999999999
2015-10-02,32.83,30.82,32.86,30.75,7610000.0,0.0429
2015-10-05,32.67,32.95,33.02,32.38,6120000.0,-0.0049
2015-10-06,31.86,32.91,32.91,31.78,7440000.0,-0.0248
2015-10-07,32.38,32.31,32.47,31.52,6970000.0,0.0163
2015-10-08,31.67,32.44,32.45,31.09,9280000.0,-0.0219
2015-10-09,32.06,31.69,32.45,31.41,5910000.0,0.0123
2015-10-12,32.63,32.19,32.67,32.1,3920000.0,0.0178
2015-10-13,33.22,32.6,33.48,32.34,8790000.0,0.0181
2015-10-14,34.05,33.4,34.46,33.4,8199999.999999999,0.025
2015-10-15,34.62,34.45,34.72,34.16,9100000.0,0.0167
2015-10-16,34.29,34.75,35.05,33.95,5390000.0,-0.0095
2015-10-19,34.84,34.43,34.91,33.79,5860000.0,0.016
2015-10-20,34.87,34.8,34.99,34.59,6080000.0,0.0009
2015-10-21,33.83,34.75,34.8,32.88,9110000.0,-0.0298
2015-10-22,34.79,34.43,35.25,34.26,8740000.0,0.028399999999999998
2015-10-23,34.99,35.73,35.75,34.8,8910000.0,0.005699999999999999
2015-10-26,36.44,36.05,36.59,35.52,11550000.0,0.0414
2015-10-27,35.94,36.39,36.39,35.31,8500000.0,-0.0137
2015-10-28,36.52,36.21,36.65,35.81,11630000.0,0.0161
2015-10-29,35.91,34.73,36.5,34.5,25140000.0,-0.0167
2015-10-30,36.01,35.64,36.49,35.24,13410000.0,0.0028000000000000004
2015-11-02,36.99,35.58,37.41,35.45,11250000.0,0.027200000000000002
2015-11-03,37.9,37.05,38.44,37.0,12030000.0,0.0246
2015-11-04,37.6,38.45,38.52,37.33,12230000.0,-0.0079
2015-11-05,36.71,37.82,37.98,36.66,9070000.0,-0.023700000000000002
2015-11-06,36.24,36.59,36.7,35.8,10260000.0,-0.0128
2015-11-09,36.6,36.1,36.74,35.65,11570000.0,0.009899999999999999
2015-11-10,37.0,36.58,37.2,36.5,36380000.0,0.0109
2015-11-11,36.33,37.19,37.32,35.75,12760000.0,-0.0181
2015-11-12,35.57,35.95,36.05,34.83,11840000.0,-0.0209
2015-11-13,34.53,35.18,35.5,34.5,7360000.0,-0.0292
2015-11-16,35.61,34.55,35.66,34.53,6730000.0,0.0313
2015-11-17,36.21,35.89,36.45,35.71,7340000.0,0.0168
2015-11-18,36.22,36.32,36.95,35.78,8320000.0,0.0003
2015-11-19,36.19,36.45,36.5,35.91,5040000.0,-0.0008
2015-11-20,36.36,36.45,36.45,35.92,4540000.0,0.004699999999999999
2015-11-23,35.56,36.5,36.65,35.41,6960000.0,-0.022000000000000002
2015-11-24,35.12,35.25,35.3,34.88,8390000.0,-0.0124
2015-11-25,35.36,35.2,35.86,35.13,3880000.0,0.0068000000000000005
2015-11-27,35.18,35.52,35.7,35.06,2550000.0,-0.0051
2015-11-30,35.26,35.36,35.44,34.69,9360000.0,0.0023
2015-12-01,35.17,35.41,35.41,33.85,14890000.0,-0.0026
2015-12-02,35.15,35.23,36.17,34.93,5760000.0,-0.0006
