Date,Close,Open,High,Low,Volume,Change
2007-06-14,38.85,37.0,39.26,37.0,662600.0,-0.5908
2007-06-15,38.8,39.1,39.1,38.25,1150000.0,-0.0013
2007-06-18,37.15,39.05,39.1,37.15,853600.0,-0.0425
2007-06-19,36.7,37.15,37.7,36.1,951000.0,-0.0121
2007-06-20,35.95,36.83,36.83,35.33,1720000.0,-0.0204
2007-06-21,36.7,36.0,36.7,35.75,537700.0,0.0209
2007-06-22,38.95,37.0,39.5,36.8,250300.0,0.0613
2007-06-25,39.25,39.1,40.0,38.25,203200.0,0.0077
2007-06-26,39.5,39.31,39.8,39.2,119600.0,0.0064
2007-06-27,39.75,39.5,39.8,39.0,270700.0,0.0063
2007-06-28,39.6,39.75,39.95,39.5,151200.0,-0.0038
2007-06-29,39.06,39.83,39.9,38.75,1700000.0,-0.013600000000000001
2007-07-02,39.97,39.2,40.63,38.98,2009999.9999999998,0.0233
2007-07-03,39.66,39.98,40.61,39.08,3750000.0,-0.0078000000000000005
2007-07-05,39.45,39.6,41.28,39.24,4280000.0,-0.0053
2007-07-06,39.82,39.4,39.92,38.8,3950000.0,0.009399999999999999
2007-07-09,40.3,39.55,40.4,38.48,5370000.0,0.0121
2007-07-10,39.0,39.5,39.5,38.48,5480000.0,-0.0323
2007-07-11,39.06,39.0,39.25,38.7,5960000.0,0.0015
2007-07-12,39.01,38.95,39.06,38.31,4090000.0,-0.0013
2007-07-13,39.47,38.3,39.89,38.0,2060000.0,0.0118
2007-07-16,39.3,38.0,39.85,37.07,2510000.0,-0.0043
2007-07-17,38.86,39.02,39.5,38.27,3910000.0,-0.011200000000000002
2007-07-18,37.94,36.95,38.86,36.6,4910000.0,-0.023700000000000002
2007-07-19,38.1,38.04,38.45,37.63,2080000.0,0.0042
2007-07-20,38.03,38.1,38.18,37.87,3410000.0,-0.0018
2007-07-23,38.91,35.1,39.0,35.1,2160000.0,0.0231
2007-07-24,38.4,38.72,39.22,38.13,2120000.0,-0.0131
2007-07-25,38.47,38.25,38.57,38.0,2420000.0,0.0018
2007-07-26,37.56,38.0,38.3,36.72,3630000.0,-0.023700000000000002
2007-07-27,36.95,36.0,38.13,35.73,2910000.0,-0.016200000000000003
2007-07-30,36.05,36.4,36.45,35.58,2920000.0,-0.024399999999999998
2007-07-31,35.82,36.05,36.08,35.7,2150000.0,-0.0064
2007-08-01,35.22,34.92,36.0,34.76,3770000.0,-0.0168
2007-08-02,35.27,34.61,35.5,34.09,2520000.0,0.0014000000000000002
2007-08-03,35.09,35.1,35.43,35.0,2450000.0,-0.0051
2007-08-06,35.15,35.2,35.32,34.98,3900000.0,0.0017000000000000001
2007-08-07,34.85,34.85,35.38,34.0,2620000.0,-0.0085
2007-08-08,34.74,32.09,35.47,32.09,3360000.0,-0.0032
2007-08-09,33.73,34.3,34.77,33.62,2060000.0,-0.0291
2007-08-10,32.81,33.73,33.73,32.38,6030000.0,-0.0273
2007-08-13,32.99,33.0,33.25,32.39,3860000.0,0.0055000000000000005
2007-08-14,32.45,33.13,33.25,32.12,6020000.0,-0.016399999999999998
2007-08-15,32.96,32.53,33.24,32.5,4280000.0,0.015700000000000002
2007-08-16,33.04,32.06,33.25,32.0,4130000.0,0.0024
2007-08-17,35.1,33.9,35.23,33.5,3030000.0,0.0623
