Date,Close,Open,High,Low,Volume,Change
2000-01-03,61.81,65.06,65.44,60.12,1350000.0,-0.0635
2000-01-04,59.94,60.25,61.25,59.5,1610000.0,-0.030299999999999997
2000-01-05,58.62,59.88,60.38,56.25,1860000.0,-0.022000000000000002
2000-01-06,55.75,58.0,58.44,55.25,964700.0,-0.049
2000-01-07,56.94,55.75,57.12,54.88,809200.0,0.0213
2000-01-10,61.94,58.25,63.38,58.25,1110000.0,0.08779999999999999
2000-01-11,60.12,61.81,63.25,59.44,1930000.0,-0.0294
2000-01-12,61.06,58.81,62.38,57.75,1410000.0,0.015600000000000001
2000-01-13,60.75,61.12,61.69,59.5,1470000.0,-0.0051
2000-01-14,68.0,64.5,72.25,64.5,3200000.0,0.1193
2000-01-18,69.69,68.31,72.38,67.81,1530000.0,0.024900000000000002
2000-01-19,77.25,75.88,78.25,74.5,3630000.0,0.1085
2000-01-20,74.31,77.0,78.06,74.0,3570000.0,-0.0381
2000-01-21,72.38,75.25,75.25,71.19,2060000.0,-0.026000000000000002
2000-01-24,71.31,72.38,74.44,70.69,1410000.0,-0.0148
2000-01-25,72.06,71.0,72.38,67.31,1790000.0,0.0105
2000-01-26,69.44,71.81,71.88,67.0,1360000.0,-0.0364
2000-01-27,68.62,70.06,71.0,67.88,1600000.0,-0.0118
2000-01-28,62.88,68.5,68.56,62.75,1410000.0,-0.0836
2000-01-31,64.75,64.25,65.44,62.5,1460000.0,0.0297
2000-02-01,70.19,64.75,70.62,63.62,2120000.0,0.084
2000-02-02,71.81,70.19,72.75,69.94,1910000.0,0.0231
2000-02-03,75.25,71.56,75.62,71.12,1480000.0,0.0479
2000-02-04,72.75,75.0,75.44,72.62,1190000.0,-0.0332
2000-02-07,76.94,73.0,77.44,72.56,1180000.0,0.0576
2000-02-08,77.5,76.69,77.62,73.75,1390000.0,0.0073
2000-02-09,75.0,77.75,79.56,74.69,1990000.0,-0.0323
2000-02-10,78.94,76.0,79.25,75.75,1320000.0,0.0525
2000-02-11,75.38,80.0,80.0,75.06,1250000.0,-0.0451
2000-02-14,77.31,76.19,77.94,75.0,1040000.0,0.0256
2000-02-15,78.5,77.19,78.5,75.88,1150000.0,0.0154
2000-02-16,80.0,79.5,80.94,79.06,1140000.0,0.0191
2000-02-17,80.62,79.25,81.31,77.25,1110000.0,0.0078000000000000005
2000-02-18,77.5,80.5,80.56,76.62,884200.0,-0.0387
2000-02-22,83.25,77.56,84.5,77.0,2110000.0,0.0742
2000-02-23,80.94,84.75,85.12,79.62,2520000.0,-0.0277
2000-02-24,86.0,81.88,86.0,81.75,1700000.0,0.0625
2000-02-25,84.88,85.0,89.5,84.12,1880000.0,-0.013000000000000001
2000-02-28,84.94,84.75,85.25,79.38,1860000.0,0.0007000000000000001
2000-02-29,87.0,85.5,89.0,84.88,1460000.0,0.024300000000000002
2000-03-01,89.5,87.0,89.69,87.0,1440000.0,0.0287
2000-03-02,83.94,89.69,90.94,83.25,2170000.0,-0.0621
2000-03-03,88.44,83.94,89.19,83.94,1290000.0,0.0536
2000-03-06,87.19,88.44,90.25,87.0,1220000.0,-0.0141
2000-03-07,87.0,87.19,89.88,85.88,1380000.0,-0.0022
2000-03-08,82.12,87.0,87.0,80.69,1910000.0,-0.056100000000000004
2000-03-09,82.75,82.12,84.5,80.62,2270000.0,0.0077
2000-03-10,89.56,83.5,90.81,83.38,2810000.0,0.0823
2000-03-13,89.0,87.62,89.0,85.81,1510000.0,-0.0063
