Date,Close,Open,High,Low,Volume,Change
2006-09-20,18.3,20.0,20.0,17.65,10820000.0,-0.1938
2006-09-21,17.72,18.31,18.5,17.69,4380000.0,-0.0317
2006-09-22,17.35,17.2,17.4,16.85,11450000.0,-0.0209
2006-09-25,18.03,17.4,18.25,17.33,2750000.0,0.0392
2006-09-26,19.0,18.12,19.09,18.12,5490000.0,0.0538
2006-09-27,19.4,19.1,19.65,19.02,2590000.0,0.021099999999999997
2006-09-28,19.37,19.25,19.5,19.23,1920000.0,-0.0015
2006-09-29,19.13,19.0,19.23,18.84,6110000.0,-0.0124
2006-10-02,19.76,19.2,20.08,19.17,7110000.0,0.0329
2006-10-03,20.0,19.89,20.04,19.63,11420000.0,0.0121
2006-10-04,19.78,20.0,20.05,19.5,10720000.0,-0.011000000000000001
2006-10-05,19.64,19.95,19.95,19.59,8780000.0,-0.0070999999999999995
2006-10-06,19.57,19.7,19.78,19.32,6280000.0,-0.0036
2006-10-09,19.73,19.9,19.96,19.51,3520000.0,0.008199999999999999
2006-10-10,19.71,19.58,19.82,19.5,6130000.0,-0.001
2006-10-11,19.31,19.68,19.68,19.28,9500000.0,-0.0203
2006-10-12,19.03,19.42,19.42,18.95,8320000.0,-0.014499999999999999
2006-10-13,18.87,19.0,19.02,18.57,10660000.0,-0.0084
2006-10-16,18.74,19.06,19.22,18.72,9970000.0,-0.0069
2006-10-17,18.58,18.5,18.68,18.36,4900000.0,-0.0085
2006-10-18,19.0,18.55,19.12,18.55,6600000.0,0.0226
2006-10-19,19.5,19.4,19.75,19.2,8960000.0,0.0263
2006-10-20,19.63,19.6,20.0,19.44,5710000.0,0.0067
2006-10-23,19.58,19.66,19.88,19.14,6780000.0,-0.0025
2006-10-24,19.95,20.0,21.0,19.9,14330000.0,0.0189
2006-10-25,21.85,20.06,22.2,20.05,11830000.0,0.09519999999999999
2006-10-26,22.34,21.72,23.04,21.65,13490000.0,0.022400000000000003
2006-10-27,21.95,22.1,22.34,21.52,4560000.0,-0.0175
2006-10-30,22.11,21.98,22.2,21.45,5800000.0,0.0073
2006-10-31,22.05,22.49,22.78,21.81,4170000.0,-0.0027
2006-11-01,21.97,22.15,22.58,21.94,8520000.0,-0.0036
2006-11-02,21.83,21.68,22.08,21.44,7360000.0,-0.0064
2006-11-03,21.54,22.08,22.29,21.34,4820000.0,-0.013300000000000001
2006-11-06,22.23,22.05,22.41,21.79,5460000.0,0.032
2006-11-07,22.5,22.13,22.94,22.13,5060000.0,0.0121
2006-11-08,22.62,22.4,22.88,22.22,4660000.0,0.0053
2006-11-09,23.28,22.6,23.55,22.5,8630000.0,0.0292
2006-11-10,22.83,23.28,23.5,22.76,4420000.0,-0.019299999999999998
2006-11-13,23.24,23.2,23.44,22.88,5380000.0,0.018000000000000002
2006-11-14,23.42,23.48,23.55,22.9,4360000.0,0.0077
2006-11-15,23.35,23.63,23.8,23.31,4150000.0000000005,-0.003
2006-11-16,23.12,23.5,23.8,23.1,4630000.0,-0.009899999999999999
2006-11-17,22.68,22.98,23.2,22.65,4080000.0,-0.019
2006-11-20,22.51,22.68,22.82,22.21,3840000.0,-0.0075
2006-11-21,22.55,22.63,22.84,22.54,4080000.0,0.0018
2006-11-22,22.54,22.45,22.66,22.36,2750000.0,-0.0004
2006-11-24,22.36,22.52,22.55,22.36,886000.0,-0.008
2006-11-27,21.85,22.17,22.37,21.72,4880000.0,-0.022799999999999997
2006-11-28,21.62,21.66,22.5,21.49,4880000.0,-0.0105
2006-11-29,22.16,22.5,23.84,21.52,5720000.0,0.025
2006-11-30,22.8,22.19,22.94,22.09,6000000.0,0.028900000000000002
2006-12-01,22.85,22.41,22.85,22.41,4520000.0,0.0022
2006-12-04,23.5,23.05,23.75,22.9,5350000.0,0.028399999999999998
2006-12-05,24.12,23.5,24.14,23.38,7450000.0,0.0264
2006-12-06,23.45,24.1,24.1,23.35,5200000.0,-0.0278
2006-12-07,23.91,23.45,24.06,23.34,5160000.0,0.0196
2006-12-08,23.85,23.84,24.1,23.74,3520000.0,-0.0025
2006-12-11,23.57,23.65,23.75,23.24,3450000.0,-0.011699999999999999
2006-12-12,23.3,23.45,23.65,22.95,3340000.0,-0.0115
2006-12-13,22.84,23.3,23.31,22.5,4490000.0,-0.0197
2006-12-14,22.77,23.02,23.24,22.55,5320000.0,-0.0031
2006-12-15,22.99,22.6,23.08,22.6,5120000.0,0.0097
2006-12-18,22.88,22.99,23.09,22.75,4320000.0,-0.0048
2006-12-19,22.55,22.89,23.03,22.55,2280000.0,-0.0144
2006-12-20,22.39,22.7,22.7,22.33,2780000.0,-0.0070999999999999995
2006-12-21,22.22,22.31,22.5,22.14,4040000.0,-0.0076
2006-12-22,21.98,22.21,22.4,21.92,3740000.0,-0.0108
2006-12-26,22.12,22.2,22.25,22.0,1580000.0,0.0064
