Date,Close,Open,High,Low,Volume,Change
2000-01-03,24.19,23.38,24.88,23.19,8770000.0,0.0661
2000-01-04,23.06,24.19,24.19,22.94,6220000.0,-0.0467
2000-01-05,24.25,23.0,24.25,22.56,6260000.0,0.0516
2000-01-06,23.75,23.56,23.94,23.38,4350000.0,-0.0206
2000-01-07,24.31,23.75,24.75,23.06,6240000.0,0.0236
2000-01-10,23.75,24.75,24.75,23.62,5040000.0,-0.023
2000-01-11,23.5,23.88,24.06,23.19,5910000.0,-0.0105
2000-01-12,23.44,23.25,23.75,23.19,3050000.0,-0.0026
2000-01-13,24.06,23.5,24.19,23.12,4400000.0,0.0265
2000-01-14,23.56,24.19,24.31,23.31,4130000.0,-0.0208
2000-01-18,23.62,23.75,23.81,23.31,3520000.0,0.0025
2000-01-19,23.81,23.44,23.81,22.19,10730000.0,0.008
2000-01-20,22.75,23.5,23.5,22.62,4290000.0,-0.044500000000000005
2000-01-21,22.12,22.94,22.94,22.0,4580000.0,-0.0277
2000-01-24,21.75,22.31,22.75,21.38,5320000.0,-0.0167
2000-01-25,21.94,22.0,22.38,21.0,6840000.0,0.0087
2000-01-26,22.0,22.31,22.56,21.88,4870000.0,0.0027
2000-01-27,21.44,22.31,22.31,21.0,4990000.0,-0.0255
2000-01-28,20.5,21.38,21.44,20.5,4019999.9999999995,-0.0438
2000-01-31,20.88,21.12,21.19,20.62,3210000.0,0.018500000000000003
2000-02-01,20.81,20.94,21.25,20.75,3220000.0,-0.0034000000000000002
2000-02-02,20.94,21.19,21.56,20.88,3500000.0,0.0062
2000-02-03,21.75,21.31,21.75,21.06,3990000.0,0.0387
2000-02-04,22.0,22.0,22.19,21.56,3660000.0,0.0115
2000-02-07,21.69,21.94,22.0,21.56,2330000.0,-0.0141
2000-02-08,21.75,21.69,22.31,21.19,4260000.0,0.0028000000000000004
2000-02-09,21.62,22.0,22.38,21.38,4770000.0,-0.006
2000-02-10,20.75,21.5,21.5,20.5,7460000.0,-0.04019999999999999
2000-02-11,20.25,20.88,20.88,20.12,4930000.0,-0.0241
2000-02-14,22.0,21.0,22.12,20.88,7820000.0,0.0864
2000-02-15,22.25,22.19,22.44,21.31,6150000.0,0.011399999999999999
2000-02-16,21.44,21.75,21.88,21.31,2980000.0,-0.0364
2000-02-17,20.88,21.69,21.75,20.81,4360000.0,-0.026099999999999998
2000-02-18,21.0,20.88,21.12,20.69,3440000.0,0.005699999999999999
2000-02-22,20.94,20.94,21.12,20.62,3400000.0,-0.0029
2000-02-23,20.62,21.0,21.19,20.56,3710000.0,-0.015300000000000001
2000-02-24,20.38,20.69,20.69,20.06,4470000.0,-0.0116
2000-02-25,20.12,20.25,20.81,20.0,6370000.0,-0.0128
2000-02-28,20.75,20.19,20.75,20.06,3900000.0,0.0313
2000-02-29,21.75,20.19,24.0,20.19,8400000.0,0.0482
2000-03-01,21.56,22.19,22.19,20.81,4950000.0,-0.0087
2000-03-02,21.19,21.5,21.62,20.75,4110000.0000000005,-0.0172
2000-03-03,20.94,21.5,21.94,20.88,4010000.0,-0.0118
2000-03-06,21.5,21.0,21.56,21.0,4059999.9999999995,0.026699999999999998
2000-03-07,20.69,21.56,21.88,20.5,5170000.0,-0.0377
2000-03-08,21.25,20.81,21.31,20.31,6250000.0,0.0271
2000-03-09,22.5,21.25,24.0,20.75,20850000.0,0.0588
2000-03-10,24.31,22.94,24.38,22.75,15720000.0,0.08039999999999999
2000-03-13,24.5,23.5,25.0,23.12,8650000.0,0.0078000000000000005
2000-03-14,23.25,24.25,24.62,23.06,9810000.0,-0.051
2000-03-15,25.5,23.88,26.0,23.56,13100000.0,0.0968
2000-03-16,25.62,26.38,26.56,25.25,11110000.0,0.004699999999999999
2000-03-17,25.81,25.25,25.94,25.19,5830000.0,0.0074
2000-03-20,26.0,26.0,26.81,25.75,5710000.0,0.0074
2000-03-21,29.75,26.38,29.75,26.25,9110000.0,0.1442
2000-03-22,27.0,28.25,28.88,27.0,9440000.0,-0.0924
2000-03-23,26.88,27.38,27.69,26.75,4010000.0,-0.0044
2000-03-24,26.81,27.06,27.69,26.44,4059999.9999999995,-0.0026
2000-03-27,26.95,26.88,27.62,26.75,2460000.0,0.0052
2000-03-28,26.75,26.94,27.38,26.75,3380000.0,-0.0074
2000-03-29,26.75,26.75,27.0,25.81,4510000.0,0.0
2000-03-30,26.56,26.25,26.56,25.62,3780000.0,-0.0070999999999999995
2000-03-31,26.0,26.5,27.19,26.0,4230000.0,-0.021099999999999997
2000-04-03,25.06,25.75,25.81,25.0,5300000.0,-0.0362
2000-04-04,25.38,25.44,26.5,24.31,6490000.0,0.0128
2000-04-05,25.5,25.38,26.19,25.06,3310000.0,0.004699999999999999
2000-04-06,27.38,25.56,27.75,25.56,5360000.0,0.0737
2000-04-07,27.75,27.75,28.06,27.5,5760000.0,0.013500000000000002
2000-04-10,27.12,28.0,28.44,26.88,5160000.0,-0.0227
2000-04-11,26.56,27.0,27.19,26.5,2540000.0,-0.0206
2000-04-12,26.62,26.62,27.12,26.44,2930000.0,0.0023
2000-04-13,25.5,26.44,26.5,25.5,3180000.0,-0.0421
2000-04-14,24.12,25.44,25.5,24.12,5850000.0,-0.0541
2000-04-17,24.88,24.25,24.88,23.94,4540000.0,0.0315
2000-04-18,24.0,24.81,25.19,24.0,3070000.0,-0.0354
2000-04-19,25.75,25.12,25.75,24.81,2910000.0,0.0729
2000-04-20,25.06,25.12,25.31,24.75,2180000.0,-0.0268
2000-04-24,24.12,24.94,25.12,23.62,2790000.0,-0.0375
2000-04-25,26.69,25.62,27.81,25.44,8260000.0,0.1066
2000-04-26,28.0,26.44,28.19,26.38,5230000.0,0.049100000000000005
2000-04-27,27.06,27.5,27.81,26.88,3680000.0,-0.0336
2000-04-28,26.5,27.88,27.88,26.25,3060000.0,-0.0207
2000-05-01,27.06,26.94,27.44,26.62,2820000.0,0.021099999999999997
2000-05-02,26.5,27.06,27.25,26.5,1780000.0,-0.0207
2000-05-03,26.75,26.88,27.31,26.25,2330000.0,0.009399999999999999
2000-05-04,26.75,27.0,27.56,26.75,2330000.0,0.0
2000-05-05,27.75,26.81,27.94,26.81,3610000.0,0.0374
2000-05-08,28.12,27.56,28.5,27.5,4670000.0,0.013300000000000001
2000-05-09,28.0,28.25,28.44,27.44,3360000.0,-0.0043
2000-05-10,27.5,27.88,27.94,27.06,3360000.0,-0.0179
2000-05-11,25.5,27.75,29.31,25.25,11360000.0,-0.0727
2000-05-12,27.0,26.12,27.56,25.75,6970000.0,0.0588
2000-05-15,26.62,26.94,27.38,25.75,4010000.0,-0.0141
2000-05-16,27.25,26.94,27.56,26.81,2670000.0,0.023700000000000002
2000-05-17,27.12,27.19,27.31,26.38,2270000.0,-0.0048
2000-05-18,26.81,27.25,27.5,26.5,2290000.0,-0.011399999999999999
2000-05-19,26.0,26.38,26.44,25.75,2350000.0,-0.0302
2000-05-22,25.62,25.25,25.75,25.0,2440000.0,-0.0146
2000-05-23,25.62,25.88,25.88,25.19,1710000.0,0.0
2000-05-24,25.75,25.25,25.81,25.06,3380000.0,0.0051
2000-05-25,26.0,25.38,26.12,25.31,2060000.0,0.0097
2000-05-26,25.44,25.56,25.62,25.31,1490000.0,-0.0215
2000-05-30,26.75,26.81,26.88,26.25,3580000.0,0.051500000000000004
2000-05-31,27.12,26.94,27.19,26.62,2970000.0,0.0138
2000-06-01,27.5,27.12,27.62,26.94,2060000.0,0.013999999999999999
2000-06-02,27.56,27.75,28.31,27.5,2660000.0,0.0022
2000-06-05,27.38,27.5,28.31,27.38,2390000.0,-0.006500000000000001
2000-06-06,26.06,27.12,27.25,25.75,5440000.0,-0.0482
2000-06-07,26.5,26.62,26.75,26.38,2140000.0,0.0169
2000-06-08,26.38,26.81,26.81,26.0,1670000.0,-0.0045000000000000005
2000-06-09,25.88,26.5,26.62,25.38,2009999.9999999998,-0.019
2000-06-12,25.88,26.0,26.12,25.69,1260000.0,0.0
2000-06-13,26.38,25.81,26.44,25.75,1680000.0,0.019299999999999998
2000-06-14,25.62,26.38,26.5,25.56,1470000.0,-0.0288
2000-06-15,25.31,25.56,25.75,25.0,2770000.0,-0.0121
2000-06-16,20.62,22.5,22.5,20.25,23060000.0,-0.18530000000000002
2000-06-19,20.75,20.69,20.75,20.06,11710000.0,0.0063
2000-06-20,20.94,21.12,21.25,20.5,4890000.0,0.0092
2000-06-21,20.25,20.75,20.88,20.19,4360000.0,-0.033
2000-06-22,20.25,20.56,20.56,20.12,3530000.0,0.0
2000-06-23,20.0,20.19,20.25,19.81,6060000.0,-0.0123
2000-06-26,19.81,20.12,20.24,19.75,3490000.0,-0.0095
2000-06-27,19.12,20.12,20.19,19.0,9180000.0,-0.0348
2000-06-28,20.0,19.25,20.12,19.25,5770000.0,0.046
2000-06-29,18.56,20.0,20.0,17.75,3660000.0,-0.07200000000000001
2000-06-30,20.75,19.0,20.85,18.5,9480000.0,0.11800000000000001
2000-07-03,20.38,20.5,20.54,19.81,2390000.0,-0.0178
2000-07-05,20.25,20.38,20.56,19.88,3780000.0,-0.0064
2000-07-06,19.69,20.12,20.19,19.5,2510000.0,-0.0277
2000-07-07,20.25,19.88,20.38,19.75,4910000.0,0.028399999999999998
2000-07-10,20.38,20.31,20.56,20.0,2720000.0,0.0064
2000-07-11,20.12,20.38,20.44,19.75,2580000.0,-0.0128
2000-07-12,20.0,19.75,20.12,19.69,3440000.0,-0.006
2000-07-13,20.0,19.94,20.0,19.81,2200000.0,0.0
2000-07-14,20.38,19.94,20.38,19.75,3900000.0,0.019
2000-07-17,19.84,20.0,20.12,19.75,2710000.0,-0.0265
2000-07-18,19.12,19.94,19.94,19.06,4430000.0,-0.0363
2000-07-19,18.88,19.19,19.25,18.69,3870000.0,-0.0126
2000-07-20,19.38,18.88,19.44,18.75,3480000.0,0.0265
2000-07-21,19.0,19.38,19.44,18.88,2300000.0,-0.0196
2000-07-24,18.81,18.94,19.0,18.56,2850000.0,-0.01
2000-07-25,18.19,18.56,18.62,18.0,4830000.0,-0.033
2000-07-26,15.25,17.0,17.0,14.81,32939999.999999996,-0.1616
2000-07-27,15.19,15.5,15.56,14.75,14460000.0,-0.0039000000000000003
2000-07-28,14.94,15.0,15.0,14.56,8560000.0,-0.0165
2000-07-31,15.06,15.06,15.44,14.81,7670000.0,0.008
2000-08-01,15.38,14.94,15.44,14.94,7050000.0,0.0212
2000-08-02,14.88,15.38,15.41,14.88,5890000.0,-0.0325
2000-08-03,14.75,15.25,15.25,14.75,4640000.0,-0.0087
2000-08-04,15.62,15.12,15.62,15.06,4630000.0,0.059000000000000004
2000-08-07,16.06,15.75,16.31,15.69,5170000.0,0.0282
2000-08-08,17.0,16.0,17.56,15.75,7620000.0,0.058499999999999996
2000-08-09,16.06,17.0,17.0,16.0,5460000.0,-0.0553
2000-08-10,17.0,16.31,17.12,16.0,4690000.0,0.058499999999999996
2000-08-11,16.69,17.0,17.25,16.56,3160000.0,-0.0182
2000-08-14,16.69,16.94,17.19,16.56,3410000.0,0.0
2000-08-15,16.12,16.75,16.81,16.12,4179999.9999999995,-0.0342
2000-08-16,16.19,16.38,16.62,16.19,2260000.0,0.0043
2000-08-17,16.5,16.56,16.62,16.44,1850000.0,0.0191
2000-08-18,16.25,16.38,16.44,16.06,3050000.0,-0.0152
2000-08-21,16.56,16.5,16.62,16.25,2089999.9999999998,0.0191
2000-08-22,16.62,16.62,17.0,16.5,3360000.0,0.0036
2000-08-23,16.5,16.69,16.69,16.44,3180000.0,-0.0072
2000-08-24,16.88,16.5,17.0,16.31,3680000.0,0.023
