Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,60.25,60.78,61.25,59.48,1120000.0,-0.0229,KMB
2000-01-04,59.72,59.78,60.13,58.72,1290000.0,-0.0088,KMB
2000-01-05,59.42,59.95,60.19,58.48,1680000.0,-0.005,KMB
2000-01-06,60.31,59.42,60.6,58.78,1990000.0,0.015,KMB
2000-01-07,62.07,61.25,62.13,60.66,1780000.0,0.0292,KMB
2000-01-10,63.49,62.66,64.08,61.78,1910000.0,0.0229,KMB
2000-01-11,62.07,64.08,64.19,61.25,1290000.0,-0.022400000000000003,KMB
2000-01-12,61.6,62.02,62.19,61.01,1270000.0,-0.0076,KMB
2000-01-13,62.13,61.84,62.66,60.72,1590000.0,0.0086,KMB
2000-01-14,61.66,62.19,62.19,60.96,1080000.0,-0.0076,KMB
2000-01-18,60.37,61.54,61.54,60.13,1880000.0,-0.0209,KMB
2000-01-19,60.48,61.49,61.6,59.48,1350000.0,0.0018,KMB
2000-01-20,60.54,60.54,62.19,60.37,1710000.0,0.001,KMB
2000-01-21,60.96,62.31,62.31,60.25,2089999.9999999998,0.0069,KMB
2000-01-24,59.42,60.54,60.66,57.72,1820000.0,-0.0253,KMB
2000-01-25,58.66,60.54,60.54,57.36,1750000.0,-0.0128,KMB
2000-01-26,61.19,59.54,61.78,59.54,2640000.0,0.0431,KMB
2000-01-27,61.31,61.19,62.25,60.9,2130000.0,0.002,KMB
2000-01-28,59.48,60.78,61.19,58.6,1010000.0,-0.0298,KMB
2000-01-31,58.54,59.48,59.48,57.24,1770000.0,-0.0158,KMB
2000-02-01,58.01,58.36,59.01,56.95,1390000.0,-0.0091,KMB
2000-02-02,58.07,57.19,58.13,56.89,1840000.0,0.001,KMB
2000-02-03,58.84,57.3,58.84,57.3,1810000.0,0.013300000000000001,KMB
2000-02-04,58.01,58.84,59.37,57.13,1670000.0,-0.0141,KMB
2000-02-07,57.83,57.48,57.95,56.6,1210000.0,-0.0031,KMB
2000-02-08,58.36,58.42,59.31,58.19,1620000.0,0.0092,KMB
2000-02-09,57.48,58.31,58.31,56.71,1740000.0,-0.0151,KMB
2000-02-10,55.24,57.13,57.13,53.95,1750000.0,-0.039,KMB
2000-02-11,54.59,55.01,55.07,51.53,2820000.0,-0.0118,KMB
2000-02-14,54.01,55.36,55.6,53.48,1310000.0,-0.0106,KMB
2000-02-15,54.65,52.77,55.18,52.77,1740000.0,0.0118,KMB
2000-02-16,53.95,54.24,54.71,52.77,1460000.0,-0.0128,KMB
2000-02-17,51.83,53.95,54.42,51.65,1880000.0,-0.0393,KMB
2000-02-18,49.82,51.12,51.71,48.88,1880000.0,-0.0388,KMB
2000-02-22,52.12,49.94,53.0,49.94,1650000.0,0.0462,KMB
2000-02-23,51.71,51.89,52.89,51.3,2040000.0,-0.0079,KMB
2000-02-24,50.18,51.83,52.3,49.47,2500000.0,-0.0296,KMB
2000-02-25,48.47,49.12,49.65,48.12,1810000.0,-0.0341,KMB
2000-02-28,48.91,48.35,49.59,47.82,2320000.0,0.0091,KMB
2000-02-29,48.53,49.0,49.47,48.53,2180000.0,-0.0078000000000000005,KMB
2000-03-01,46.06,48.47,48.53,45.7,2930000.0,-0.0509,KMB
2000-03-02,46.41,46.17,46.88,45.58,2250000.0,0.0076,KMB
2000-03-03,48.82,46.64,49.59,46.53,1860000.0,0.0519,KMB
2000-03-06,47.7,47.65,48.18,46.23,1780000.0,-0.0229,KMB
2000-03-07,42.76,39.81,43.88,39.58,7640000.0,-0.1036,KMB
2000-03-08,46.17,44.05,47.17,43.64,5500000.0,0.0797,KMB
2000-03-09,47.29,46.17,47.29,45.53,2530000.0,0.024300000000000002,KMB
2000-03-10,44.76,47.12,47.41,43.76,3070000.0,-0.0535,KMB
