Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.89,5.1,5.1,4.86,629450.0,-0.0542,KSU
2000-01-04,4.64,4.78,4.84,4.6,392600.0,-0.051100000000000007,KSU
2000-01-05,4.49,4.58,4.61,4.43,289300.0,-0.0323,KSU
2000-01-06,4.64,4.5,4.74,4.48,324250.0,0.0334,KSU
2000-01-07,4.64,4.62,4.65,4.54,206450.0,0.0,KSU
2000-01-10,4.85,4.96,4.96,4.79,431800.0,0.0453,KSU
2000-01-11,4.69,4.79,4.82,4.68,355100.0,-0.033,KSU
2000-01-12,4.55,4.7,4.7,4.54,286150.0,-0.029900000000000003,KSU
2000-01-13,4.76,4.62,4.78,4.6,333100.0,0.0462,KSU
2000-01-14,4.84,4.84,4.92,4.78,463250.0,0.0168,KSU
2000-01-18,4.75,4.83,4.84,4.71,301350.0,-0.018600000000000002,KSU
2000-01-19,4.77,4.75,4.81,4.75,221850.0,0.0042,KSU
2000-01-20,4.74,4.81,4.83,4.65,270450.0,-0.0063,KSU
2000-01-21,4.87,4.8,4.93,4.72,264950.0,0.0274,KSU
2000-01-24,4.97,4.92,5.2,4.92,536600.0,0.020499999999999997,KSU
2000-01-25,4.87,4.97,4.98,4.81,173750.0,-0.020099999999999996,KSU
2000-01-26,4.88,4.91,4.93,4.72,226400.0,0.0021,KSU
2000-01-27,5.11,5.13,5.34,5.05,549950.0,0.0471,KSU
2000-01-28,4.81,5.04,5.07,4.77,257300.0,-0.0587,KSU
2000-01-31,4.8,4.73,4.8,4.57,386250.0,-0.0021,KSU
2000-02-01,4.75,4.63,4.77,4.6,279800.0,-0.0104,KSU
2000-02-02,4.86,4.77,4.88,4.75,124050.0,0.0232,KSU
2000-02-03,4.92,4.88,5.09,4.87,290450.0,0.0123,KSU
2000-02-04,5.1,4.95,5.15,4.91,307050.0,0.0366,KSU
2000-02-07,5.1,5.12,5.19,5.08,194650.0,0.0,KSU
2000-02-08,5.17,5.08,5.17,5.08,250600.0,0.0137,KSU
2000-02-09,5.09,5.21,5.29,5.05,250650.0,-0.0155,KSU
2000-02-10,5.0,5.09,5.12,4.95,157900.0,-0.0177,KSU
2000-02-11,4.88,5.01,5.02,4.86,135600.0,-0.024,KSU
2000-02-14,4.94,4.88,5.01,4.88,194350.0,0.0123,KSU
2000-02-15,5.09,4.96,5.09,4.92,191500.0,0.0304,KSU
2000-02-16,4.94,5.1,5.11,4.89,288050.0,-0.029500000000000002,KSU
2000-02-17,4.99,4.99,5.1,4.94,215700.0,0.0101,KSU
2000-02-18,4.89,4.97,4.97,4.87,189750.0,-0.02,KSU
2000-02-22,4.95,4.87,4.99,4.72,386400.0,0.0123,KSU
2000-02-23,5.06,4.95,5.1,4.89,458250.0,0.0222,KSU
2000-02-24,5.3,5.2,5.34,5.17,462350.0,0.047400000000000005,KSU
2000-02-25,5.45,5.3,5.69,5.3,677200.0,0.028300000000000002,KSU
2000-02-28,5.41,5.47,5.54,5.37,312150.0,-0.0073,KSU
2000-02-29,5.46,5.43,5.51,5.42,349500.0,0.0092,KSU
2000-03-01,5.89,5.49,5.89,5.49,642100.0,0.0788,KSU
2000-03-02,5.91,5.89,5.95,5.79,391250.0,0.0034000000000000002,KSU
2000-03-03,6.24,5.9,6.24,5.9,379250.0,0.0558,KSU
2000-03-06,6.14,6.18,6.27,6.11,389100.0,-0.016,KSU
2000-03-07,5.88,6.15,6.15,5.88,199500.0,-0.042300000000000004,KSU
2000-03-08,5.87,5.92,5.92,5.65,429400.0,-0.0017000000000000001,KSU
2000-03-09,5.97,5.88,5.97,5.73,193350.0,0.017,KSU
2000-03-10,6.08,6.13,6.27,6.05,233000.0,0.0184,KSU
2000-03-13,5.91,5.75,6.0,5.71,290750.0,-0.027999999999999997,KSU
2000-03-14,5.6,5.89,5.89,5.55,252750.0,-0.0525,KSU
2000-03-15,5.4,5.56,5.57,5.38,404500.0,-0.035699999999999996,KSU
2000-03-16,5.62,5.47,5.62,5.2,760450.0,0.0407,KSU
2000-03-17,5.75,5.6,5.81,5.59,333300.0,0.0231,KSU
2000-03-20,5.57,5.73,5.75,5.57,173600.0,-0.0313,KSU
