Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,19.02,20.37,20.48,18.9,1930000.0,-0.0635,LB
2000-01-04,18.64,18.96,19.28,18.58,2400000.0,-0.02,LB
2000-01-05,18.37,18.58,18.73,18.37,870800.0,-0.014499999999999999,LB
2000-01-06,18.08,18.78,18.78,17.76,2110000.0,-0.0158,LB
2000-01-07,18.2,18.34,18.4,17.99,1560000.0,0.0066,LB
2000-01-10,17.96,18.14,18.29,17.93,1370000.0,-0.0132,LB
2000-01-11,17.41,17.99,18.11,17.29,1770000.0,-0.030600000000000002,LB
2000-01-12,17.2,17.47,17.67,16.97,1460000.0,-0.0121,LB
2000-01-13,16.44,17.17,17.2,16.38,2290000.0,-0.044199999999999996,LB
2000-01-14,16.47,16.23,16.97,16.23,2089999.9999999998,0.0018,LB
2000-01-18,16.03,16.38,16.7,15.88,1040000.0,-0.026699999999999998,LB
2000-01-19,15.94,16.06,16.18,15.71,1650000.0,-0.005600000000000001,LB
2000-01-20,15.97,15.82,16.09,15.37,1500000.0,0.0019,LB
2000-01-21,15.62,16.15,16.15,15.53,2530000.0,-0.0219,LB
2000-01-24,15.36,15.62,15.62,14.92,1080000.0,-0.0166,LB
2000-01-25,15.27,15.18,15.53,15.15,2510000.0,-0.0059,LB
2000-01-26,15.3,15.59,15.68,15.21,1420000.0,0.002,LB
2000-01-27,14.92,15.53,15.68,14.77,3000000.0,-0.0248,LB
2000-01-28,14.3,14.95,14.97,14.15,3740000.0,-0.0416,LB
2000-01-31,14.39,14.42,14.51,14.21,1340000.0,0.0063,LB
2000-02-01,14.59,14.48,15.06,14.42,3050000.0,0.0139,LB
2000-02-02,15.59,15.0,16.41,14.83,3580000.0,0.06849999999999999,LB
2000-02-03,16.32,16.41,16.88,15.82,4660000.0,0.046799999999999994,LB
2000-02-04,16.65,16.44,16.67,16.21,3460000.0,0.0202,LB
2000-02-07,16.38,16.73,16.73,16.32,2670000.0,-0.016200000000000003,LB
2000-02-08,16.65,16.65,16.7,16.35,2200000.0,0.0165,LB
2000-02-09,16.18,16.65,16.67,16.06,1300000.0,-0.0282,LB
2000-02-10,16.09,16.29,16.29,15.97,1410000.0,-0.005600000000000001,LB
2000-02-11,15.62,16.12,16.12,15.53,1170000.0,-0.0292,LB
2000-02-14,15.71,15.65,15.77,15.33,1410000.0,0.0058,LB
2000-02-15,15.85,15.82,16.0,15.8,1390000.0,0.0089,LB
2000-02-16,14.59,15.82,15.82,14.3,2590000.0,-0.0795,LB
2000-02-17,14.39,14.71,14.92,14.36,1850000.0,-0.0137,LB
2000-02-18,14.36,14.27,14.48,14.15,1400000.0,-0.0021,LB
