Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,7.23,7.31,7.4,7.14,380600.0,-0.019,LEN
2000-01-04,7.17,7.11,7.25,7.11,539000.0,-0.0083,LEN
2000-01-05,7.2,7.17,7.28,7.17,219000.0,0.0042,LEN
2000-01-06,7.2,7.17,7.23,7.11,502600.0,0.0,LEN
2000-01-07,7.34,7.2,7.4,7.17,899000.0,0.0194,LEN
2000-01-10,7.4,7.34,7.48,7.25,2069999.9999999998,0.008199999999999999,LEN
2000-01-11,7.25,7.42,7.42,7.25,570800.0,-0.0203,LEN
2000-01-12,7.31,7.37,7.51,7.14,893400.0,0.0083,LEN
2000-01-13,7.48,7.42,7.59,7.42,306800.0,0.0233,LEN
2000-01-14,7.51,7.54,7.71,7.51,394600.0,0.004,LEN
2000-01-18,7.45,7.54,7.57,7.45,670200.0,-0.008,LEN
2000-01-19,7.4,7.28,7.54,7.28,442000.0,-0.0067,LEN
2000-01-20,7.45,7.4,7.48,7.37,666000.0,0.0068000000000000005,LEN
2000-01-21,7.4,7.42,7.48,7.31,1090000.0,-0.0067,LEN
2000-01-24,7.4,7.4,7.48,7.37,1080000.0,0.0,LEN
2000-01-25,7.34,7.42,7.45,7.31,1050000.0,-0.008100000000000001,LEN
2000-01-26,7.31,7.4,7.4,7.28,1320000.0,-0.0040999999999999995,LEN
2000-01-27,7.34,7.31,7.42,7.28,804000.0,0.0040999999999999995,LEN
2000-01-28,7.14,7.4,7.4,7.14,638400.0,-0.027200000000000002,LEN
2000-01-31,7.23,7.25,7.31,7.2,447600.0,0.0126,LEN
2000-02-01,7.25,7.25,7.31,7.23,629000.0,0.0028000000000000004,LEN
2000-02-02,7.25,7.25,7.28,7.23,306600.0,0.0,LEN
2000-02-03,7.42,7.28,7.71,7.25,632000.0,0.023399999999999997,LEN
2000-02-04,7.54,7.45,7.59,7.4,2370000.0,0.016200000000000003,LEN
2000-02-07,7.4,7.48,7.59,7.37,1330000.0,-0.018600000000000002,LEN
2000-02-08,7.31,7.34,7.82,7.31,467200.0,-0.012199999999999999,LEN
2000-02-09,7.51,7.42,7.54,7.42,353800.0,0.0274,LEN
2000-02-10,7.34,7.48,7.48,7.28,529400.0,-0.0226,LEN
2000-02-11,7.17,7.28,7.31,7.17,298600.0,-0.0232,LEN
2000-02-14,7.2,7.25,7.25,7.14,239400.0,0.0042,LEN
2000-02-15,7.54,7.2,7.54,7.2,572800.0,0.0472,LEN
2000-02-16,7.25,7.42,7.45,7.25,214000.0,-0.0385,LEN
2000-02-17,7.68,7.28,8.44,7.28,2840000.0,0.0593,LEN
2000-02-18,7.54,7.76,7.93,7.42,923800.0,-0.0182,LEN
2000-02-22,7.4,7.59,7.65,7.4,520600.0,-0.018600000000000002,LEN
2000-02-23,7.23,7.4,7.42,7.14,1180000.0,-0.023,LEN
2000-02-24,7.14,7.34,7.34,6.91,816000.0,-0.0124,LEN
2000-02-25,7.08,7.14,7.14,7.06,261399.99999999997,-0.0084,LEN
2000-02-28,7.23,7.06,7.23,7.0,232400.0,0.0212,LEN
2000-02-29,7.48,7.11,7.48,7.11,274200.0,0.0346,LEN
2000-03-01,7.65,7.45,7.65,7.4,314200.0,0.0227,LEN
2000-03-02,7.65,7.65,7.76,7.62,258600.00000000003,0.0,LEN
2000-03-03,7.74,7.76,7.93,7.71,327800.0,0.0118,LEN
2000-03-06,7.68,7.74,7.88,7.54,315600.0,-0.0078000000000000005,LEN
2000-03-07,7.37,7.57,7.74,7.37,188800.0,-0.0404,LEN
2000-03-08,7.51,7.42,7.57,7.42,334800.0,0.019,LEN
2000-03-09,7.65,7.37,7.65,7.37,229400.0,0.018600000000000002,LEN
2000-03-10,7.65,7.65,7.76,7.54,355400.0,0.0,LEN
2000-03-13,7.62,7.48,7.74,7.48,238400.0,-0.0039000000000000003,LEN
2000-03-14,7.65,7.57,7.79,7.57,202800.0,0.0039000000000000003,LEN
2000-03-15,8.16,7.65,8.36,7.57,759400.0,0.0667,LEN
2000-03-16,8.67,8.19,9.01,8.19,1250000.0,0.0625,LEN
