Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,9.06,9.22,9.22,8.75,52280.0,-0.0174,LH
2000-01-04,8.75,8.91,8.91,8.44,66160.0,-0.0342,LH
2000-01-05,8.75,8.59,8.75,8.44,24000.0,0.0,LH
2000-01-06,8.59,8.59,8.75,8.44,38520.0,-0.0183,LH
2000-01-07,8.91,8.59,8.91,8.44,79440.0,0.0373,LH
2000-01-10,8.75,9.06,9.06,8.75,136720.0,-0.018000000000000002,LH
2000-01-11,8.44,8.59,8.75,8.44,38720.0,-0.0354,LH
2000-01-12,8.44,8.44,8.59,8.44,38240.0,0.0,LH
2000-01-13,8.91,8.44,8.91,8.28,269160.0,0.0557,LH
2000-01-14,8.91,8.75,8.91,8.75,47680.0,0.0,LH
2000-01-18,8.75,8.75,8.91,8.44,95760.0,-0.018000000000000002,LH
2000-01-19,8.75,8.75,8.75,8.59,51560.0,0.0,LH
2000-01-20,8.59,8.59,8.75,8.59,121120.0,-0.0183,LH
2000-01-21,8.59,8.59,8.59,8.28,201360.0,0.0,LH
2000-01-24,8.44,8.44,8.44,8.28,98920.0,-0.0175,LH
2000-01-25,8.28,8.28,8.44,8.12,92000.0,-0.019,LH
2000-01-26,8.28,8.28,8.28,7.81,165760.0,0.0,LH
2000-01-27,8.12,8.44,8.44,7.97,747200.0,-0.019299999999999998,LH
2000-01-28,8.44,8.28,8.44,8.28,66560.0,0.0394,LH
2000-01-31,8.28,8.12,8.28,7.97,84600.0,-0.019,LH
2000-02-01,8.28,8.28,8.44,8.12,56920.0,0.0,LH
2000-02-02,8.44,8.28,8.59,8.28,108880.0,0.019299999999999998,LH
2000-02-03,8.59,8.59,8.59,8.44,41520.0,0.0178,LH
2000-02-04,8.44,8.44,8.59,8.28,43080.0,-0.0175,LH
2000-02-07,9.53,8.44,9.53,8.28,984160.0,0.1291,LH
2000-02-08,10.31,9.69,10.62,9.69,797360.0,0.0818,LH
2000-02-09,10.0,10.31,10.31,9.69,169440.0,-0.0301,LH
2000-02-10,9.69,10.0,10.0,9.69,165760.0,-0.031,LH
2000-02-11,9.69,9.84,9.84,9.69,136080.0,0.0,LH
2000-02-14,9.84,9.38,9.84,9.22,209120.0,0.0155,LH
2000-02-15,10.0,10.0,10.16,8.91,1320000.0,0.0163,LH
2000-02-16,9.84,9.69,10.0,9.53,627160.0,-0.016,LH
2000-02-17,9.84,9.84,9.84,9.53,250080.0,0.0,LH
2000-02-18,9.84,9.84,9.84,9.69,622880.0,0.0,LH
2000-02-22,9.84,9.84,10.0,9.53,487280.0,0.0,LH
2000-02-23,9.53,9.84,9.84,9.22,150760.0,-0.0315,LH
2000-02-24,9.38,9.53,9.69,9.06,124360.0,-0.015700000000000002,LH
2000-02-25,9.38,9.53,9.53,9.22,136080.0,0.0,LH
2000-02-28,9.06,9.38,9.53,8.75,277720.0,-0.0341,LH
2000-02-29,10.0,9.06,10.0,9.06,531800.0,0.1038,LH
2000-03-01,10.16,10.0,10.16,9.84,1120000.0,0.016,LH
2000-03-02,10.62,10.16,10.62,10.0,1220000.0,0.0453,LH
2000-03-03,10.47,10.62,10.62,10.47,373680.0,-0.0141,LH
2000-03-06,11.09,10.62,11.09,10.47,1470000.0,0.0592,LH
2000-03-07,10.78,11.25,11.72,10.62,841360.0,-0.027999999999999997,LH
2000-03-08,10.62,10.94,10.94,10.47,297880.0,-0.0148,LH
2000-03-09,10.94,10.78,10.94,10.78,186000.0,0.0301,LH
2000-03-10,10.0,10.78,10.94,10.0,210280.0,-0.0859,LH
2000-03-13,10.47,10.16,10.62,9.69,345440.0,0.047,LH
2000-03-14,10.47,10.47,10.62,10.31,1460000.0,0.0,LH
2000-03-15,10.31,10.31,10.47,10.31,1440000.0,-0.015300000000000001,LH
2000-03-16,10.62,10.47,10.62,10.31,720320.0,0.0301,LH
2000-03-17,10.47,10.62,10.78,10.47,171640.0,-0.0141,LH
2000-03-20,10.31,10.62,10.62,10.31,337640.0,-0.015300000000000001,LH
2000-03-21,10.31,10.31,10.47,10.0,115400.0,0.0,LH
2000-03-22,10.16,10.31,10.31,9.38,375200.0,-0.014499999999999999,LH
2000-03-23,9.69,10.0,10.16,9.53,455960.0,-0.0463,LH
2000-03-24,9.84,9.84,9.84,9.53,170760.0,0.0155,LH
2000-03-27,9.84,9.84,9.84,9.53,137200.0,0.0,LH
2000-03-28,10.0,9.69,10.0,9.38,120560.0,0.0163,LH
2000-03-29,9.69,9.84,9.84,9.38,115320.0,-0.031,LH
2000-03-30,9.53,9.53,9.69,9.53,182000.0,-0.0165,LH
2000-03-31,10.62,9.84,10.78,9.53,781600.0,0.1144,LH
2000-04-03,10.47,10.47,10.62,10.16,128479.99999999999,-0.0141,LH
2000-04-04,10.47,10.78,10.94,9.84,279800.0,0.0,LH
2000-04-05,10.47,10.31,10.47,10.16,248400.0,0.0,LH
2000-04-06,10.94,10.47,10.94,10.47,347440.0,0.0449,LH
2000-04-07,11.09,10.94,11.56,10.94,304280.0,0.0137,LH
2000-04-10,11.09,11.25,11.25,11.09,161360.0,0.0,LH
2000-04-11,11.25,11.09,11.41,10.94,123000.0,0.0144,LH
2000-04-12,11.09,11.09,11.25,11.09,243880.0,-0.014199999999999999,LH
2000-04-13,10.94,11.09,11.25,10.78,318120.0,-0.013500000000000002,LH
