Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,39.62,39.94,40.06,38.94,4520000.0,-0.0171,MCD
2000-01-04,38.81,39.31,39.56,38.38,4220000.0,-0.0204,MCD
2000-01-05,39.44,38.81,40.38,38.81,5230000.0,0.016200000000000003,MCD
2000-01-06,38.88,39.12,39.38,38.69,4810000.0,-0.014199999999999999,MCD
2000-01-07,39.88,39.0,40.0,38.88,5120000.0,0.025699999999999997,MCD
2000-01-10,40.06,40.0,41.0,39.75,4110000.0000000005,0.0045000000000000005,MCD
2000-01-11,41.0,40.12,41.5,40.12,5440000.0,0.0235,MCD
2000-01-12,42.75,40.94,43.06,40.62,8090000.0,0.042699999999999995,MCD
2000-01-13,42.31,42.69,43.62,41.88,5700000.0,-0.0103,MCD
2000-01-14,42.61,42.81,42.81,41.88,3370000.0,0.0070999999999999995,MCD
2000-01-18,41.5,42.38,42.5,41.19,3400000.0,-0.026099999999999998,MCD
2000-01-19,42.38,41.0,42.62,41.0,3340000.0,0.0212,MCD
2000-01-20,41.0,42.56,42.56,41.0,3310000.0,-0.0326,MCD
2000-01-21,41.06,41.62,41.88,40.44,3720000.0,0.0015,MCD
2000-01-24,39.5,41.25,41.44,39.5,3590000.0,-0.038,MCD
2000-01-25,39.81,39.75,40.25,39.19,3300000.0,0.0078000000000000005,MCD
2000-01-26,35.75,39.62,39.62,34.69,16700000.0,-0.102,MCD
2000-01-27,37.62,36.0,37.94,35.88,12080000.0,0.052300000000000006,MCD
2000-01-28,36.75,37.12,37.44,36.38,4440000.0,-0.0231,MCD
2000-01-31,37.38,37.25,38.0,37.12,4840000.0,0.0171,MCD
2000-02-01,36.62,37.44,37.56,36.5,4680000.0,-0.0203,MCD
2000-02-02,35.5,36.62,36.75,35.38,5770000.0,-0.030600000000000002,MCD
2000-02-03,35.0,35.56,36.19,34.44,9230000.0,-0.0141,MCD
2000-02-04,35.12,35.88,35.88,34.62,7750000.0,0.0034000000000000002,MCD
2000-02-07,34.94,35.25,35.62,34.0,9990000.0,-0.0051,MCD
2000-02-08,36.31,36.0,37.62,35.5,12140000.0,0.0392,MCD
2000-02-09,35.88,36.69,36.69,35.38,5920000.0,-0.0118,MCD
2000-02-10,35.5,35.5,36.25,35.12,5350000.0,-0.0106,MCD
2000-02-11,34.94,35.06,35.44,34.81,3920000.0,-0.0158,MCD
2000-02-14,33.88,35.31,35.31,33.31,4430000.0,-0.030299999999999997,MCD
2000-02-15,33.75,33.75,34.12,33.44,4670000.0,-0.0038,MCD
2000-02-16,33.38,33.75,34.44,33.25,3800000.0,-0.011000000000000001,MCD
2000-02-17,33.75,33.56,34.06,33.38,4270000.0,0.0111,MCD
2000-02-18,32.5,33.56,33.69,32.31,5490000.0,-0.037000000000000005,MCD
2000-02-22,32.31,32.25,33.19,32.19,4480000.0,-0.0058,MCD
