Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,34.25,33.0,35.25,32.75,9270000.0,-0.0601,MDT
2000-01-04,34.5,34.31,35.5,34.25,5110000.0,0.0073,MDT
2000-01-05,36.62,35.0,36.94,34.62,5840000.0,0.061399999999999996,MDT
2000-01-06,38.0,36.56,38.31,36.31,6130000.0,0.0377,MDT
2000-01-07,42.25,39.75,43.0,39.31,11540000.0,0.1118,MDT
2000-01-10,41.94,41.62,43.25,41.44,6970000.0,-0.0073,MDT
2000-01-11,42.12,41.56,43.06,41.44,4410000.0,0.0043,MDT
2000-01-12,42.06,41.62,42.06,41.31,3240000.0,-0.0014000000000000002,MDT
2000-01-13,43.5,42.0,44.12,41.94,5030000.0,0.0342,MDT
2000-01-14,43.88,44.75,44.94,43.62,5760000.0,0.0087,MDT
2000-01-18,44.38,44.5,44.88,43.88,5950000.0,0.011399999999999999,MDT
2000-01-19,44.94,44.62,45.62,44.25,4290000.0,0.0126,MDT
2000-01-20,44.0,45.75,46.12,44.0,6080000.0,-0.0209,MDT
2000-01-21,43.56,45.0,45.0,43.31,6110000.0,-0.01,MDT
2000-01-24,43.06,44.25,44.94,42.38,5750000.0,-0.0115,MDT
2000-01-25,44.56,43.75,45.0,43.62,3740000.0,0.0348,MDT
2000-01-26,46.12,44.75,46.31,44.5,6590000.0,0.035,MDT
2000-01-27,46.44,46.88,47.5,45.31,4540000.0,0.0069,MDT
2000-01-28,44.81,46.19,46.19,44.31,3980000.0,-0.0351,MDT
2000-01-31,45.75,44.81,45.75,43.25,3720000.0,0.021,MDT
2000-02-01,46.38,45.5,46.5,44.97,2960000.0,0.0138,MDT
2000-02-02,45.0,46.12,46.56,44.75,3100000.0,-0.0298,MDT
2000-02-03,45.75,45.38,45.81,44.0,3280000.0,0.0167,MDT
2000-02-04,48.06,46.0,49.62,45.94,5720000.0,0.050499999999999996,MDT
2000-02-07,49.25,47.88,49.25,47.5,4370000.0,0.0248,MDT
2000-02-08,49.62,49.0,49.69,48.69,3330000.0,0.0075,MDT
2000-02-09,48.88,49.5,49.69,48.75,3690000.0,-0.0149,MDT
2000-02-10,48.0,49.0,49.19,48.0,2089999.9999999998,-0.018000000000000002,MDT
