Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,47.19,48.03,48.25,47.03,2170000.0,-0.0358,MMM
2000-01-04,45.31,46.44,47.41,45.31,2710000.0,-0.0398,MMM
2000-01-05,46.62,45.56,48.12,45.56,3700000.0,0.028900000000000002,MMM
2000-01-06,50.38,47.16,51.25,47.16,5980000.0,0.08070000000000001,MMM
2000-01-07,51.38,50.56,51.91,49.97,4099999.9999999995,0.019799999999999998,MMM
2000-01-10,51.12,50.22,51.75,50.0,3860000.0,-0.0051,MMM
2000-01-11,50.25,50.38,51.25,50.25,2360000.0,-0.017,MMM
2000-01-12,50.38,50.97,51.81,50.38,2870000.0,0.0026,MMM
2000-01-13,50.38,50.66,50.94,50.19,2240000.0,0.0,MMM
2000-01-14,49.66,50.38,50.47,49.47,2540000.0,-0.0143,MMM
2000-01-18,48.56,48.62,49.62,48.56,2110000.0,-0.0222,MMM
2000-01-19,49.41,48.88,49.97,48.88,2630000.0,0.0175,MMM
2000-01-20,47.56,49.53,49.69,47.25,3100000.0,-0.0374,MMM
2000-01-21,47.47,47.62,48.28,47.28,4490000.0,-0.0019,MMM
2000-01-24,46.38,47.91,47.91,45.81,2970000.0,-0.023,MMM
2000-01-25,45.69,47.44,47.44,45.12,3690000.0,-0.0149,MMM
2000-01-26,48.16,47.94,48.75,47.66,7020000.0,0.0541,MMM
2000-01-27,48.12,48.59,49.16,48.03,2910000.0,-0.0008,MMM
2000-01-28,46.12,47.88,47.91,46.12,3750000.0,-0.0416,MMM
2000-01-31,46.81,46.12,48.69,46.03,3280000.0,0.015,MMM
2000-02-01,47.06,47.19,48.09,46.88,2640000.0,0.0053,MMM
2000-02-02,46.25,46.59,47.0,46.0,2920000.0,-0.0172,MMM
2000-02-03,45.84,45.97,46.06,45.0,3520000.0,-0.0089,MMM
2000-02-04,44.53,45.97,46.22,44.53,3290000.0,-0.0286,MMM
2000-02-07,43.81,44.62,44.69,43.31,3940000.0,-0.016200000000000003,MMM
2000-02-08,43.84,43.81,45.09,43.72,2880000.0,0.0007000000000000001,MMM
2000-02-09,43.81,44.31,44.5,43.75,2600000.0,-0.0007000000000000001,MMM
2000-02-10,43.0,43.62,43.62,42.66,4019999.9999999995,-0.018500000000000003,MMM
2000-02-11,41.47,42.69,43.25,40.66,4490000.0,-0.0356,MMM
2000-02-14,41.44,41.62,42.38,41.19,3360000.0,-0.0007000000000000001,MMM
2000-02-15,44.56,41.88,45.28,41.75,3740000.0,0.0753,MMM
2000-02-16,44.16,44.19,45.19,43.78,2580000.0,-0.009000000000000001,MMM
2000-02-17,44.81,44.5,45.94,44.47,3410000.0,0.0147,MMM
2000-02-18,43.78,44.94,45.34,43.19,2860000.0,-0.023,MMM
2000-02-22,45.06,43.88,45.22,43.25,2880000.0,0.0292,MMM
2000-02-23,46.16,45.69,46.97,45.41,4460000.0,0.024399999999999998,MMM
2000-02-24,45.5,45.94,46.06,44.78,3800000.0,-0.0143,MMM
2000-02-25,42.88,44.06,44.66,42.59,3630000.0,-0.0576,MMM
2000-02-28,43.22,43.47,44.44,42.5,3080000.0,0.0079,MMM
2000-02-29,44.09,42.66,44.59,42.31,2770000.0,0.020099999999999996,MMM
2000-03-01,43.06,43.59,43.88,42.53,2890000.0,-0.023399999999999997,MMM
2000-03-02,43.03,43.06,43.88,42.84,2190000.0,-0.0007000000000000001,MMM
2000-03-03,44.75,43.88,47.31,43.75,4580000.0,0.04,MMM
2000-03-06,43.62,44.66,45.62,43.62,2049999.9999999998,-0.0253,MMM
2000-03-07,41.38,44.12,44.44,41.0,5200000.0,-0.051399999999999994,MMM
2000-03-08,41.28,41.44,42.12,40.5,4690000.0,-0.0024,MMM
2000-03-09,40.47,40.41,40.97,40.25,3260000.0,-0.0196,MMM
2000-03-10,40.75,40.31,41.34,40.19,5750000.0,0.0069,MMM
2000-03-13,39.5,39.5,40.25,39.38,3790000.0,-0.030699999999999998,MMM
