Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,64.12,65.07,65.07,63.05,5980000.0,0.0066,MRK
2000-01-04,61.87,63.53,64.3,61.39,7530000.0,-0.0351,MRK
2000-01-05,64.3,61.69,65.3,61.69,7600000.0,0.0393,MRK
2000-01-06,64.83,64.3,65.6,64.18,4760000.0,0.008199999999999999,MRK
2000-01-07,71.05,66.19,71.35,66.01,10370000.0,0.0959,MRK
2000-01-10,68.98,70.87,70.93,68.38,5730000.0,-0.0291,MRK
2000-01-11,69.21,68.33,69.87,67.67,5020000.0,0.0033,MRK
2000-01-12,70.58,69.81,71.29,69.63,4990000.0,0.019799999999999998,MRK
2000-01-13,70.87,70.93,72.18,69.98,5350000.0,0.0040999999999999995,MRK
2000-01-14,70.28,71.35,72.0,68.92,5540000.0,-0.0083,MRK
2000-01-18,67.14,69.33,69.75,66.9,5300000.0,-0.0447,MRK
2000-01-19,67.79,68.03,68.92,67.56,4760000.0,0.0097,MRK
2000-01-20,69.16,68.21,69.39,67.73,4990000.0,0.0202,MRK
2000-01-21,68.68,70.64,70.64,67.85,7930000.0,-0.0069,MRK
2000-01-24,66.61,69.21,69.21,65.48,5190000.0,-0.0301,MRK
2000-01-25,67.2,67.44,68.27,66.96,5450000.0,0.0089,MRK
2000-01-26,69.04,67.32,69.21,66.96,5360000.0,0.0274,MRK
2000-01-27,70.28,69.33,71.53,69.21,7750000.0,0.018000000000000002,MRK
2000-01-28,72.41,71.58,74.37,71.35,9820000.0,0.030299999999999997,MRK
2000-01-31,74.55,71.76,74.9,70.7,8080000.0,0.0296,MRK
2000-02-01,72.83,73.36,73.9,71.58,5030000.0,-0.0231,MRK
2000-02-02,72.89,73.3,74.31,72.0,4640000.0,0.0008,MRK
2000-02-03,72.3,72.36,72.71,71.47,3870000.0,-0.008100000000000001,MRK
2000-02-04,71.17,72.89,72.89,71.05,4260000.0,-0.015600000000000001,MRK
2000-02-07,71.35,70.4,71.53,69.93,4170000.0,0.0025,MRK
2000-02-08,71.53,71.58,71.94,71.17,3940000.0,0.0025,MRK
2000-02-09,67.67,70.28,70.34,67.2,6930000.0,-0.054000000000000006,MRK
2000-02-10,65.42,66.37,66.61,64.47,7020000.0,-0.0332,MRK
