Date,Close,Open,High,Low,Volume,Change,Symbol
2007-11-15,24.97,23.0,39.95,21.03,11770000.0,-0.8936,MSCI
2007-11-16,24.96,25.3,25.98,23.5,1240000.0,-0.0004,MSCI
2007-11-19,25.75,24.71,25.75,24.53,469500.0,0.0317,MSCI
2007-11-20,27.32,25.42,29.21,25.26,522200.00000000006,0.061,MSCI
2007-11-21,26.65,27.0,27.13,25.94,167500.0,-0.0245,MSCI
2007-11-23,27.4,27.3,28.33,26.82,100700.0,0.0281,MSCI
2007-11-26,27.8,27.99,29.49,27.53,438300.0,0.0146,MSCI
2007-11-27,26.98,28.23,28.75,26.28,305800.0,-0.029500000000000002,MSCI
2007-11-28,27.3,27.12,27.62,26.68,273600.0,0.011899999999999999,MSCI
2007-11-29,27.3,26.61,27.99,26.6,110560.0,0.0,MSCI
2007-11-30,27.65,27.6,28.7,27.1,524000.0,0.0128,MSCI
2007-12-03,27.97,27.7,28.2,27.4,83600.0,0.0116,MSCI
2007-12-04,29.35,27.71,29.75,27.24,387400.0,0.0493,MSCI
2007-12-05,29.28,32.68,32.68,28.89,207200.0,-0.0024,MSCI
2007-12-06,28.91,29.0,29.42,28.44,97700.0,-0.0126,MSCI
2007-12-07,28.88,29.06,29.1,28.5,82500.0,-0.001,MSCI
2007-12-10,29.0,28.59,29.95,28.59,177800.0,0.0042,MSCI
2007-12-11,29.0,28.99,29.4,28.25,236200.0,0.0,MSCI
2007-12-12,28.48,29.36,29.36,28.3,64700.0,-0.0179,MSCI
2007-12-13,28.94,27.93,29.0,27.93,77930.0,0.016200000000000003,MSCI
2007-12-14,28.72,28.83,28.94,28.33,118200.0,-0.0076,MSCI
2007-12-17,27.98,27.94,29.06,27.67,128600.0,-0.0258,MSCI
2007-12-18,28.5,28.0,28.8,28.0,132400.0,0.018600000000000002,MSCI
2007-12-19,28.95,28.56,29.35,28.56,197600.0,0.0158,MSCI
2007-12-20,28.89,28.95,29.01,28.89,197800.0,-0.0021,MSCI
2007-12-21,33.72,29.5,34.33,29.4,498600.0,0.1672,MSCI
2007-12-24,33.92,33.6,34.4,32.55,142000.0,0.0059,MSCI
2007-12-26,34.35,33.92,36.0,33.8,228300.0,0.0127,MSCI
2007-12-27,36.55,34.35,37.19,33.8,194600.0,0.064,MSCI
2007-12-28,37.32,36.45,38.27,36.0,165900.0,0.021099999999999997,MSCI
2007-12-31,38.4,37.45,38.4,36.0,136200.0,0.028900000000000002,MSCI
2008-01-02,33.85,37.82,37.95,33.12,442900.0,-0.1185,MSCI
2008-01-03,30.79,33.85,33.85,30.56,395900.0,-0.0904,MSCI
2008-01-04,30.15,28.74,31.0,28.11,354080.0,-0.0208,MSCI
2008-01-07,28.14,29.75,29.75,27.75,383000.0,-0.0667,MSCI
2008-01-08,26.63,28.0,28.15,26.01,183900.0,-0.0537,MSCI
2008-01-09,27.76,27.3,29.75,24.74,383400.0,0.0424,MSCI
2008-01-10,29.64,29.3,31.4,26.8,531430.0,0.0677,MSCI
2008-01-11,30.43,29.42,32.77,29.21,121900.0,0.026699999999999998,MSCI
2008-01-14,30.5,30.1,30.5,29.75,198300.0,0.0023,MSCI
