Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,182.06,184.81,187.71,178.7,1770000.0,0.011899999999999999,MSI
2000-01-04,168.46,175.34,178.09,167.4,2140000.0,-0.0747,MSI
2000-01-05,164.04,167.4,167.85,159.76,2420000.0,-0.0262,MSI
2000-01-06,145.4,163.12,163.73,144.18,2470000.0,-0.11359999999999999,MSI
2000-01-07,157.39,150.29,157.77,148.99,3390000.0,0.0825,MSI
2000-01-10,170.76,161.74,175.49,160.52,2650000.0,0.0849,MSI
2000-01-11,162.2,165.1,172.13,161.82,1800000.0,-0.0501,MSI
2000-01-12,163.5,164.8,169.76,162.2,1800000.0,0.008,MSI
2000-01-13,169.3,166.63,171.67,164.04,1320000.0,0.0355,MSI
2000-01-14,184.5,175.95,188.32,175.95,2710000.0,0.0898,MSI
2000-01-18,175.95,175.34,180.0,174.27,3560000.0,-0.0463,MSI
2000-01-19,171.98,175.64,177.71,171.06,1790000.0,-0.0226,MSI
2000-01-20,172.28,173.05,177.78,171.52,1940000.0,0.0017000000000000001,MSI
2000-01-21,176.41,179.92,180.45,175.18,1580000.0,0.024,MSI
2000-01-24,170.14,179.0,180.15,170.14,1370000.0,-0.0355,MSI
2000-01-25,173.66,171.52,173.89,167.78,1600000.0,0.0207,MSI
2000-01-26,170.45,173.35,178.39,166.48,1720000.0,-0.018500000000000003,MSI
2000-01-27,166.17,171.06,171.82,165.87,1840000.0,-0.025099999999999997,MSI
2000-01-28,156.7,169.23,171.67,152.73,2440000.0,-0.057,MSI
2000-01-31,166.17,157.01,167.09,154.34,2200000.0,0.0604,MSI
2000-02-01,167.24,168.31,170.45,162.74,1800000.0,0.0064,MSI
2000-02-02,176.71,167.4,180.38,167.32,2130000.0,0.056600000000000004,MSI
2000-02-03,186.64,178.55,186.87,178.55,2290000.0,0.0562,MSI
2000-02-04,190.61,186.87,192.52,183.74,2260000.0,0.0213,MSI
2000-02-07,194.12,188.93,194.35,187.17,1060000.0,0.0184,MSI
2000-02-08,195.35,195.5,197.18,191.3,1680000.0,0.0063,MSI
2000-02-09,187.63,195.5,195.5,185.88,1640000.0,-0.0395,MSI
2000-02-10,189.73,187.94,192.37,187.71,1720000.0,0.011200000000000002,MSI
2000-02-11,184.81,188.78,189.69,181.45,1560000.0,-0.0259,MSI
2000-02-14,179.92,186.49,186.49,178.77,1560000.0,-0.0265,MSI
2000-02-15,181.98,181.22,183.2,174.8,1860000.0,0.011399999999999999,MSI
2000-02-16,180.68,181.98,184.5,179.77,1290000.0,-0.0070999999999999995,MSI
2000-02-17,179.92,177.78,181.6,174.73,1760000.0,-0.0042,MSI
2000-02-18,177.09,179.77,180.84,176.71,1320000.0,-0.015700000000000002,MSI
2000-02-22,191.53,178.39,193.51,176.64,2120000.0,0.0815,MSI
2000-02-23,196.41,188.01,197.71,185.04,2089999.9999999998,0.0255,MSI
2000-02-24,200.69,195.19,201.3,192.52,2250000.0,0.0218,MSI
2000-02-25,194.58,197.94,199.78,193.05,1480000.0,-0.0304,MSI
2000-02-28,193.67,195.73,197.64,189.01,1460000.0,-0.004699999999999999,MSI
2000-02-29,210.16,195.5,214.13,195.12,2950000.0,0.0851,MSI
2000-03-01,207.87,209.55,209.78,201.3,1980000.0,-0.0109,MSI
2000-03-02,212.83,207.72,213.83,203.29,2089999.9999999998,0.0239,MSI
2000-03-03,214.21,214.44,220.47,213.22,1640000.0,0.006500000000000001,MSI
2000-03-06,220.7,215.66,224.67,215.66,1430000.0,0.030299999999999997,MSI
2000-03-07,216.65,224.82,225.59,216.27,1870000.0,-0.0184,MSI
2000-03-08,207.03,217.57,217.57,205.66,2800000.0,-0.0444,MSI
2000-03-09,200.39,204.36,206.5,195.5,2250000.0,-0.0321,MSI
2000-03-10,213.83,204.05,219.86,202.45,4320000.0,0.06709999999999999,MSI
2000-03-13,204.66,204.05,216.35,201.61,2470000.0,-0.0429,MSI
2000-03-14,196.95,202.52,209.55,196.11,2440000.0,-0.0377,MSI
2000-03-15,184.35,197.25,199.16,182.97,3010000.0,-0.064,MSI
2000-03-16,185.42,189.24,191.37,175.34,3350000.0,0.0058,MSI
2000-03-17,182.67,184.5,186.33,181.14,3060000.0,-0.0148,MSI
2000-03-20,188.32,182.52,193.59,182.44,2550000.0,0.030899999999999997,MSI
2000-03-21,194.2,185.88,199.47,182.82,2280000.0,0.031200000000000002,MSI
2000-03-22,200.31,197.33,203.29,196.11,2069999.9999999998,0.0315,MSI
2000-03-23,197.33,199.24,200.39,196.64,1550000.0,-0.0149,MSI
2000-03-24,199.85,197.94,203.98,194.73,1670000.0,0.0128,MSI
2000-03-27,199.78,201.0,201.23,197.48,1270000.0,-0.0004,MSI
2000-03-28,200.39,197.33,206.19,197.33,2120000.0,0.0031,MSI
2000-03-29,189.39,199.16,199.93,184.65,2770000.0,-0.054900000000000004,MSI
2000-03-30,175.95,183.28,190.99,170.91,3450000.0,-0.071,MSI
2000-03-31,178.39,180.53,181.45,171.14,2980000.0,0.0139,MSI
2000-04-03,168.92,174.73,179.23,166.17,2620000.0,-0.053099999999999994,MSI
2000-04-04,164.49,171.37,175.64,157.7,4400000.0,-0.0262,MSI
2000-04-05,179.61,162.51,180.61,159.15,3820000.0,0.0919,MSI
2000-04-06,176.87,178.39,181.37,173.58,1920000.0,-0.015300000000000001,MSI
2000-04-07,187.86,177.4,188.17,177.4,1900000.0,0.0621,MSI
2000-04-10,183.59,188.78,192.98,180.99,2790000.0,-0.0227,MSI
2000-04-11,151.51,152.73,163.73,146.93,12940000.0,-0.1747,MSI
2000-04-12,141.58,149.37,151.51,138.07,6850000.0,-0.0655,MSI
2000-04-13,142.96,144.18,150.52,141.74,5490000.0,0.0097,MSI
2000-04-14,133.18,140.59,144.03,132.27,4290000.0,-0.0684,MSI
2000-04-17,142.35,134.41,142.96,133.18,3680000.0,0.0689,MSI
2000-04-18,144.18,142.27,144.71,137.46,2890000.0,0.0129,MSI
2000-04-19,131.05,143.57,144.18,130.74,2360000.0,-0.0911,MSI
2000-04-20,135.63,133.03,136.24,131.73,2190000.0,0.0349,MSI
2000-04-24,128.3,133.18,135.4,127.38,2190000.0,-0.054000000000000006,MSI
2000-04-25,137.46,134.25,138.15,131.96,2300000.0,0.07139999999999999,MSI
2000-04-26,144.18,138.53,145.4,137.46,2600000.0,0.0489,MSI
2000-04-27,142.35,141.13,144.79,139.45,2009999.9999999998,-0.0127,MSI
2000-04-28,145.4,144.79,147.69,143.72,1730000.0,0.021400000000000002,MSI
2000-05-01,148.61,149.07,151.05,146.01,1820000.0,0.022099999999999998,MSI
2000-05-02,142.19,148.61,148.61,141.81,1630000.0,-0.0432,MSI
2000-05-03,138.99,141.89,143.65,134.41,1720000.0,-0.0225,MSI
