Date,Close,Open,High,Low,Volume,Change
2000-01-03,71.38,72.25,72.38,71.38,420200.0,-0.0206
2000-01-04,70.44,68.62,70.94,68.31,642700.0,-0.0132
2000-01-05,72.75,70.12,73.88,70.12,477700.0,0.032799999999999996
2000-01-06,75.31,72.0,75.44,71.88,536100.0,0.0352
2000-01-07,75.56,75.31,76.62,74.62,679900.0,0.0033
2000-01-10,78.0,75.81,78.12,75.62,883400.0,0.0323
2000-01-11,77.56,77.75,78.5,76.88,724100.0,-0.005600000000000001
2000-01-12,76.88,77.31,77.31,75.94,603400.0,-0.0088
2000-01-13,76.25,76.88,77.19,74.38,374800.0,-0.008199999999999999
2000-01-14,76.5,76.5,76.62,74.25,349300.0,0.0033
2000-01-18,74.94,74.69,75.69,73.25,490200.0,-0.0204
2000-01-19,68.69,73.0,73.25,67.12,1630000.0,-0.0834
2000-01-20,66.5,68.25,68.25,66.38,815700.0,-0.0319
2000-01-21,69.5,67.25,69.5,67.25,473700.0,0.0451
2000-01-24,67.31,69.25,69.31,67.12,261899.99999999997,-0.0315
2000-01-25,68.25,67.31,68.38,66.88,382200.0,0.013999999999999999
2000-01-26,68.88,68.25,70.69,67.31,425700.0,0.0092
2000-01-27,68.44,69.12,70.56,67.62,289100.0,-0.0064
2000-01-28,66.5,68.44,68.44,66.5,259800.0,-0.028300000000000002
2000-01-31,67.75,66.5,68.5,65.38,303900.0,0.018799999999999997
2000-02-01,67.06,67.25,67.25,66.12,293300.0,-0.0102
2000-02-02,66.62,67.31,67.38,66.19,261800.0,-0.0066
2000-02-03,66.06,66.12,67.75,66.0,363500.0,-0.0084
2000-02-04,67.12,66.0,67.94,64.5,418800.0,0.016
2000-02-07,65.81,67.12,67.12,64.31,291400.0,-0.0195
2000-02-08,65.75,65.56,66.0,64.5,207200.0,-0.0009
2000-02-09,64.62,65.5,65.5,64.0,182400.0,-0.0172
2000-02-10,65.0,64.62,65.06,63.38,247100.0,0.0059
2000-02-11,63.44,65.06,65.75,62.62,236100.0,-0.024
2000-02-14,65.69,63.44,66.0,62.69,272600.0,0.0355
2000-02-15,67.5,65.56,67.75,64.88,353100.0,0.0276
2000-02-16,65.69,67.75,67.75,64.12,208700.0,-0.0268
2000-02-17,66.94,65.56,66.94,64.19,237600.0,0.019
2000-02-18,63.25,66.88,66.88,61.88,327800.0,-0.055099999999999996
2000-02-22,64.69,63.25,65.25,63.25,278800.0,0.022799999999999997
2000-02-23,64.5,64.5,65.5,63.38,330000.0,-0.0029
2000-02-24,61.88,64.5,64.5,60.88,404200.0,-0.0406
2000-02-25,60.75,61.25,61.38,59.69,362400.0,-0.0183
2000-02-28,59.94,60.5,60.81,59.56,384000.0,-0.013300000000000001
2000-02-29,60.69,60.0,60.81,59.5,393600.0,0.0125
2000-03-01,58.69,60.19,60.19,58.12,339700.0,-0.033
2000-03-02,60.12,59.38,60.5,58.69,545700.0,0.024399999999999998
2000-03-03,63.38,62.0,63.88,61.69,351400.0,0.0542
2000-03-06,58.44,63.12,63.25,58.31,503700.0,-0.0779
2000-03-07,55.31,58.5,58.5,55.25,648800.0,-0.0536
2000-03-08,57.38,55.38,57.5,54.81,567200.0,0.0374
2000-03-09,59.69,57.5,59.75,57.12,597400.0,0.0403
2000-03-10,60.5,59.56,61.5,59.5,347000.0,0.013600000000000001
2000-03-13,58.94,60.62,60.62,57.69,480600.0,-0.0258
2000-03-14,58.06,58.69,58.88,56.25,374900.0,-0.0149
2000-03-15,62.81,58.31,63.25,58.31,459500.0,0.0818
2000-03-16,67.69,63.0,70.0,62.81,553500.0,0.07769999999999999
2000-03-17,63.31,67.0,67.25,63.25,486200.0,-0.0647
2000-03-20,64.0,63.44,66.81,63.44,299000.0,0.0109
2000-03-21,64.0,63.94,64.5,61.62,374700.0,0.0
2000-03-22,62.12,63.12,63.25,60.25,399000.0,-0.0294
2000-03-23,64.56,61.62,64.69,61.5,443100.0,0.0393
2000-03-24,60.62,63.94,64.12,58.88,657000.0,-0.061
2000-03-27,58.44,60.0,62.5,56.88,451700.0,-0.036000000000000004
2000-03-28,57.44,58.56,59.75,57.19,417600.0,-0.0171
2000-03-29,58.94,57.94,59.25,57.25,507300.0,0.026099999999999998
2000-03-30,60.94,59.19,61.75,58.81,478200.0,0.0339
2000-03-31,61.06,60.31,62.62,60.31,268300.0,0.002
2000-04-03,59.44,60.81,60.94,58.75,470800.0,-0.0265
2000-04-04,59.38,58.81,61.12,57.44,381200.0,-0.001
2000-04-05,58.38,59.12,60.5,58.06,200300.0,-0.0168
2000-04-06,58.12,58.19,58.44,57.62,247000.0,-0.0045000000000000005
2000-04-07,57.75,57.25,57.94,56.25,581500.0,-0.0064
2000-04-10,59.75,57.88,61.5,57.69,315300.0,0.0346
2000-04-11,63.75,59.5,64.25,59.44,478000.0,0.0669
2000-04-12,66.19,63.5,67.38,63.12,561900.0,0.0383
2000-04-13,67.38,65.94,68.0,65.62,649600.0,0.018000000000000002
2000-04-14,61.19,66.75,66.75,60.81,472600.0,-0.0919
2000-04-17,62.38,61.25,62.62,59.5,400500.0,0.0194
2000-04-18,62.0,62.12,62.69,60.06,413600.0,-0.0060999999999999995
2000-04-19,60.62,61.75,62.25,60.06,257000.0,-0.0223
2000-04-20,62.62,60.56,63.0,59.12,325700.0,0.033
2000-04-24,60.31,62.38,63.5,59.62,281400.0,-0.0369
2000-04-25,63.44,60.38,63.69,59.19,872700.0,0.0519
2000-04-26,64.69,63.19,65.0,61.81,601700.0,0.0197
2000-04-27,65.19,62.81,67.0,62.81,590900.0,0.0077
2000-04-28,65.62,63.5,68.75,63.5,630700.0,0.0066
2000-05-01,65.69,65.12,67.56,65.12,331400.0,0.0011
2000-05-02,65.75,66.06,67.31,65.44,393400.0,0.0009
2000-05-03,65.69,65.56,66.75,65.44,431100.0,-0.0009
2000-05-04,66.94,65.69,67.62,64.69,284200.0,0.019
2000-05-05,67.25,66.69,67.69,65.75,237700.0,0.0046
2000-05-08,66.19,67.25,68.56,65.88,360100.0,-0.0158
2000-05-09,65.62,66.19,67.0,65.44,377400.0,-0.0086
2000-05-10,66.12,64.0,66.62,63.88,466500.0,0.0076
2000-05-11,67.38,65.88,67.5,65.31,413800.0,0.0191
2000-05-12,65.44,67.31,67.31,64.31,309700.0,-0.0288
2000-05-15,66.5,66.25,68.12,65.81,472500.0,0.016200000000000003
2000-05-16,66.62,66.44,67.31,65.0,436100.0,0.0018
2000-05-17,66.5,66.25,66.81,65.44,196200.0,-0.0018
2000-05-18,64.94,65.62,66.0,64.0,329400.0,-0.0235
2000-05-19,63.94,64.0,64.5,63.62,260399.99999999997,-0.0154
2000-05-22,62.94,64.0,64.25,62.75,319000.0,-0.015600000000000001
2000-05-23,62.56,63.06,63.19,61.5,317500.0,-0.006
2000-05-24,64.69,62.81,65.19,62.81,361700.0,0.034
2000-05-25,61.56,64.69,64.69,60.0,390400.0,-0.0484
2000-05-26,62.69,61.81,63.06,61.56,240200.0,0.0184
2000-05-30,63.69,62.69,65.0,61.75,452400.0,0.016
2000-05-31,61.25,63.56,63.56,61.0,408900.0,-0.0383
2000-06-01,62.81,62.62,63.06,60.75,403200.0,0.0255
2000-06-02,63.69,63.44,64.5,63.44,332200.0,0.013999999999999999
2000-06-05,63.81,63.56,63.88,62.69,223500.0,0.0019
2000-06-06,63.19,63.62,64.19,62.31,206900.0,-0.0097
2000-06-07,63.56,63.31,64.44,63.19,241100.0,0.0059
2000-06-08,62.75,63.31,63.31,62.06,160000.0,-0.0127
2000-06-09,63.19,63.0,63.56,62.0,147000.0,0.006999999999999999
2000-06-12,63.0,63.25,64.38,62.56,127400.0,-0.003
2000-06-13,63.12,63.06,63.69,63.0,151700.0,0.0019
2000-06-14,65.19,63.38,66.56,63.38,352700.0,0.032799999999999996
2000-06-15,64.62,65.0,65.88,63.56,211500.0,-0.0087
2000-06-16,66.88,64.0,67.0,64.0,471900.0,0.035
2000-06-19,67.5,66.88,67.94,66.88,396400.0,0.009300000000000001
2000-06-20,66.06,67.25,67.25,65.19,338500.0,-0.0213
2000-06-21,66.31,65.81,66.38,64.5,222000.0,0.0038
2000-06-22,65.69,66.06,66.44,65.31,261899.99999999997,-0.009300000000000001
2000-06-23,66.44,65.94,66.44,65.31,269500.0,0.011399999999999999
2000-06-26,66.62,66.56,67.94,65.75,212800.0,0.0027
2000-06-27,69.69,66.62,70.56,66.56,476100.0,0.0461
2000-06-28,67.87,69.94,69.94,66.81,488200.0,-0.026099999999999998
2000-06-29,66.94,67.75,68.0,66.25,461200.0,-0.0137
2000-06-30,67.12,67.12,67.75,66.12,724900.0,0.0027
2000-07-03,69.12,66.62,69.12,66.62,141400.0,0.0298
2000-07-05,68.38,70.25,70.62,68.12,329000.0,-0.010700000000000001
2000-07-06,66.94,68.44,68.44,66.75,283200.0,-0.021099999999999997
2000-07-07,65.0,66.94,67.09,63.5,671800.0,-0.028999999999999998
2000-07-10,64.44,65.0,65.25,63.88,500600.0,-0.0086
2000-07-11,65.0,64.31,65.12,63.5,617200.0,0.0087
2000-07-12,64.94,65.0,65.0,63.0,358400.0,-0.0009
2000-07-13,67.62,65.06,67.94,64.75,312600.0,0.041299999999999996
2000-07-14,65.62,67.88,68.25,63.5,271900.0,-0.0296
2000-07-17,63.84,64.75,64.88,63.06,343800.0,-0.0271
2000-07-18,63.81,63.94,64.38,62.38,288600.0,-0.0005
2000-07-19,64.5,64.25,65.0,63.75,202200.0,0.0108
2000-07-20,64.56,64.5,65.0,62.88,202400.0,0.0009
2000-07-21,65.31,64.62,65.5,64.56,207000.0,0.0116
2000-07-24,64.62,65.06,65.25,63.5,410000.0,-0.0106
2000-07-25,61.94,64.75,64.88,61.38,486000.0,-0.0415
2000-07-26,53.06,60.0,60.0,53.0,2950000.0,-0.1434
