Date,Close,Open,High,Low,Volume,Change
2000-01-03,2.49,2.45,2.5,2.43,3270000.0,0.012199999999999999
2000-01-04,2.41,2.47,2.52,2.4,2450000.0,-0.0321
2000-01-05,2.45,2.4,2.48,2.4,1160000.0,0.0166
2000-01-06,2.49,2.46,2.53,2.46,1070000.0,0.0163
2000-01-07,2.42,2.5,2.52,2.4,2009999.9999999998,-0.0281
2000-01-10,2.5,2.64,2.64,2.48,7580000.0,0.0331
2000-01-11,2.54,2.5,2.56,2.49,4960000.0,0.016
2000-01-12,2.43,2.54,2.55,2.43,2710000.0,-0.0433
2000-01-13,2.49,2.48,2.61,2.47,4420000.0,0.024700000000000003
2000-01-14,2.63,2.61,2.65,2.59,3130000.0,0.0562
2000-01-18,2.65,2.64,2.7,2.62,2840000.0,0.0076
2000-01-19,2.61,2.66,2.66,2.59,4090000.0,-0.0151
2000-01-20,2.62,2.62,2.64,2.6,3380000.0,0.0038
2000-01-21,2.56,2.66,2.68,2.56,4290000.0,-0.0229
2000-01-24,2.46,2.58,2.58,2.44,2650000.0,-0.0391
2000-01-25,2.34,2.45,2.46,2.34,3210000.0,-0.048799999999999996
2000-01-26,2.38,2.31,2.4,2.31,2880000.0,0.0171
2000-01-27,2.34,2.38,2.39,2.32,3680000.0,-0.0168
2000-01-28,2.25,2.34,2.34,2.25,2460000.0,-0.0385
2000-01-31,2.27,2.25,2.3,2.21,2230000.0,0.0089
2000-02-01,2.25,2.26,2.29,2.22,1050000.0,-0.0088
2000-02-02,2.21,2.26,2.26,2.19,1800000.0,-0.0178
2000-02-03,2.21,2.26,2.27,2.19,1830000.0,0.0
2000-02-04,2.17,2.21,2.21,2.16,2140000.0,-0.0181
2000-02-07,2.12,2.18,2.19,2.12,1770000.0,-0.023
2000-02-08,2.06,2.13,2.14,2.06,1400000.0,-0.028300000000000002
2000-02-09,2.07,2.06,2.11,2.02,3310000.0,0.0049
2000-02-10,2.04,2.07,2.07,2.02,1350000.0,-0.014499999999999999
2000-02-11,2.02,2.04,2.05,1.98,1660000.0,-0.0098
