Date,Close,Open,High,Low,Volume,Change
2019-05-28,28.76,29.25,30.5,28.51,61540.0,-0.008100000000000001
2019-05-29,28.5,29.9,29.9,27.66,207770.0,-0.0092
2019-05-30,28.8,28.99,29.16,28.22,666050.0,0.0105
2019-05-31,26.97,28.5,28.59,26.97,853800.0,-0.0635
2019-06-03,24.81,26.54,27.0,24.37,19260000.0,-0.0801
2019-06-04,27.75,24.35,27.94,24.35,20140000.0,0.1185
2019-06-05,28.01,27.54,28.22,26.46,10740000.0,0.009399999999999999
2019-06-06,26.9,27.69,27.69,26.23,13990000.0,-0.039599999999999996
2019-06-07,26.31,26.17,26.93,25.72,10050000.0,-0.0219
2019-06-10,25.31,26.07,26.74,25.12,10250000.0,-0.038
2019-06-11,24.95,25.01,25.36,24.53,11640000.0,-0.014199999999999999
2019-06-12,25.07,25.11,25.45,24.48,13390000.0,0.0048
2019-06-13,24.97,25.06,25.19,24.7,9710000.0,-0.004
2019-06-14,25.19,24.76,25.24,24.55,7040000.0,0.0088
2019-06-17,25.95,25.53,26.9,25.45,13710000.0,0.0302
2019-06-18,27.3,26.03,27.57,25.75,14490000.0,0.052000000000000005
2019-06-19,27.15,27.48,27.48,26.87,10230000.0,-0.0055000000000000005
2019-06-20,27.16,27.37,27.6,26.42,7730000.0,0.0004
2019-06-21,27.21,26.87,27.71,26.87,12550000.0,0.0018
2019-06-24,28.01,27.14,28.45,27.05,6500000.0,0.0294
2019-06-25,27.67,28.02,28.09,27.48,6700000.0,-0.0121
2019-06-26,29.26,27.93,29.38,27.85,6740000.0,0.0575
2019-06-27,29.57,29.38,30.33,29.26,5880000.0,0.0106
2019-06-28,29.57,29.6,29.75,29.26,15520000.0,0.0
2019-07-01,29.68,29.58,30.75,28.95,5290000.0,0.0037
2019-07-02,28.99,29.5,29.6,28.14,5440000.0,-0.0232
2019-07-03,28.8,28.78,28.9,28.2,2230000.0,-0.0066
2019-07-05,28.64,28.45,29.32,28.26,2890000.0,-0.005600000000000001
2019-07-08,27.77,28.39,28.39,27.64,3480000.0,-0.0304
2019-07-09,26.99,27.47,27.77,26.83,5290000.0,-0.0281
2019-07-10,26.5,26.81,27.0,26.44,5130000.0,-0.0182
2019-07-11,26.43,26.55,26.8,25.96,6070000.0,-0.0026
2019-07-12,27.6,26.42,27.73,26.26,5150000.0,0.0443
2019-07-15,28.08,27.41,28.27,27.4,3440000.0,0.0174
2019-07-16,27.86,27.93,28.5,27.72,3740000.0,-0.0078000000000000005
2019-07-17,26.88,27.6,27.71,26.85,4000000.0,-0.0352
2019-07-18,26.65,26.58,26.98,26.41,3040000.0,-0.0086
2019-07-19,27.39,26.79,27.48,26.64,4690000.0,0.0278
2019-07-22,27.76,27.34,27.85,27.21,2550000.0,0.013500000000000002
2019-07-23,28.12,27.65,28.48,27.45,2920000.0,0.013000000000000001
2019-07-24,28.32,27.77,28.52,27.63,2310000.0,0.0070999999999999995
2019-07-25,28.02,28.1,28.4,27.75,3530000.0,-0.0106
2019-07-26,28.48,27.72,28.52,27.65,3050000.0,0.016399999999999998
2019-07-29,28.78,28.36,28.95,28.32,6250000.0,0.0105
2019-07-30,29.13,28.0,29.29,27.8,7140000.0,0.012199999999999999
2019-07-31,29.5,29.1,30.15,28.71,7660000.0,0.0127
2019-08-01,31.25,29.5,32.78,29.45,11560000.0,0.0593
2019-08-02,31.46,30.94,31.54,30.85,7310000.0,0.0067
2019-08-05,29.9,30.63,30.97,29.64,5550000.0,-0.0496
2019-08-06,30.05,30.06,30.22,29.47,5360000.0,0.005
2019-08-07,30.64,29.58,30.83,29.43,4930000.0,0.0196
2019-08-08,31.61,30.71,31.79,30.67,3960000.0,0.0317
2019-08-09,31.63,31.94,32.0,31.22,4760000.0,0.0006
2019-08-12,29.63,31.49,31.83,29.51,7110000.0,-0.0632
2019-08-13,29.6,29.33,30.15,29.19,6860000.0,-0.001
2019-08-14,28.34,29.12,29.36,28.28,4580000.0,-0.0426
2019-08-15,28.42,28.93,29.23,27.93,3560000.0,0.0028000000000000004
2019-08-16,30.24,28.69,30.31,28.56,4290000.0,0.064
2019-08-19,30.57,30.75,30.84,30.25,4210000.0,0.0109
2019-08-20,30.26,30.62,30.68,30.09,3070000.0,-0.0101
2019-08-21,30.58,30.3,30.98,30.28,2820000.0,0.0106
2019-08-22,30.29,30.78,30.95,30.21,3350000.0,-0.0095
2019-08-23,29.05,29.8,30.16,28.81,4220000.0,-0.0409
2019-08-26,29.02,29.35,29.48,28.67,3480000.0,-0.001
2019-08-27,28.73,29.15,29.43,28.53,3530000.0,-0.01
2019-08-28,29.17,28.48,29.53,28.31,5090000.0,0.015300000000000001
2019-08-29,29.71,29.55,30.23,29.52,3140000.0,0.018500000000000003
2019-08-30,29.32,30.0,30.03,29.26,5270000.0,-0.0131
2019-09-03,28.23,28.99,29.1,28.0,3310000.0,-0.037200000000000004
2019-09-04,28.43,28.62,28.84,28.17,2970000.0,0.0070999999999999995
2019-09-05,28.46,28.74,28.99,27.95,4970000.0,0.0011
2019-09-06,28.39,28.45,28.81,27.89,5140000.0,-0.0025
2019-09-09,28.75,28.35,28.82,28.02,4660000.0,0.0127
2019-09-10,28.56,28.7,29.13,28.14,3680000.0,-0.0066
2019-09-11,29.27,28.5,29.3,28.11,3030000.0,0.024900000000000002
2019-09-12,29.9,29.5,30.09,28.9,7970000.0,0.0215
2019-09-13,30.12,30.04,30.35,29.9,4920000.0,0.0074
2019-09-16,29.4,30.05,30.06,28.84,3300000.0,-0.0239
2019-09-17,28.98,29.32,29.47,28.96,5330000.0,-0.0143
2019-09-18,29.15,28.75,29.46,28.75,3610000.0,0.0059
2019-09-19,29.14,29.26,29.71,29.06,3230000.0,-0.0003
2019-09-20,28.92,29.35,29.57,28.85,6880000.0,-0.0075
2019-09-23,28.88,28.64,29.0,28.44,3320000.0,-0.0014000000000000002
2019-09-24,28.24,28.71,28.99,27.96,2890000.0,-0.0222
2019-09-25,28.2,28.22,28.5,27.77,3160000.0,-0.0014000000000000002
2019-09-26,27.64,28.11,28.2,27.49,3530000.0,-0.0199
2019-09-27,27.8,27.55,28.23,27.31,4550000.0,0.0058
2019-09-30,28.0,27.9,28.35,27.76,6270000.0,0.0072
2019-10-01,27.55,28.03,28.38,27.23,5860000.0,-0.0161
2019-10-02,26.94,27.15,27.67,26.62,5330000.0,-0.022099999999999998
2019-10-03,26.88,26.91,27.16,26.51,3640000.0,-0.0022
2019-10-04,25.89,27.0,27.04,25.8,4890000.0,-0.0368
2019-10-07,26.0,26.0,26.47,25.73,5480000.0,0.0042
2019-10-08,26.22,25.64,26.43,25.59,6230000.0,0.0085
2019-10-09,26.17,26.79,26.83,25.74,3920000.0,-0.0019
2019-10-10,25.73,26.17,26.72,25.71,3020000.0,-0.0168
2019-10-11,26.66,26.1,27.12,25.99,4590000.0,0.0361
2019-10-14,26.33,26.4,26.77,26.2,3120000.0,-0.0124
2019-10-15,26.7,26.22,27.09,26.07,3830000.0,0.0141
2019-10-16,26.87,26.35,27.23,26.29,3020000.0,0.0064
2019-10-17,26.77,27.05,27.21,26.66,2200000.0,-0.0037
2019-10-18,26.04,26.6,26.64,25.64,4340000.0,-0.0273
2019-10-21,25.5,26.29,26.58,25.43,3320000.0,-0.0207
2019-10-22,25.98,25.51,26.05,25.23,4170000.0,0.018799999999999997
2019-10-23,25.61,25.89,26.02,25.22,4139999.9999999995,-0.014199999999999999
2019-10-24,26.37,25.63,26.55,25.5,5410000.0,0.0297
2019-10-25,26.73,26.37,26.96,26.24,2680000.0,0.0137
2019-10-28,26.77,26.79,27.14,26.6,2940000.0,0.0015
2019-10-29,26.78,26.51,27.24,26.42,2840000.0,0.0004
2019-10-30,27.48,27.05,27.59,26.91,5990000.0,0.026099999999999998
2019-10-31,26.38,26.5,27.48,25.25,7310000.0,-0.04
2019-11-01,26.18,26.18,26.6,25.51,10090000.0,-0.0076
2019-11-04,25.74,26.17,26.42,25.65,8330000.0,-0.0168
2019-11-05,25.66,25.48,26.03,24.76,8240000.0,-0.0031
2019-11-06,26.13,25.82,26.32,25.72,6600000.0,0.0183
2019-11-07,26.15,26.47,26.48,26.12,4560000.0,0.0008
2019-11-08,26.2,26.1,26.36,25.91,3000000.0,0.0019
2019-11-11,26.74,26.04,26.74,25.69,3260000.0,0.0206
2019-11-12,26.72,26.93,27.24,26.53,4670000.0,-0.0007000000000000001
2019-11-13,25.72,26.5,26.54,25.46,3780000.0,-0.0374
2019-11-14,26.38,25.71,26.86,25.71,7280000.0,0.025699999999999997
2019-11-15,25.48,26.57,26.62,25.43,5010000.0,-0.0341
2019-11-18,25.48,25.48,25.76,25.36,4660000.0,0.0
2019-11-19,25.7,25.55,25.92,25.31,4160000.0,0.0086
2019-11-20,24.98,25.62,25.7,24.92,4540000.0,-0.027999999999999997
2019-11-21,25.11,24.98,25.41,24.93,4200000.0,0.0052
2019-11-22,25.54,25.03,25.58,25.03,11220000.0,0.0171
2019-11-25,25.93,25.74,26.11,25.65,6140000.0,0.015300000000000001
2019-11-26,25.88,25.78,26.2,25.7,7590000.0,-0.0019
2019-11-27,26.05,25.77,26.22,25.68,6750000.0,0.0066
2019-11-29,26.02,25.97,26.08,25.55,8230000.0,-0.0012
2019-12-02,25.18,26.03,26.14,25.04,7240000.0,-0.0323
2019-12-03,24.65,24.82,24.87,24.3,8690000.0,-0.021
2019-12-04,24.84,24.9,25.21,24.62,13260000.0,0.0077
2019-12-05,24.82,24.97,25.09,24.1,7850000.0,-0.0008
2019-12-06,25.26,25.0,25.56,24.94,5840000.0,0.0177
2019-12-09,25.77,25.47,26.13,25.4,6630000.0,0.0202
2019-12-10,25.87,25.69,25.88,25.42,5130000.0,0.0039000000000000003
2019-12-11,26.2,25.89,26.27,25.83,5220000.0,0.0128
2019-12-12,26.98,26.12,27.08,26.0,4930000.0,0.0298
2019-12-13,26.49,26.98,27.15,26.46,6270000.0,-0.0182
2019-12-16,27.55,26.94,27.56,26.85,9530000.0,0.04
2019-12-17,26.77,27.26,27.55,26.58,9230000.0,-0.028300000000000002
2019-12-18,27.82,26.71,27.94,26.49,13870000.0,0.0392
2019-12-19,27.71,27.74,28.27,27.46,11980000.0,-0.004
2019-12-20,28.18,27.68,28.25,27.44,30570000.0,0.017
2019-12-23,28.66,28.19,28.75,28.1,5970000.0,0.017
2019-12-24,28.81,28.6,29.04,28.38,1700000.0,0.0052
2019-12-26,29.19,28.68,29.2,28.63,2600000.0,0.0132
2019-12-27,29.14,29.2,29.28,28.98,2740000.0,-0.0017000000000000001
2019-12-30,28.86,29.13,29.23,28.79,2800000.0,-0.0096
2019-12-31,29.56,28.85,29.59,28.81,3410000.0,0.024300000000000002
2020-01-02,28.74,29.81,29.81,28.72,6860000.0,-0.0277
2020-01-03,28.4,28.42,28.9,28.36,5610000.0,-0.0118
2020-01-06,28.36,28.08,28.5,27.98,6980000.0,-0.0014000000000000002
2020-01-07,28.47,28.31,28.72,28.17,6010000.0,0.0039000000000000003
2020-01-08,28.7,28.5,28.78,28.1,3680000.0,0.008100000000000001
2020-01-09,28.73,28.8,28.85,28.38,3700000.0,0.001
2020-01-10,28.35,28.81,28.93,28.32,4500000.0,-0.0132
2020-01-13,28.58,28.34,28.6,28.16,4740000.0,0.008100000000000001
2020-01-14,28.64,28.56,28.79,28.3,5370000.0,0.0021
2020-01-15,28.68,28.65,28.89,28.48,6340000.0,0.0014000000000000002
2020-01-16,29.22,28.77,29.26,28.52,5850000.0,0.018799999999999997
2020-01-17,28.3,28.46,28.63,27.63,8670000.0,-0.0315
2020-01-21,27.82,28.06,28.35,27.71,5510000.0,-0.017
2020-01-22,28.16,27.82,28.25,27.5,8670000.0,0.012199999999999999
2020-01-23,28.45,28.01,28.51,27.51,4139999.9999999995,0.0103
2020-01-24,27.95,28.31,28.36,27.71,5000000.0,-0.0176
2020-01-27,27.16,27.23,27.53,26.97,4200000.0,-0.028300000000000002
2020-01-28,27.56,27.3,27.58,27.0,5620000.0,0.0147
2020-01-29,27.8,27.55,27.99,27.51,3500000.0,0.0087
2020-01-30,29.24,27.94,29.45,27.6,9760000.0,0.0518
2020-01-31,28.92,28.78,29.15,28.46,6790000.0,-0.0109
2020-02-03,30.12,29.06,30.26,28.82,9450000.0,0.0415
2020-02-04,30.95,30.61,31.11,30.05,5850000.0,0.0276
2020-02-05,31.71,30.32,31.71,29.69,5750000.0,0.0246
2020-02-06,31.59,32.0,32.07,31.3,6380000.0,-0.0038
2020-02-07,31.04,31.41,31.43,30.8,3720000.0,-0.0174
2020-02-10,30.6,30.74,31.02,30.46,3420000.0,-0.014199999999999999
2020-02-11,30.51,30.66,31.35,30.41,3710000.0,-0.0029
2020-02-12,30.94,30.74,31.09,30.65,3020000.0,0.0141
2020-02-13,30.6,30.68,31.04,30.45,4540000.0,-0.011000000000000001
2020-02-14,30.71,30.66,30.93,30.58,3900000.0,0.0036
2020-02-18,31.4,30.68,31.48,30.61,3520000.0,0.0225
2020-02-19,31.52,31.4,31.8,31.22,3040000.0,0.0038
2020-02-20,31.57,31.37,32.08,31.32,2460000.0,0.0016
2020-02-21,31.22,31.35,31.67,31.18,3960000.0,-0.0111
2020-02-24,30.66,30.47,30.89,30.27,3440000.0,-0.0179
2020-02-25,28.38,30.62,30.82,28.23,5050000.0,-0.07440000000000001
2020-02-26,28.5,28.41,29.33,28.32,4160000.0,0.0042
2020-02-27,27.29,28.12,28.67,27.24,4700000.0,-0.0425
2020-02-28,27.2,26.53,27.2,25.86,9730000.0,-0.0033
2020-03-02,28.24,27.27,28.26,26.86,7440000.0,0.0382
2020-03-03,27.92,28.48,29.26,27.49,8500000.0,-0.0113
2020-03-04,28.9,28.19,28.92,27.81,6340000.0,0.0351
2020-03-05,27.31,28.0,28.43,27.16,3970000.0,-0.055
2020-03-06,25.3,26.52,26.58,24.92,5840000.0,-0.0736
2020-03-09,23.07,23.28,24.32,22.87,7760000.0,-0.08810000000000001
2020-03-10,25.91,24.4,25.99,23.88,6700000.0,0.1231
2020-03-11,25.0,25.01,25.66,24.45,6380000.0,-0.0351
2020-03-12,22.34,22.87,24.95,22.26,6450000.0,-0.10640000000000001
2020-03-13,24.82,23.83,25.0,21.55,7210000.0,0.111
2020-03-16,20.74,21.51,23.34,20.57,6310000.0,-0.16440000000000002
2020-03-17,22.67,21.23,24.14,20.72,7560000.0,0.0931
2020-03-18,21.57,21.0,23.38,20.4,7530000.0,-0.048499999999999995
2020-03-19,23.26,21.18,24.75,20.56,5290000.0,0.0783
