Date,Close,Open,High,Low,Volume,Change
2000-01-03,18.84,19.5,19.5,18.75,582000.0,-0.0368
2000-01-04,18.34,18.81,18.97,18.0,863200.0,-0.0265
2000-01-05,19.06,18.47,19.19,18.38,613600.0,0.0393
2000-01-06,19.91,18.75,19.94,18.69,893600.0,0.0446
2000-01-07,19.91,19.91,20.38,19.59,900000.0,0.0
2000-01-10,20.31,20.0,20.34,19.81,848600.0,0.020099999999999996
2000-01-11,20.09,20.19,20.22,19.94,518000.0,-0.0108
2000-01-12,19.72,19.5,19.91,19.38,777800.0,-0.0184
2000-01-13,19.56,19.72,19.94,19.53,492200.0,-0.008100000000000001
2000-01-14,19.72,19.56,19.75,19.44,427200.0,0.008199999999999999
2000-01-18,19.22,19.59,19.62,19.16,569600.0,-0.0254
2000-01-19,18.97,19.31,19.41,18.88,807200.0,-0.013000000000000001
2000-01-20,18.91,19.03,19.09,18.75,684200.0,-0.0032
2000-01-21,18.53,19.0,19.0,18.5,623800.0,-0.020099999999999996
2000-01-24,18.19,18.56,18.62,18.0,417400.0,-0.0183
2000-01-25,17.81,18.31,18.75,17.59,729200.0,-0.0209
2000-01-26,18.09,17.91,18.38,17.66,801800.0,0.015700000000000002
2000-01-27,18.03,17.97,18.34,17.75,354600.0,-0.0033
2000-01-28,17.25,17.91,17.91,16.88,724200.0,-0.0433
2000-01-31,17.59,17.5,17.78,17.41,500200.0,0.0197
2000-02-01,17.53,17.5,17.62,17.31,274000.0,-0.0034000000000000002
2000-02-02,17.03,17.59,17.59,17.0,690400.0,-0.0285
2000-02-03,17.38,17.16,17.59,17.0,626800.0,0.0206
2000-02-04,17.56,17.38,17.88,17.25,754600.0,0.0104
2000-02-07,17.47,17.44,17.69,17.25,655800.0,-0.0051
2000-02-08,17.09,17.44,17.44,16.94,695400.0,-0.0218
2000-02-09,16.53,17.06,17.06,16.41,611800.0,-0.032799999999999996
2000-02-10,16.56,16.41,16.75,16.31,441000.0,0.0018
2000-02-11,16.25,16.69,16.75,16.16,366600.0,-0.0187
2000-02-14,16.25,16.31,16.44,16.09,302000.0,0.0
2000-02-15,16.69,16.25,16.69,16.12,683400.0,0.0271
2000-02-16,16.38,16.62,16.81,16.25,408000.0,-0.018600000000000002
2000-02-17,16.34,16.44,16.44,16.19,393000.0,-0.0024
2000-02-18,15.53,16.22,16.34,15.12,849000.0,-0.0496
2000-02-22,15.84,16.0,16.09,15.5,626000.0,0.02
2000-02-23,15.56,15.81,15.94,15.38,501000.0,-0.0177
2000-02-24,14.56,15.5,15.53,14.19,1120000.0,-0.0643
2000-02-25,14.56,14.69,15.03,14.53,557800.0,0.0
2000-02-28,14.31,14.69,14.91,14.0,720600.0,-0.0172
2000-02-29,14.12,14.38,14.47,14.06,651800.0,-0.013300000000000001
2000-03-01,14.44,14.38,14.62,14.25,710400.0,0.0227
2000-03-02,14.38,14.41,14.62,14.28,718800.0,-0.0042
2000-03-03,15.34,14.38,15.5,14.31,1130000.0,0.0668
2000-03-06,14.25,15.34,15.41,14.09,570200.0,-0.0711
2000-03-07,14.19,14.44,14.75,14.09,778000.0,-0.0042
2000-03-08,14.56,14.06,14.72,14.0,667600.0,0.026099999999999998
2000-03-09,15.12,14.62,15.25,14.44,873200.0,0.0385
2000-03-10,15.19,14.97,15.34,14.88,709600.0,0.0046
2000-03-13,14.91,15.22,15.22,14.75,614200.0,-0.0184
2000-03-14,15.41,14.81,15.66,14.81,907800.0,0.0335
2000-03-15,16.28,15.31,16.5,15.25,1010000.0,0.0565
2000-03-16,17.31,16.62,17.34,16.38,877400.0,0.0633
2000-03-17,17.22,17.94,17.94,17.03,1140000.0,-0.0052
2000-03-20,17.06,17.28,17.47,16.81,896600.0,-0.009300000000000001
2000-03-21,17.5,16.88,17.69,16.88,430200.0,0.0258
2000-03-22,17.19,17.5,17.56,17.0,450000.0,-0.0177
2000-03-23,16.94,17.06,17.25,16.44,1140000.0,-0.014499999999999999
2000-03-24,17.28,16.81,17.34,16.69,669200.0,0.020099999999999996
2000-03-27,17.28,17.19,17.47,17.09,460000.0,0.0
2000-03-28,17.31,17.22,17.88,17.19,505400.0,0.0017000000000000001
2000-03-29,17.47,17.28,17.5,17.28,221800.0,0.0092
2000-03-30,18.25,17.59,18.5,17.56,760400.0,0.0446
2000-03-31,18.34,18.22,18.5,18.19,706800.0,0.0049
2000-04-03,18.59,18.25,19.0,18.12,869000.0,0.013600000000000001
2000-04-04,18.47,18.69,19.0,18.0,494200.0,-0.006500000000000001
2000-04-05,18.88,18.41,19.0,18.41,578000.0,0.0222
2000-04-06,18.94,18.84,19.03,18.81,459400.0,0.0032
2000-04-07,18.72,18.81,18.97,18.66,368400.0,-0.0116
2000-04-10,18.94,18.66,19.19,18.66,527000.0,0.0118
2000-04-11,19.12,18.81,19.47,18.81,556200.0,0.0095
2000-04-12,19.19,19.12,19.5,19.12,437200.0,0.0037
2000-04-13,18.97,19.19,19.31,18.84,424000.0,-0.0115
2000-04-14,18.31,18.56,18.81,17.94,719000.0,-0.0348
2000-04-17,18.19,18.06,18.53,18.0,467800.0,-0.0066
2000-04-18,17.78,18.22,18.22,17.5,535800.0,-0.0225
2000-04-19,17.81,17.72,18.0,17.47,595000.0,0.0017000000000000001
2000-04-20,18.31,18.5,18.78,18.25,1120000.0,0.0281
2000-04-24,18.97,18.19,19.12,18.12,1050000.0,0.036000000000000004
2000-04-25,19.28,18.84,19.38,18.75,578800.0,0.0163
2000-04-26,19.44,19.28,19.84,19.16,712000.0,0.0083
2000-04-27,19.5,19.19,19.62,19.12,830200.0,0.0031
2000-04-28,19.53,19.44,20.0,19.44,764800.0,0.0015
2000-05-01,20.09,19.41,20.09,19.41,643400.0,0.0287
2000-05-02,20.03,19.97,20.03,19.75,1050000.0,-0.003
2000-05-03,19.94,19.75,20.12,19.62,1330000.0,-0.0045000000000000005
2000-05-04,19.94,19.94,20.09,19.72,819000.0,0.0
2000-05-05,20.12,19.84,20.56,19.75,841400.0,0.009000000000000001
2000-05-08,19.62,19.94,19.94,19.28,713000.0,-0.024900000000000002
2000-05-09,20.0,19.5,20.0,19.34,1010000.0,0.0194
2000-05-10,20.0,19.94,20.44,19.84,448600.0,0.0
2000-05-11,20.34,19.88,20.62,19.88,595000.0,0.017
2000-05-12,20.44,20.28,20.47,20.0,636400.0,0.0049
2000-05-15,20.41,20.31,20.5,20.22,619000.0,-0.0015
2000-05-16,20.0,20.16,20.16,19.75,813600.0,-0.020099999999999996
2000-05-17,20.0,20.0,20.03,19.72,389200.0,0.0
2000-05-18,19.59,19.88,20.09,19.56,515600.0,-0.020499999999999997
2000-05-19,19.5,19.5,19.62,19.22,690200.0,-0.0046
2000-05-22,19.78,19.59,19.94,19.59,391400.0,0.0144
2000-05-23,19.5,19.69,19.81,19.28,519799.99999999994,-0.014199999999999999
2000-05-24,19.62,19.62,19.81,19.53,373600.0,0.0062
2000-05-25,18.97,19.56,19.56,18.97,557000.0,-0.0331
2000-05-26,19.09,19.03,19.25,18.97,348200.0,0.0063
2000-05-30,19.34,19.0,19.38,19.0,458200.0,0.0131
2000-05-31,19.12,19.22,19.22,19.0,419200.0,-0.011399999999999999
2000-06-01,19.09,19.0,19.16,18.53,994800.0,-0.0016
2000-06-02,19.59,19.12,19.69,19.09,586200.0,0.0262
2000-06-05,19.12,19.41,19.41,19.03,492400.0,-0.024
2000-06-06,18.94,19.06,19.09,18.81,500400.0,-0.009399999999999999
2000-06-07,19.03,18.91,19.19,18.88,387800.0,0.0048
2000-06-08,19.22,18.91,19.44,18.47,411800.0,0.01
2000-06-09,19.19,19.28,19.47,19.09,367400.0,-0.0016
2000-06-12,18.56,19.06,19.38,18.44,709200.0,-0.032799999999999996
2000-06-13,18.66,18.69,18.81,18.59,634000.0,0.0054
2000-06-14,18.84,18.69,19.03,18.62,441800.0,0.0096
2000-06-15,18.66,18.94,19.19,18.66,408200.0,-0.0096
2000-06-16,18.51,18.66,18.72,18.38,701400.0,-0.008
2000-06-19,18.47,18.44,18.62,18.41,559600.0,-0.0022
2000-06-20,18.28,18.38,18.44,17.94,734800.0,-0.0103
2000-06-21,17.91,18.16,18.22,17.81,455400.0,-0.0202
2000-06-22,17.88,17.81,17.97,17.69,489800.0,-0.0017000000000000001
2000-06-23,18.0,17.97,18.22,17.91,293400.0,0.0067
2000-06-26,17.94,18.0,18.09,17.72,447200.0,-0.0033
2000-06-27,18.47,18.0,18.75,17.97,667200.0,0.029500000000000002
2000-06-28,18.67,18.59,19.09,18.0,897800.0,0.0108
2000-06-29,19.03,18.53,19.31,18.53,706200.0,0.019299999999999998
2000-06-30,19.53,18.91,19.56,18.66,1030000.0,0.0263
2000-07-03,20.0,19.53,20.0,19.53,512799.99999999994,0.0241
2000-07-05,20.0,19.94,20.0,19.81,528000.0,0.0
2000-07-06,19.22,19.81,19.81,19.0,590800.0,-0.039
2000-07-07,19.22,19.06,19.38,19.06,445600.0,0.0
2000-07-10,19.31,19.25,19.34,19.19,1170000.0,0.004699999999999999
2000-07-11,18.94,19.25,19.34,18.91,1100000.0,-0.0192
2000-07-12,18.69,18.97,18.97,18.5,800600.0,-0.0132
2000-07-13,18.69,18.72,18.72,18.59,907200.0,0.0
2000-07-14,18.56,18.72,18.72,18.22,426800.0,-0.006999999999999999
2000-07-17,18.03,18.44,18.44,17.81,513799.99999999994,-0.0286
2000-07-18,18.25,18.06,18.34,18.03,830400.0,0.012199999999999999
2000-07-19,18.34,18.31,18.5,18.25,488800.0,0.0049
2000-07-20,18.47,18.12,18.5,17.97,720800.0,0.0070999999999999995
2000-07-21,18.06,18.38,18.53,18.0,401400.0,-0.0222
2000-07-24,17.72,17.81,17.97,17.59,386400.0,-0.018799999999999997
2000-07-25,18.09,17.72,18.22,17.62,808000.0,0.0209
2000-07-26,17.44,18.0,18.0,17.31,652200.0,-0.0359
2000-07-27,17.73,17.38,17.84,17.38,795200.0,0.0166
2000-07-28,18.06,17.72,18.25,17.72,505000.0,0.018600000000000002
2000-07-31,17.91,18.09,18.25,17.91,683800.0,-0.0083
2000-08-01,17.94,18.03,18.09,17.94,253800.0,0.0017000000000000001
2000-08-02,17.94,17.91,18.0,17.59,451200.0,0.0
2000-08-03,18.09,18.06,18.34,17.91,422200.0,0.0084
2000-08-04,18.16,18.03,18.28,17.78,268400.0,0.0039000000000000003
2000-08-07,18.75,18.25,18.84,18.25,487600.0,0.0325
2000-08-08,18.88,18.62,18.97,18.38,459800.0,0.0069
2000-08-09,18.47,18.75,18.81,18.22,655400.0,-0.0217
2000-08-10,18.5,18.47,18.75,18.44,379200.0,0.0016
2000-08-11,19.06,18.81,19.22,18.81,379400.0,0.030299999999999997
2000-08-14,19.0,18.94,19.09,18.81,273000.0,-0.0031
2000-08-15,19.12,18.88,19.31,18.88,228200.0,0.0063
2000-08-16,19.25,19.06,19.41,19.06,217800.0,0.0068000000000000005
2000-08-17,19.22,19.25,19.41,19.19,220400.0,-0.0016
2000-08-18,19.25,19.16,19.41,19.12,408400.0,0.0016
2000-08-21,19.38,19.38,19.47,19.34,306600.0,0.0068000000000000005
2000-08-22,19.75,19.31,19.81,19.12,611600.0,0.0191
2000-08-23,19.66,19.75,19.84,19.53,567600.0,-0.0046
2000-08-24,19.31,19.53,19.59,19.22,478800.0,-0.0178
2000-08-25,19.44,19.31,19.56,19.28,671600.0,0.0067
2000-08-28,19.28,19.44,19.44,19.19,432000.0,-0.008199999999999999
2000-08-29,19.06,19.06,19.25,19.03,296600.0,-0.011399999999999999
2000-08-30,19.09,19.0,19.25,19.0,401400.0,0.0016
2000-08-31,19.47,19.19,19.59,19.09,338400.0,0.0199
2000-09-01,19.34,19.47,19.5,19.31,286200.0,-0.0067
2000-09-05,19.34,19.34,19.5,19.22,300400.0,0.0
2000-09-06,19.53,19.38,19.78,19.34,347800.0,0.0098
2000-09-07,19.22,19.66,19.72,19.03,361200.0,-0.0159
2000-09-08,18.97,19.22,19.22,18.78,485000.0,-0.013000000000000001
2000-09-11,19.06,18.94,19.22,18.84,439400.0,0.004699999999999999
2000-09-12,19.38,18.97,19.38,18.84,570200.0,0.0168
2000-09-13,18.97,19.19,19.34,18.97,272200.0,-0.0212
2000-09-14,18.41,18.91,18.97,18.06,575400.0,-0.029500000000000002
2000-09-15,18.09,18.0,18.34,18.0,877000.0,-0.0174
2000-09-18,18.22,18.12,18.34,17.88,575600.0,0.0072
2000-09-19,18.06,18.22,18.25,17.81,334600.0,-0.0088
2000-09-20,17.84,18.06,18.06,17.78,280400.0,-0.012199999999999999
