Date,Close,Open,High,Low,Volume,Change
2000-01-03,23.22,23.97,24.16,23.19,502400.0,-0.026000000000000002
2000-01-04,22.66,23.22,23.53,22.59,412400.0,-0.0241
2000-01-05,23.78,22.94,23.88,22.91,598600.0,0.049400000000000006
2000-01-06,25.28,23.78,25.38,23.75,506000.0,0.06309999999999999
2000-01-07,25.22,25.28,25.31,24.88,830600.0,-0.0024
2000-01-10,24.44,25.09,25.09,24.28,511000.0,-0.030899999999999997
2000-01-11,24.16,24.56,24.78,24.12,451800.0,-0.0115
2000-01-12,24.94,24.19,25.06,24.19,450800.0,0.0323
2000-01-13,24.66,24.94,24.94,24.66,265200.0,-0.011200000000000002
2000-01-14,24.25,24.59,24.59,24.22,279200.0,-0.0166
2000-01-18,23.66,24.28,24.28,23.59,475000.0,-0.024300000000000002
2000-01-19,22.88,23.56,23.59,22.31,901600.0,-0.033
2000-01-20,22.44,23.0,23.09,22.03,883200.0,-0.0192
2000-01-21,21.84,22.12,22.28,21.69,973400.0,-0.026699999999999998
2000-01-24,21.81,21.88,22.12,21.75,767600.0,-0.0014000000000000002
2000-01-25,20.53,21.88,21.88,20.12,976000.0,-0.0587
2000-01-26,21.19,20.78,21.25,20.72,856400.0,0.0321
2000-01-27,21.41,20.5,21.72,20.5,1040000.0,0.0104
2000-01-28,19.97,18.88,20.5,18.84,1260000.0,-0.0673
2000-01-31,19.94,20.0,20.0,19.16,1110000.0,-0.0015
2000-02-01,19.84,20.03,20.12,19.56,1600000.0,-0.005
2000-02-02,19.88,19.84,19.94,19.75,700600.0,0.002
2000-02-03,20.06,19.88,20.25,19.81,588000.0,0.0091
2000-02-04,20.03,20.09,20.09,19.94,546200.0,-0.0015
2000-02-07,19.94,19.91,20.09,19.91,564200.0,-0.0045000000000000005
2000-02-08,19.97,19.88,20.09,19.88,630800.0,0.0015
2000-02-09,20.0,20.0,20.25,19.97,896600.0,0.0015
2000-02-10,19.47,20.0,20.0,19.22,625000.0,-0.0265
