Date,Close,Open,High,Low,Volume,Change
2000-01-03,54.72,56.19,56.44,54.72,1880000.0,-0.0165
2000-01-04,53.36,54.22,55.39,52.74,1900000.0,-0.024900000000000002
2000-01-05,55.21,53.3,55.64,52.87,2530000.0,0.0347
2000-01-06,56.32,54.9,56.69,54.41,5480000.0,0.020099999999999996
2000-01-07,57.8,57.18,59.15,56.81,6060000.0,0.0263
2000-01-10,57.67,58.66,58.66,57.06,2820000.0,-0.0022
2000-01-11,55.02,57.67,57.8,54.9,2130000.0,-0.046
2000-01-12,54.1,55.02,55.95,54.04,2760000.0,-0.0167
2000-01-13,54.1,53.85,55.21,53.42,1910000.0,0.0
2000-01-14,55.09,54.22,55.64,54.22,2180000.0,0.0183
2000-01-18,51.45,54.22,54.47,51.33,3140000.0,-0.0661
2000-01-19,51.76,51.94,53.05,50.9,3230000.0,0.006
2000-01-20,49.97,52.0,52.62,49.6,2760000.0,-0.0346
2000-01-21,49.42,50.28,50.71,48.8,3140000.0,-0.011000000000000001
2000-01-24,47.81,49.72,49.97,46.58,3240000.0,-0.0326
2000-01-25,47.08,48.18,48.49,45.6,3190000.0,-0.015300000000000001
2000-01-26,47.57,47.08,48.8,46.83,3240000.0,0.0104
2000-01-27,47.14,47.63,48.74,46.09,1780000.0,-0.009000000000000001
2000-01-28,47.2,47.69,48.37,46.89,1570000.0,0.0013
2000-01-31,46.95,46.09,47.14,45.72,2230000.0,-0.0053
2000-02-01,47.38,46.15,48.31,46.15,1700000.0,0.0092
2000-02-02,47.01,47.14,47.32,45.47,2080000.0,-0.0078000000000000005
2000-02-03,45.6,47.32,47.51,44.67,2560000.0,-0.03
2000-02-04,44.98,45.84,46.21,44.61,2120000.0,-0.013600000000000001
2000-02-07,43.93,45.6,45.6,43.44,1600000.0,-0.0233
2000-02-08,44.36,44.73,45.41,43.93,2140000.0,0.0098
2000-02-09,42.52,44.36,45.23,42.45,2320000.0,-0.0415
2000-02-10,43.13,42.39,43.13,40.98,4040000.0,0.0143
2000-02-11,42.08,43.38,44.06,40.91,4450000.0,-0.024300000000000002
2000-02-14,41.84,42.15,42.82,40.98,2680000.0,-0.005699999999999999
2000-02-15,42.95,41.65,43.81,40.98,4310000.0,0.0265
2000-02-16,42.58,43.62,43.69,42.02,1790000.0,-0.0086
2000-02-17,41.9,43.62,43.75,41.47,2680000.0,-0.016
2000-02-18,39.99,41.9,41.9,38.94,3190000.0,-0.045599999999999995
2000-02-22,40.91,40.17,41.35,39.43,2440000.0,0.023
2000-02-23,39.68,40.36,40.85,39.5,1420000.0,-0.0301
2000-02-24,37.28,38.7,38.94,36.48,3550000.0,-0.0605
2000-02-25,35.49,36.48,37.09,35.31,3320000.0,-0.048
2000-02-28,35.37,36.42,37.4,35.31,3560000.0,-0.0034000000000000002
2000-02-29,36.29,35.49,37.28,34.2,4840000.0,0.026000000000000002
2000-03-01,35.18,36.79,36.85,34.75,4170000.0,-0.030600000000000002
2000-03-02,34.63,35.55,35.68,34.01,2640000.0,-0.015600000000000001
2000-03-03,35.8,35.49,37.34,35.43,4320000.0,0.0338
2000-03-06,34.44,36.11,36.42,34.07,3350000.0,-0.038
2000-03-07,32.9,33.7,34.14,32.41,4480000.0,-0.0447
2000-03-08,35.51,32.9,35.68,32.53,4620000.0,0.0793
2000-03-09,34.26,34.51,35.18,32.9,4450000.0,-0.0352
2000-03-10,35.61,36.11,36.91,34.63,4420000.0,0.0394
2000-03-13,35.49,34.75,36.35,34.75,3360000.0,-0.0034000000000000002
2000-03-14,33.7,35.8,36.05,33.7,3470000.0,-0.0504
2000-03-15,36.11,34.32,36.48,33.52,4790000.0,0.07150000000000001
2000-03-16,39.62,36.48,40.17,35.49,5630000.0,0.09720000000000001
2000-03-17,37.52,39.19,39.19,37.52,3970000.0,-0.053
2000-03-20,37.46,38.08,38.94,36.97,3380000.0,-0.0016
2000-03-21,38.51,37.28,38.88,37.16,2210000.0,0.027999999999999997
2000-03-22,36.72,38.14,38.45,35.92,4570000.0,-0.04650000000000001
2000-03-23,38.57,37.46,39.5,37.28,4450000.0,0.0504
2000-03-24,38.88,38.7,39.5,38.14,2560000.0,0.008
