Date,Close,Open,High,Low,Volume,Change
2000-01-03,30.0,31.31,31.31,29.81,1100000.0,-0.0409
2000-01-04,28.97,29.88,29.97,28.91,1180000.0,-0.034300000000000004
2000-01-05,30.06,29.0,30.12,29.0,1660000.0,0.037599999999999995
2000-01-06,31.5,30.06,32.22,30.06,2150000.0,0.0479
2000-01-07,32.06,31.72,32.25,31.62,1620000.0,0.0178
2000-01-10,31.06,31.94,31.94,30.91,1150000.0,-0.031200000000000002
2000-01-11,30.94,30.94,31.06,30.47,1120000.0,-0.0039000000000000003
2000-01-12,31.41,30.94,31.81,30.94,1160000.0,0.0152
2000-01-13,32.19,31.5,32.53,31.44,1690000.0,0.0248
2000-01-14,31.5,32.12,32.25,31.19,1920000.0,-0.021400000000000002
2000-01-18,30.75,31.06,31.38,30.75,1620000.0,-0.023799999999999998
2000-01-19,30.16,30.44,30.72,29.69,1580000.0,-0.0192
2000-01-20,28.94,30.28,30.28,28.75,870200.0,-0.0405
2000-01-21,29.31,29.06,29.66,28.56,1530000.0,0.0128
2000-01-24,29.0,29.56,29.75,28.81,1130000.0,-0.0106
2000-01-25,28.28,29.12,29.41,27.75,1710000.0,-0.0248
2000-01-26,28.72,28.38,29.06,28.25,1720000.0,0.015600000000000001
2000-01-27,29.06,29.0,29.41,28.91,1520000.0,0.0118
2000-01-28,28.34,28.97,28.97,27.38,1130000.0,-0.0248
2000-01-31,27.53,28.38,28.47,27.41,1120000.0,-0.0286
2000-02-01,28.03,27.66,28.12,27.56,1180000.0,0.0182
2000-02-02,27.53,27.88,27.91,27.31,541000.0,-0.0178
2000-02-03,27.38,27.53,27.62,27.06,627200.0,-0.0054
2000-02-04,27.03,27.53,27.53,26.94,800800.0,-0.0128
2000-02-07,26.16,27.06,27.06,26.0,1330000.0,-0.0322
2000-02-08,25.94,26.25,26.38,25.81,837000.0,-0.0084
2000-02-09,25.5,25.75,25.94,25.5,1180000.0,-0.017
2000-02-10,25.25,25.75,25.81,25.06,1010000.0,-0.0098
2000-02-11,24.31,25.38,25.44,24.09,1400000.0,-0.037200000000000004
2000-02-14,25.31,24.56,25.31,24.16,1590000.0,0.041100000000000005
2000-02-15,26.25,25.31,26.41,25.19,1390000.0,0.0371
2000-02-16,26.41,26.75,26.75,26.09,1090000.0,0.0060999999999999995
2000-02-17,26.25,26.5,26.75,25.88,1190000.0,-0.0060999999999999995
2000-02-18,25.53,26.16,26.16,25.31,927400.0,-0.0274
2000-02-22,26.31,25.53,26.78,25.53,718800.0,0.030600000000000002
2000-02-23,26.69,26.03,26.91,25.81,1180000.0,0.0144
2000-02-24,25.12,26.56,26.56,24.84,1320000.0,-0.0588
2000-02-25,24.53,25.16,25.16,24.28,1390000.0,-0.0235
2000-02-28,24.53,24.66,25.12,24.31,1570000.0,0.0
2000-02-29,24.69,24.5,24.69,24.09,1390000.0,0.006500000000000001
2000-03-01,24.16,24.56,24.56,23.78,812600.0,-0.0215
2000-03-02,23.56,23.88,24.09,23.31,576000.0,-0.0248
2000-03-03,24.53,23.59,25.31,23.5,1930000.0,0.0412
2000-03-06,24.0,24.12,24.25,23.41,987600.0,-0.0216
2000-03-07,23.25,23.62,23.81,23.0,914200.0,-0.0313
2000-03-08,23.03,23.0,23.34,22.81,1160000.0,-0.0095
2000-03-09,22.78,22.81,22.94,22.19,969600.0,-0.0109
2000-03-10,23.34,22.81,23.59,22.56,779400.0,0.0246
2000-03-13,22.97,23.0,23.34,22.56,736200.0,-0.0159
2000-03-14,23.0,23.06,23.47,22.78,689800.0,0.0013
2000-03-15,25.09,22.75,25.19,22.62,1430000.0,0.0909
2000-03-16,26.41,24.97,26.41,24.94,1430000.0,0.0526
2000-03-17,25.03,25.62,25.78,24.81,1250000.0,-0.052300000000000006
2000-03-20,25.53,25.12,26.0,25.12,765000.0,0.02
2000-03-21,26.09,25.5,26.44,25.31,990800.0,0.0219
2000-03-22,24.91,25.97,25.97,24.75,858000.0,-0.0452
2000-03-23,25.19,24.5,25.41,24.34,1000000.0,0.011200000000000002
2000-03-24,25.28,25.31,25.5,25.03,944600.0,0.0036
2000-03-27,24.75,25.12,25.22,24.62,548400.0,-0.021
2000-03-28,24.88,24.5,25.59,24.5,917000.0,0.0053
2000-03-29,25.44,24.25,25.59,24.25,787400.0,0.0225
2000-03-30,26.56,25.47,26.97,25.44,1070000.0,0.044000000000000004
2000-03-31,26.16,26.69,26.69,25.78,1460000.0,-0.0151
2000-04-03,26.5,25.69,26.53,25.69,1080000.0,0.013000000000000001
2000-04-04,26.91,26.88,27.81,26.5,1800000.0,0.0155
2000-04-05,26.34,27.03,27.44,26.12,901800.0,-0.0212
2000-04-06,26.41,26.56,26.88,26.19,948000.0,0.0027
2000-04-07,26.03,26.28,26.69,26.0,683600.0,-0.0144
2000-04-10,25.97,25.56,26.38,25.5,1370000.0,-0.0023
2000-04-11,27.03,26.06,27.72,26.06,1180000.0,0.0408
2000-04-12,28.56,27.19,28.75,27.19,1850000.0,0.056600000000000004
2000-04-13,28.03,29.06,29.06,27.97,1490000.0,-0.018600000000000002
2000-04-14,26.59,28.12,28.12,26.5,1100000.0,-0.051399999999999994
2000-04-17,26.62,26.31,26.97,26.16,907400.0,0.0011
2000-04-18,25.59,26.44,26.72,25.44,994000.0,-0.0387
2000-04-19,25.31,25.81,25.81,25.25,894800.0,-0.0109
2000-04-20,26.5,25.69,26.94,25.69,1250000.0,0.047
2000-04-24,27.16,26.47,27.81,26.47,1290000.0,0.024900000000000002
2000-04-25,27.97,26.88,28.09,26.78,1270000.0,0.0298
2000-04-26,27.19,27.97,27.97,26.91,1000000.0,-0.0279
2000-04-27,26.88,27.31,27.41,26.62,952200.0,-0.011399999999999999
2000-04-28,27.19,26.69,27.81,26.69,682200.0,0.0115
2000-05-01,27.25,26.88,27.38,26.75,590000.0,0.0022
2000-05-02,27.19,27.12,27.62,27.03,1210000.0,-0.0022
2000-05-03,26.31,26.69,26.84,26.31,1070000.0,-0.032400000000000005
2000-05-04,26.69,26.38,27.12,26.34,670600.0,0.0144
2000-05-05,27.56,26.53,27.84,26.47,922400.0,0.0326
2000-05-08,27.44,27.22,27.91,27.19,740000.0,-0.0044
2000-05-09,27.75,27.44,28.19,27.38,1150000.0,0.0113
2000-05-10,27.28,27.75,28.31,27.22,704000.0,-0.0169
2000-05-11,27.91,27.5,28.22,27.47,440400.0,0.0231
2000-05-12,27.56,27.91,27.94,27.16,630800.0,-0.0125
2000-05-15,28.41,27.44,28.62,27.44,676800.0,0.0308
2000-05-16,28.31,28.41,28.41,27.66,808800.0,-0.0034999999999999996
2000-05-17,27.72,28.19,28.19,27.62,402600.0,-0.0208
2000-05-18,27.72,27.62,27.97,27.44,681200.0,0.0
2000-05-19,27.59,27.12,27.62,27.12,556200.0,-0.004699999999999999
2000-05-22,27.59,27.5,28.06,27.38,491400.0,0.0
2000-05-23,27.25,27.72,27.72,26.81,942000.0,-0.0123
2000-05-24,27.5,27.25,27.88,27.25,1000000.0,0.0092
2000-05-25,25.69,26.75,26.78,25.12,1880000.0,-0.0658
2000-05-26,25.53,25.69,25.88,25.16,650200.0,-0.0062
2000-05-30,25.94,25.66,26.0,25.28,657400.0,0.0161
2000-05-31,24.78,25.25,25.5,24.78,1110000.0,-0.0447
2000-06-01,24.94,24.81,24.94,24.0,1840000.0,0.006500000000000001
2000-06-02,25.0,24.75,25.25,24.56,1550000.0,0.0024
2000-06-05,24.5,25.0,25.16,24.31,809800.0,-0.02
2000-06-06,24.19,24.5,24.53,24.06,889600.0,-0.0127
2000-06-07,24.09,24.38,24.44,23.97,907400.0,-0.0040999999999999995
2000-06-08,23.94,24.03,24.25,23.88,895800.0,-0.0062
2000-06-09,23.97,23.97,24.0,23.81,881000.0,0.0013
2000-06-12,24.31,24.0,24.47,23.97,1070000.0,0.014199999999999999
2000-06-13,23.72,24.44,24.53,23.5,1080000.0,-0.024300000000000002
2000-06-14,24.06,23.5,24.22,23.5,1040000.0,0.0143
2000-06-15,23.5,24.0,24.03,23.25,771200.0,-0.0233
2000-06-16,23.29,23.16,23.47,23.06,1010000.0,-0.0089
2000-06-19,22.28,23.19,23.31,22.12,1450000.0,-0.0434
2000-06-20,21.75,22.25,22.41,21.25,1780000.0,-0.023799999999999998
2000-06-21,21.06,22.0,22.06,20.88,2300000.0,-0.0317
2000-06-22,21.5,21.06,21.78,20.78,1690000.0,0.0209
2000-06-23,21.53,21.5,21.66,21.19,1430000.0,0.0014000000000000002
2000-06-26,21.5,21.66,21.66,21.25,1450000.0,-0.0014000000000000002
2000-06-27,22.34,21.5,22.5,21.31,2630000.0,0.0391
2000-06-28,22.64,22.34,23.09,21.75,2790000.0,0.0134
2000-06-29,22.5,22.62,23.03,22.09,1470000.0,-0.0062
2000-06-30,22.16,22.53,22.59,21.97,1750000.0,-0.0151
2000-07-03,22.97,22.28,23.0,22.25,720600.0,0.0366
2000-07-05,22.44,22.62,22.97,22.19,1370000.0,-0.0231
2000-07-06,21.97,22.38,22.38,21.91,1460000.0,-0.0209
2000-07-07,22.09,22.09,22.34,21.75,2080000.0,0.0055000000000000005
2000-07-10,21.81,21.75,22.25,21.66,1410000.0,-0.0127
2000-07-11,22.75,21.78,22.75,21.78,1000000.0,0.0431
2000-07-12,22.41,22.66,22.94,22.25,940800.0,-0.0149
2000-07-13,22.97,22.38,23.25,22.38,973200.0,0.025
2000-07-14,22.66,23.03,23.16,22.34,883000.0,-0.013500000000000002
2000-07-17,21.97,22.56,22.59,21.88,1350000.0,-0.0305
2000-07-18,21.81,21.94,22.06,21.72,1020000.0,-0.0073
2000-07-19,21.34,21.69,22.0,21.25,887800.0,-0.0215
2000-07-20,21.06,20.94,21.44,20.78,1370000.0,-0.0131
2000-07-21,21.41,21.19,21.53,21.09,1540000.0,0.0166
2000-07-24,21.22,21.41,21.44,21.0,1130000.0,-0.0089
2000-07-25,21.27,21.25,21.5,20.88,1420000.0,0.0024
2000-07-26,20.72,21.16,21.25,20.72,1170000.0,-0.0259
