Date,Close,Open,High,Low,Volume,Change
2000-01-03,26.09,25.69,26.19,25.44,987600.0,0.0069
2000-01-04,27.09,25.81,27.56,25.81,1700000.0,0.0383
2000-01-05,27.09,27.12,27.28,26.62,1030000.0,0.0
2000-01-06,27.81,27.19,27.94,27.12,925800.0,0.026600000000000002
2000-01-07,28.81,28.25,28.88,28.12,1200000.0,0.036000000000000004
2000-01-10,29.66,29.12,29.88,28.92,1760000.0,0.029500000000000002
2000-01-11,29.28,29.56,29.62,29.22,940400.0,-0.0128
2000-01-12,29.88,29.38,30.19,29.19,1230000.0,0.020499999999999997
2000-01-13,30.38,29.91,30.94,29.84,3900000.0,0.0167
2000-01-14,30.09,30.5,30.56,29.47,2020000.0,-0.0095
2000-01-18,29.59,30.09,30.09,29.12,783600.0,-0.0166
2000-01-19,28.81,29.25,29.38,28.44,979600.0,-0.0264
2000-01-20,27.72,28.69,28.75,27.25,1360000.0,-0.0378
2000-01-21,27.47,28.25,28.38,27.41,918400.0,-0.009000000000000001
2000-01-24,27.0,27.5,27.75,26.75,1200000.0,-0.0171
2000-01-25,26.66,27.0,27.38,26.5,469000.0,-0.0126
2000-01-26,28.03,27.5,28.5,27.38,1420000.0,0.051399999999999994
2000-01-27,28.62,27.94,28.97,27.94,915600.0,0.021
2000-01-28,28.66,28.62,29.38,27.94,939200.0,0.0014000000000000002
2000-01-31,28.06,28.53,28.53,27.12,940000.0,-0.0209
2000-02-01,27.56,27.94,28.06,27.38,544200.0,-0.0178
2000-02-02,27.19,27.69,28.0,27.0,604200.0,-0.0134
2000-02-03,26.72,27.31,27.56,26.5,810800.0,-0.0173
2000-02-04,26.25,26.84,26.97,26.0,860000.0,-0.0176
2000-02-07,25.5,26.12,26.12,25.25,770400.0,-0.0286
2000-02-08,25.56,24.75,25.88,24.75,1450000.0,0.0024
2000-02-09,25.91,26.06,26.5,25.81,1010000.0,0.0137
2000-02-10,25.91,26.03,26.69,25.56,1900000.0,0.0
2000-02-11,25.34,26.0,26.0,25.25,784400.0,-0.022000000000000002
2000-02-14,25.0,25.19,25.44,24.97,401400.0,-0.0134
2000-02-15,25.38,25.31,25.56,24.97,611000.0,0.0152
2000-02-16,24.5,25.25,25.44,24.47,824800.0,-0.0347
2000-02-17,24.59,24.38,25.12,24.25,1260000.0,0.0037
2000-02-18,23.87,24.47,24.5,23.25,914200.0,-0.029300000000000003
2000-02-22,24.72,24.12,24.84,24.0,529200.0,0.0356
2000-02-23,24.97,24.72,25.12,24.72,543400.0,0.0101
2000-02-24,24.31,24.97,24.97,24.22,1010000.0,-0.0264
2000-02-25,24.12,24.28,24.81,24.12,485800.0,-0.0078000000000000005
2000-02-28,23.66,23.88,23.94,23.59,606800.0,-0.0191
2000-02-29,24.84,23.66,25.16,23.66,1240000.0,0.0499
2000-03-01,25.72,25.25,25.91,25.12,1150000.0,0.0354
2000-03-02,25.5,25.72,26.06,25.44,1120000.0,-0.0086
2000-03-03,25.56,25.47,26.06,25.31,976800.0,0.0024
2000-03-06,24.81,25.56,25.56,24.59,692000.0,-0.029300000000000003
2000-03-07,24.03,25.0,25.06,23.84,3310000.0,-0.031400000000000004
2000-03-08,22.19,23.69,23.75,22.12,4690000.0,-0.0766
2000-03-09,22.47,22.5,22.81,22.19,1620000.0,0.0126
2000-03-10,22.38,22.44,23.0,22.31,1020000.0,-0.004
2000-03-13,22.56,21.88,22.81,21.69,1280000.0,0.008
2000-03-14,22.19,22.59,23.22,21.97,1840000.0,-0.016399999999999998
2000-03-15,22.72,22.25,23.22,21.72,2140000.0,0.0239
2000-03-16,24.53,23.25,25.0,23.12,1830000.0,0.0797
2000-03-17,24.0,24.56,24.75,23.94,883600.0,-0.0216
2000-03-20,24.31,24.28,25.0,24.25,850000.0,0.0129
2000-03-21,25.06,24.31,25.12,24.19,1340000.0,0.030899999999999997
2000-03-22,24.44,25.03,25.09,24.38,2620000.0,-0.024700000000000003
2000-03-23,25.78,24.38,26.31,24.38,3030000.0,0.0548
2000-03-24,26.0,25.78,26.25,25.5,818400.0,0.0085
2000-03-27,24.91,26.0,26.09,24.69,896600.0,-0.04190000000000001
2000-03-28,24.97,25.03,25.56,24.75,683400.0,0.0024
2000-03-29,24.81,24.97,25.34,24.09,1250000.0,-0.0064
2000-03-30,26.34,25.5,26.81,25.47,1450000.0,0.0617
2000-03-31,27.16,26.22,27.53,26.12,1220000.0,0.0311
2000-04-03,27.62,27.28,27.88,27.06,718400.0,0.0169
2000-04-04,27.38,27.75,27.91,26.62,1540000.0,-0.0087
2000-04-05,26.84,27.75,27.75,26.69,516200.00000000006,-0.0197
2000-04-06,26.78,26.94,27.22,26.69,364600.0,-0.0022
2000-04-07,28.09,27.56,28.22,26.94,867200.0,0.0489
2000-04-10,29.34,28.72,29.5,28.56,1800000.0,0.044500000000000005
2000-04-11,29.31,29.22,29.38,28.84,1240000.0,-0.001
2000-04-12,28.91,29.5,29.75,28.88,1090000.0,-0.013600000000000001
2000-04-13,28.47,28.97,28.97,28.22,625800.0,-0.0152
2000-04-14,27.41,28.09,28.19,27.12,659200.0,-0.037200000000000004
2000-04-17,26.69,27.28,27.28,26.44,859000.0,-0.0263
2000-04-18,26.97,26.69,28.0,26.12,1150000.0,0.0105
2000-04-19,26.97,26.91,27.19,26.69,370200.0,0.0
2000-04-20,27.34,26.66,27.38,26.5,697400.0,0.0137
2000-04-24,27.38,27.22,27.5,27.09,1010000.0,0.0015
2000-04-25,28.69,27.25,28.88,27.25,738800.0,0.0478
2000-04-26,28.53,28.69,28.88,27.94,763600.0,-0.005600000000000001
2000-04-27,28.22,27.84,28.41,26.53,2120000.0,-0.0109
2000-04-28,27.81,28.5,28.5,27.47,755800.0,-0.014499999999999999
2000-05-01,28.09,27.81,28.12,27.66,658400.0,0.0101
2000-05-02,27.16,27.75,28.0,26.78,765600.0,-0.0331
2000-05-03,26.97,27.06,27.28,26.75,1210000.0,-0.006999999999999999
2000-05-04,26.84,26.88,27.12,26.78,920200.0,-0.0048
2000-05-05,26.91,26.78,27.06,26.34,1070000.0,0.0026
2000-05-08,27.16,26.78,27.47,26.75,825200.0,0.009300000000000001
2000-05-09,26.72,27.09,27.75,26.72,1630000.0,-0.016200000000000003
2000-05-10,26.31,26.5,26.84,25.56,1770000.0,-0.015300000000000001
