Date,Close,Open,High,Low,Volume,Change,Symbol
2013-01-18,24.79,25.1,25.49,24.16,17760000.0,-0.5398,NCLH
2013-01-22,26.95,25.0,27.35,24.85,2069999.9999999998,0.08710000000000001,NCLH
2013-01-23,27.49,28.0,28.86,26.49,1570000.0,0.02,NCLH
2013-01-24,27.34,27.17,27.9,26.64,508650.0,-0.0053,NCLH
2013-01-25,27.35,27.5,27.9,26.27,870620.0,0.0002,NCLH
2013-01-28,27.76,27.88,27.88,26.94,172180.0,0.015,NCLH
2013-01-29,27.11,27.9,27.96,27.0,437360.0,-0.023399999999999997,NCLH
2013-01-30,26.29,26.69,27.23,26.17,816370.0,-0.0302,NCLH
2013-01-31,26.37,26.02,26.92,25.75,970390.0,0.003,NCLH
2013-02-01,27.65,26.47,27.8,26.18,1100000.0,0.048499999999999995,NCLH
2013-02-04,28.41,27.71,29.08,27.6,952100.0,0.0275,NCLH
2013-02-05,28.54,28.96,28.96,27.97,447160.0,0.0046,NCLH
2013-02-06,27.98,28.1,28.74,27.8,377200.0,-0.0196,NCLH
2013-02-07,27.55,27.93,28.09,27.43,276270.0,-0.0154,NCLH
2013-02-08,27.91,27.6,28.31,27.32,380110.0,0.0131,NCLH
2013-02-11,27.68,27.78,27.84,27.42,576840.0,-0.008199999999999999,NCLH
2013-02-12,28.32,28.91,29.5,28.24,1880000.0,0.0231,NCLH
2013-02-13,28.92,28.81,29.54,28.29,772490.0,0.0212,NCLH
2013-02-14,29.25,28.82,29.4,28.6,431870.0,0.011399999999999999,NCLH
2013-02-15,30.27,29.48,30.41,29.48,1420000.0,0.0349,NCLH
2013-02-19,31.19,30.47,31.33,30.44,497730.0,0.030299999999999997,NCLH
2013-02-20,30.8,31.19,31.91,30.56,612600.0,-0.0124,NCLH
2013-02-21,30.47,30.54,31.0,29.76,481360.0,-0.010700000000000001,NCLH
2013-02-22,29.99,30.95,31.31,29.46,571180.0,-0.0158,NCLH
2013-02-25,30.78,31.34,31.41,30.18,471690.0,0.0263,NCLH
2013-02-26,30.21,30.81,31.08,29.79,418210.0,-0.018500000000000003,NCLH
2013-02-27,30.26,30.56,30.7,29.83,294340.0,0.0017000000000000001,NCLH
2013-02-28,30.98,30.55,31.08,30.03,234810.0,0.023799999999999998,NCLH
2013-03-01,30.99,30.5,31.68,30.26,688120.0,0.0003,NCLH
2013-03-04,30.45,30.55,31.25,30.26,274400.0,-0.0174,NCLH
2013-03-05,30.03,30.12,30.74,29.85,365950.0,-0.0138,NCLH
2013-03-06,30.02,30.19,30.4,29.85,153020.0,-0.0003,NCLH
