Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,23.98,24.64,24.64,23.64,304200.0,-0.022000000000000002,NOC
2000-01-04,24.3,24.32,24.95,24.21,600400.0,0.013300000000000001,NOC
2000-01-05,24.27,24.3,24.86,24.21,554400.0,-0.0012,NOC
2000-01-06,23.81,24.04,24.04,23.59,591000.0,-0.019,NOC
2000-01-07,24.38,23.93,24.72,23.93,853600.0,0.0239,NOC
2000-01-10,24.1,24.49,24.61,24.04,597200.0,-0.0115,NOC
2000-01-11,24.52,24.04,25.12,24.01,466400.0,0.0174,NOC
2000-01-12,24.27,24.64,24.72,24.27,276200.0,-0.0102,NOC
2000-01-13,24.27,24.32,24.58,24.18,251000.0,0.0,NOC
2000-01-14,24.15,24.27,24.49,24.15,334600.0,-0.0049,NOC
2000-01-18,23.64,23.53,23.81,23.1,393600.0,-0.021099999999999997,NOC
2000-01-19,22.91,23.47,23.56,22.76,641200.0,-0.030899999999999997,NOC
2000-01-20,23.02,23.02,23.33,22.28,669800.0,0.0048,NOC
2000-01-21,23.67,23.25,23.67,22.82,535600.0,0.0282,NOC
2000-01-24,22.11,23.67,23.93,22.06,611800.0,-0.0659,NOC
2000-01-25,21.66,22.28,22.37,21.09,584400.0,-0.0204,NOC
2000-01-26,21.72,21.83,21.89,20.52,942600.0,0.0028000000000000004,NOC
2000-01-27,22.68,21.77,22.85,21.77,1210000.0,0.044199999999999996,NOC
2000-01-28,22.71,22.74,23.1,22.45,593400.0,0.0013,NOC
2000-01-31,22.79,22.74,22.79,22.11,475800.0,0.0034999999999999996,NOC
2000-02-01,22.79,23.02,23.02,22.28,884400.0,0.0,NOC
2000-02-02,22.68,22.91,22.93,22.34,703400.0,-0.0048,NOC
2000-02-03,22.65,22.96,23.05,22.42,603200.0,-0.0013,NOC
2000-02-04,23.47,22.74,23.47,22.74,606400.0,0.0362,NOC
2000-02-07,22.62,23.81,24.55,22.45,1070000.0,-0.0362,NOC
