Date,Close,Open,High,Low,Volume,Change,Symbol
2012-06-29,24.6,23.75,24.75,22.83,10920000.0,-0.9064,NOW
2012-07-02,24.77,24.75,25.2,24.1,656650.0,0.0069,NOW
2012-07-03,25.31,24.85,25.32,24.6,401050.0,0.0218,NOW
2012-07-05,25.96,25.5,26.26,25.14,540960.0,0.025699999999999997,NOW
2012-07-06,25.84,25.75,26.12,25.1,355020.0,-0.0046,NOW
2012-07-09,25.27,25.96,26.3,25.18,152340.0,-0.022099999999999998,NOW
2012-07-10,25.05,25.22,25.69,25.05,303970.0,-0.0087,NOW
2012-07-11,23.74,25.02,25.35,23.49,296480.0,-0.052300000000000006,NOW
2012-07-12,24.08,23.3,24.47,22.62,325430.0,0.0143,NOW
2012-07-13,24.18,24.69,24.92,23.98,89060.0,0.0042,NOW
2012-07-16,24.38,24.08,24.56,23.8,118050.0,0.0083,NOW
2012-07-17,24.27,24.48,24.48,23.93,227450.0,-0.0045000000000000005,NOW
2012-07-18,24.23,24.43,24.69,24.0,103730.0,-0.0016,NOW
2012-07-19,24.0,24.67,24.67,23.9,254460.0,-0.0095,NOW
2012-07-20,25.23,24.04,25.23,23.9,260839.99999999997,0.0512,NOW
2012-07-23,24.35,25.01,25.01,23.91,603330.0,-0.0349,NOW
2012-07-24,24.84,24.83,25.96,24.6,291460.0,0.020099999999999996,NOW
2012-07-25,24.93,25.06,25.47,24.84,110700.0,0.0036,NOW
2012-07-26,24.42,24.93,25.35,24.0,157920.0,-0.020499999999999997,NOW
2012-07-27,25.33,24.48,25.44,24.32,100050.0,0.0373,NOW
2012-07-30,25.39,25.25,25.45,25.05,84200.0,0.0024,NOW
2012-07-31,27.0,25.44,27.56,25.41,283930.0,0.0634,NOW
2012-08-01,27.71,27.32,27.98,26.76,111830.0,0.0263,NOW
2012-08-02,29.08,27.5,29.3,27.0,556880.0,0.049400000000000006,NOW
2012-08-03,28.67,29.43,31.43,28.58,430930.0,-0.0141,NOW
2012-08-06,28.02,29.0,29.16,27.23,583740.0,-0.0227,NOW
2012-08-07,28.0,28.3,28.75,27.79,197950.0,-0.0007000000000000001,NOW
2012-08-08,27.57,27.91,27.91,27.01,296620.0,-0.0154,NOW
2012-08-09,29.51,27.48,30.02,27.3,135430.0,0.0704,NOW
2012-08-10,31.65,29.37,32.0,29.37,221260.0,0.0725,NOW
2012-08-13,32.43,32.03,32.55,31.72,214800.0,0.0246,NOW
2012-08-14,32.28,32.65,33.96,32.2,553200.0,-0.0046,NOW
2012-08-15,29.68,32.11,32.11,29.47,467710.0,-0.0805,NOW
2012-08-16,29.75,30.06,30.57,29.6,300500.0,0.0024,NOW
