Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,50.47,52.56,52.75,49.5,710100.0,-0.04769999999999999,NTRS
2000-01-04,47.19,49.62,49.62,46.75,1280000.0,-0.065,NTRS
2000-01-05,48.25,47.5,49.19,46.81,929200.0,0.0225,NTRS
2000-01-06,49.25,48.19,49.62,47.81,515900.0,0.0207,NTRS
2000-01-07,49.88,49.14,49.88,48.5,612500.0,0.0128,NTRS
2000-01-10,48.62,49.94,50.0,48.19,528000.0,-0.0253,NTRS
2000-01-11,47.75,48.38,48.44,46.88,873100.0,-0.0179,NTRS
2000-01-12,49.94,47.75,50.19,47.62,787200.0,0.045899999999999996,NTRS
2000-01-13,54.81,52.0,55.12,51.12,2190000.0,0.0975,NTRS
2000-01-14,54.88,55.5,55.5,53.88,995100.0,0.0013,NTRS
2000-01-18,55.56,54.44,55.62,52.75,1020000.0,0.0124,NTRS
2000-01-19,57.19,55.69,59.94,55.62,2080000.0,0.029300000000000003,NTRS
2000-01-20,53.94,57.19,57.25,53.75,467800.0,-0.056799999999999996,NTRS
2000-01-21,55.06,55.0,56.62,53.56,903600.0,0.0208,NTRS
2000-01-24,53.44,55.0,55.38,53.12,481800.0,-0.0294,NTRS
2000-01-25,54.75,53.94,55.31,53.12,537700.0,0.0245,NTRS
2000-01-26,57.0,54.88,57.25,54.75,979800.0,0.041100000000000005,NTRS
2000-01-27,55.62,57.06,57.81,54.88,1010000.0,-0.0242,NTRS
2000-01-28,54.0,55.38,55.38,53.19,788500.0,-0.0291,NTRS
2000-01-31,60.38,53.88,60.56,53.38,2130000.0,0.11810000000000001,NTRS
2000-02-01,60.62,59.75,62.0,58.12,2150000.0,0.004,NTRS
2000-02-02,58.91,61.25,62.38,58.12,1930000.0,-0.0282,NTRS
2000-02-03,57.06,59.81,60.0,57.06,1850000.0,-0.031400000000000004,NTRS
2000-02-04,58.19,57.59,59.12,57.25,953700.0,0.019799999999999998,NTRS
2000-02-07,59.25,58.0,59.31,57.19,447200.0,0.0182,NTRS
2000-02-08,59.41,59.44,60.62,58.88,770300.0,0.0027,NTRS
2000-02-09,57.25,59.38,59.75,57.12,590100.0,-0.0364,NTRS
2000-02-10,57.31,57.25,58.12,57.06,1250000.0,0.001,NTRS
2000-02-11,55.84,57.12,58.88,55.69,1050000.0,-0.0256,NTRS
2000-02-14,55.12,56.25,56.75,54.06,660800.0,-0.0129,NTRS
2000-02-15,58.62,55.06,59.5,54.88,956400.0,0.0635,NTRS
2000-02-16,57.5,58.38,58.88,56.38,902100.0,-0.0191,NTRS
2000-02-17,58.88,58.0,59.12,56.38,1180000.0,0.024,NTRS
2000-02-18,58.56,58.75,59.25,57.75,2049999.9999999998,-0.0054,NTRS
2000-02-22,56.88,58.38,58.5,55.44,956700.0,-0.0287,NTRS
2000-02-23,57.56,56.62,57.88,55.56,1290000.0,0.012,NTRS
2000-02-24,56.44,57.38,57.38,55.38,924600.0,-0.0195,NTRS
2000-02-25,55.69,56.5,56.56,55.5,1050000.0,-0.013300000000000001,NTRS
2000-02-28,57.75,55.75,57.75,55.62,449200.0,0.037000000000000005,NTRS
2000-02-29,56.5,57.69,57.75,54.62,1130000.0,-0.0216,NTRS
2000-03-01,56.38,56.75,56.75,55.62,884300.0,-0.0021,NTRS
2000-03-02,56.44,56.38,57.19,55.81,584000.0,0.0011,NTRS
2000-03-03,57.0,57.0,58.0,56.25,639600.0,0.009899999999999999,NTRS
2000-03-06,56.5,57.0,58.5,56.44,896300.0,-0.0088,NTRS
2000-03-07,56.19,56.75,57.12,56.12,840700.0,-0.0055000000000000005,NTRS
2000-03-08,53.88,56.12,56.12,53.06,2640000.0,-0.041100000000000005,NTRS
2000-03-09,52.94,53.75,54.0,52.44,1660000.0,-0.0174,NTRS
2000-03-10,52.31,53.19,53.19,52.19,962700.0,-0.011899999999999999,NTRS
2000-03-13,54.56,51.75,55.81,51.0,712700.0,0.043,NTRS
2000-03-14,54.19,54.88,57.5,53.88,862000.0,-0.0068000000000000005,NTRS
2000-03-15,56.69,55.0,57.31,53.88,1640000.0,0.0461,NTRS
2000-03-16,66.62,57.81,67.75,57.31,5990000.0,0.1752,NTRS
2000-03-17,63.31,64.0,65.0,61.62,3450000.0,-0.049699999999999994,NTRS
2000-03-20,60.06,63.12,63.19,59.44,1660000.0,-0.0513,NTRS
2000-03-21,67.34,60.19,67.81,59.5,1860000.0,0.12119999999999999,NTRS
2000-03-22,73.31,67.62,77.25,64.5,1820000.0,0.08869999999999999,NTRS
2000-03-23,72.06,73.19,73.25,70.56,2360000.0,-0.0171,NTRS
2000-03-24,67.12,72.19,72.38,64.0,2840000.0,-0.06860000000000001,NTRS
2000-03-27,62.69,67.06,67.06,61.69,1910000.0,-0.066,NTRS
2000-03-28,65.88,62.86,67.81,62.81,2060000.0,0.0509,NTRS
2000-03-29,65.31,65.88,66.5,63.62,821600.0,-0.0087,NTRS
2000-03-30,64.5,64.88,67.44,63.44,1060000.0,-0.0124,NTRS
2000-03-31,67.56,65.88,68.62,64.5,1260000.0,0.047400000000000005,NTRS
2000-04-03,70.38,67.62,72.5,67.56,2610000.0,0.0417,NTRS
2000-04-04,68.09,70.5,72.12,63.88,1340000.0,-0.0325,NTRS
2000-04-05,66.44,67.75,69.88,65.25,741200.0,-0.0242,NTRS
2000-04-06,68.88,66.88,69.88,65.5,849700.0,0.036699999999999997,NTRS
2000-04-07,66.94,69.5,69.69,66.38,566400.0,-0.0282,NTRS
2000-04-10,67.06,66.94,68.31,64.5,784000.0,0.0018,NTRS
2000-04-11,68.59,67.31,70.19,67.25,609900.0,0.022799999999999997,NTRS
2000-04-12,66.81,68.62,70.81,66.44,1260000.0,-0.026000000000000002,NTRS
2000-04-13,63.31,66.91,66.94,63.0,967100.0,-0.0524,NTRS
2000-04-14,57.81,63.06,63.23,57.38,1660000.0,-0.08689999999999999,NTRS
2000-04-17,58.81,57.88,62.12,57.75,1700000.0,0.0173,NTRS
2000-04-18,70.0,59.62,70.12,59.5,1610000.0,0.19030000000000002,NTRS
2000-04-19,65.06,68.31,68.88,63.19,833300.0,-0.0706,NTRS
2000-04-20,65.5,64.81,65.5,64.5,960700.0,0.0068000000000000005,NTRS
2000-04-24,64.69,64.81,65.75,63.5,831100.0,-0.0124,NTRS
2000-04-25,65.69,66.19,66.25,65.12,1410000.0,0.0155,NTRS
2000-04-26,66.25,66.12,66.88,65.5,1180000.0,0.0085,NTRS
2000-04-27,64.62,65.66,65.94,63.38,721200.0,-0.0246,NTRS
2000-04-28,64.12,65.25,65.88,63.38,705500.0,-0.0077,NTRS
2000-05-01,65.44,64.16,66.88,63.12,766300.0,0.0206,NTRS
2000-05-02,64.75,65.5,65.56,63.31,755000.0,-0.0105,NTRS
2000-05-03,64.56,64.69,66.0,63.88,571600.0,-0.0029,NTRS
