Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,10.38,10.44,10.44,10.19,98800.0,0.0068000000000000005,O
2000-01-04,10.25,10.28,10.41,10.09,119800.0,-0.0125,O
2000-01-05,10.19,10.19,10.31,10.09,96400.0,-0.0059,O
2000-01-06,10.31,10.25,10.31,10.12,64599.99999999999,0.0118,O
2000-01-07,10.5,10.38,10.5,10.19,137600.0,0.0184,O
2000-01-10,10.69,10.5,10.72,10.5,116000.0,0.0181,O
2000-01-11,10.72,10.66,10.88,10.66,145000.0,0.0028000000000000004,O
2000-01-12,10.78,10.78,10.94,10.69,99800.0,0.005600000000000001,O
2000-01-13,10.78,10.84,10.84,10.62,71200.0,0.0,O
2000-01-14,10.84,10.78,11.0,10.75,114600.0,0.005600000000000001,O
2000-01-18,11.0,10.84,11.0,10.75,82400.0,0.0148,O
2000-01-19,10.91,10.88,10.97,10.78,119000.0,-0.008199999999999999,O
2000-01-20,10.88,10.94,10.94,10.81,66400.0,-0.0027,O
2000-01-21,10.84,10.81,10.97,10.75,96800.0,-0.0037,O
2000-01-24,10.88,10.91,11.0,10.84,93000.0,0.0037,O
2000-01-25,10.97,10.88,10.97,10.88,65400.00000000001,0.0083,O
2000-01-26,10.75,11.0,11.0,10.66,85600.0,-0.020099999999999996,O
2000-01-27,10.94,10.69,10.94,10.69,78600.0,0.0177,O
2000-01-28,10.84,10.78,10.88,10.78,72200.0,-0.0091,O
2000-01-31,10.62,10.81,10.81,10.62,94400.0,-0.0203,O
2000-02-01,10.81,10.62,10.81,10.59,51200.0,0.0179,O
2000-02-02,10.78,10.75,10.81,10.69,51600.0,-0.0028000000000000004,O
2000-02-03,10.81,10.59,10.97,10.59,118800.0,0.0028000000000000004,O
2000-02-04,10.78,10.88,10.88,10.75,66800.0,-0.0028000000000000004,O
2000-02-07,10.75,10.75,10.81,10.69,63400.0,-0.0028000000000000004,O
2000-02-08,10.69,10.88,10.88,10.62,71200.0,-0.005600000000000001,O
2000-02-09,10.75,10.75,10.81,10.69,71200.0,0.005600000000000001,O
2000-02-10,10.66,10.69,10.75,10.56,138800.0,-0.0084,O
2000-02-11,10.66,10.62,10.69,10.53,101400.0,0.0,O
2000-02-14,10.53,10.78,10.78,10.5,117200.0,-0.012199999999999999,O
2000-02-15,10.62,10.59,10.66,10.5,65200.0,0.0085,O
2000-02-16,10.53,10.53,10.72,10.53,102800.0,-0.0085,O
2000-02-17,10.75,10.56,10.75,10.5,86000.0,0.0209,O
2000-02-18,10.69,10.69,10.75,10.5,86600.0,-0.005600000000000001,O
2000-02-22,10.62,10.5,10.62,10.44,153600.0,-0.006500000000000001,O
2000-02-23,10.59,10.69,10.69,10.5,42200.0,-0.0028000000000000004,O
2000-02-24,10.56,10.56,10.62,10.47,53000.0,-0.0028000000000000004,O
2000-02-25,10.53,10.53,10.66,10.47,67800.0,-0.0028000000000000004,O
2000-02-28,10.41,10.41,10.47,10.31,77600.0,-0.011399999999999999,O
2000-02-29,10.41,10.47,10.47,10.31,74200.0,0.0,O
2000-03-01,10.38,10.34,10.5,10.31,67800.0,-0.0029,O
2000-03-02,10.44,10.31,10.44,10.28,61800.0,0.0058,O
2000-03-03,10.38,10.38,10.47,10.38,75000.0,-0.005699999999999999,O
2000-03-06,10.56,10.44,10.62,10.31,96000.0,0.0173,O
2000-03-07,10.31,10.5,10.5,10.28,90600.0,-0.023700000000000002,O
2000-03-08,10.47,10.38,10.47,10.12,119800.0,0.0155,O
2000-03-09,10.31,10.41,10.41,10.25,83800.0,-0.015300000000000001,O
2000-03-10,10.34,10.34,10.47,10.31,57200.0,0.0029,O
2000-03-13,10.25,10.34,10.34,10.19,57400.0,-0.0087,O
2000-03-14,10.12,10.34,10.34,10.12,91600.0,-0.0127,O
2000-03-15,10.09,10.09,10.19,10.06,103600.0,-0.003,O
2000-03-16,10.44,10.09,10.47,10.03,114200.0,0.0347,O
2000-03-17,10.62,10.31,10.62,10.31,79800.0,0.0172,O
2000-03-20,10.5,10.62,10.62,10.44,74000.0,-0.0113,O
2000-03-21,10.41,10.5,10.5,10.31,105400.0,-0.0086,O
2000-03-22,10.38,10.38,10.47,10.31,57000.0,-0.0029,O
2000-03-23,10.44,10.31,10.5,10.25,91200.0,0.0058,O
2000-03-24,10.31,10.44,10.47,10.31,75800.0,-0.0125,O
2000-03-27,10.41,10.28,10.53,10.28,100600.0,0.0097,O
2000-03-28,10.31,10.53,10.53,10.31,99400.0,-0.0096,O
2000-03-29,10.34,10.44,10.44,10.34,89800.0,0.0029,O
2000-03-30,10.12,10.38,10.38,10.12,105800.0,-0.0213,O
2000-03-31,9.62,10.25,10.25,9.62,417200.0,-0.049400000000000006,O
2000-04-03,9.94,9.75,10.0,9.69,223400.0,0.0333,O
2000-04-04,10.0,9.94,10.0,9.78,129600.0,0.006,O
2000-04-05,10.09,9.94,10.22,9.88,123800.0,0.009000000000000001,O
2000-04-06,10.12,10.09,10.22,10.06,107200.0,0.003,O
2000-04-07,10.22,10.19,10.25,10.09,56800.0,0.009899999999999999,O
2000-04-10,10.28,10.22,10.5,10.12,150600.0,0.0059,O
2000-04-11,10.09,10.28,10.28,10.0,113600.0,-0.018500000000000003,O
2000-04-12,10.31,10.16,10.44,10.12,112800.0,0.0218,O
2000-04-13,10.28,10.25,10.41,10.19,96600.0,-0.0029,O
2000-04-14,10.47,10.41,10.47,10.28,157600.0,0.018500000000000003,O
2000-04-17,10.31,10.38,10.44,10.25,71000.0,-0.015300000000000001,O
2000-04-18,10.38,10.38,10.38,10.31,71800.0,0.0068000000000000005,O
2000-04-19,10.47,10.38,10.5,10.31,52800.0,0.0087,O
2000-04-20,10.5,10.47,10.53,10.41,61200.0,0.0029,O
2000-04-24,10.62,10.5,10.62,10.31,89400.0,0.011399999999999999,O
