Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,29.53,31.16,31.3,27.91,98110000.0,0.053899999999999997,ORCL
2000-01-04,26.92,28.88,29.66,26.25,116820000.0,-0.08839999999999999,ORCL
2000-01-05,25.5,25.41,26.59,24.0,166050000.0,-0.0527,ORCL
2000-01-06,24.0,25.04,26.25,23.67,109880000.0,-0.0588,ORCL
2000-01-07,25.84,23.75,25.88,23.39,91760000.0,0.0767,ORCL
2000-01-10,28.94,27.0,29.0,26.38,91520000.0,0.12,ORCL
2000-01-11,28.09,28.16,28.69,27.38,86590000.0,-0.0294,ORCL
2000-01-12,26.41,28.06,28.06,25.92,83440000.0,-0.059800000000000006,ORCL
2000-01-13,26.27,27.12,27.47,25.88,55780000.0,-0.0053,ORCL
2000-01-14,26.7,27.25,27.84,26.19,57080000.0,0.016399999999999998,ORCL
2000-01-18,27.81,26.97,28.62,26.41,66780000.0,0.0416,ORCL
2000-01-19,28.56,28.06,29.12,27.0,49200000.0,0.027000000000000003,ORCL
2000-01-20,29.62,29.5,30.12,29.06,54530000.0,0.0371,ORCL
2000-01-21,29.84,30.75,30.75,29.5,50890000.0,0.0074,ORCL
2000-01-24,27.09,30.12,30.19,27.0,50020000.0,-0.0922,ORCL
2000-01-25,28.22,27.53,28.75,27.44,53060000.0,0.0417,ORCL
2000-01-26,27.53,28.38,29.47,27.5,47570000.0,-0.0245,ORCL
2000-01-27,25.91,27.91,28.34,25.0,61050000.0,-0.0588,ORCL
2000-01-28,23.69,25.75,25.97,23.31,86390000.0,-0.0857,ORCL
2000-01-31,24.98,23.97,25.06,23.53,68150000.0,0.0545,ORCL
2000-02-01,27.0,25.62,27.16,25.0,57110000.0,0.0809,ORCL
2000-02-02,27.16,27.47,28.0,27.0,63930000.0,0.0059,ORCL
2000-02-03,28.34,27.69,28.5,27.12,55530000.0,0.0434,ORCL
2000-02-04,28.91,28.81,29.12,28.41,40920000.0,0.020099999999999996,ORCL
2000-02-07,29.97,29.66,30.0,29.44,44690000.0,0.036699999999999997,ORCL
2000-02-08,29.78,30.38,30.72,29.5,55720000.0,-0.0063,ORCL
2000-02-09,29.97,30.03,30.66,29.41,52470000.0,0.0064,ORCL
2000-02-10,31.16,30.0,31.31,29.0,45290000.0,0.0397,ORCL
2000-02-11,29.84,31.25,32.38,29.38,55770000.0,-0.0424,ORCL
2000-02-14,31.09,30.44,31.12,29.31,37600000.0,0.04190000000000001,ORCL
2000-02-15,30.69,30.81,31.59,29.56,47970000.0,-0.0129,ORCL
2000-02-16,30.62,30.5,31.28,30.06,33490000.000000004,-0.0023,ORCL
2000-02-17,30.81,30.88,31.38,30.0,40390000.0,0.0062,ORCL
2000-02-18,29.28,30.84,31.0,29.19,63890000.0,-0.049699999999999994,ORCL
2000-02-22,29.66,29.56,30.72,28.16,75550000.0,0.013000000000000001,ORCL
2000-02-23,31.53,30.09,31.63,29.81,69660000.0,0.063,ORCL
2000-02-24,30.97,31.59,32.53,30.12,70960000.0,-0.0178,ORCL
2000-02-25,35.31,30.94,35.5,30.94,103190000.0,0.1401,ORCL
2000-02-28,34.31,35.62,38.25,34.12,122320000.0,-0.028300000000000002,ORCL
2000-02-29,37.12,36.69,37.22,35.56,55590000.0,0.0819,ORCL
2000-03-01,35.75,36.88,37.25,35.38,44930000.0,-0.0369,ORCL
2000-03-02,34.25,36.75,36.78,33.94,52310000.0,-0.042,ORCL
2000-03-03,37.5,35.56,37.56,35.09,47970000.0,0.0949,ORCL
2000-03-06,37.88,37.41,38.47,36.19,45520000.0,0.0101,ORCL
2000-03-07,37.47,38.31,40.0,37.19,53980000.0,-0.0108,ORCL
2000-03-08,41.56,38.69,41.78,37.5,62780000.0,0.1092,ORCL
2000-03-09,42.0,42.16,42.5,40.06,56480000.0,0.0106,ORCL
2000-03-10,40.81,42.0,42.03,40.12,44700000.0,-0.028300000000000002,ORCL
2000-03-13,39.38,39.25,41.81,38.4,65800000.0,-0.035,ORCL
2000-03-14,38.5,40.94,41.88,38.25,72360000.0,-0.0223,ORCL
2000-03-15,39.31,42.0,42.5,38.5,144810000.0,0.021,ORCL
2000-03-16,40.97,40.34,41.28,38.34,95530000.0,0.042199999999999994,ORCL
2000-03-17,39.91,40.88,41.0,39.75,66060000.0,-0.0259,ORCL
2000-03-20,39.06,40.25,40.31,38.78,47180000.0,-0.0213,ORCL
2000-03-21,40.34,38.94,40.44,38.0,52620000.0,0.032799999999999996,ORCL
2000-03-22,42.03,40.5,42.19,39.44,53200000.0,0.04190000000000001,ORCL
2000-03-23,43.44,41.56,44.0,41.28,50800000.0,0.0335,ORCL
2000-03-24,43.5,43.41,44.84,43.22,52820000.0,0.0014000000000000002,ORCL
2000-03-27,44.22,44.53,44.66,43.47,32600000.0,0.0166,ORCL
2000-03-28,43.28,43.81,45.0,42.75,36040000.0,-0.0213,ORCL
2000-03-29,41.25,43.03,43.06,41.03,51970000.0,-0.046900000000000004,ORCL
2000-03-30,39.22,39.25,42.25,39.0,70990000.0,-0.0492,ORCL
2000-03-31,39.03,40.09,40.78,38.0,79840000.0,-0.0048,ORCL
2000-04-03,38.44,39.31,40.31,37.5,71600000.0,-0.0151,ORCL
2000-04-04,37.97,39.06,39.06,32.54,123630000.0,-0.012199999999999999,ORCL
2000-04-05,39.12,36.62,40.5,36.27,73740000.0,0.030299999999999997,ORCL
2000-04-06,41.09,40.31,41.72,40.06,62410000.0,0.0504,ORCL
2000-04-07,43.56,41.84,43.62,41.5,46760000.0,0.0601,ORCL
2000-04-10,41.25,43.75,43.81,41.12,56240000.0,-0.053,ORCL
2000-04-11,38.69,40.09,40.81,38.41,70980000.0,-0.0621,ORCL
2000-04-12,36.56,38.97,40.0,36.47,67130000.0,-0.055099999999999996,ORCL
2000-04-13,35.97,37.44,38.75,35.88,63210000.0,-0.0161,ORCL
2000-04-14,31.25,34.96,35.64,30.12,109950000.0,-0.13119999999999998,ORCL
2000-04-17,37.41,30.25,37.44,30.09,115300000.0,0.1971,ORCL
2000-04-18,39.47,37.78,39.53,36.88,78740000.0,0.055099999999999996,ORCL
2000-04-19,37.28,39.31,39.78,37.12,46180000.0,-0.0555,ORCL
2000-04-20,35.41,36.91,37.75,34.94,50400000.0,-0.050199999999999995,ORCL
2000-04-24,36.22,33.69,36.34,33.5,59730000.0,0.0229,ORCL
2000-04-25,37.78,37.44,38.19,36.31,61760000.0,0.0431,ORCL
2000-04-26,36.09,38.06,38.91,35.53,47790000.0,-0.0447,ORCL
2000-04-27,38.66,35.03,38.78,34.97,52100000.0,0.0712,ORCL
2000-04-28,39.97,39.25,40.0,39.06,41700000.0,0.0339,ORCL
2000-05-01,39.84,39.94,40.94,39.38,37090000.0,-0.0033,ORCL
2000-05-02,38.91,39.47,39.75,38.69,35340000.0,-0.0233,ORCL
2000-05-03,37.91,38.44,38.56,36.06,49600000.0,-0.025699999999999997,ORCL
2000-05-04,37.12,37.66,38.47,36.5,39900000.0,-0.0208,ORCL
2000-05-05,38.41,37.0,38.5,36.88,35290000.0,0.0348,ORCL
2000-05-08,36.16,37.66,38.0,36.03,36530000.0,-0.058600000000000006,ORCL
2000-05-09,36.0,36.84,37.12,35.62,43540000.0,-0.0044,ORCL
2000-05-10,33.81,35.47,36.56,33.75,71170000.0,-0.0608,ORCL
2000-05-11,36.19,34.47,36.19,34.0,46590000.0,0.0704,ORCL
2000-05-12,37.09,36.66,38.22,36.53,39040000.0,0.024900000000000002,ORCL
2000-05-15,38.5,37.22,38.5,35.31,41970000.0,0.038,ORCL
2000-05-16,39.59,38.81,39.88,38.53,38260000.0,0.028300000000000002,ORCL
2000-05-17,39.09,38.88,39.94,38.12,33990000.0,-0.0126,ORCL
2000-05-18,36.53,39.16,39.38,36.22,46440000.0,-0.0655,ORCL
2000-05-19,35.03,36.0,37.0,34.75,52230000.0,-0.041100000000000005,ORCL
2000-05-22,33.91,35.03,35.12,31.38,91160000.0,-0.032,ORCL
2000-05-23,31.31,33.5,34.25,31.19,58570000.0,-0.0767,ORCL
2000-05-24,32.12,30.88,32.25,29.06,85200000.0,0.0259,ORCL
2000-05-25,33.22,32.75,35.41,32.5,80960000.0,0.0342,ORCL
2000-05-26,33.5,33.41,34.75,32.53,28900000.0,0.0084,ORCL
2000-05-30,37.09,34.44,37.09,34.28,38930000.0,0.1072,ORCL
2000-05-31,35.94,36.62,38.22,35.88,50940000.0,-0.031,ORCL
2000-06-01,38.94,36.97,38.94,36.75,53400000.0,0.08349999999999999,ORCL
2000-06-02,40.09,40.25,40.75,39.25,57960000.0,0.029500000000000002,ORCL
2000-06-05,40.47,39.62,41.0,39.5,38510000.0,0.0095,ORCL
2000-06-06,38.53,40.25,40.75,38.12,40020000.0,-0.0479,ORCL
2000-06-07,40.0,38.38,40.12,37.78,34080000.0,0.0382,ORCL
2000-06-08,41.19,40.94,41.38,40.12,46770000.0,0.0297,ORCL
2000-06-09,41.34,41.44,41.88,40.94,32979999.999999996,0.0036,ORCL
